date,currency,base_currency,rate_to_base,retrieved_at,source
2025-08-11,AUD,EUR,0.5595099925994873,2026-07-27T09:21:34Z,yfinance
2025-08-12,AUD,EUR,0.5606899857521057,2026-07-27T09:21:34Z,yfinance
2025-08-13,AUD,EUR,0.5591400265693665,2026-07-27T09:21:34Z,yfinance
2025-08-14,AUD,EUR,0.5593199729919434,2026-07-27T09:21:34Z,yfinance
2025-08-15,AUD,EUR,0.5576199889183044,2026-07-27T09:21:34Z,yfinance
2025-08-18,AUD,EUR,0.5561699867248535,2026-07-27T09:21:34Z,yfinance
2025-08-19,AUD,EUR,0.5565800070762634,2026-07-27T09:21:34Z,yfinance
2025-08-20,AUD,EUR,0.5543299913406372,2026-07-27T09:21:34Z,yfinance
2025-08-21,AUD,EUR,0.5523300170898438,2026-07-27T09:21:34Z,yfinance
2025-08-22,AUD,EUR,0.5532400012016296,2026-07-27T09:21:34Z,yfinance
2025-08-25,AUD,EUR,0.5537499785423279,2026-07-27T09:21:34Z,yfinance
2025-08-26,AUD,EUR,0.5579900145530701,2026-07-27T09:21:34Z,yfinance
2025-08-27,AUD,EUR,0.5580199956893921,2026-07-27T09:21:34Z,yfinance
2025-08-28,AUD,EUR,0.5589900016784668,2026-07-27T09:21:34Z,yfinance
2025-08-29,AUD,EUR,0.5591700077056885,2026-07-27T09:21:34Z,yfinance
2025-09-01,AUD,EUR,0.559689998626709,2026-07-27T09:21:34Z,yfinance
2025-09-02,AUD,EUR,0.5596100091934204,2026-07-27T09:21:34Z,yfinance
2025-09-03,AUD,EUR,0.5602499842643738,2026-07-27T09:21:34Z,yfinance
2025-09-04,AUD,EUR,0.5612099766731262,2026-07-27T09:21:34Z,yfinance
2025-09-05,AUD,EUR,0.5594499707221985,2026-07-27T09:21:34Z,yfinance
2025-09-08,AUD,EUR,0.5595499873161316,2026-07-27T09:21:34Z,yfinance
2025-09-09,AUD,EUR,0.560509979724884,2026-07-27T09:21:34Z,yfinance
2025-09-10,AUD,EUR,0.5626299977302551,2026-07-27T09:21:34Z,yfinance
2025-09-11,AUD,EUR,0.5655400156974792,2026-07-27T09:21:34Z,yfinance
2025-09-12,AUD,EUR,0.5680299997329712,2026-07-27T09:21:34Z,yfinance
2025-09-15,AUD,EUR,0.5669500231742859,2026-07-27T09:21:34Z,yfinance
2025-09-16,AUD,EUR,0.5672299861907959,2026-07-27T09:21:34Z,yfinance
2025-09-17,AUD,EUR,0.5634099841117859,2026-07-27T09:21:34Z,yfinance
2025-09-18,AUD,EUR,0.5624899864196777,2026-07-27T09:21:34Z,yfinance
2025-09-19,AUD,EUR,0.5612900257110596,2026-07-27T09:21:34Z,yfinance
2025-09-22,AUD,EUR,0.5613800287246704,2026-07-27T09:21:34Z,yfinance
2025-09-23,AUD,EUR,0.5590999722480774,2026-07-27T09:21:34Z,yfinance
2025-09-24,AUD,EUR,0.558430016040802,2026-07-27T09:21:34Z,yfinance
2025-09-25,AUD,EUR,0.5607699751853943,2026-07-27T09:21:34Z,yfinance
2025-09-26,AUD,EUR,0.5604199767112732,2026-07-27T09:21:34Z,yfinance
2025-09-29,AUD,EUR,0.5596799850463867,2026-07-27T09:21:34Z,yfinance
2025-09-30,AUD,EUR,0.5607500076293945,2026-07-27T09:21:34Z,yfinance
2025-10-01,AUD,EUR,0.5632699728012085,2026-07-27T09:21:34Z,yfinance
2025-10-02,AUD,EUR,0.563759982585907,2026-07-27T09:21:34Z,yfinance
2025-10-03,AUD,EUR,0.5626699924468994,2026-07-27T09:21:34Z,yfinance
2025-10-06,AUD,EUR,0.5628600120544434,2026-07-27T09:21:34Z,yfinance
2025-10-07,AUD,EUR,0.5649799704551697,2026-07-27T09:21:34Z,yfinance
2025-10-08,AUD,EUR,0.5645599961280823,2026-07-27T09:21:34Z,yfinance
2025-10-09,AUD,EUR,0.5661500096321106,2026-07-27T09:21:34Z,yfinance
2025-10-10,AUD,EUR,0.5672000050544739,2026-07-27T09:21:34Z,yfinance
2025-10-13,AUD,EUR,0.5600600242614746,2026-07-27T09:21:34Z,yfinance
2025-10-14,AUD,EUR,0.5629000067710876,2026-07-27T09:21:34Z,yfinance
2025-10-15,AUD,EUR,0.559469997882843,2026-07-27T09:21:34Z,yfinance
2025-10-16,AUD,EUR,0.5587400197982788,2026-07-27T09:21:34Z,yfinance
2025-10-17,AUD,EUR,0.5540099740028381,2026-07-27T09:21:34Z,yfinance
2025-10-20,AUD,EUR,0.5576900243759155,2026-07-27T09:21:34Z,yfinance
2025-10-21,AUD,EUR,0.5595499873161316,2026-07-27T09:21:34Z,yfinance
2025-10-22,AUD,EUR,0.5595800280570984,2026-07-27T09:21:34Z,yfinance
2025-10-23,AUD,EUR,0.5588600039482117,2026-07-27T09:21:34Z,yfinance
2025-10-24,AUD,EUR,0.5607100129127502,2026-07-27T09:21:34Z,yfinance
2025-10-27,AUD,EUR,0.5616599917411804,2026-07-27T09:21:34Z,yfinance
2025-10-28,AUD,EUR,0.5628399848937988,2026-07-27T09:21:34Z,yfinance
2025-10-29,AUD,EUR,0.5648199915885925,2026-07-27T09:21:34Z,yfinance
2025-10-30,AUD,EUR,0.5666000247001648,2026-07-27T09:21:34Z,yfinance
2025-10-31,AUD,EUR,0.5667799711227417,2026-07-27T09:21:34Z,yfinance
2025-11-03,AUD,EUR,0.5677400231361389,2026-07-27T09:21:34Z,yfinance
2025-11-04,AUD,EUR,0.5675600171089172,2026-07-27T09:21:34Z,yfinance
2025-11-05,AUD,EUR,0.5644999742507935,2026-07-27T09:21:34Z,yfinance
2025-11-06,AUD,EUR,0.5661900043487549,2026-07-27T09:21:34Z,yfinance
2025-11-07,AUD,EUR,0.5613800287246704,2026-07-27T09:21:34Z,yfinance
2025-11-10,AUD,EUR,0.5632200241088867,2026-07-27T09:21:34Z,yfinance
2025-11-11,AUD,EUR,0.5653799772262573,2026-07-27T09:21:34Z,yfinance
2025-11-12,AUD,EUR,0.5634499788284302,2026-07-27T09:21:34Z,yfinance
2025-11-13,AUD,EUR,0.5638099908828735,2026-07-27T09:21:34Z,yfinance
2025-11-14,AUD,EUR,0.5612800121307373,2026-07-27T09:21:34Z,yfinance
2025-11-17,AUD,EUR,0.5623999834060669,2026-07-27T09:21:34Z,yfinance
2025-11-18,AUD,EUR,0.5600000023841858,2026-07-27T09:21:34Z,yfinance
2025-11-19,AUD,EUR,0.5619500279426575,2026-07-27T09:21:34Z,yfinance
2025-11-20,AUD,EUR,0.5623300075531006,2026-07-27T09:21:34Z,yfinance
2025-11-21,AUD,EUR,0.5591099858283997,2026-07-27T09:21:34Z,yfinance
2025-11-24,AUD,EUR,0.5615400075912476,2026-07-27T09:21:34Z,yfinance
2025-11-25,AUD,EUR,0.561240017414093,2026-07-27T09:21:34Z,yfinance
2025-11-26,AUD,EUR,0.559440016746521,2026-07-27T09:21:34Z,yfinance
2025-11-27,AUD,EUR,0.562279999256134,2026-07-27T09:21:34Z,yfinance
2025-11-28,AUD,EUR,0.5633900165557861,2026-07-27T09:21:34Z,yfinance
2025-12-01,AUD,EUR,0.5646499991416931,2026-07-27T09:21:34Z,yfinance
2025-12-02,AUD,EUR,0.563539981842041,2026-07-27T09:21:34Z,yfinance
2025-12-03,AUD,EUR,0.5652899742126465,2026-07-27T09:21:34Z,yfinance
2025-12-04,AUD,EUR,0.5660300254821777,2026-07-27T09:21:34Z,yfinance
2025-12-05,AUD,EUR,0.567359983921051,2026-07-27T09:21:34Z,yfinance
2025-12-08,AUD,EUR,0.5699999928474426,2026-07-27T09:21:34Z,yfinance
2025-12-09,AUD,EUR,0.5692800283432007,2026-07-27T09:21:34Z,yfinance
2025-12-10,AUD,EUR,0.5709800124168396,2026-07-27T09:21:34Z,yfinance
2025-12-11,AUD,EUR,0.5703399777412415,2026-07-27T09:21:34Z,yfinance
2025-12-12,AUD,EUR,0.5674999952316284,2026-07-27T09:21:34Z,yfinance
2025-12-15,AUD,EUR,0.5662699937820435,2026-07-27T09:21:34Z,yfinance
2025-12-16,AUD,EUR,0.5649799704551697,2026-07-27T09:21:34Z,yfinance
2025-12-17,AUD,EUR,0.5644400119781494,2026-07-27T09:21:34Z,yfinance
2025-12-18,AUD,EUR,0.5621600151062012,2026-07-27T09:21:34Z,yfinance
2025-12-19,AUD,EUR,0.5639899969100952,2026-07-27T09:21:34Z,yfinance
2025-12-22,AUD,EUR,0.5645300149917603,2026-07-27T09:21:34Z,yfinance
2025-12-23,AUD,EUR,0.5658400058746338,2026-07-27T09:21:34Z,yfinance
2025-12-24,AUD,EUR,0.5681300163269043,2026-07-27T09:21:34Z,yfinance
2025-12-25,AUD,EUR,0.5687999725341797,2026-07-27T09:21:34Z,yfinance
2025-12-26,AUD,EUR,0.5689100027084351,2026-07-27T09:21:34Z,yfinance
2025-12-29,AUD,EUR,0.5702900290489197,2026-07-27T09:21:34Z,yfinance
2025-12-30,AUD,EUR,0.5686299800872803,2026-07-27T09:21:34Z,yfinance
2025-12-31,AUD,EUR,0.5699999928474426,2026-07-27T09:21:34Z,yfinance
2026-01-01,AUD,EUR,0.5681999921798706,2026-07-27T09:21:34Z,yfinance
2026-01-02,AUD,EUR,0.5682799816131592,2026-07-27T09:21:34Z,yfinance
2026-01-05,AUD,EUR,0.5709999799728394,2026-07-27T09:21:34Z,yfinance
2026-01-06,AUD,EUR,0.5730199813842773,2026-07-27T09:21:34Z,yfinance
2026-01-07,AUD,EUR,0.576259970664978,2026-07-27T09:21:34Z,yfinance
2026-01-08,AUD,EUR,0.5756300091743469,2026-07-27T09:21:34Z,yfinance
2026-01-09,AUD,EUR,0.5745999813079834,2026-07-27T09:21:34Z,yfinance
2026-01-12,AUD,EUR,0.5751399993896484,2026-07-27T09:21:34Z,yfinance
2026-01-13,AUD,EUR,0.5748900175094604,2026-07-27T09:21:34Z,yfinance
2026-01-14,AUD,EUR,0.5740000009536743,2026-07-27T09:21:34Z,yfinance
2026-01-15,AUD,EUR,0.5737699866294861,2026-07-27T09:21:34Z,yfinance
2026-01-16,AUD,EUR,0.5771999955177307,2026-07-27T09:21:34Z,yfinance
2026-01-19,AUD,EUR,0.575219988822937,2026-07-27T09:21:34Z,yfinance
2026-01-20,AUD,EUR,0.5763999819755554,2026-07-27T09:21:34Z,yfinance
2026-01-21,AUD,EUR,0.5739399790763855,2026-07-27T09:21:34Z,yfinance
2026-01-22,AUD,EUR,0.5786100029945374,2026-07-27T09:21:34Z,yfinance
2026-01-23,AUD,EUR,0.5819000005722046,2026-07-27T09:21:34Z,yfinance
2026-01-26,AUD,EUR,0.5829600095748901,2026-07-27T09:21:34Z,yfinance
2026-01-27,AUD,EUR,0.5821800231933594,2026-07-27T09:21:34Z,yfinance
2026-01-28,AUD,EUR,0.5821099877357483,2026-07-27T09:21:34Z,yfinance
2026-01-29,AUD,EUR,0.5877199769020081,2026-07-27T09:21:34Z,yfinance
2026-01-30,AUD,EUR,0.5889099836349487,2026-07-27T09:21:34Z,yfinance
2026-02-02,AUD,EUR,0.5861300230026245,2026-07-27T09:21:34Z,yfinance
2026-02-03,AUD,EUR,0.589460015296936,2026-07-27T09:21:34Z,yfinance
2026-02-04,AUD,EUR,0.5942500233650208,2026-07-27T09:21:34Z,yfinance
2026-02-05,AUD,EUR,0.5926100015640259,2026-07-27T09:21:34Z,yfinance
2026-02-06,AUD,EUR,0.5871700048446655,2026-07-27T09:21:34Z,yfinance
2026-02-09,AUD,EUR,0.5947200059890747,2026-07-27T09:21:34Z,yfinance
2026-02-10,AUD,EUR,0.5949000120162964,2026-07-27T09:21:34Z,yfinance
2026-02-11,AUD,EUR,0.5950000286102295,2026-07-27T09:21:34Z,yfinance
2026-02-12,AUD,EUR,0.5999199748039246,2026-07-27T09:21:34Z,yfinance
2026-02-13,AUD,EUR,0.597100019454956,2026-07-27T09:21:34Z,yfinance
2026-02-16,AUD,EUR,0.595740020275116,2026-07-27T09:21:34Z,yfinance
2026-02-17,AUD,EUR,0.596809983253479,2026-07-27T09:21:34Z,yfinance
2026-02-18,AUD,EUR,0.597599983215332,2026-07-27T09:21:34Z,yfinance
2026-02-19,AUD,EUR,0.5974199771881104,2026-07-27T09:21:34Z,yfinance
2026-02-20,AUD,EUR,0.5994899868965149,2026-07-27T09:21:34Z,yfinance
2026-02-23,AUD,EUR,0.6008300185203552,2026-07-27T09:21:34Z,yfinance
2026-02-24,AUD,EUR,0.598609983921051,2026-07-27T09:21:34Z,yfinance
2026-02-25,AUD,EUR,0.5994799733161926,2026-07-27T09:21:34Z,yfinance
2026-02-26,AUD,EUR,0.6025999784469604,2026-07-27T09:21:34Z,yfinance
2026-02-27,AUD,EUR,0.6016600131988525,2026-07-27T09:21:34Z,yfinance
2026-03-02,AUD,EUR,0.600130021572113,2026-07-27T09:21:34Z,yfinance
2026-03-03,AUD,EUR,0.6074900031089783,2026-07-27T09:21:34Z,yfinance
2026-03-04,AUD,EUR,0.6062700152397156,2026-07-27T09:21:34Z,yfinance
2026-03-05,AUD,EUR,0.6080800294876099,2026-07-27T09:21:34Z,yfinance
2026-03-06,AUD,EUR,0.6039699912071228,2026-07-27T09:21:34Z,yfinance
2026-03-09,AUD,EUR,0.6044800281524658,2026-07-27T09:21:34Z,yfinance
2026-03-10,AUD,EUR,0.6083800196647644,2026-07-27T09:21:34Z,yfinance
2026-03-11,AUD,EUR,0.613070011138916,2026-07-27T09:21:34Z,yfinance
2026-03-12,AUD,EUR,0.6175600290298462,2026-07-27T09:21:34Z,yfinance
2026-03-13,AUD,EUR,0.6140199899673462,2026-07-27T09:21:34Z,yfinance
2026-03-16,AUD,EUR,0.6126000285148621,2026-07-27T09:21:34Z,yfinance
2026-03-17,AUD,EUR,0.6146100163459778,2026-07-27T09:21:34Z,yfinance
2026-03-18,AUD,EUR,0.6160299777984619,2026-07-27T09:21:34Z,yfinance
2026-03-19,AUD,EUR,0.613099992275238,2026-07-27T09:21:34Z,yfinance
2026-03-20,AUD,EUR,0.6115700006484985,2026-07-27T09:21:34Z,yfinance
2026-03-23,AUD,EUR,0.6061699986457825,2026-07-27T09:21:34Z,yfinance
2026-03-24,AUD,EUR,0.6035500168800354,2026-07-27T09:21:34Z,yfinance
2026-03-25,AUD,EUR,0.602370023727417,2026-07-27T09:21:34Z,yfinance
2026-03-26,AUD,EUR,0.6004700064659119,2026-07-27T09:21:34Z,yfinance
2026-03-27,AUD,EUR,0.5968999862670898,2026-07-27T09:21:34Z,yfinance
2026-03-30,AUD,EUR,0.5961099863052368,2026-07-27T09:21:34Z,yfinance
2026-03-31,AUD,EUR,0.5974799990653992,2026-07-27T09:21:34Z,yfinance
2026-04-01,AUD,EUR,0.5978800058364868,2026-07-27T09:21:34Z,yfinance
2026-04-02,AUD,EUR,0.5971999764442444,2026-07-27T09:21:34Z,yfinance
2026-04-03,AUD,EUR,0.5986999869346619,2026-07-27T09:21:34Z,yfinance
2026-04-06,AUD,EUR,0.5981600284576416,2026-07-27T09:21:34Z,yfinance
2026-04-07,AUD,EUR,0.5992699861526489,2026-07-27T09:21:34Z,yfinance
2026-04-08,AUD,EUR,0.6054999828338623,2026-07-27T09:21:34Z,yfinance
2026-04-09,AUD,EUR,0.6036999821662903,2026-07-27T09:21:34Z,yfinance
2026-04-10,AUD,EUR,0.6051700115203857,2026-07-27T09:21:34Z,yfinance
2026-04-13,AUD,EUR,0.6012099981307983,2026-07-27T09:21:34Z,yfinance
2026-04-14,AUD,EUR,0.6032999753952026,2026-07-27T09:21:34Z,yfinance
2026-04-15,AUD,EUR,0.6041899919509888,2026-07-27T09:21:34Z,yfinance
2026-04-16,AUD,EUR,0.607496976852417,2026-07-27T09:21:34Z,yfinance
2026-04-17,AUD,EUR,0.6076200008392334,2026-07-27T09:21:34Z,yfinance
2026-04-20,AUD,EUR,0.6075999736785889,2026-07-27T09:21:34Z,yfinance
2026-04-21,AUD,EUR,0.608739972114563,2026-07-27T09:21:34Z,yfinance
2026-04-22,AUD,EUR,0.6093000173568726,2026-07-27T09:21:34Z,yfinance
2026-04-23,AUD,EUR,0.6114400029182434,2026-07-27T09:21:34Z,yfinance
2026-04-24,AUD,EUR,0.6101700067520142,2026-07-27T09:21:34Z,yfinance
2026-04-27,AUD,EUR,0.6100000143051147,2026-07-27T09:21:34Z,yfinance
