date,currency,base_currency,rate_to_base,retrieved_at,source
2025-07-30,GBP,EUR,1.1559799909591675,2026-07-27T09:21:34Z,yfinance
2025-07-31,GBP,EUR,1.1598700284957886,2026-07-27T09:21:34Z,yfinance
2025-08-01,GBP,EUR,1.1562399864196777,2026-07-27T09:21:34Z,yfinance
2025-08-04,GBP,EUR,1.1469299793243408,2026-07-27T09:21:34Z,yfinance
2025-08-05,GBP,EUR,1.147819995880127,2026-07-27T09:21:34Z,yfinance
2025-08-06,GBP,EUR,1.1484800577163696,2026-07-27T09:21:34Z,yfinance
2025-08-07,GBP,EUR,1.1452800035476685,2026-07-27T09:21:34Z,yfinance
2025-08-08,GBP,EUR,1.1519500017166138,2026-07-27T09:21:34Z,yfinance
2025-08-11,GBP,EUR,1.1541399955749512,2026-07-27T09:21:34Z,yfinance
2025-08-12,GBP,EUR,1.1563700437545776,2026-07-27T09:21:34Z,yfinance
2025-08-13,GBP,EUR,1.1563700437545776,2026-07-27T09:21:34Z,yfinance
2025-08-14,GBP,EUR,1.1597700119018555,2026-07-27T09:21:34Z,yfinance
2025-08-15,GBP,EUR,1.1612199544906616,2026-07-27T09:21:34Z,yfinance
2025-08-18,GBP,EUR,1.1578999757766724,2026-07-27T09:21:34Z,yfinance
2025-08-19,GBP,EUR,1.1576199531555176,2026-07-27T09:21:34Z,yfinance
2025-08-20,GBP,EUR,1.1583399772644043,2026-07-27T09:21:34Z,yfinance
2025-08-21,GBP,EUR,1.1556899547576904,2026-07-27T09:21:34Z,yfinance
2025-08-22,GBP,EUR,1.155419945716858,2026-07-27T09:21:34Z,yfinance
2025-08-25,GBP,EUR,1.1537699699401855,2026-07-27T09:21:34Z,yfinance
2025-08-26,GBP,EUR,1.1582399606704712,2026-07-27T09:21:34Z,yfinance
2025-08-27,GBP,EUR,1.1579500436782837,2026-07-27T09:21:34Z,yfinance
2025-08-28,GBP,EUR,1.1592600345611572,2026-07-27T09:21:34Z,yfinance
2025-08-29,GBP,EUR,1.1563999652862549,2026-07-27T09:21:34Z,yfinance
2025-09-01,GBP,EUR,1.1550300121307373,2026-07-27T09:21:34Z,yfinance
2025-09-02,GBP,EUR,1.1563199758529663,2026-07-27T09:21:34Z,yfinance
2025-09-03,GBP,EUR,1.15024995803833,2026-07-27T09:21:34Z,yfinance
2025-09-04,GBP,EUR,1.1526399850845337,2026-07-27T09:21:34Z,yfinance
2025-09-05,GBP,EUR,1.153249979019165,2026-07-27T09:21:34Z,yfinance
2025-09-08,GBP,EUR,1.151900053024292,2026-07-27T09:21:34Z,yfinance
2025-09-09,GBP,EUR,1.1514999866485596,2026-07-27T09:21:34Z,yfinance
2025-09-10,GBP,EUR,1.155210018157959,2026-07-27T09:21:34Z,yfinance
2025-09-11,GBP,EUR,1.1563899517059326,2026-07-27T09:21:34Z,yfinance
2025-09-12,GBP,EUR,1.1568900346755981,2026-07-27T09:21:34Z,yfinance
2025-09-15,GBP,EUR,1.1557300090789795,2026-07-27T09:21:34Z,yfinance
2025-09-16,GBP,EUR,1.15625,2026-07-27T09:21:34Z,yfinance
2025-09-17,GBP,EUR,1.1500699520111084,2026-07-27T09:21:34Z,yfinance
2025-09-18,GBP,EUR,1.1521999835968018,2026-07-27T09:21:34Z,yfinance
2025-09-19,GBP,EUR,1.1497600078582764,2026-07-27T09:21:34Z,yfinance
2025-09-22,GBP,EUR,1.1470999717712402,2026-07-27T09:21:34Z,yfinance
2025-09-23,GBP,EUR,1.1448999643325806,2026-07-27T09:21:34Z,yfinance
2025-09-24,GBP,EUR,1.144569993019104,2026-07-27T09:21:34Z,yfinance
2025-09-25,GBP,EUR,1.145359992980957,2026-07-27T09:21:34Z,yfinance
2025-09-26,GBP,EUR,1.1434099674224854,2026-07-27T09:21:34Z,yfinance
2025-09-29,GBP,EUR,1.1453499794006348,2026-07-27T09:21:34Z,yfinance
2025-09-30,GBP,EUR,1.145259976387024,2026-07-27T09:21:34Z,yfinance
2025-10-01,GBP,EUR,1.1450999975204468,2026-07-27T09:21:34Z,yfinance
2025-10-02,GBP,EUR,1.1487200260162354,2026-07-27T09:21:34Z,yfinance
2025-10-03,GBP,EUR,1.1467700004577637,2026-07-27T09:21:34Z,yfinance
2025-10-06,GBP,EUR,1.1468499898910522,2026-07-27T09:21:34Z,yfinance
2025-10-07,GBP,EUR,1.1514500379562378,2026-07-27T09:21:34Z,yfinance
2025-10-08,GBP,EUR,1.151479959487915,2026-07-27T09:21:34Z,yfinance
2025-10-09,GBP,EUR,1.1522599458694458,2026-07-27T09:21:34Z,yfinance
2025-10-10,GBP,EUR,1.1501799821853638,2026-07-27T09:21:34Z,yfinance
2025-10-13,GBP,EUR,1.149359941482544,2026-07-27T09:21:34Z,yfinance
2025-10-14,GBP,EUR,1.152609944343567,2026-07-27T09:21:34Z,yfinance
2025-10-15,GBP,EUR,1.1480400562286377,2026-07-27T09:21:34Z,yfinance
2025-10-16,GBP,EUR,1.1509000062942505,2026-07-27T09:21:34Z,yfinance
2025-10-17,GBP,EUR,1.1491700410842896,2026-07-27T09:21:34Z,yfinance
2025-10-20,GBP,EUR,1.151610016822815,2026-07-27T09:21:34Z,yfinance
2025-10-21,GBP,EUR,1.1511399745941162,2026-07-27T09:21:34Z,yfinance
2025-10-22,GBP,EUR,1.1520500183105469,2026-07-27T09:21:34Z,yfinance
2025-10-23,GBP,EUR,1.150089979171753,2026-07-27T09:21:34Z,yfinance
2025-10-24,GBP,EUR,1.1470600366592407,2026-07-27T09:21:34Z,yfinance
2025-10-27,GBP,EUR,1.1452900171279907,2026-07-27T09:21:34Z,yfinance
2025-10-28,GBP,EUR,1.1449099779129028,2026-07-27T09:21:34Z,yfinance
2025-10-29,GBP,EUR,1.138990044593811,2026-07-27T09:21:34Z,yfinance
2025-10-30,GBP,EUR,1.1368999481201172,2026-07-27T09:21:34Z,yfinance
2025-10-31,GBP,EUR,1.1370600461959839,2026-07-27T09:21:34Z,yfinance
2025-11-03,GBP,EUR,1.1392500400543213,2026-07-27T09:21:34Z,yfinance
2025-11-04,GBP,EUR,1.1402299404144287,2026-07-27T09:21:34Z,yfinance
2025-11-05,GBP,EUR,1.1333999633789062,2026-07-27T09:21:34Z,yfinance
2025-11-06,GBP,EUR,1.1352399587631226,2026-07-27T09:21:34Z,yfinance
2025-11-07,GBP,EUR,1.1377099752426147,2026-07-27T09:21:34Z,yfinance
2025-11-10,GBP,EUR,1.1383299827575684,2026-07-27T09:21:34Z,yfinance
2025-11-11,GBP,EUR,1.1397099494934082,2026-07-27T09:21:34Z,yfinance
2025-11-12,GBP,EUR,1.134600043296814,2026-07-27T09:21:34Z,yfinance
2025-11-13,GBP,EUR,1.1324299573898315,2026-07-27T09:21:34Z,yfinance
2025-11-14,GBP,EUR,1.1307400465011597,2026-07-27T09:21:34Z,yfinance
2025-11-17,GBP,EUR,1.1328699588775635,2026-07-27T09:21:34Z,yfinance
2025-11-18,GBP,EUR,1.1349600553512573,2026-07-27T09:21:34Z,yfinance
2025-11-19,GBP,EUR,1.1351900100708008,2026-07-27T09:21:34Z,yfinance
