date,currency,base_currency,rate_to_base,retrieved_at,source
2025-07-28,USD,EUR,0.850570023059845,2026-07-27T09:21:34Z,yfinance
2025-07-29,USD,EUR,0.862309992313385,2026-07-27T09:21:34Z,yfinance
2025-07-30,USD,EUR,0.8657299876213074,2026-07-27T09:21:34Z,yfinance
2025-07-31,USD,EUR,0.8749399781227112,2026-07-27T09:21:34Z,yfinance
2025-08-01,USD,EUR,0.8753700256347656,2026-07-27T09:21:34Z,yfinance
2025-08-04,USD,EUR,0.8630599975585938,2026-07-27T09:21:34Z,yfinance
2025-08-05,USD,EUR,0.8632500171661377,2026-07-27T09:21:34Z,yfinance
2025-08-06,USD,EUR,0.8636199831962585,2026-07-27T09:21:34Z,yfinance
2025-08-07,USD,EUR,0.8574000000953674,2026-07-27T09:21:34Z,yfinance
2025-08-08,USD,EUR,0.856410026550293,2026-07-27T09:21:34Z,yfinance
2025-08-11,USD,EUR,0.858519971370697,2026-07-27T09:21:34Z,yfinance
2025-08-12,USD,EUR,0.8607000112533569,2026-07-27T09:21:34Z,yfinance
2025-08-13,USD,EUR,0.8563799858093262,2026-07-27T09:21:34Z,yfinance
2025-08-14,USD,EUR,0.8537600040435791,2026-07-27T09:21:34Z,yfinance
2025-08-15,USD,EUR,0.858269989490509,2026-07-27T09:21:34Z,yfinance
2025-08-18,USD,EUR,0.8542199730873108,2026-07-27T09:21:34Z,yfinance
2025-08-19,USD,EUR,0.8570200204849243,2026-07-27T09:21:34Z,yfinance
2025-08-20,USD,EUR,0.8589199781417847,2026-07-27T09:21:34Z,yfinance
2025-08-21,USD,EUR,0.858240008354187,2026-07-27T09:21:34Z,yfinance
2025-08-22,USD,EUR,0.8611000180244446,2026-07-27T09:21:34Z,yfinance
2025-08-25,USD,EUR,0.8539999723434448,2026-07-27T09:21:34Z,yfinance
2025-08-26,USD,EUR,0.8607000112533569,2026-07-27T09:21:34Z,yfinance
2025-08-27,USD,EUR,0.8591499924659729,2026-07-27T09:21:34Z,yfinance
2025-08-28,USD,EUR,0.858519971370697,2026-07-27T09:21:34Z,yfinance
2025-08-29,USD,EUR,0.8560500144958496,2026-07-27T09:21:34Z,yfinance
2025-09-01,USD,EUR,0.8553000092506409,2026-07-27T09:21:34Z,yfinance
2025-09-02,USD,EUR,0.8535400032997131,2026-07-27T09:21:34Z,yfinance
2025-09-03,USD,EUR,0.8593999743461609,2026-07-27T09:21:34Z,yfinance
2025-09-04,USD,EUR,0.8575999736785889,2026-07-27T09:21:34Z,yfinance
2025-09-05,USD,EUR,0.8578600287437439,2026-07-27T09:21:34Z,yfinance
2025-09-08,USD,EUR,0.8537399768829346,2026-07-27T09:21:34Z,yfinance
2025-09-09,USD,EUR,0.8496800065040588,2026-07-27T09:21:34Z,yfinance
2025-09-10,USD,EUR,0.8544999957084656,2026-07-27T09:21:34Z,yfinance
2025-09-11,USD,EUR,0.854449987411499,2026-07-27T09:21:34Z,yfinance
