date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-09-03,102000,104300,97100,98700,98700,2034272,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-04,98900,102400,98300,98500,98500,838740,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-05,99000,99900,97300,98700,98700,621452,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-08,99500,101600,96000,97200,97200,645026,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-09,97800,99100,95400,96600,96600,604514,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-10,98800,100400,95900,96800,96800,868623,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-11,96800,104500,95700,99500,99500,2135277,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-12,100600,102000,98600,100000,100000,832127,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-15,103500,110500,100900,103500,103500,1802596,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-16,104700,105500,100700,101800,101800,592049,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-17,101500,103900,99600,100000,100000,561469,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-18,103300,118400,103000,112900,112900,5034116,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-19,112100,145000,108800,136200,136200,7185347,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-22,134535.21875,149721.53125,131517.421875,139792.015625,139792.015625,4404413,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-23,140278.765625,165199.90625,138526.5,157314.703125,157314.703125,3493278,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-24,157217.34375,166952.171875,144951.46875,148066.625,148066.625,2913186,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-25,148358.65625,151765.84375,141252.25,142031.03125,142031.03125,1826898,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-26,143101.859375,155173.03125,140668.15625,145048.828125,145048.828125,3766441,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-29,148900,159400,148000,156100,156100,1841821,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-09-30,158900,166800,148500,160700,160700,2656844,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-01,160700,169200,159500,164000,164000,1789519,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-02,164000,164000,153700,157000,157000,1163740,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-10,156600,197300,153700,191300,191300,4524542,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-13,185400,198700,184000,192100,192100,1660021,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-14,193800,218500,178900,185300,185300,3469022,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-15,189700,210000,189600,202500,202500,2337088,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-16,205000,205500,194000,196400,196400,1063102,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-17,195600,202500,190900,192200,192200,949250,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-20,194000,201500,194000,198000,198000,961701,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-21,199000,199400,185500,186700,186700,1065213,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-22,186900,191700,179600,186500,186500,677795,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-23,182800,202500,178500,187000,187000,1790353,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-24,188200,199900,188000,192900,192900,1790296,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-27,194100,194700,188700,191700,191700,583498,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-28,193600,196800,190000,191400,191400,832404,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-29,193000,212000,192300,206500,206500,2400878,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-30,207500,229500,197500,222500,222500,2885870,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-10-31,235000,235000,214000,220500,220500,1469353,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-03,222500,282000,220500,274500,274500,2690324,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-04,269000,294500,260000,269000,269000,2036680,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-05,258000,265000,239500,242500,242500,1508378,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-06,250500,255500,213000,216000,216000,1361145,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-07,204500,236000,204000,221000,221000,1524310,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-10,220000,228500,207000,223000,223000,726118,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-11,228500,244000,225500,232000,232000,1114753,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-12,234500,242000,219500,224000,224000,648977,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-13,224000,236000,217500,232000,232000,592312,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-14,220500,226500,219000,219000,219000,329573,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-17,225500,227000,201000,206500,206500,667747,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-18,203500,210500,198700,204000,204000,566891,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-19,213500,218000,193300,208000,208000,763400,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-20,213500,218000,198800,201500,201500,536141,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-21,189400,198700,188600,191800,191800,477026,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-24,194800,209000,188700,206500,206500,896001,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-25,210000,210500,195000,195000,195000,464935,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-26,195100,204500,193800,202000,202000,387809,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-27,201500,216500,197000,212500,212500,819351,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-11-28,216000,244500,212500,233500,233500,1553205,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
2025-12-01,238500,252000,230500,231000,231000,1212700,0,0,KRW,108490.KQ,2026-09-01T06:36:54Z,yfinance
