date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-09-02,370,375.239990234375,366.3500061035156,374.67999267578125,374.3612060546875,686000,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-03,376.489990234375,378.3999938964844,371.3900146484375,374.4100036621094,374.0914306640625,761100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-04,375.29998779296875,378.79998779296875,370.92999267578125,376.0899963378906,375.77001953125,942100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-05,378.4700012207031,379.0899963378906,363.010009765625,372.5,372.18304443359375,1128900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-08,377.010009765625,380,373.4100036621094,375.5299987792969,375.21051025390625,780000,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-09,374.6199951171875,375.989990234375,370.2699890136719,373.4700012207031,373.1522216796875,502500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-10,381.20001220703125,393.17999267578125,380.9599914550781,390.1700134277344,389.8380432128906,1305800,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-11,391.1300048828125,400.8699951171875,388.9599914550781,389.6400146484375,389.3085021972656,1189400,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-12,388.1499938964844,391.92999267578125,382.2699890136719,382.5299987792969,382.2045593261719,833400,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-15,382.8999938964844,387.8599853515625,381.54998779296875,385.67999267578125,385.35186767578125,774900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-16,386.0299987792969,387.20001220703125,375.5,378.239990234375,377.91815185546875,821900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-17,378.5,382.55999755859375,373.3999938964844,376.010009765625,375.6900634765625,887900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-18,378.0299987792969,393.4200134277344,376.07000732421875,390.6499938964844,390.317626953125,1173100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-19,392.05999755859375,393.2200012207031,386.94000244140625,388.5799865722656,388.2493591308594,1493200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-22,384.5,397.6000061035156,382.239990234375,396.0199890136719,395.68304443359375,812600,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-23,396.9100036621094,397.5199890136719,387.4200134277344,389.5299987792969,389.1986083984375,846500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-24,400.2300109863281,407.0799865722656,396.3699951171875,402.8699951171875,402.5272216796875,1664700,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-25,397.07000732421875,402.8699951171875,389.70001220703125,400.4100036621094,400.0693359375,1009200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-26,400.4100036621094,408.739990234375,399.17999267578125,405.44000244140625,405.09503173828125,803200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-29,405.8800048828125,413.94000244140625,405.8800048828125,409.1099853515625,408.7619323730469,931700,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-09-30,409.1099853515625,415.3599853515625,409,414.4200134277344,414.0674133300781,896800,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-01,410.760009765625,423.7200012207031,407.30999755859375,420.6499938964844,420.3935241699219,832200,0.1,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-02,424.1099853515625,431.239990234375,417.9800109863281,420.8599853515625,420.6033935546875,996600,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-03,422.3599853515625,427.489990234375,415.5400085449219,421.1700134277344,420.9132385253906,634500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-06,425.510009765625,429.70001220703125,421.7799987792969,427.79998779296875,427.5391540527344,693500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-07,429,434.3900146484375,415.2099914550781,421.510009765625,421.2530212402344,934600,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-08,423.19000244140625,443.9700012207031,421.42999267578125,443.45001220703125,443.17962646484375,1247200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-09,443,443.45001220703125,427.29998779296875,429.9200134277344,429.6578674316406,1287100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-10,432.75,437.07000732421875,416.510009765625,417.6099853515625,417.3553771972656,2246300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-13,426.1700134277344,434.95001220703125,425,430.9800109863281,430.7172546386719,781600,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-14,423.80999755859375,438.92999267578125,420.55999755859375,431.6000061035156,431.3368835449219,897500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-15,437,442.32000732421875,432,436.92999267578125,436.66357421875,781300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-16,440.4100036621094,446.6000061035156,434.2200012207031,437.5199890136719,437.2532043457031,939200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-17,435.94000244140625,440.67999267578125,430,433.8500061035156,433.5854797363281,713800,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-20,437.1600036621094,444.05999755859375,437.1600036621094,440.739990234375,440.4712829589844,701300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-21,437.5199890136719,441.1000061035156,423.29998779296875,437.42999267578125,437.1632995605469,926700,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-22,441.80999755859375,443.75,404.510009765625,412.2099914550781,411.9586486816406,1732100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-23,413,430.5199890136719,413,427.3599853515625,427.09942626953125,868200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-24,438.79998779296875,447.1700134277344,438.25,440.92999267578125,440.6611633300781,893100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-27,444.3900146484375,446.67999267578125,437.8900146484375,441.82000732421875,441.5506286621094,825100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-28,442.7699890136719,443.30999755859375,433.8800048828125,439.57000732421875,439.302001953125,812900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-29,441.8500061035156,459.3599853515625,441.82000732421875,448.69000244140625,448.4164733886719,1886800,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-30,440.4100036621094,460.8599853515625,438.9800109863281,453.8299865722656,453.5533142089844,1765900,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-10-31,455.4800109863281,469.42999267578125,448,449.1300048828125,448.8561706542969,1935100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-03,451.5400085449219,456.4599914550781,448.79998779296875,450.82000732421875,450.545166015625,804300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-04,441.9100036621094,445.1600036621094,433.6600036621094,438.6600036621094,438.3925476074219,840100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-05,442.45001220703125,459.1300048828125,442,453.45001220703125,453.1735534667969,984300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-06,453.3699951171875,457.5199890136719,441.260009765625,442.8999938964844,442.62994384765625,963100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-07,436.04998779296875,446.6600036621094,430.1099853515625,445.010009765625,444.7386779785156,818200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-10,455.07000732421875,456.8599853515625,439.6600036621094,450.3800048828125,450.10540771484375,700500,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-11,446.7900085449219,452.55999755859375,440.6199951171875,448.9100036621094,448.63629150390625,728100,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-12,451.1600036621094,456.4200134277344,448.3299865722656,449.4200134277344,449.14599609375,706200,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-13,448,449.4100036621094,424.739990234375,426.92999267578125,426.6697082519531,1276600,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
2025-11-14,418,437.3399963378906,415.3299865722656,429.29998779296875,429.0382385253906,1254300,0,0,USD,PWR,2026-07-30T00:16:50Z,yfinance
