date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-28,1075,1080,1075,1080,1066.1297607421875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-08-29,1070,1070,1060,1060,1046.386474609375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-01,1035,1035,1035,1035,1021.7076416015625,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-02,1060,1060,1050,1050,1036.5150146484375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-03,1070,1075,1070,1075,1061.19384765625,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-04,1075,1075,1070,1070,1056.2581787109375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-05,1075,1080,1070,1070,1056.2581787109375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-08,1075,1080,1075,1080,1066.1297607421875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-09,1095,1105,1095,1100,1085.872802734375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-10,1115,1125,1115,1125,1110.5516357421875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-11,1130,1150,1125,1150,1135.2308349609375,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-12,1160,1160,1155,1160,1145.102294921875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-15,1175,1175,1165,1175,1159.90966796875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-16,1215,1215,1200,1200,1184.588623046875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-17,1190,1200,1190,1200,1184.588623046875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
2025-09-18,1225,1230,1225,1225,1209.2674560546875,0,0,0,EUR,SSU.VI,2026-07-29T16:55:24Z,yfinance
