date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2026-06-12,150,176.52000427246094,149.33999633789062,160.9499969482422,160.9499969482422,519234800,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-15,171.74000549316406,193,168.35000610351562,192.5,192.5,256226600,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-16,200.50999450683594,225.63999938964844,199.97999572753906,211.38999938964844,211.38999938964844,195401600,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-17,209.83999633789062,213.8000030517578,187.00999450683594,191.82000732421875,191.82000732421875,201719500,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-18,188.38999938964844,190,172.11000061035156,185,185,272126800,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-22,176.0399932861328,176.75,154,154.60000610351562,154.60000610351562,169183800,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-23,151.05999755859375,165.5,147.11000061035156,156.11000061035156,156.11000061035156,155848100,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-24,154.1999969482422,159.86000061035156,150.72000122070312,154.5399932861328,154.5399932861328,76101500,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-25,156.6300048828125,160.64999389648438,150,153,153,62212400,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-26,150.6199951171875,158.39999389648438,148.50999450683594,153.22999572753906,153.22999572753906,126932900,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-29,157.36000061035156,166.1699981689453,151.74000549316406,164.19000244140625,164.19000244140625,81443100,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-06-30,163.3800048828125,172.39999389648438,161.63999938964844,170.86000061035156,170.86000061035156,82047500,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-01,171.57000732421875,171.74000549316406,155,157.5399932861328,157.5399932861328,109317600,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-02,159.72999572753906,162.16000366210938,155.8800048828125,162,162,61257100,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-06,165.9499969482422,167.89999389648438,155.0399932861328,160.4199981689453,160.4199981689453,188831300,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-07,158.9199981689453,159.3000030517578,148.86000061035156,149.47000122070312,149.47000122070312,83779700,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-08,152.5500030517578,152.92999267578125,145.1999969482422,148.3000030517578,148.3000030517578,60949400,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-09,150.4499969482422,153.5,147.58999633789062,152.16000366210938,152.16000366210938,46468600,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-10,150.1300048828125,150.57000732421875,145.07000732421875,145.3000030517578,145.3000030517578,46826000,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-13,144.6999969482422,144.9199981689453,136.77999877929688,139.13999938964844,139.13999938964844,71456500,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
2026-07-14,140.9499969482422,143.3300018310547,135.52000427246094,136.0800018310547,136.0800018310547,46694800,0,0,USD,SPCX,2026-07-29T16:55:24Z,yfinance
