date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-09-08,57.54999923706055,58.599998474121094,57.04999923706055,58.20000076293945,54.83150863647461,139399,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-09,58.29999923706055,59.5,58,58.650001525878906,55.25546646118164,193394,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-10,58.70000076293945,59.400001525878906,57.400001525878906,58.04999923706055,54.690189361572266,235876,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-11,57.900001525878906,59,57.349998474121094,58.5,55.1141471862793,197467,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-12,58.75,59.29999923706055,57.849998474121094,59.04999923706055,55.6323127746582,252430,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-15,59.25,60.25,58.95000076293945,59.150001525878906,55.72652816772461,190283,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-16,59.150001525878906,59.150001525878906,58.20000076293945,58.70000076293945,55.30257034301758,139865,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-17,58.650001525878906,59.04999923706055,57.54999923706055,58.25,54.87861633300781,166201,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-18,58.150001525878906,59.099998474121094,57.54999923706055,57.900001525878906,54.54887390136719,166313,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-19,57.95000076293945,58.54999923706055,56,56.150001525878906,52.90016174316406,482879,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-22,55.95000076293945,56.349998474121094,55.20000076293945,55.29999923706055,52.0993537902832,193936,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-23,55.70000076293945,57.25,55.650001525878906,55.79999923706055,52.57041549682617,297531,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-24,55.20000076293945,55.54999923706055,54.349998474121094,54.54999923706055,51.392765045166016,213612,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-25,54.099998474121094,55.45000076293945,53.599998474121094,54.5,51.34565734863281,223068,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-26,54.5,55.150001525878906,53.79999923706055,54.5,51.34565734863281,177483,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-29,54.54999923706055,54.849998474121094,53.95000076293945,54.349998474121094,51.20433807373047,305152,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-09-30,53.79999923706055,54.04999923706055,53.099998474121094,53.599998474121094,50.497745513916016,260180,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-01,53.20000076293945,54.04999923706055,52.54999923706055,53.70000076293945,50.59196090698242,289480,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-02,53.900001525878906,54.45000076293945,53.400001525878906,53.849998474121094,50.7332763671875,236329,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-03,53.75,55.20000076293945,53.54999923706055,55.20000076293945,52.00514221191406,301139,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-06,54.79999923706055,54.79999923706055,52.75,53.099998474121094,50.02668380737305,273155,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-07,52.95000076293945,53.849998474121094,52.5,52.900001525878906,49.83826446533203,143521,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-08,52,52.349998474121094,50.95000076293945,51.20000076293945,48.236656188964844,253783,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-09,50.900001525878906,52.099998474121094,50.79999923706055,51.25,48.28376007080078,206356,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-10,51.099998474121094,51.5,49.7400016784668,49.7400016784668,46.86115646362305,254860,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-13,49.939998626708984,50.650001525878906,49.939998626708984,50.650001525878906,47.71849060058594,195891,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-14,50.099998474121094,50.150001525878906,49.279998779296875,49.439998626708984,46.57851791381836,217196,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-15,50.650001525878906,51.25,50,50,47.106109619140625,196829,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-16,49.79999923706055,51.29999923706055,49.220001220703125,51.29999923706055,48.330867767333984,392892,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
2025-10-17,50.54999923706055,51.79999923706055,50.29999923706055,51.79999923706055,48.80192565917969,238734,0,0,EUR,AKE.PA,2026-09-06T09:49:55Z,yfinance
