date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-09-10,10.119999885559082,10.279999732971191,9.619999885559082,9.800000190734863,9.800000190734863,1337800,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-11,9.760000228881836,10.010000228881836,9.729999542236328,9.850000381469727,9.850000381469727,589400,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-12,9.829999923706055,9.880000114440918,9.680000305175781,9.8100004196167,9.8100004196167,630000,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-15,9.869999885559082,10.050000190734863,9.819999694824219,9.869999885559082,9.869999885559082,547600,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-16,9.829999923706055,9.869999885559082,9.65999984741211,9.859999656677246,9.859999656677246,596400,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-17,9.869999885559082,10.15999984741211,9.710000038146973,9.84000015258789,9.84000015258789,956900,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-18,9.920000076293945,10.119999885559082,9.84000015258789,9.930000305175781,9.930000305175781,961300,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-19,10,10.6899995803833,9.850000381469727,10.529999732971191,10.529999732971191,3351200,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-22,10.5,10.529999732971191,10.09000015258789,10.369999885559082,10.369999885559082,1152600,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-23,10.470000267028809,11.720000267028809,10.470000267028809,11.6899995803833,11.6899995803833,2614700,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-24,11.699999809265137,12.100000381469727,11.619999885559082,11.65999984741211,11.65999984741211,2077100,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-25,11.180000305175781,11.789999961853027,11.069999694824219,11.59000015258789,11.59000015258789,1123600,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-26,11.569999694824219,11.760000228881836,11.369999885559082,11.619999885559082,11.619999885559082,1206500,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-29,11.739999771118164,11.84000015258789,11.260000228881836,11.3100004196167,11.3100004196167,663400,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-09-30,11.390000343322754,11.470000267028809,11.039999961853027,11.199999809265137,11.199999809265137,550800,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-01,11.079999923706055,11.1899995803833,11.010000228881836,11.079999923706055,11.079999923706055,560200,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-02,11.239999771118164,11.609999656677246,11.210000038146973,11.579999923706055,11.579999923706055,710200,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-03,11.609999656677246,11.949999809265137,11.5600004196167,11.640000343322754,11.640000343322754,675100,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-06,11.770000457763672,11.920000076293945,11.600000381469727,11.880000114440918,11.880000114440918,775800,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-07,11.960000038146973,12.25,11.4399995803833,11.550000190734863,11.550000190734863,809600,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-08,11.539999961853027,11.65999984741211,11.399999618530273,11.489999771118164,11.489999771118164,665600,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-09,11.489999771118164,11.649999618530273,11.300000190734863,11.40999984741211,11.40999984741211,488900,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
2025-10-10,11.270000457763672,11.510000228881836,10.40999984741211,10.420000076293945,10.420000076293945,785200,0,0,USD,SSYS,2026-09-06T09:49:55Z,yfinance
