date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-28,52.459999084472656,52.540000915527344,51.83000183105469,52.400001525878906,52.22948455810547,1415386,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-08-29,52.290000915527344,53.060001373291016,52.09000015258789,52.810001373291016,52.63814926147461,1977623,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-01,52.959999084472656,53.22999954223633,52.5,52.599998474121094,52.428829193115234,1312892,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-02,52.220001220703125,52.25,51.08000183105469,51.189998626708984,51.02341842651367,1738345,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-03,51.97999954223633,52.150001525878906,51.36000061035156,52,51.83078384399414,1771482,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-04,52,52.279998779296875,51.709999084472656,52.279998779296875,52.10987091064453,1835956,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-05,52.880001068115234,53.060001373291016,52.20000076293945,52.43000030517578,52.25938415527344,1526555,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-08,53.130001068115234,53.25,52.459999084472656,53.04999923706055,52.87736511230469,1032897,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-09,52.97999954223633,53.599998474121094,52.83000183105469,53.5,53.32590103149414,1331970,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-10,54,54.4900016784668,53.290000915527344,53.459999084472656,53.28602981567383,1782101,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-11,53.439998626708984,54.630001068115234,53.20000076293945,54.22999954223633,54.053524017333984,1973339,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-12,54.560001373291016,55.25,54.380001068115234,54.59000015258789,54.412353515625,2360845,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-15,54.349998474121094,55.599998474121094,54.310001373291016,55.599998474121094,55.4190673828125,2266779,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-16,55.77000045776367,55.810001373291016,54.54999923706055,54.630001068115234,54.45222473144531,2422584,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-17,55.540000915527344,56.349998474121094,55.38999938964844,56.27000045776367,56.08688735961914,2840488,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-18,55.40999984741211,56.959999084472656,55.22999954223633,56.54999923706055,56.36597442626953,3867537,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-19,56.779998779296875,57.11000061035156,56.45000076293945,56.93000030517578,56.7447395324707,6090926,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-22,56.5,57.36000061035156,56.209999084472656,57.209999084472656,57.023826599121094,2468556,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-23,56.869998931884766,57.290000915527344,56.7400016784668,57.119998931884766,56.934120178222656,2168012,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-24,57.849998474121094,58.40999984741211,57.560001373291016,58.25,58.06044387817383,2354848,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-25,58.400001525878906,58.54999923706055,57.59000015258789,57.9900016784668,57.801292419433594,2218533,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-26,58.2599983215332,58.5099983215332,57.56999969482422,58.400001525878906,58.209957122802734,1993202,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-29,59.88999938964844,59.88999938964844,59.119998931884766,59.70000076293945,59.5057258605957,2865527,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-09-30,59.849998474121094,60.560001373291016,59.31999969482422,59.939998626708984,59.74494171142578,3151293,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-01,59.7599983215332,60.81999969482422,58.90999984741211,60.52000045776367,60.32305908203125,2680964,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-02,61.540000915527344,61.86000061035156,60.880001068115234,61.13999938964844,60.9410400390625,2052067,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-03,61.369998931884766,62.099998474121094,61.04999923706055,61.79999923706055,61.59889221191406,2077114,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-06,62.209999084472656,62.279998779296875,61.02000045776367,61.40999984741211,61.21015930175781,1992220,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-07,61.58000183105469,61.75,61.119998931884766,61.61000061035156,61.40951156616211,1787220,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-08,61.900001525878906,62.45000076293945,61.54999923706055,62.38999938964844,62.18696975708008,1804477,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-09,62.150001525878906,62.630001068115234,61.790000915527344,61.86000061035156,61.65869903564453,1555998,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-10,60.61000061035156,60.93000030517578,58.849998474121094,59.2599983215332,59.06715774536133,3543561,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-13,59.459999084472656,59.83000183105469,59.150001525878906,59.83000183105469,59.63530349731445,2279492,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-14,59.13999938964844,59.13999938964844,57.959999084472656,58.77000045776367,58.57875442504883,2632560,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-15,59.5099983215332,59.7599983215332,58.689998626708984,59.060001373291016,58.8678092956543,2405475,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-16,58.47999954223633,58.79999923706055,58.119998931884766,58.70000076293945,58.50897979736328,1582769,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-17,57.33000183105469,57.75,56.5099983215332,57.58000183105469,57.39262771606445,3156707,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-20,58.59000015258789,58.779998779296875,58.310001373291016,58.630001068115234,58.439208984375,1333791,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-21,59.0099983215332,59.060001373291016,58.38999938964844,58.68000030517578,58.489044189453125,1561412,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-22,58.65999984741211,59.040000915527344,58.130001068115234,58.130001068115234,57.940834045410156,1621540,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-23,58.630001068115234,59.13999938964844,58.439998626708984,58.900001525878906,58.70833206176758,1461912,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-24,59.099998474121094,59.59000015258789,58.84000015258789,59.47999954223633,59.286441802978516,1231619,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-27,61.13999938964844,61.90999984741211,60.9900016784668,61.189998626708984,60.990875244140625,2695574,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-28,60.52000045776367,61.16999816894531,60.43000030517578,60.939998626708984,60.7416877746582,2046774,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-29,60.84000015258789,61.630001068115234,60.779998779296875,61.459999084472656,61.2599983215332,1561492,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-30,61.11000061035156,61.22999954223633,60.38999938964844,61,61,1800127,0.2,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-10-31,59.880001068115234,60.290000915527344,59.2400016784668,59.93000030517578,59.93000030517578,2213375,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-03,60,60.43000030517578,59.52000045776367,60.04999923706055,60.04999923706055,1183584,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-04,59.380001068115234,59.959999084472656,58.65999984741211,59.75,59.75,1382355,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-05,59.7599983215332,60.349998474121094,59.33000183105469,59.779998779296875,59.779998779296875,1829889,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-06,60.709999084472656,61.279998779296875,60.130001068115234,60.290000915527344,60.290000915527344,1940856,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-07,60.27000045776367,60.41999816894531,58.7400016784668,58.95000076293945,58.95000076293945,1633115,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-10,61.040000915527344,62.060001373291016,60.91999816894531,61.70000076293945,61.70000076293945,2158527,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-11,61.349998474121094,61.619998931884766,60.7599983215332,61.47999954223633,61.47999954223633,1391423,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-12,61.939998626708984,62.06999969482422,61.349998474121094,61.720001220703125,61.720001220703125,1628781,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-13,62.11000061035156,63.939998626708984,61.900001525878906,62.18000030517578,62.18000030517578,2455610,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-14,60.720001220703125,61.0099983215332,59.56999969482422,60.7400016784668,60.7400016784668,1777982,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-17,60.7599983215332,60.900001525878906,59.41999816894531,59.63999938964844,59.63999938964844,1348551,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
2025-11-18,58.29999923706055,58.86000061035156,58.15999984741211,58.77000045776367,58.77000045776367,2167140,0,0,EUR,PRX.AS,2026-08-28T19:01:02Z,yfinance
