date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-18,135.6699981689453,137.0500030517578,135.02000427246094,136.80999755859375,134.48731994628906,1869700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-19,137.27000427246094,139.88999938964844,136.8699951171875,137.92999267578125,135.5883026123047,1540200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-20,138.30999755859375,141.22000122070312,138,140.50999450683594,138.12449645996094,2082900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-21,139.99000549316406,140.47999572753906,137.8800048828125,140.2899932861328,137.90823364257812,2394300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-22,140.97000122070312,145.6999969482422,140.1300048828125,145.3699951171875,142.9019775390625,2106400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-25,145,147.88999938964844,144.3000030517578,147.11000061035156,144.61245727539062,2040300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-26,146.63999938964844,147.2100067138672,145.13999938964844,146.9499969482422,144.45516967773438,2591800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-27,146.75999450683594,151.47000122070312,146.75999450683594,150.77000427246094,148.2103271484375,2149300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-28,150.83999633789062,151.85000610351562,149.52000427246094,151.16000366210938,148.5937042236328,2092900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-08-29,151.8300018310547,153.25,150.10000610351562,152.00999450683594,149.42926025390625,2242700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-02,152.33999633789062,154.3000030517578,151.25,154.27999877929688,151.6607208251953,3217100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-03,155.8300018310547,159.25999450683594,154.19000244140625,155.3800048828125,152.74205017089844,3080300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-04,155.57000732421875,157.14999389648438,154.75,155.38999938964844,152.75189208984375,2611300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-05,154.36000061035156,157.52000427246094,153.1999969482422,156.77000427246094,154.10845947265625,2599300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-08,156.8699951171875,157.5500030517578,153.6199951171875,157.36000061035156,154.68844604492188,2458900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-09,158.60000610351562,163.02000427246094,157.13999938964844,161.8300018310547,159.08255004882812,3869200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-10,161.22999572753906,162.7100067138672,153.60000610351562,158.5,155.80909729003906,4199400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-11,158.0800018310547,160.39999389648438,157.0500030517578,157.58999633789062,154.91452026367188,2621100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-12,158.6300048828125,159.27999877929688,156.35000610351562,156.72000122070312,154.05929565429688,1642600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-15,157.10000610351562,159.4199981689453,155.8000030517578,157.57000732421875,154.89486694335938,2080800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-16,159.3699951171875,163.33999633789062,158.64999389648438,162.63999938964844,159.8787841796875,2920600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-17,162.02000427246094,165.64999389648438,161.6999969482422,163.6699981689453,160.8913116455078,2892200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-18,164.35000610351562,164.35000610351562,160.35000610351562,163.85000610351562,161.06825256347656,2492500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-19,163.42999267578125,163.72999572753906,161.10000610351562,162.6199951171875,159.859130859375,8119400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-22,162.6300048828125,167.0800018310547,161.92999267578125,166.44000244140625,163.61427307128906,2613000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-23,166.6999969482422,172.02999877929688,166.6999969482422,170.38999938964844,167.49722290039062,4022400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-24,170.99000549316406,173.75999450683594,170.8000030517578,170.8300018310547,167.9297637939453,3523400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-25,171.08999633789062,176.02000427246094,170.3699951171875,174.4199981689453,171.45880126953125,4094100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-26,174.8300018310547,178.42999267578125,174.0800018310547,175.6300048828125,172.64825439453125,3032400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-29,175,175,170.13999938964844,172.13999938964844,169.21751403808594,2604700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-09-30,170.30999755859375,172.0800018310547,168.75,170.25999450683594,167.3694305419922,2385700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-01,170.00999450683594,170.00999450683594,166.4499969482422,167.6699981689453,164.82339477539062,2458600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-02,166.86000061035156,167.61000061035156,162.36000061035156,164.6999969482422,161.90382385253906,3916300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-03,165.9499969482422,168.5,159.91000366210938,160.39999389648438,157.67681884765625,4487700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-06,161.82000732421875,165.07000732421875,160.8000030517578,163.4199981689453,160.64556884765625,2020700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-07,163.16000366210938,163.77999877929688,158.8699951171875,163.1699981689453,160.39979553222656,2173600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-08,162.67999267578125,163.91000366210938,160.64999389648438,162.44000244140625,159.6822052001953,1582400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-09,163.74000549316406,164.42999267578125,161.25,162.00999450683594,159.2594757080078,1655500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-10,160.74000549316406,161.8000030517578,157.63999938964844,158.02000427246094,155.33724975585938,2362700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-13,159.85000610351562,162.5500030517578,159.85000610351562,161.41000366210938,158.669677734375,1382300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-14,159.11000061035156,163.66000366210938,159.11000061035156,162.19000244140625,159.4364471435547,1953400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-15,163.69000244140625,164.1300048828125,159.1300048828125,160.97999572753906,158.2469940185547,1756500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-16,161.8300018310547,161.9600067138672,155.2899932861328,156.38999938964844,153.73489379882812,2661300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-17,157.60000610351562,160.25999450683594,156.1699981689453,157.77000427246094,155.0914764404297,2148700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-20,158.1699981689453,161.25999450683594,157.7899932861328,160.1699981689453,157.45071411132812,1354000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-21,159.61000061035156,160.8699951171875,157.3000030517578,157.69000244140625,155.01283264160156,1605200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-22,158.75,162.55999755859375,156.25999450683594,161.8699951171875,159.12185668945312,3181400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-23,163.75,174.13999938964844,163.75,173.1300048828125,170.19070434570312,4679900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-24,174.22000122070312,176.22000122070312,170.8000030517578,171.0500030517578,168.14601135253906,2352900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-27,171.47999572753906,174.4199981689453,169.77999877929688,174.35000610351562,171.38998413085938,2614200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-28,172.97000122070312,173.16000366210938,169.3000030517578,169.33999633789062,166.4650421142578,1708100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-29,168.8300018310547,172.0500030517578,167.17999267578125,170.66000366210938,167.76263427734375,1569800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-30,170.24000549316406,173.8000030517578,169.02000427246094,170.10000610351562,167.21214294433594,1849500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-10-31,169.85000610351562,171.00999450683594,167.02000427246094,169.55999755859375,166.68130493164062,1670100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-03,170.50999450683594,171.9600067138672,167.8000030517578,171.60000610351562,168.6866912841797,1658000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-04,169,169.8699951171875,165.0500030517578,169.11000061035156,166.23895263671875,2188300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-05,169.7100067138672,172.69000244140625,168.6199951171875,170.13999938964844,167.25146484375,1762400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-06,172.02999877929688,179.10000610351562,172.02999877929688,176.00999450683594,173.0218048095703,3111800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-07,176.75999450683594,179,174.25999450683594,175.6199951171875,172.63841247558594,2393400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-10,175.52999877929688,180.14999389648438,172.97000122070312,179.17999267578125,176.1379852294922,2145900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-11,180.10000610351562,182.99000549316406,179.9499969482422,180.86000061035156,177.7894744873047,1868800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-12,180,181.5,177.17999267578125,177.5399932861328,174.5258331298828,1800800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-13,178.11000061035156,179.5399932861328,175.0800018310547,175.77999877929688,172.79571533203125,2308100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-14,176.5,183.92999267578125,176.3000030517578,181.75999450683594,178.67417907714844,3222400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-17,181.72999572753906,182.72000122070312,178.08999633789062,178.39999389648438,175.37123107910156,3014800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-18,177.7100067138672,185.6199951171875,176.8000030517578,185.42999267578125,182.28187561035156,3387500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-19,179.35000610351562,181.16000366210938,175.67999267578125,180.3300018310547,177.26846313476562,3768400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-20,180.11000061035156,182.94000244140625,170.6300048828125,170.82000732421875,168.9788055419922,3980500,1.13,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-21,170.4199981689453,175.77999877929688,168.5800018310547,173.4499969482422,171.5804443359375,3735100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-24,172.9499969482422,175.02000427246094,168.5,174.3699951171875,172.49050903320312,3817000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-25,174.22000122070312,175.3800048828125,170.41000366210938,174.10000610351562,172.22344970703125,2646100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-26,174,176.4499969482422,174,174.47000122070312,172.58946228027344,1759900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-11-28,175.00999450683594,177.8000030517578,174.5,176.75999450683594,174.85475158691406,936200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-01,177.32000732421875,182.0500030517578,177.10000610351562,180.5399932861328,178.59400939941406,2573100,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-02,179.44000244140625,179.82000732421875,173.64999389648438,178.52999877929688,176.60568237304688,3239000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-03,179.02000427246094,181.16000366210938,176.1999969482422,177.0500030517578,175.1416473388672,3138600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-04,177.3800048828125,177.83999633789062,171.64999389648438,174.9499969482422,173.06427001953125,3258900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-05,174.9499969482422,178.10000610351562,174,174.13999938964844,172.26300048828125,2202900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-08,173.55999755859375,175.5800018310547,170.72999572753906,173.55999755859375,171.6892547607422,2040400,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-09,173.19000244140625,176.44000244140625,172.3699951171875,175.32000732421875,173.4302978515625,2026200,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-10,173.97999572753906,177.99000549316406,171.6999969482422,176,174.1029510498047,2895900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-11,172.27999877929688,173.97000122070312,169.82000732421875,171.91000366210938,170.05703735351562,2910900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-12,170.35000610351562,171.10000610351562,166.77999877929688,168.3000030517578,166.48594665527344,3234700,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-15,168.3000030517578,168.32000732421875,166.02999877929688,167.89999389648438,166.0902557373047,3332600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-16,166.27999877929688,166.4499969482422,161.5399932861328,162.82000732421875,161.06503295898438,4040500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-17,163.38999938964844,163.38999938964844,159.89999389648438,162.91000366210938,161.154052734375,2924300,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-18,163.85000610351562,163.85000610351562,160.72000122070312,161.94000244140625,160.1945037841797,2548500,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-19,161.85000610351562,164.44000244140625,161.5399932861328,162.7100067138672,160.95620727539062,6529800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-22,164.49000549316406,165.49000549316406,162.8000030517578,163.5500030517578,161.7871551513672,2795800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-23,164.16000366210938,165.19000244140625,162.97999572753906,164.77000427246094,162.99400329589844,1970900,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-24,164.1300048828125,164.55999755859375,162.75,164.47000122070312,162.69723510742188,881600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-26,164.02000427246094,164.80999755859375,162.22000122070312,164.00999450683594,162.24220275878906,2517800,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-29,165,166.67999267578125,162.88999938964844,165.66000366210938,163.87440490722656,2811600,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-30,166.64999389648438,166.72999572753906,163.64999389648438,164.86000061035156,163.08303833007812,2569000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
2025-12-31,164.86000061035156,165.02000427246094,160.97000122070312,162.7899932861328,161.03533935546875,2321000,0,0,USD,VLO,2026-07-29T16:55:24Z,yfinance
