date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-09-01,842,845,842,845,830.5714111328125,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-02,862,865,856,856,841.3836059570312,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-03,871,876,869,869,854.16162109375,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-04,874,874,869,869,854.16162109375,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-05,872,874,863,863,848.2640991210938,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-08,875,875,868,873,858.0933837890625,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-09,886,887,884,887,871.854248046875,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-10,902,904,902,903,887.5810546875,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-11,905,924,904,924,908.2225341796875,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-12,930,932,930,930,914.1200561523438,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-15,942,944,940,944,927.8809814453125,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-16,973,973,966,966,949.5053100585938,7,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-17,954,993,954,958,941.6419067382812,50,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-18,977,977,968,971,954.419921875,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-19,970,970,967,970,953.4370727539062,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-22,1004,1008,998,998,980.9589233398438,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-23,1008,1012,1004,1012,994.7198486328125,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-24,1008,1016,1004,1006,988.8223266601562,4,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-25,1018,1018,1006,1012,994.7198486328125,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-26,1000,1000,983,988,971.1296997070312,2,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-29,1002,1006,1000,1004,993.1934204101562,50,5.5360303,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-09-30,1002,1002,994,998,987.2579956054688,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-10-01,1016,1042,1016,1042,1030.784423828125,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-10-02,1056,1062,1056,1058,1046.6121826171875,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
2025-10-03,1066,1070,1064,1070,1058.4830322265625,0,0,0,EUR,SSUN.VI,2026-07-29T16:55:24Z,yfinance
