date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,currency,provider_symbol,retrieved_at,source
2025-08-26,0.07400000095367432,0.07800000190734864,0.07300000190734864,0.07599999904632569,0.07599999904632569,3659509,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-08-27,0.075,0.07860000133514404,0.07300000190734864,0.07599999904632569,0.07599999904632569,2091342,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-08-28,0.07449999809265137,0.07599999904632569,0.07199999809265137,0.07300000190734864,0.07300000190734864,2326060,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-08-29,0.07300000190734864,0.075,0.07199999809265137,0.07349999904632569,0.07349999904632569,866884,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-01,0.07349999904632569,0.07800000190734864,0.07,0.07639999866485596,0.07639999866485596,3766252,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-02,0.07550000190734864,0.07699999809265137,0.07400000095367432,0.07550000190734864,0.07550000190734864,2043384,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-03,0.07550000190734864,0.07699999809265137,0.07199999809265137,0.07400000095367432,0.07400000095367432,1647305,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-04,0.07400000095367432,0.07599999904632569,0.07199999809265137,0.07360000133514405,0.07360000133514405,1294721,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-05,0.07349999904632569,0.075,0.07,0.0728000020980835,0.0728000020980835,1055013,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-08,0.07150000095367431,0.07300000190734864,0.07,0.0715999984741211,0.0715999984741211,2365390,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-09,0.07099999904632569,0.07199999809265137,0.06906000137329102,0.07050000190734863,0.07050000190734863,1804579,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-10,0.07,0.07199999809265137,0.06800000190734863,0.06920000076293946,0.06920000076293946,3221042,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-11,0.06900000095367431,0.07,0.06599999904632568,0.06800000190734863,0.06800000190734863,5845844,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-12,0.0675,0.07,0.06599999904632568,0.06900000095367431,0.06900000095367431,1604286,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-15,0.06849999904632569,0.07139999866485595,0.06599999904632568,0.06699999809265136,0.06699999809265136,3351722,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-16,0.06699999809265136,0.06800000190734863,0.065,0.06550000190734863,0.06550000190734863,2039867,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-17,0.06550000190734863,0.06699999809265136,0.065,0.06599999904632568,0.06599999904632568,1209317,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
2025-09-18,0.06599999904632568,0.06800000190734863,0.06400000095367432,0.06420000076293945,0.06420000076293945,2926306,0,0,GBP,ANIC.L,2026-07-29T16:55:24Z,yfinance
