date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,9.63000011,10.06999969,9.40999985,9.98999977,2095000,1,,,,,,,,,,,,,,,,
2025-09-03,9.97999954,10.10999966,9.81000042,9.89999962,1564400,2,,,,,,,,,,,-0.00900902,,,,,
2025-09-04,9.94999981,10.05000019,9.68999958,9.71000004,1495800,3,,,,,,,,,,,-0.01919188,,,,,
2025-09-05,10.25,11.26000023,10.07999992,11.17000008,5195000,4,,,,,,,,,,,0.15036046,,,,,
2025-09-08,11.51000023,11.60999966,10.89000034,10.92000008,2048100,5,,,,,,,,,,,-0.02238138,,,,,
2025-09-09,11.02000046,11.35999966,10.80000019,11.03999996,1390100,6,,,,,,,,,,,0.010989,0.10510513,,,,
2025-09-10,11,11.11999989,10.72000027,10.82999992,1106600,7,,,,,,,,,,,-0.01902174,0.09393943,,,,
2025-09-11,10.81999969,11.25,10.56000042,10.77999973,1754700,8,,,,,,,,,,,-0.00461682,0.11019564,,,,
2025-09-12,10.80000019,11.22000027,10.73999977,10.89000034,1245800,9,,,,,,,,,,,0.01020414,-0.02506712,,,,
2025-09-15,11.15999985,12.11999989,11.06000042,12.01000023,2985700,10,,,,,,,,,,,0.10284663,0.09981686,,,,
2025-09-16,12.09000015,12.61999989,11.68000031,12.21000004,1785600,11,,,,,,,,,,,0.01665277,0.10597827,,,,
2025-09-17,12.48999977,12.63000011,12.06000042,12.31999969,1346400,12,,,,,,,,,,,0.00900898,0.13758077,,,,
2025-09-18,12.53999996,12.53999996,11.75,11.77000046,1281400,13,,,,,,,,,,,-0.0446428,0.0918368,,,,
2025-09-19,11.89999962,12.11999989,11.56000042,11.69999981,3321300,14,,,,,,,,,,,-0.00594738,0.07438011,,,,
2025-09-22,11.68000031,12.84000015,11.68000031,12.72999954,2639700,15,,,,74.64028808,,,,,,,0.08803417,0.05994998,,,,rsi_overbought
2025-09-23,12.89000034,13.19999981,12.26000023,12.36999989,1308400,16,,,,69.77496539,,,,,,,-0.02827963,0.013104,,,,
2025-09-24,12.5,13.36999989,12.5,12.94999981,1335000,17,,,,72.84598716,,,,,,,0.04688763,0.05113637,,,,rsi_overbought
