date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-03,157.3487179,157.3487179,153.78460093,155.55670166,7335000,1,,,,,,,,,,,,,,,,
2025-09-04,155.2480747,158.96151991,154.71046225,157.53787231,6245100,2,,,,,,,,,,,0.012736,,,,,
2025-09-05,159.54890545,162.12742492,158.11530763,162.02786255,7046800,3,,,,,,,,,,,0.02850102,,,,,
2025-09-08,163.08314828,163.91941743,161.1318536,161.33096313,7933600,4,,,,,,,,,,,-0.00430111,,,,,
2025-09-09,161.20154491,163.53115848,161.03230104,162.77453613,5315400,5,,,,,,,,,,,0.0089479,,,,,
2025-09-10,163.57097012,164.66608007,161.82873523,162.69487,5690200,6,,,,,,,,,,,-0.00048943,0.04588789,,,,
2025-09-11,163.27231384,169.90276633,163.27231384,169.39501953,8999900,7,,,,,,,,,,,0.0411823,0.07526538,,,,
2025-09-12,167.16496296,168.91714812,166.43819114,167.05545044,5170600,8,,,,,,,,,,,-0.01381132,0.03102916,,,,
2025-09-15,168.35962294,170.30096733,167.7821947,170.17153931,5597600,9,,,,,,,,,,,0.01865302,0.05479776,,,,
2025-09-16,171.69476406,173.32748641,170.81866395,172.7699585,6447500,10,,,,,,,,,,,0.01526941,0.06140655,,,,
2025-09-17,173.47682616,178.75331229,173.19806978,177.33961487,9588300,11,,,,,,,,,,,0.02644937,0.09001356,,,,
2025-09-18,187.16581414,190.70006526,183.01431891,188.91799927,15473700,12,,,,,,,,,,,0.06528933,0.1152512,,,,
2025-09-19,189.9733067,190.9987352,187.82288734,189.25650024,18903500,13,,,,,,,,,,,0.00179179,0.13289629,,,,
2025-09-22,192.33277216,200.25744323,191.57613474,199.63024902,15475500,14,,,,,,,,,,,0.05481317,0.17311185,,,,
2025-09-23,200.33710195,203.19437758,197.91789159,199.97869873,12417900,15,,,,93.84822865,,,,,,,0.00174548,0.15748537,,,,rsi_overbought
2025-09-24,198.19664428,202.84592074,196.52409087,200.5461731,6360500,16,,,,93.9215629,,,,,,,0.00283767,0.13085941,,,,rsi_overbought
2025-09-25,198.15681228,199.82936568,195.32941759,198.71434021,6027600,17,,,,90.18423208,,,,,,,-0.00913422,0.05185499,,,,rsi_overbought
2025-09-26,199.11256283,204.28948642,196.51414328,203.01516724,7363300,18,,,,91.08153138,,,,,,,0.02164326,0.07269852,,,,rsi_overbought
2025-09-29,205.4244354,209.56598051,203.77179741,204.04060364,9295400,19,,,,91.28606688,,,,,,,0.00505103,0.02209262,,,,rsi_overbought
2025-09-30,203.45322423,209.3370043,201.96983011,203.83154297,12253800,20,180.32928314,,,90.82871562,180.32928314,215.54637091,145.11219538,,,,-0.0010246,0.01926627,,0.86005693,,rsi_overbought
2025-10-01,203.83153309,217.47074041,202.70654227,216.77384949,12699200,21,183.39014053,,,93.12506518,183.39014053,220.07355645,146.70672462,,,,0.06349511,0.08091741,0.39353591,0.89113621,0.36137285,rsi_overbought
2025-10-02,224.00163234,225.40537955,217.75944927,222.59788513,11166000,22,186.64314117,,,93.86900198,186.64314117,225.07654388,148.20973847,,,,0.02686687,0.12019034,0.41298014,0.44054277,0.36258582,rsi_overbought
2025-10-03,218.93421787,219.52159628,214.64334466,216.56477356,9269800,23,189.36998672,,,83.75796729,189.36998672,228.16769446,150.57227899,,,,-0.02710318,0.06674184,0.33658971,-0.07901888,0.39157029,rsi_overbought
2025-10-06,221.35343248,225.48502727,219.79040676,222.91647339,7891900,24,192.44926224,,,85.52565525,192.44926224,231.63051234,153.26801214,,,,0.02932933,0.09251036,0.38173398,-0.43810933,0.38805346,rsi_overbought
2025-10-07,222.91648429,223.8324003,210.33257031,210.62127686,10543300,25,194.84159927,,,69.70990176,194.84159927,232.28761111,157.39558743,,,,-0.05515607,0.03331052,0.29394488,0.19187164,0.46056424,
2025-10-08,209.06820435,217.67981717,208.07264148,216.5448761,7875500,26,197.53409958,,,72.36169556,197.53409958,233.04085352,162.02734564,,,,0.02812441,-0.00105628,0.33098773,-0.5712639,0.46034279,rsi_overbought
2025-10-09,216.03713413,219.88000726,214.55374004,219.32249451,6701400,27,200.03047333,,,73.53182695,200.03047333,234.27061517,165.79033149,,,,0.01282699,-0.01471438,0.29473992,-0.84915681,0.45022136,rsi_overbought
2025-10-10,219.720718,223.4739942,208.79939232,209.01841736,12829700,28,202.12862167,,,62.89398466,202.12862167,233.0068439,171.25039944,,,,-0.0469814,-0.03484572,0.25119185,0.73359092,0.48848036,
2025-10-13,219.37226874,220.14880651,216.06699296,218.50611877,7853000,29,204.54535065,,,67.54920388,204.54535065,232.46480179,176.62589951,,,,0.0453917,-0.01978479,0.28403445,-0.71379083,0.50182621,
2025-10-14,212.95087466,220.66648628,212.76173049,217.22184753,8260000,30,206.7679451,,,66.33602266,206.7679451,231.05661845,182.47927175,,,,-0.00587751,0.03133857,0.25728946,-0.63703235,0.50597803,
2025-10-15,222.96625785,227.08788735,219.54151929,226.57019043,8033600,31,209.22947388,,,70.49061287,209.22947388,230.93024845,187.5286993,,,,0.04303592,0.04629671,0.27760619,-0.67389815,0.51511016,rsi_overbought
2025-10-16,229.57678996,231.04026851,223.03593501,226.70956421,7742800,32,211.11905212,,,70.54897006,211.11905212,231.98148499,190.25661926,,,,0.00061515,0.03368131,0.20004216,-0.67975844,0.47951872,rsi_overbought
2025-10-17,225.46511268,226.35116298,221.7118366,223.99168396,5272800,33,212.85581131,,,67.73585975,212.85581131,231.84850649,193.86311613,,,,-0.01198838,0.07163611,0.18353496,-1.49419031,0.48469349,
2025-10-20,226.14208957,230.30355008,225.52484548,227.11775208,5494800,34,214.23018646,,,69.2544185,214.23018646,233.17390134,195.28647159,15.21496921,17.43644599,-2.22147678,0.01395618,0.03941141,0.13769207,-1.37332573,0.45570108,
2025-10-21,224.91754554,227.14761167,224.21070446,224.99719238,4557500,35,215.48111115,,,66.95237135,215.48111115,233.78875397,197.17346832,14.54379636,16.85791606,-2.3141197,-0.00933683,0.03579449,0.12510579,-1.59254886,0.4588771,
2025-10-22,224.99720906,225.76379672,215.11127703,219.5813446,7498100,36,216.43286972,,,61.34396821,216.43286972,233.4710127,199.39472674,13.42017398,16.17036764,-2.75019366,-0.02407073,-0.03084627,0.09491665,-0.39522759,0.47074662,
2025-10-23,217.42097737,229.52702567,217.15217114,227.45625305,7001900,37,217.86996536,,,65.8265282,217.86996536,233.47608849,202.26384223,13.01510442,15.539315,-2.52421058,0.03586329,0.00329359,0.14463935,-0.63685679,0.47940665,
2025-10-24,227.98389132,229.69626063,225.28590933,227.73500061,5346700,38,219.10595703,,,65.97692295,219.10595703,233.69263438,204.51927968,12.57165823,14.94578365,-2.37412542,0.0012255,0.01671186,0.12176348,-1.25853851,0.47687149,
2025-10-27,231.96613113,234.74374465,230.10443357,230.30354309,7671700,39,220.419104,,,67.40060645,220.419104,234.04106966,206.79713835,12.28586009,14.41379893,-2.12793885,0.01127865,0.01402705,0.12871428,-0.26051184,0.47716707,
2025-10-28,228.66085474,229.99492043,226.0724006,226.62991333,6118500,40,221.55902252,,,63.31956415,221.55902252,233.09356567,210.02447937,11.62888128,13.8568154,-2.22793412,-0.01595125,0.00725663,0.11184908,-0.8257769,0.48290237,
