date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-09,97800,99100,95400,96600,604514,1,,,,,,,,,,,,,,,,
2025-09-10,98800,100400,95900,96800,868623,2,,,,,,,,,,,0.00207039,,,,,
2025-09-11,96800,104500,95700,99500,2135277,3,,,,,,,,,,,0.02789256,,,,,
2025-09-12,100600,102000,98600,100000,832127,4,,,,,,,,,,,0.00502513,,,,,
2025-09-15,103500,110500,100900,103500,1802596,5,,,,,,,,,,,0.035,,,,,
2025-09-16,104700,105500,100700,101800,592049,6,,,,,,,,,,,-0.01642512,0.05383023,,,,
2025-09-17,101500,103900,99600,100000,561469,7,,,,,,,,,,,-0.01768173,0.03305785,,,,
2025-09-18,103300,118400,103000,112900,5034116,8,,,,,,,,,,,0.129,0.13467337,,,,
2025-09-19,112100,145000,108800,136200,7185347,9,,,,,,,,,,,0.20637733,0.362,,,,
2025-09-22,134535.21875,149721.53125,131517.421875,139792.015625,4404413,10,,,,,,,,,,,0.0263731,0.35064749,,,,
2025-09-23,140278.765625,165199.90625,138526.5,157314.703125,3493278,11,,,,,,,,,,,0.12534827,0.54533107,,,,
2025-09-24,157217.34375,166952.171875,144951.46875,148066.625,2913186,12,,,,,,,,,,,-0.05878712,0.48066625,,,,
2025-09-25,148358.65625,151765.84375,141252.25,142031.03125,1826898,13,,,,,,,,,,,-0.04076269,0.25802508,,,,
2025-09-26,143101.859375,155173.03125,140668.15625,145048.828125,3766441,14,,,,,,,,,,,0.02124745,0.06496937,,,,
2025-09-29,148900,159400,148000,156100,1841821,15,,,,80.64882467,,,,,,,0.07618932,0.11665891,,,,rsi_overbought
2025-09-30,158900,166800,148500,160700,2656844,16,,,,81.58846031,,,,,,,0.02946829,0.02151927,,,,rsi_overbought
2025-10-01,160700,169200,159500,164000,1789519,17,,,,82.25417644,,,,,,,0.02053516,0.1076095,,,,rsi_overbought
2025-10-02,164000,164000,153700,157000,1163740,18,,,,75.97852766,,,,,,,-0.04268293,0.10539224,,,,rsi_overbought
2025-10-10,156600,197300,153700,191300,4524542,19,,,,82.87369838,,,,,,,0.21847134,0.31886622,,,,rsi_overbought
2025-10-13,185400,198700,184000,192100,1660021,20,135037.66015625,,,82.99629248,135037.66015625,196570.12648026,73505.19383224,,,,0.00418191,0.2306214,,-0.47578736,,rsi_overbought
2025-10-14,193800,218500,178900,185300,3469022,21,139472.66015625,,,77.89236508,139472.66015625,202061.2959424,76884.0243701,,,,-0.03539823,0.15308027,0.91821946,0.49998342,1.20973926,rsi_overbought
2025-10-15,189700,210000,189600,202500,2337088,22,144757.66015625,,,81.06434448,144757.66015625,209841.53187702,79673.78843549,,,,0.09282245,0.2347561,1.09194215,-0.22109016,1.21859707,rsi_overbought
2025-10-16,205000,205500,194000,196400,1063102,23,149602.66015625,,,76.85286943,149602.66015625,214915.36451389,84289.95579861,,,,-0.03012346,0.25095541,0.97386935,-0.94556444,1.24234549,rsi_overbought
2025-10-17,195600,202500,190900,192200,949250,24,154212.66015625,,,74.00216038,154212.66015625,217864.5481404,90560.7721721,,,,-0.02138493,0.00470465,0.922,-1.02083704,1.25432202,rsi_overbought
2025-10-20,194000,201500,194000,198000,961701,25,158937.66015625,,,75.36132939,158937.66015625,220835.73597481,97039.58433769,,,,0.0301769,0.03071317,0.91304348,-0.97002177,1.25448568,rsi_overbought
2025-10-21,199000,199400,185500,186700,1065213,26,163182.66015625,,,67.91198948,163182.66015625,220283.43730625,106081.88300625,,,,-0.05707071,0.00755532,0.83398821,-0.93689002,1.28337475,
2025-10-22,186900,191700,179600,186500,677795,27,167507.66015625,,,67.78427668,167507.66015625,217467.70629041,117547.61402209,,,,-0.00107124,-0.07901235,0.865,-1.17676665,1.2762436,
2025-10-23,182800,202500,178500,187000,1790353,28,171212.66015625,,,67.946565,171212.66015625,215038.32686762,127386.99344488,,,,0.00268097,-0.04786151,0.65633304,-0.43417561,1.23265728,
2025-10-24,188200,199900,188000,192900,1790296,29,174047.66015625,,,69.87503385,174047.66015625,215730.16284446,132365.15746804,,,,0.0315508,0.00364204,0.41629956,-0.35972367,1.04923131,
2025-10-27,194100,194700,188700,191700,583498,30,176643.059375,,,68.96619221,176643.059375,215861.90466493,137424.21408507,,,,-0.00622084,-0.03181818,0.37132296,-1.30933187,1.05263004,
2025-10-28,193600,196800,190000,191400,832404,31,178347.32421875,,,68.72552941,178347.32421875,217016.90062581,139677.74781169,,,,-0.00156495,0.02517408,0.21666949,-0.98385642,0.97845545,
2025-10-29,193000,212000,192300,206500,2400878,32,181268.99296875,,,73.70021173,181268.99296875,219167.83237124,143370.15356626,,,,0.07889237,0.10723861,0.39464245,0.51800808,0.9695462,rsi_overbought
2025-10-30,207500,229500,197500,222500,2885870,33,185292.44140625,,,77.74054848,185292.44140625,222757.69382676,147827.18898574,,,,0.07748184,0.18983957,0.56655907,0.90945108,0.96478099,rsi_overbought
2025-10-31,235000,235000,214000,220500,1469353,34,189065,,,76.16541337,189065,224712.17520365,153417.82479635,25559.99588802,27604.88309433,-2044.8872063,-0.00898876,0.14307932,0.52017774,-0.33048751,0.97167625,rsi_overbought
2025-11-03,222500,282000,220500,274500,2690324,35,194985,,,85.00158349,194985,243698.70546366,146271.29453634,29711.58890945,28026.22425735,1685.3646521,0.24489796,0.43192488,0.75848815,0.84691668,1.22939856,bollinger_above_upper|rsi_overbought
2025-11-04,269000,294500,260000,269000,2036680,36,200400,,,81.68014248,200400,256223.72255592,144576.27744408,32186.92146004,28858.36369789,3328.55776215,-0.02003643,0.40543365,0.67392657,0.23195503,1.2422085,bollinger_above_upper|rsi_overbought
2025-11-05,258000,265000,239500,242500,1508378,37,204325,,,67.91098347,204325,260397.76968369,148252.23031631,31645.52193175,29415.79534466,2229.72658709,-0.09851301,0.17433414,0.47865854,-0.28683632,1.31821596,
2025-11-06,250500,255500,213000,216000,1361145,38,207275,,,57.47660226,207275,259127.43967259,155422.56032741,28746.75566962,29281.98740965,-535.23174003,-0.10927835,-0.02921348,0.37579618,-0.44758492,1.37871307,
2025-11-07,204500,236000,204000,221000,1524310,39,208760,,,58.76399794,208760,260398.06348034,157121.93651966,26546.90454494,28734.97083671,-2188.06629177,0.02314815,0.00226757,0.15525353,-0.16805578,1.17410559,
2025-11-10,220000,228500,207000,223000,726118,40,210305,,,59.29485556,210305,261705.25194491,158904.74805509,24680.38979432,27924.05462823,-3243.66483391,0.00904977,-0.18761384,0.16085372,-1.11258706,1.1739324,
2025-11-11,228500,244000,225500,232000,1114753,41,212640,,,61.68522479,212640,263524.78751061,161755.21248939,23654.7114023,27070.18598305,-3415.47458074,0.04035874,-0.13754647,0.25202375,-0.55683358,1.16620993,
2025-11-12,234500,242000,219500,224000,648977,42,213715,,,58.40217928,213715,264605.9137273,162824.0862727,21943.37122164,26044.82303076,-4101.45180913,-0.03448276,-0.07628866,0.10617284,-1.13514179,1.14046354,
2025-11-13,224000,236000,217500,232000,592312,43,215495,,,60.65717625,215495,266329.21977369,164660.78022631,20990.68736247,25033.9958971,-4043.30853464,0.03571429,0.07407407,0.18126273,-1.15087871,1.13585295,
2025-11-14,220500,226500,219000,219000,329573,44,216835,,,55.40142981,216835,266542.75693994,167127.24306006,18968.03548007,23820.8038137,-4852.76833363,-0.05603448,-0.00904977,0.13943809,-1.4226537,1.15438612,
2025-11-17,225500,227000,201000,206500,667747,45,217260,,,50.83992188,217260,266459.08129224,168060.91870776,16170.02576616,22290.64820419,-6120.62243803,-0.05707763,-0.07399103,0.04292929,-0.9167223,1.17356332,
2025-11-18,203500,210500,198700,204000,566891,46,218125,,,49.95404614,218125,265726.88546686,170523.11453314,13594.14891605,20551.34834656,-6957.19943051,-0.01210654,-0.12068966,0.09266202,-0.99759449,1.15390258,
2025-11-19,213500,218000,193300,208000,763400,47,219200,,,51.41284062,219200,264826.65887395,173573.34112605,11740.1810259,18789.11488243,-7048.93385653,0.01960784,-0.07142857,0.1152815,-0.74289231,1.15431611,
2025-11-20,213500,218000,198800,201500,536141,48,219925,,,48.91751309,219925,263913.4018805,175936.5981195,9635.33232534,16958.35837101,-7323.02604567,-0.03125,-0.13146552,0.07754011,-0.95194386,1.16221145,
2025-11-21,189400,198700,188600,191800,477026,49,219870,,,45.37799359,219870,263995.96061277,175744.03938723,7102.6408098,14987.21485877,-7884.57404897,-0.04813896,-0.12420091,-0.00570244,-0.93404557,1.17301183,
2025-11-24,194800,209000,188700,206500,896001,50,220610,180643.0640625,,51.14700522,220610,263294.32499173,177925.67500827,6210.0461374,13231.7811145,-7021.7349771,0.07664234,0,0.07720396,-0.40754021,1.2001709,
2025-11-25,210000,210500,195000,195000,464935,51,220790,182611.0640625,,46.96775162,220790,263007.90615367,178572.09384633,4522.57115318,11489.93912223,-6967.36796905,-0.05569007,-0.04411765,0.01880878,-0.94163446,1.21916459,
2025-11-26,195100,204500,193800,202000,387809,52,220565,184715.0640625,,49.66389513,220565,263131.66653615,177998.33346385,3707.34065383,9933.41942855,-6226.07877472,0.03589744,-0.02884615,-0.02179177,-0.95505412,1.19458418,
2025-11-27,201500,216500,197000,212500,819351,53,220065,186975.0640625,,53.48404863,220065,262763.72480532,177366.27519468,3863.98524091,8719.53259102,-4855.54735012,0.0519802,0.05459057,-0.04494382,-0.26652775,1.17729589,
2025-11-28,216000,244500,212500,233500,1553205,54,220715,189645.0640625,,60.01935154,220715,263814.33990214,177615.66009786,5617.89213686,8099.20450019,-2481.31236333,0.09882353,0.21741397,0.05895692,0.94531325,1.22472987,
2025-12-01,238500,252000,230500,231000,1212700,55,218540,192195.0640625,,58.95739319,218540,254334.15594758,182745.84405242,6728.58395408,7825.08039097,-1096.49643689,-0.01070664,0.11864407,-0.15846995,0.65419447,0.86088329,
2025-12-02,236500,254500,225000,250000,1786581,56,217590,195159.0640625,,64.14914558,217590,248675.617253,186504.382747,9037.77459202,8067.61923118,970.15536084,0.08225108,0.28205128,-0.07063197,2.04241695,0.91270213,bollinger_above_upper|volume_anomaly
2025-12-03,247000,258500,240500,255500,859265,57,218240,198269.0640625,,65.50925962,218240,251825.08002075,184654.91997925,11182.72139277,8690.6396635,2492.08172928,0.022,0.26485149,0.05360825,-0.01248026,0.84482988,bollinger_above_upper
2025-12-04,269500,301000,262500,288000,3059116,58,221840,201771.0640625,,72.21680171,221840,267099.31506331,176580.68493669,15328.38944017,10018.18961883,5310.19982134,0.12720157,0.35529412,0.33333333,3.37245548,0.8413459,bollinger_above_upper|rsi_overbought|volume_anomaly
