date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-17,75.01000214,77.02999878,73.11000061,75.73999786,4247200,1,,,,,,,,,,,,,,,,
2025-09-18,76.65000153,81.44000244,75.01999664,80.65000153,4310100,2,,,,,,,,,,,0.06482709,,,,,
2025-09-19,81.51999664,82.30999756,79.90000153,80.76999664,35427700,3,,,,,,,,,,,0.00148785,,,,,
2025-09-22,80.61000061,82.62999725,79.30000305,80.72000122,6450300,4,,,,,,,,,,,-0.00061899,,,,,
2025-09-23,81.09999847,85.48000336,81.09999847,83.90000153,4998300,5,,,,,,,,,,,0.03939544,,,,,
2025-09-24,84.37000275,85,80.84999847,81.18000031,3738100,6,,,,,,,,,,,-0.03241956,0.0718247,,,,
2025-09-25,80,84.87999725,78.87000275,84.19999695,4291100,7,,,,,,,,,,,0.03720124,0.0440173,,,,
2025-09-26,85,86.83999634,84.43000031,86.27999878,3009500,8,,,,,,,,,,,0.02470311,0.06821843,,,,
2025-09-29,88.94999695,89.66999817,87.80000305,88.08000183,4535800,9,,,,,,,,,,,0.02086234,0.09117939,,,,
2025-09-30,88.38999939,91.87000275,88.09999847,91.37000275,4542300,10,,,,,,,,,,,0.03735242,0.08903458,,,,
2025-10-01,90.5,93.51999664,88.62999725,92.95999908,3855300,11,,,,,,,,,,,0.01740173,0.14510962,,,,
2025-10-02,95,96.40000153,92.52999878,95.02999878,2952200,12,,,,,,,,,,,0.02226764,0.12862235,,,,
2025-10-03,95.69000244,98.12000275,93.86000061,96.19000244,3408300,13,,,,,,,,,,,0.01220671,0.11485864,,,,
2025-10-06,98.34999847,103,98.01999664,100.25,5021900,14,,,,,,,,,,,0.0422081,0.13816982,,,,
2025-10-07,101.15000153,104.70999908,100,103.69000244,5802000,15,,,,91.72888379,,,,,,,0.03431424,0.13483637,,,,rsi_overbought
2025-10-08,103.06999969,106.30999756,101.90000153,105.66999817,4069900,16,,,,92.22398169,,,,,,,0.01909534,0.13672546,,,,rsi_overbought
2025-10-09,107.63999939,112.56999969,96.80000305,98.55000305,8103000,17,,,,74.86883888,,,,,,,-0.06737953,0.03704098,,,,rsi_overbought
2025-10-10,94.69999695,102.65000153,92.90000153,94.62999725,7345900,18,,,,67.35369272,,,,,,,-0.03977682,-0.01621796,,,,
2025-10-13,97.47000122,101.5,94.66999817,96.27999878,4260600,19,,,,68.77447772,,,,,,,0.01743635,-0.03960101,,,,
2025-10-14,93.72000122,97.09999847,90.79000092,95.30000305,3902400,20,90.57200012,,,66.91186754,90.57200012,107.28161338,73.86238687,,,,-0.0101786,-0.08091426,,-0.33848523,,
2025-10-15,97.94999695,98.48999786,89.16000366,90.58000183,5149500,21,91.31400032,,,58.670204,91.31400032,106.57870708,76.04929356,,,,-0.04952782,-0.14280303,0.19593351,-0.16269123,0.52728194,
2025-10-16,91.98999786,92.58999634,88.48999786,88.62000275,4160300,22,91.71250038,,,55.60724255,91.71250038,106.24121037,77.18379039,,,,-0.02163832,-0.10076103,0.09882208,-0.30658188,0.49704814,
2025-10-17,84.91999817,86.51999664,81.70999908,83.12000275,6302600,23,91.83000069,,,48.02974632,91.83000069,106.03727749,77.62272389,,,,-0.06206274,-0.12163156,0.02909504,1.11450347,0.54897747,
2025-10-20,87.27999878,88.72000122,85.19999695,86.65000153,3527600,24,92.1265007,,,52.50331602,92.1265007,105.6237273,78.62927411,,,,0.0424687,-0.10002075,0.07346383,-0.84712066,0.56631243,
2025-10-21,87.11000061,90.80000305,85.19999695,90.62000275,3716200,25,92.46250076,,,56.98760662,92.46250076,105.44873929,79.47626224,,,,0.04581652,-0.04910808,0.08009536,-0.65005061,0.57175072,
2025-10-22,90,90,80.80999756,84.30000305,4516500,26,92.6185009,,,49.04856836,92.6185009,105.12495353,80.11204827,,,,-0.06974177,-0.06933096,0.03843315,-0.08104007,0.61507114,
2025-10-23,85.19999695,89.94999695,84.87000275,89.31999969,2469600,27,92.87450104,,,54.47381837,92.87450104,104.88079078,80.8682113,,,,0.05954919,0.00789886,0.06080764,-1.47123137,0.63541163,
2025-10-24,92.12999725,92.93000031,89.18000031,91.18000031,2745300,28,93.11950111,,,56.32926395,93.11950111,104.77229768,81.46670455,,,,0.02082401,0.09696821,0.05679186,-1.25140707,0.63394149,
2025-10-27,93.06999969,94.59999847,88.26000214,90.68000031,2769900,29,93.24950104,,,55.6724103,93.24950104,104.73126876,81.76773332,,,,-0.00548366,0.04650893,0.0295186,-1.13160091,0.63143712,
2025-10-28,91.06999969,92.44999695,89.69000244,89.77999878,1808800,30,93.17000084,,,54.44178781,93.17000084,104.72451058,81.6154911,,,,-0.00992503,-0.00926952,-0.01740182,-1.57851871,0.61939964,
2025-10-29,90,93.87000275,89.95999908,91.20999908,2747700,31,93.08250084,,,56.10216034,93.08250084,104.66850841,81.49649326,,,,0.01592783,0.08196911,-0.0188253,-0.92730333,0.61889547,
2025-10-30,90,91,88.04000092,88.30000305,1757600,32,92.74600105,,,51.95273256,92.74600105,104.47624191,81.0157602,,,,-0.03190435,-0.01141958,-0.0708197,-1.44519653,0.62250692,
2025-10-31,89.5,92.15000153,87.91000366,90.59999847,2325100,33,92.46650085,,,54.79838487,92.46650085,104.12132412,80.81167759,,,,0.02604751,-0.00636106,-0.05811419,-1.04852184,0.62854828,
2025-11-03,90.83000183,91.72000122,87.94999695,91.09999847,2492900,34,92.00900078,,,55.41656408,92.00900078,103.11100844,80.90699312,1.03060943,1.95584941,-0.92523998,0.00551876,0.00463165,-0.09127184,-0.86588003,0.60838353,
2025-11-04,88.23000336,91.58999634,86.81999969,90.22000122,3416100,35,91.33550072,,,54.01639013,91.33550072,101.07157326,81.59942817,0.88667032,1.74201359,-0.85534327,-0.00965968,0.0049009,-0.12990646,-0.27373561,0.59227106,
2025-11-05,82.37000275,82.5,75.84999847,77.41000366,9160200,36,89.92250099,,,38.69117117,89.92250099,99.11451741,80.73048457,-0.25808714,1.34199345,-1.60008059,-0.14198623,-0.15129915,-0.26743631,2.45491544,0.74737739,bollinger_below_lower|volume_anomaly
2025-11-06,77.94999695,79.47000122,70.26999664,72.41000366,7002400,37,88.61550102,,,34.5685966,88.61550102,99.75600929,77.47499276,-1.55089612,0.76341553,-2.31431166,-0.06459114,-0.17995469,-0.26524605,1.49723704,0.7449397,bollinger_below_lower
2025-11-07,70.30000305,78.34999847,68.65000153,77.87999725,5152200,38,87.77800102,,,41.86629847,87.77800102,99.48785477,76.06814728,-2.10975386,0.18878165,-2.29853551,0.07554196,-0.14039737,-0.17700518,0.64881681,0.79976787,
2025-11-10,81.43000031,82,77.05000305,79.18000031,3793100,39,86.9230011,,,43.47971486,86.9230011,98.5214883,75.3245139,-2.41985864,-0.33294641,-2.08691223,0.01669239,-0.13084521,-0.17760697,-0.08378748,0.79946927,
2025-11-11,77.73000336,78.98999786,75.88999939,76.58999634,2194700,40,85.98750076,,,41.03613956,85.98750076,97.74945753,74.225544,-2.84185149,-0.83472742,-2.00712407,-0.03271033,-0.1510752,-0.19632745,-0.89454783,0.80388381,
2025-11-12,76.77999878,78.16999817,75.5,76.69999695,2005400,41,85.29350052,,,41.18731783,85.29350052,97.51849188,73.06850916,-3.13131192,-1.29404432,-1.8372676,0.00143623,-0.00917203,-0.15323476,-0.9034514,0.79118007,
2025-11-13,74.94000244,75.90000153,71.30999756,71.69000244,2924600,42,84.4470005,,,36.58634821,84.4470005,97.91481671,70.9791843,-3.72207037,-1.77964953,-1.94242084,-0.06531936,-0.00994339,-0.19104039,-0.38057859,0.81542934,
2025-11-14,69.16000366,73.76999664,69,72.44999695,2458500,43,83.91350021,,,37.72285603,83.91350021,98.3591576,69.46784283,-4.08187221,-2.24009407,-1.84177814,0.01060112,-0.06972266,-0.12836869,-0.55154563,0.79453658,
2025-11-17,72.08999634,72.94999695,68.84999847,70.23999786,2219600,44,83.09300003,,,35.71817513,83.09300003,98.64547187,67.54052819,-4.4935474,-2.69078473,-1.80276267,-0.03050378,-0.11290733,-0.18938261,-0.64111829,0.77893257,
2025-11-18,68.73999786,71.25,67.77999878,70.36000061,2644800,45,82.07999992,,,35.91731818,82.07999992,98.16941895,65.9905809,-4.75530356,-3.1036885,-1.65161506,0.00170847,-0.08134216,-0.22357097,-0.37638903,0.75424057,
2025-11-19,69.58000183,72.18000031,69.30000305,70.66999817,2079300,46,81.39849968,,,36.46489176,81.39849968,98.19324824,64.60375111,-4.88146252,-3.4592433,-1.42221922,0.00440588,-0.07861798,-0.16168451,-0.62064932,0.72503354,
2025-11-20,74.48000336,74.48000336,66.91000366,67.30999756,2425600,47,80.29799957,,,33.15775127,80.29799957,97.74409723,62.85190192,-5.19271005,-3.80593665,-1.3867734,-0.04754494,-0.06109645,-0.2464174,-0.42886588,0.69389633,
2025-11-21,66.80999756,69.33999634,64.80000305,69.13999939,3220200,48,79.19599953,,,36.53386168,79.19599953,96.53743293,61.85456612,-5.23140572,-4.09103047,-1.14037525,0.02718767,-0.04568665,-0.24171968,-0.00535757,0.69814641,
2025-11-24,69.41999817,74.44000244,69.13999939,74.11000061,2552500,49,78.36749954,,,44.70268148,78.36749954,95.00410634,61.73089274,-4.80563834,-4.23395204,-0.5716863,0.07188315,0.05509685,-0.18273048,-0.36615993,0.75708671,
2025-11-25,74.16000366,76.18000031,72.65000153,75.05000305,2086900,50,77.63099976,84.97820023,,46.11534749,77.63099976,93.4663743,61.79562521,-4.34230886,-4.2556234,-0.08668545,0.01268388,0.06665723,-0.16406768,-0.63296719,0.76071801,
2025-11-26,75.80000305,77.16999817,75.30999756,75.76999664,1757200,51,76.85899963,84.9788002,,47.22740741,76.85899963,91.42574162,62.29225764,-3.87238104,-4.17897493,0.30659389,0.00959352,0.07216639,-0.16927971,-0.77657356,0.7585486,
