date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,370.86551115,379.62957551,368.72409869,375.05917358,2399300,1,,,,,,,,,,,,,,,,
2025-09-23,378.47951983,378.71744781,362.9144189,365.35327148,2776200,2,,,,,,,,,,,-0.02587832,,,,,
2025-09-24,366.64214965,370.4094842,365.05589237,369.01159668,2290800,3,,,,,,,,,,,0.01001312,,,,,
2025-09-25,363.7075212,364.99636832,357.24355909,361.60574341,2029100,4,,,,,,,,,,,-0.02006943,,,,,
2025-09-26,361.87342816,363.36053846,357.17413907,362.43850708,1625400,5,,,,,,,,,,,0.00230296,,,,,
2025-09-29,366.83049577,367.79216172,363.86616841,363.99505615,1466300,6,,,,,,,,,,,0.00429466,-0.02949966,,,,
2025-09-30,363.30106549,371.76765851,363.30106549,371.0340271,1805800,7,,,,,,,,,,,0.01933809,0.01554866,,,,
2025-10-01,366.48345959,374.78153008,365.91835042,370.62753296,1590400,8,,,,,,,,,,,-0.00109557,0.00437909,,,,
2025-10-02,372.83841824,378.30104995,367.61368426,373.52249146,1777800,9,,,,,,,,,,,0.00781096,0.03295509,,,,
2025-10-03,374.55352642,374.79148466,368.4167151,370.25082397,1372100,10,,,,,,,,,,,-0.00875896,0.02155488,,,,
2025-10-06,376.7346078,382.35589803,374.31557264,376.75442505,1852100,11,,,,,,,,,,,0.01756539,0.03505369,,,,
2025-10-07,378.71742964,381.5528388,364.33210607,367.75247192,2321600,12,,,,,,,,,,,-0.02389342,-0.00884435,,,,
2025-10-08,369.42797912,375.6837546,367.03868472,373.4630127,2168600,13,,,,,,,,,,,0.01552822,0.00765048,,,,
2025-10-09,378.3010523,378.58856879,370.08231043,373.9487915,1723200,14,,,,,,,,,,,0.00130074,0.0011413,,,,
2025-10-10,376.10010904,384.28913976,365.90844727,365.90844727,2164700,15,,,,43.12117204,,,,,,,-0.02150119,-0.0117282,,,,
2025-10-13,371.50989402,375.93156003,369.62619683,372.14437866,2089900,16,,,,48.33734093,,,,,,,0.01704233,-0.01223621,,,,
2025-10-14,365.56147678,375.89191972,361.22900322,371.13317871,1669400,17,,,,47.57543014,,,,,,,-0.00271722,0.00919289,,,,
2025-10-15,376.47685326,382.6434055,372.17415087,378.43984985,1589200,18,,,,53.30308409,,,,,,,0.01968746,0.01332618,,,,
2025-10-16,382.57402765,383.34732383,368.95207611,372.36251831,1597300,19,,,,48.55165766,,,,,,,-0.01605891,-0.00424195,,,,
2025-10-17,370.19134035,375.75314894,367.07833833,370.0921936,1732900,20,370.24487457,,,46.87078942,370.24487457,379.21483888,361.27491027,,,,-0.00609708,0.01143386,,-0.47790933,,
