date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,59.92425565,60.39120118,59.72969934,60.20636749,2158200,1,,,,,,,,,,,,,,,,
2025-09-03,60.75113651,60.83868833,60.42038558,60.78031921,2105700,2,,,,,,,,,,,0.00953307,,,,,
2025-09-04,60.74140407,60.88732501,60.39120049,60.76086044,1484200,3,,,,,,,,,,,-0.00032015,,,,,
2025-09-05,62.04495223,62.59944587,61.55855404,62.22978592,3215300,4,,,,,,,,,,,0.02417552,,,,,
2025-09-08,62.16169117,62.18114383,61.61692385,61.98658752,1915700,5,,,,,,,,,,,-0.00390807,,,,,
2025-09-09,61.87957991,62.22978721,60.16745616,60.18691254,4969300,6,,,,,,,,,,,-0.0290333,-0.00032314,,,,
2025-09-10,60.69276399,60.96514579,60.32310034,60.41065216,4266600,7,,,,,,,,,,,0.00371741,-0.00608202,,,,
2025-09-11,60.30365062,61.04297425,60.15772967,60.8386879,3158600,8,,,,,,,,,,,0.00708543,0.00128088,,,,
2025-09-12,61.22780368,61.393181,60.60521459,60.74140549,2463600,9,,,,,,,,,,,-0.00159902,-0.02391749,,,,
2025-09-15,60.93596564,61.98658752,60.63440113,61.98658752,3155300,10,,,,,,,,,,,0.02049972,0,,,,
2025-09-16,62.25897021,62.28815291,61.46127745,61.71420288,3438200,11,,,,,,,,,,,-0.00439425,0.02537579,,,,
2025-09-17,61.18889547,61.7628455,60.90678362,61.2764473,4430800,12,,,,,,,,,,,-0.00709327,0.01433183,,,,
2025-09-18,60.91650769,60.95542044,60.18691042,60.29391861,3015300,13,,,,,,,,,,,-0.01603436,-0.00895432,,,,
2025-09-19,60.167456,60.7608624,60.04099514,60.68304062,3477500,14,,,,,,,,,,,0.00645375,-0.00096087,,,,
2025-09-22,61.67529227,62.35624677,61.40290676,61.91849136,3525900,15,,,,59.09089988,,,,,,,0.02035908,-0.00109856,,,,
2025-09-23,61.98658485,62.17141482,61.56828212,61.84066391,2259100,16,,,,58.56959545,,,,,,,-0.00125693,0.00204914,,,,
2025-09-24,62.25896808,62.46325443,61.88930442,62.13250351,3262300,17,,,,59.99481947,,,,,,,0.00471922,0.0139704,,,,
2025-09-25,63.30958913,64.35048095,63.24149368,63.65006638,5119000,18,,,,66.4566747,,,,,,,0.02442462,0.05566312,,,,
2025-09-26,63.20258216,63.37768581,62.67727122,63.03720856,6322400,19,,,,62.09460518,,,,,,,-0.00962855,0.0387945,,,,
2025-09-29,63.78625464,64.42830378,63.70842916,64.12673187,3516300,20,61.54007206,,,66.32623037,61.54007206,63.75050702,59.3296371,,,,0.01728381,0.03566367,,0.13107597,,bollinger_above_upper
2025-09-30,64.19483435,64.52558899,63.81544433,64.21429443,2875200,21,61.74046841,,,66.64847705,61.74046841,64.14877225,59.33216456,,,,0.00136546,0.03838301,0.06656982,-0.45809494,0.2128881,bollinger_above_upper
2025-10-01,64.82714869,65.22599876,64.15591683,64.48667145,3061000,22,61.92578602,,,67.68444198,61.92578602,64.56898595,59.28258609,,,,0.00424169,0.03788947,0.06097948,-0.34818583,0.21172561,
2025-10-02,64.54503712,64.6715054,63.51387536,64.45748901,2842100,23,62.11061745,,,67.44272884,62.11061745,64.91424883,59.30698606,,,,-0.00045253,0.01268534,0.06083898,-0.65697163,0.2117526,
2025-10-03,64.48667286,64.78823736,64.07810016,64.31156921,1980200,24,62.21470661,,,66.1702471,62.21470661,65.17832066,59.25109256,,,,-0.00226381,0.02021601,0.03345316,-1.36905897,0.19781018,
2025-10-06,64.93415914,65.57620832,64.9244291,65.15790558,2557500,25,62.37327251,,,69.73677108,62.37327251,65.5988751,59.14766993,,,,0.01315994,0.01608025,0.05116136,-0.89322611,0.20048281,
2025-10-07,65.08008068,65.1968115,64.43803149,64.44776154,3163300,26,62.58631496,,,63.67112614,62.58631496,65.76870882,59.40392111,,,,-0.01089882,0.00363575,0.07079361,-0.23541423,0.17229016,
2025-10-08,65.56648004,66.0139655,65.51783725,65.85831451,3283700,27,62.85869808,,,69.37000819,62.85869808,66.17914306,59.5382531,,,,0.02188676,0.02127018,0.09017718,-0.06412409,0.18369044,
2025-10-09,66.41280873,66.92839707,64.94389147,65.17736053,3299200,28,63.07563171,,,64.13913853,63.07563171,66.40673738,59.74452605,,,,-0.01033968,0.01116816,0.07131437,-0.05536684,0.1902482,
2025-10-10,65.60539043,65.73185129,63.57224213,63.65979767,5210400,29,63.22155132,,,54.31038114,63.22155132,66.38218771,60.06091493,,,,-0.02328359,-0.01013459,0.04804617,1.68941679,0.21123716,
2025-10-13,65.66375225,66.50035769,65.11898868,66.30580139,4654800,30,63.43751202,,,64.51959871,63.43751202,66.81398338,60.06104065,,,,0.04156475,0.01761714,0.06967981,1.04221094,0.2439688,
2025-10-14,64.80770108,67.0354058,64.68123279,66.36417389,5998300,31,63.67001057,,,64.70695426,63.67001057,67.17763763,60.1623835,,,,0.00088035,0.0297359,0.07534685,1.96769638,0.24249898,
2025-10-15,66.76301656,67.41479581,66.60737299,66.986763,3962100,32,63.95552635,,,66.72518855,63.95552635,67.56547246,60.34558024,,,,0.0093814,0.01713449,0.09318941,0.25213483,0.23989794,
2025-10-16,67.22996041,67.31750853,66.46145036,66.87975311,3254100,33,64.28481808,,,66.02630231,64.28481808,67.69461645,60.87501971,,,,-0.00159748,0.02611939,0.10922884,-0.36954746,0.22923107,
2025-10-17,66.63655462,66.63655462,65.55675,66.16960907,2908700,34,64.5591465,,,61.42807135,64.5591465,67.63186969,61.4864233,1.50785829,1.46392829,0.04393,-0.01061822,0.03942538,0.09041354,-0.63738506,0.23566755,
2025-10-20,66.42253875,67.35642242,66.29607788,67.35642242,4065700,35,64.83104305,,,65.72424208,64.83104305,67.88329722,61.77878889,1.54584813,1.48031226,0.06553587,0.01793593,0.01584508,0.08782402,0.32974604,0.23374721,
2025-10-21,66.90893642,67.21050094,66.25716461,66.48090363,2568500,36,65.06305504,,,60.38130108,65.06305504,67.86606623,62.26004384,1.48815379,1.48188056,0.00627323,-0.0129983,0.00175893,0.07503541,-0.97686284,0.24070643,
2025-10-22,67.60934505,68.21248144,67.16185962,67.86227417,3930800,37,65.34954357,,,65.18961698,65.34954357,68.06580352,62.63328362,1.53618746,1.49274194,0.04344552,0.02077846,0.01306991,0.09221857,0.17575765,0.24783806,
2025-10-23,68.60159748,69.30201206,68.47513662,68.69888306,2914000,38,65.60198441,,,67.74298778,65.60198441,68.56663162,62.6373372,1.62305229,1.51880401,0.10424828,0.01232804,0.02720001,0.07932147,-0.63079104,0.23898548,bollinger_above_upper
2025-10-24,68.50431737,69.03935833,68.29030098,68.6210556,1952400,39,65.88117676,,,67.2488083,65.88117676,68.8786228,62.88373072,1.66640401,1.54832401,0.11808,-0.00113288,0.03704792,0.08858018,-1.46782498,0.23467841,
2025-10-27,69.10745833,69.4771183,68.79616378,69.00045013,2900000,40,66.12486267,,,68.45681364,66.12486267,69.29937198,62.95035336,1.71164376,1.58098796,0.1306558,0.00552884,0.02440788,0.07600135,-0.47304586,0.22999971,
2025-10-28,69.08799492,70.23589493,68.96153406,70.03160858,3130400,41,66.41572838,,,71.53037899,66.41572838,69.88870642,62.94275034,1.80983975,1.62675832,0.18308143,0.01494423,0.0534094,0.0905922,-0.25481036,0.23298714,bollinger_above_upper|rsi_overbought
2025-10-29,71.03358565,71.75346028,70.11916213,70.6055603,3273700,42,66.72167282,,,73.10146568,66.72167282,70.52349536,62.91985028,1.9119343,1.68379352,0.22814078,0.00819561,0.04042432,0.0948861,-0.1206678,0.23334352,bollinger_above_upper|rsi_overbought
2025-10-30,69.74949508,70.35263148,69.38956518,70.23589325,2780800,43,67.01059303,,,70.40651168,67.01059303,70.95579245,63.06539361,1.94064537,1.73516389,0.20548149,-0.00523566,0.02237315,0.08964675,-0.61709516,0.23524036,rsi_overbought
2025-10-31,70.11916865,70.44019325,69.788414,69.788414,7778500,44,67.28443527,,,67.17802257,67.28443527,71.20246438,63.36640616,1.90532784,1.76919668,0.13613116,-0.00637109,0.01701166,0.08516111,3.09636859,0.23713038,volume_anomaly
2025-11-03,68.552959,68.93234897,68.30975991,68.45568085,3933100,45,67.44932404,,,58.56458425,67.44932404,71.27190646,63.62674161,1.74962937,1.76528321,-0.01565385,-0.01909677,-0.00789516,0.05061205,0.1423658,0.24780377,
2025-11-04,66.81165424,67.04512329,65.89722329,66.04314423,4279700,46,67.52909317,,,46.85329156,67.52909317,71.15955827,63.89862807,1.41525153,1.69527688,-0.28002535,-0.03524231,-0.05695235,0.02475466,0.36682637,0.27708588,
2025-11-05,66.86029541,67.31750345,66.68519177,67.18131256,2270600,47,67.59524307,,,51.75491674,67.59524307,71.14892617,64.04155997,1.22794042,1.60180959,-0.37386917,0.01723371,-0.04849827,0.02008855,-1.11022134,0.27318615,
2025-11-06,67.35642215,67.53152581,66.51981664,67.38560486,2290700,48,67.70565529,,,52.5999479,67.70565529,71.08492423,64.32638635,1.0834899,1.49814565,-0.41465575,0.00304091,-0.04058165,0.03388054,-1.03057405,0.27000363,
2025-11-07,66.54900643,67.64826371,66.33499003,67.44397736,2326300,49,67.89486427,,,52.85404811,67.89486427,70.7261468,65.06358175,0.96262545,1.39104161,-0.42841616,0.00086625,-0.03359349,0.05944379,-0.90901213,0.25418611,
2025-11-10,68.13466192,68.54323463,67.69689908,68.37786102,2032400,50,67.99846725,64.77695503,,56.84037634,67.99846725,70.73979165,65.25714286,0.93145883,1.29912505,-0.36766622,0.01384681,-0.00113679,0.03125005,-1.01827877,0.21652543,
2025-11-11,68.34867805,68.56269445,68.00820079,68.40704346,1484100,51,68.10061073,64.94096855,,56.96283394,68.10061073,70.74112777,65.4600937,0.89875357,1.21905076,-0.32029719,0.00042678,0.03579326,0.03078272,-1.32343642,0.21655099,
2025-11-12,69.07827421,69.56467241,69.03936147,69.17555237,2598900,52,68.2100502,65.10887321,,60.16801185,68.2100502,70.83824174,65.58185866,0.92419314,1.16007923,-0.2358861,0.01123435,0.02968444,0.03267495,-0.4139096,0.21748171,
2025-11-13,69.59385056,69.8273196,68.82534057,69.10745239,2112700,53,68.32143517,65.27580505,,59.74341065,68.32143517,70.90308045,65.73978988,0.92815983,1.11369535,-0.18553552,-0.00098445,0.02555216,0.03330902,-0.73552443,0.21737472,
2025-11-14,68.05683114,69.16581837,67.94009291,68.70860291,1776600,54,68.44838486,65.40538139,,57.19752125,68.44838486,70.83676007,66.06000965,0.88887326,1.06873094,-0.17985767,-0.00577144,0.01875076,0.038371,-0.92747303,0.2145327,
2025-11-17,68.78643461,69.35065832,68.36813185,68.57241821,1639100,55,68.50918465,65.53709801,,56.31509528,68.50918465,70.84459685,66.17377244,0.83709985,1.02240472,-0.18530487,-0.00198206,0.00284532,0.01805315,-0.93282501,0.20679086,
2025-11-18,67.33696835,68.12493106,67.04512646,67.84281921,3001700,56,68.57728043,65.69021614,,51.71216484,68.57728043,70.7456037,66.40895715,0.7287954,0.96368285,-0.23488746,-0.01063983,-0.00824804,0.02048582,0.06035501,0.20493482,
2025-11-19,67.44397398,68.20275396,67.288323,67.54125214,2051400,57,68.56122932,65.83282814,,49.89678893,68.56122932,70.7550888,66.36736985,0.61157949,0.89326218,-0.28168269,-0.00444508,-0.0236254,-0.00473049,-0.57830745,0.19262541,
2025-11-20,68.26112196,68.56269389,66.83111005,66.90893555,2124000,58,68.47173195,65.95423309,,46.23197736,68.47173195,70.77893925,66.16452465,0.46233289,0.80707632,-0.34474343,-0.00936193,-0.03181302,-0.02605497,-0.49155322,0.18949559,
2025-11-21,67.37587662,68.15410924,66.99648664,68.08601379,3199600,59,68.44497986,66.10112526,,53.1328365,68.44497986,70.75704366,66.13291606,0.43403102,0.73246726,-0.29843624,0.01759224,-0.0090613,-0.00779705,0.26201883,0.20039868,
2025-11-24,67.97900952,68.63078875,67.90119145,68.55296326,1956500,60,68.42260551,66.23245277,,55.56904246,68.42260551,70.72135717,66.12385385,0.4441605,0.67480591,-0.23064541,0.00685823,-0.00028371,-0.00648527,-0.62577106,0.20093889,
2025-11-25,69.70085848,69.86623207,69.10745212,69.13663483,2345000,61,68.37785683,66.38090141,,58.47468139,68.37785683,70.58249712,66.17321654,0.49359574,0.63856388,-0.14496814,0.00851417,0.01907078,-0.01277957,-0.30888823,0.19598509,
2025-11-26,69.86623331,70.59583057,69.8078679,70.23589325,2477900,62,68.35937347,66.56009033,,63.33755858,68.35937347,70.49408647,66.22466047,0.61439216,0.63372953,-0.01933737,0.0158998,0.03989623,-0.00523566,-0.18173198,0.20204375,
2025-11-28,69.4576651,70.13861962,69.3798396,69.99269867,1608600,63,68.34721375,66.75406593,,61.6183477,68.34721375,70.44141839,66.2530091,0.68263147,0.64350992,0.03912155,-0.00346254,0.04608896,-0.00346254,-0.77058244,0.20157736,
2025-12-01,70.90712448,70.97521992,69.91487548,70.01215363,2367400,64,68.35840073,66.94064819,,61.70789204,68.35840073,70.48541409,66.23138737,0.72986801,0.66078154,0.06908647,0.00027796,0.0282898,0.00320597,-0.03733221,0.20027628,
2025-12-02,70.37208557,70.41099832,69.62303563,70.37208557,2293600,65,68.45422096,67.10972008,,63.40874442,68.45422096,70.75564496,66.15279697,0.78727162,0.68607955,0.10119207,0.00514099,0.02653601,0.02799482,-0.02974767,0.18796735,
2025-12-03,71.1016854,72.50251459,71.1016854,72.25931549,4835400,66,68.76502953,67.31809311,,70.74597376,68.76502953,71.34247695,66.1875821,0.97382247,0.74362814,0.23019433,0.02681788,0.0451668,0.09412288,3.52961556,0.15506997,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-12-04,71.54917766,71.96748041,70.88767582,71.72428131,3470700,67,68.99217796,67.50992867,,66.66473204,68.99217796,71.76465915,66.21969678,1.06620205,0.80814292,0.25805913,-0.00740436,0.02119127,0.06762251,1.43113484,0.15310471,
2025-12-05,71.38379669,71.94802037,70.93631123,71.07250214,4657800,68,69.17652283,67.65837738,,61.97437021,69.17652283,71.98722632,66.36581934,1.07443499,0.86140133,0.21303366,-0.00908729,0.01542737,0.05471343,2.39167293,0.15902209,volume_anomaly
2025-12-08,71.35461683,71.53945053,70.8876787,71.03359222,3288900,69,69.35600357,67.81830505,,61.69530431,69.35600357,72.15967961,66.55232753,1.0655371,0.90222849,0.16330861,-0.00054747,0.01458945,0.05322365,0.79525954,0.15930434,
2025-12-09,70.62501639,72.59979187,70.58610364,72.37605286,5230500,70,69.55591316,67.98329147,,67.18548495,69.55591316,72.61099596,66.50083036,1.15351382,0.95248555,0.20102827,0.01889895,0.02847674,0.05847202,2.3444535,0.16464944,volume_anomaly
2025-12-10,73.02782277,74.25354827,72.59006738,74.16599274,3927900,71,69.84386063,68.18232544,,72.78622029,69.84386063,73.44781157,66.23990969,1.35208322,1.03240509,0.31967814,0.02473111,0.02638659,0.0841865,1.01959632,0.18073762,bollinger_above_upper|rsi_overbought
2025-12-11,73.50448954,74.89558861,73.50448954,74.65238953,5451900,72,70.11770248,68.3856398,,74.08082497,70.11770248,74.26783113,65.96757384,1.53105007,1.13213408,0.39891598,0.00655822,0.0408245,0.07917302,2.0531103,0.1791335,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-12-12,74.19517507,74.50646961,72.66788509,73.60177612,4252500,73,70.34241867,68.56852554,,66.69990579,70.34241867,74.72935508,65.95548226,1.57000878,1.21970902,0.35029975,-0.01407341,0.03558724,0.06503385,0.9534958,0.18906094,
2025-12-15,73.53367696,73.85470156,73.12510425,73.7574234,2203400,74,70.5948597,68.75744263,,67.22096146,70.5948597,75.15434277,66.03537662,1.59505645,1.29477851,0.30027794,0.00211472,0.03834568,0.07348164,-0.76886655,0.18628052,
2025-12-16,74.30218817,74.64267285,73.78660725,73.92279816,1955400,75,70.86237869,68.93274048,,67.79751602,70.86237869,75.54207967,66.18267772,1.60969571,1.35776195,0.25193376,0.00224214,0.02137095,0.07802525,-1.0053731,0.18525043,
2025-12-17,75.31389557,75.59600742,74.87614016,75.09015656,2555400,76,71.22474556,69.14558838,,71.59548377,71.22474556,76.03365765,66.41583347,1.6959437,1.4253983,0.2705454,0.01579159,0.01246075,0.10682542,-0.47233984,0.18177296,rsi_overbought
