date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,67.8721884,68.00106947,67.21785922,67.81270599,7954900,1,,,,,,,,,,,,,,,,
2025-09-09,67.61442411,67.9118513,66.95017862,67.09889221,8776500,2,,,,,,,,,,,-0.01052625,,,,,
2025-09-10,66.90062176,67.44589493,64.67489455,65.07641602,14352500,3,,,,,,,,,,,-0.03014172,,,,,
2025-09-11,65.18545999,66.77172062,65.14580253,66.6924057,11154400,4,,,,,,,,,,,0.02483219,,,,,
2025-09-12,66.63292597,67.16829037,66.28593262,66.31567383,7505600,5,,,,,,,,,,,-0.0056488,,,,,
2025-09-15,66.72215401,67.60451171,66.2294197,66.53378296,9597900,6,,,,,,,,,,,0.00328895,-0.01885964,,,,
2025-09-16,66.26114563,66.56352717,65.53741774,66.27601624,9353900,7,,,,,,,,,,,-0.00387422,-0.01226363,,,,
2025-09-17,66.56352689,68.67523572,66.42472956,68.03082275,18607800,8,,,,,,,,,,,0.02647725,0.04539904,,,,
2025-09-18,69.47828964,69.69640191,67.74331527,67.93167877,14330500,9,,,,,,,,,,,-0.00145734,0.01858192,,,,
2025-09-19,68.16961885,68.25884246,67.34178918,67.63425446,19774200,10,,,,,,,,,,,-0.00437829,0.01988339,,,,
2025-09-22,67.17820714,67.52520049,66.47430419,67.09889221,13298200,11,,,,,,,,,,,-0.00791555,0.00849357,,,,
2025-09-23,67.22281587,68.39763885,66.54369981,66.73206329,10449000,12,,,,,,,,,,,-0.00546699,0.00688103,,,,
2025-09-24,67.06915536,67.99117063,66.86095933,67.27735138,9180600,13,,,,,,,,,,,0.00817131,-0.01107544,,,,
2025-09-25,66.68249345,66.91051438,65.63158969,66.16695404,10773700,14,,,,,,,,,,,-0.01650477,-0.02597793,,,,
2025-09-26,66.42472554,67.04931352,65.75056384,66.72215271,8431600,15,,,,44.79167957,,,,,,,0.00839088,-0.0134858,,,,
2025-09-29,67.37648539,70.64815417,67.30708672,69.08171844,28497000,16,,,,55.57445039,,,,,,,0.03536405,0.0295508,,,,
2025-09-30,69.22546571,69.23042762,66.27601116,66.48420715,21464800,17,,,,45.12578823,,,,,,,-0.03760056,-0.0037142,,,,
2025-10-01,66.32559133,67.21786535,65.65142958,66.08765411,17050100,18,,,,43.77272644,,,,,,,-0.00596462,-0.01768347,,,,
2025-10-02,66.49412727,68.3579826,66.37515488,68.33815765,13461600,19,,,,52.4808502,,,,,,,0.03405331,0.03281402,,,,
2025-10-03,67.5152833,68.93300544,67.16828996,68.65541077,12219800,20,67.10236053,,,53.57245187,67.10236053,69.03579775,65.16892332,,,,0.0046424,0.02897476,,-0.20694877,,
2025-10-06,69.61708207,71.25291644,68.85567847,70.67789459,16769900,21,67.24561996,,,59.89708476,67.24561996,69.71787744,64.77336249,,,,0.02945848,0.02310562,0.0422515,0.58277244,0.30873759,bollinger_above_upper
2025-10-07,73.43402646,75.02524908,72.43269632,73.96939087,31977500,22,67.5891449,,,67.62643655,67.5891449,71.42027172,63.75801807,,,,0.04657038,0.11258589,0.10239362,2.67056469,0.34050565,bollinger_above_upper|volume_anomaly
2025-10-08,74.58902909,75.84316713,72.64585866,75.47634125,17904800,23,68.10914116,,,70.43589216,68.10914116,73.08656622,63.1317161,,,,0.02037262,0.14206416,0.15981097,0.43833232,0.31875964,bollinger_above_upper|rsi_overbought
2025-10-09,76.52724016,76.67594619,74.38875515,75.09960175,15774400,24,68.52950096,,,68.82775834,68.52950096,74.31221925,62.74678267,,,,-0.00499149,0.09894098,0.12605927,0.0712852,0.31517296,bollinger_above_upper
2025-10-10,75.4565104,76.23972827,69.16103383,69.24034119,22326500,25,68.67573433,,,49.78870564,68.67573433,74.37443125,62.9770374,,,,-0.07801986,0.0085198,0.0441022,0.99952533,0.42842106,
2025-10-13,70.11278328,70.32097926,67.57674817,68.26875305,20036800,26,68.76248283,,,47.44503512,68.76248283,74.38036331,63.14460236,,,,-0.01403211,-0.03408621,0.02607653,0.56226843,0.43220935,
2025-10-14,66.8312163,69.11146379,66.19670443,68.55627441,12968500,27,68.87649574,,,48.2217924,68.87649574,74.37927562,63.37371586,,,,0.00421161,-0.07318049,0.03440548,-0.63525484,0.43180884,
2025-10-15,68.78925177,69.27504244,67.25751163,67.39631653,11247300,28,68.84477043,,,45.31212845,68.84477043,74.37393981,63.31560106,,,,-0.01691979,-0.10705374,-0.00932675,-0.84736926,0.42697664,
2025-10-16,67.54503018,68.01099595,64.85829926,65.4828949,19258500,29,68.72233124,,,40.92535616,68.72233124,74.43244881,63.01221366,,,,-0.0283906,-0.1280527,-0.03604775,0.42956148,0.43807848,
2025-10-17,64.97231383,67.12863454,64.888037,66.8312149,11151500,30,68.68217926,,,44.96841128,68.68217926,74.43348137,62.93087715,,,,0.02059042,-0.03479368,-0.01187327,-0.82204011,0.44444479,
2025-10-20,67.09394236,68.87352859,67.0691555,68.60584259,10016100,31,68.75752678,,,49.8348333,68.75752678,74.46318825,63.05186531,,,,0.02655387,0.00493768,0.02245865,-0.9613731,0.45282494,
2025-10-21,68.4273922,69.75589092,68.23902868,69.44855499,9032000,32,68.89335136,,,52.0052746,68.89335136,74.52857834,63.25812438,,,,0.01228339,0.0130153,0.04070744,-1.09464061,0.45353564,
2025-10-22,68.57609605,68.77438336,67.32692001,67.4855423,8173400,33,68.90376091,,,46.91346979,68.90376091,74.52776693,63.27975489,,,,-0.02826571,0.0013239,0.00309452,-1.21105681,0.46507879,
2025-10-23,67.48554521,69.45845679,67.46572026,69.06189728,8199000,34,69.04850807,,,51.05752805,69.04850807,74.53053469,63.56648145,0.41155999,0.77870873,-0.36714874,0.02335841,0.05465553,0.0437521,-1.16387119,0.46706199,
2025-10-24,69.54767866,70.63823232,69.14119538,69.17093658,8638200,35,69.17094727,,,51.34048672,69.17094727,74.54805265,63.79384188,0.43230196,0.70942738,-0.27712542,0.00157886,0.03500941,0.03670121,-1.10012479,0.46658909,
2025-10-27,70.24663645,71.25292097,69.5278553,69.6468277,18821300,36,69.19920273,,,52.62775849,69.19920273,74.58007337,63.81833208,0.4815891,0.66385972,-0.18227062,0.00687993,0.01517342,0.0081803,0.59403605,0.45126781,
2025-10-28,75.55564849,78.53484438,72.2046724,72.39303589,83722300,37,69.49464417,,,59.31632707,69.49464417,74.89561632,64.09367201,0.73378693,0.67784517,0.05594176,0.03943048,0.04239802,0.08887567,4.07246476,0.44731601,volume_anomaly
2025-10-29,72.07578499,72.10553376,68.7198545,69.08171844,38505400,38,69.64434738,,,50.12611849,69.64434738,74.82058552,64.46810924,0.65886489,0.67404911,-0.01518422,-0.04574083,0.02365212,0.04530444,1.14363281,0.47925949,
2025-10-30,69.23539067,70.16236027,67.31700714,67.34674835,19550800,39,69.59477692,,,46.0962355,69.59477692,74.83864746,64.35090637,0.45425468,0.63009022,-0.17583554,-0.02511475,-0.02483495,-0.0145074,-0.01594414,0.4741498,
2025-10-31,67.68382563,68.98258302,67.03941263,68.67523956,18370100,40,69.59576836,,,49.44759891,69.59576836,74.83893557,64.35260115,0.39474736,0.58302165,-0.18827429,0.01972614,-0.00716626,0.00028882,-0.1064179,0.47896914,
2025-11-03,68.92805017,69.74596358,67.12367725,67.7532196,14619000,41,69.44953461,,,47.25182638,69.44953461,74.72685049,64.17221873,0.27007482,0.52043228,-0.25035747,-0.0134258,-0.02718872,-0.04138034,-0.32714866,0.46915362,
2025-11-04,66.65276181,66.71125336,65.38374563,65.51263428,19711800,42,69.02669678,,,42.33233492,69.02669678,74.14029749,63.91309606,-0.00941703,0.41446242,-0.42387945,-0.0330698,-0.09504231,-0.11432778,0.01908692,0.44633608,
2025-11-05,65.45313893,67.62433767,65.33417411,67.47562408,13606100,43,68.62666092,,,47.49034317,68.62666092,72.83027604,64.4230458,-0.07169303,0.31723133,-0.38892436,0.02996353,-0.0232492,-0.10600298,-0.34214431,0.45453955,
2025-11-06,67.2178641,67.48554252,65.6415121,65.69108582,11480200,44,68.15623512,,,43.66657706,68.15623512,71.33882935,64.9736409,-0.26202408,0.20138025,-0.46340433,-0.02644715,-0.02458415,-0.1252805,-0.45731589,0.46045661,
2025-11-07,64.93760902,65.9438935,64.22378982,65.65142822,13449300,45,67.97678947,,,43.58259544,67.97678947,71.29640653,64.65717242,-0.41132139,0.07883992,-0.49016131,-0.0006037,-0.04403059,-0.05183269,-0.30957739,0.37911738,
2025-11-10,66.4842104,66.85103625,65.17752616,65.6811676,11129900,46,67.8474102,,,43.67008665,67.8474102,71.31004342,64.38477698,-0.52123242,-0.04117454,-0.48005787,0.00045299,-0.03058234,-0.03790293,-0.42191891,0.37680922,
2025-11-11,65.68117672,67.36657748,65.66135177,66.82130432,10032500,47,67.7606617,,,47.05968009,67.7606617,71.2348247,64.2864987,-0.510454,-0.13503044,-0.37542356,0.01735865,0.01997584,-0.02530724,-0.47792712,0.38209321,
2025-11-12,66.95017712,67.40622659,66.32558911,66.62300873,10134000,48,67.72199631,,,46.53519771,67.72199631,71.2285801,64.21541252,-0.51201068,-0.21042648,-0.3015842,-0.00296755,-0.0126359,-0.01147404,-0.46773631,0.377789,
2025-11-13,65.93893445,66.70231976,64.59061107,64.76906586,14185800,49,67.68630486,,,41.84011963,67.68630486,71.29632965,64.07628006,-0.6552883,-0.29939885,-0.35588946,-0.02782737,-0.01403569,-0.010901,-0.20756042,0.37726593,
2025-11-14,63.55954344,64.09490784,62.21121998,62.27070618,21979900,50,67.45827942,67.84423645,,36.49628282,67.45827942,71.76453099,63.15202784,-0.95937453,-0.43139398,-0.52798054,-0.03857335,-0.05149503,-0.0682392,0.23057186,0.39132583,bollinger_below_lower
2025-11-17,62.27071104,62.62761688,60.76376139,61.35860825,20632700,51,67.0959177,67.7151545,,34.75125653,67.0959177,72.11551888,62.07631652,-1.25944562,-0.59700431,-0.66244131,-0.0146473,-0.06581124,-0.10563582,0.11769177,0.37754406,bollinger_below_lower
2025-11-18,60.86289576,61.11074922,59.95079683,60.17882156,18446600,52,66.63243103,67.57675308,,32.58121841,66.63243103,72.35950531,60.90535675,-1.57430544,-0.79246454,-0.7818409,-0.01922773,-0.09940666,-0.13347626,-0.0443897,0.37480189,bollinger_below_lower
2025-11-19,60.22850801,60.3775616,58.78763387,59.73165512,25061900,53,66.24473667,67.46985786,,31.77140735,66.24473667,72.692739,59.79673435,-1.83872108,-1.00171585,-0.83700523,-0.00743063,-0.10343804,-0.11489701,0.31299135,0.36665065,bollinger_below_lower
2025-11-20,60.19372753,60.33284573,57.63493442,57.73927307,21059300,54,65.67860546,67.29079521,,28.3860157,65.67860546,72.97079438,58.38641654,-2.1838667,-1.23814602,-0.94572068,-0.03335555,-0.10853627,-0.16394893,0.02531211,0.36226722,bollinger_below_lower|rsi_oversold
2025-11-21,57.87342635,60.5763035,57.67468444,60.18875885,20849400,55,65.22949657,67.16825691,,37.24006502,65.22949657,72.70997997,57.74901317,-2.23399199,-1.43731521,-0.79667678,0.04242322,-0.03343382,-0.12985479,-0.02669539,0.40216542,
2025-11-24,60.22850609,60.44712257,59.4732876,60.17882156,21013500,56,64.75609627,67.04115768,,37.21996032,64.75609627,72.25679632,57.25539622,-2.24859807,-1.59957178,-0.64902628,-0.0001651,-0.01922773,-0.13594311,-0.02323013,0.39992029,
2025-11-25,60.47693632,61.58491618,60.33781811,60.83467102,11065200,57,64.17817802,66.93233078,,39.5399018,64.17817802,70.98519566,57.37116039,-2.18209804,-1.71607704,-0.46602101,0.01089834,0.01089834,-0.15966128,-1.02259503,0.36922089,
2025-11-26,61.01353644,61.76875117,60.78498078,61.44083023,8335300,58,63.79613361,66.80053093,,41.68478932,63.79613361,70.3108347,57.28143253,-2.05677509,-1.78421665,-0.27255845,0.00996404,0.02861423,-0.11060652,-1.63816296,0.34789921,
2025-11-28,61.83831022,62.65811825,61.73894116,62.29541397,7875900,59,63.54356689,66.68780563,,44.66526843,63.54356689,69.87722534,57.20990845,-1.86697664,-1.80076865,-0.066208,0.01390905,0.07890887,-0.07500487,-1.52905346,0.34651844,
2025-12-01,61.65944479,62.81214338,61.44083209,62.18611145,10923300,60,63.21911049,66.57884277,,44.353029,63.21911049,69.11791254,57.32030843,-1.70571735,-1.78175839,0.07604103,-0.00175458,0.03318481,-0.09449007,-0.84668023,0.33607016,
2025-12-02,62.52396395,63.43320562,61.75881386,62.50409317,10834100,61,62.95665417,66.48694679,,45.54566233,62.95665417,68.48032625,57.43298209,-1.53457017,-1.73232074,0.19775057,0.00511339,0.03863937,-0.0774742,-0.81306966,0.33614429,
2025-12-03,62.45440485,63.52760888,60.02976419,60.85454178,24402800,62,62.72374954,66.36939636,,40.67546738,62.72374954,68.18919952,57.25829957,-1.51458066,-1.68877273,0.17419207,-0.02639109,0.00032664,-0.0711022,1.6406337,0.32954605,
2025-12-04,60.11919971,61.70912744,60.00492188,61.34145737,15994300,63,62.41704121,66.25067848,,42.62571224,62.41704121,67.4530066,57.38107582,-1.44281692,-1.63958157,0.19676465,0.0080013,-0.00161738,-0.09090937,0.09962866,0.3096337,
2025-12-05,61.28183175,62.5438385,61.09302902,61.88799286,11152900,64,62.22688656,66.16509926,,44.81850533,62.22688656,67.03608785,57.41768527,-1.32655113,-1.57697548,0.25042435,0.00890972,-0.00654015,-0.05789359,-0.77267745,0.30222285,
2025-12-08,62.03208065,62.11654473,60.60611532,60.73529434,12544000,65,61.98107986,66.04536209,,41.23863971,61.98107986,66.56215023,57.4000095,-1.31229547,-1.52403948,0.21174401,-0.01862556,-0.02333024,-0.07488236,-0.51124831,0.30697044,
2025-12-09,60.36762428,61.11290359,60.10926245,60.39743423,13214700,66,61.7168932,65.87167641,,40.22448158,61.7168932,66.01462331,57.41916308,-1.31312337,-1.48185626,0.16873288,-0.00556283,-0.03370434,-0.08044518,-0.41381824,0.3066512,
2025-12-10,60.10926245,61.08905638,59.78133774,60.77504349,19985100,67,61.41458015,65.75749313,,41.94296979,61.41458015,65.0300089,57.79915141,-1.26868497,-1.439222,0.17053703,0.00625207,-0.00130637,-0.09048403,0.73749275,0.29922273,
2025-12-11,59.69687551,61.40108107,59.47328943,61.30170822,14023800,68,61.14851513,65.66177422,,44.34619441,61.14851513,63.86239888,58.43463138,-1.17739747,-1.38685709,0.20945962,0.00866581,-0.000648,-0.07987181,-0.40825771,0.30268623,
2025-12-12,60.69555278,61.75881769,60.61605449,61.27190018,15964000,69,60.97365685,65.52044907,,44.23458895,60.97365685,63.12405927,58.82325442,-1.09483614,-1.3284529,0.23361676,-0.00048625,-0.00995496,-0.05399438,-0.05778562,0.29005202,
2025-12-15,61.57001123,62.42459884,60.24341488,60.35769272,18187500,70,60.87800617,65.35449471,,40.83982956,60.87800617,62.95816226,58.79785008,-1.0906028,-1.28088288,0.19028008,-0.0149205,-0.00621717,-0.03072092,0.41220976,0.26341492,
2025-12-16,61.30170825,61.75483936,60.5663681,60.94397736,17316800,71,60.85727463,65.15981636,,43.81762938,60.85727463,62.92609191,58.78845735,-1.02808841,-1.23032399,0.20223557,0.0097135,0.00904911,-0.0067575,0.27977547,0.26147997,
2025-12-17,61.00359925,62.01717963,59.75153159,59.80121613,16357800,72,60.83839436,64.87645287,,39.63040477,60.83839436,62.93829228,58.73849643,-1.05855424,-1.19597004,0.1374158,-0.01875101,-0.01602347,-0.00627472,0.11022786,0.26104771,
2025-12-18,59.21492576,59.9403305,58.54417513,59.06586838,23734500,73,60.80510502,64.54824341,,37.16901503,60.80510502,62.99337691,58.61683312,-1.1290204,-1.18258011,0.05355971,-0.01229654,-0.03647272,-0.0111463,1.64088928,0.26328395,
