date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,223.52000427,226.16999817,221.83000183,225.33999634,38843900,1,,,,,,,,,,,,,,,,
2025-09-03,225.21000671,227.16999817,224.36000061,225.99000549,29223100,2,,,,,,,,,,,0.00288457,,,,,
2025-09-04,231.19000244,235.77000427,230.77999878,235.67999268,59391800,3,,,,,,,,,,,0.04287795,,,,,
2025-09-05,235.19000244,236,231.92999268,232.33000183,36721800,4,,,,,,,,,,,-0.01421415,,,,,
2025-09-08,234.94000244,237.6000061,233.75,235.83999634,33947100,5,,,,,,,,,,,0.0151078,,,,,
2025-09-09,236.36000061,238.8500061,235.08000183,238.24000549,27033800,6,,,,,,,,,,,0.01017643,0.05724687,,,,
2025-09-10,237.52000427,237.67999268,229.1000061,230.33000183,60907700,7,,,,,,,,,,,-0.03320183,0.01920437,,,,
2025-09-11,231.49000549,231.52999878,229.33999634,229.94999695,37485600,8,,,,,,,,,,,-0.00164983,-0.02431261,,,,
2025-09-12,230.3500061,230.78999329,226.28999329,228.1499939,38496200,9,,,,,,,,,,,-0.0078278,-0.01799168,,,,
2025-09-15,230.63000488,233.72999573,230.32000732,231.42999268,33243300,10,,,,,,,,,,,0.0143765,-0.01869913,,,,
2025-09-16,232.94000244,235.8999939,232.22999573,234.05000305,38203900,11,,,,,,,,,,,0.01132096,-0.01758732,,,,
2025-09-17,233.77000427,234.30000305,228.71000671,231.61999512,42815200,12,,,,,,,,,,,-0.01038243,0.00560063,,,,
2025-09-18,232.5,233.47999573,228.78999329,231.22999573,37931700,13,,,,,,,,,,,-0.00168379,0.00556642,,,,
2025-09-19,232.36999512,234.16000366,229.69999695,231.47999573,97943200,14,,,,,,,,,,,0.00108117,0.01459567,,,,
2025-09-22,230.55999756,230.57000732,227.50999451,227.63000488,45914500,15,,,,52.69349332,,,,,,,-0.01663207,-0.0164196,,,,
2025-09-23,227.83000183,227.86000061,220.07000732,220.71000671,70956200,16,,,,44.83380912,,,,,,,-0.0304002,-0.05699635,,,,
2025-09-24,224.1499939,224.55999756,219.44999695,220.21000671,49509000,17,,,,44.31942104,,,,,,,-0.00226542,-0.04926167,,,,
2025-09-25,220.05999756,220.66999817,216.47000122,218.1499939,52226300,18,,,,42.17257936,,,,,,,-0.00935476,-0.05656706,,,,
2025-09-26,219.08000183,221.05000305,218.02000427,219.77999878,41650100,19,,,,44.46490912,,,,,,,0.00747195,-0.05054431,,,,
2025-09-29,220.08000183,222.6000061,219.30000305,222.16999817,44259200,20,228.51549911,,,47.73633229,228.51549911,239.96686684,217.06413139,,,,0.01087451,-0.02398632,,-0.09824686,,
