date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-23,33.13671342,33.78759401,32.86470406,33.15614319,135000,1,,,,,,,,,,,,,,,,
2025-09-24,33.28243025,33.79730986,32.93270553,33.45729446,196500,2,,,,,,,,,,,0.00908282,,,,,
2025-09-25,33.5058692,33.98188554,33.02984916,33.71958923,120800,3,,,,,,,,,,,0.00783969,,,,,
2025-09-26,33.74873808,33.75845111,33.10757052,33.49615479,176000,4,,,,,,,,,,,-0.00662625,,,,,
2025-09-29,33.70015875,33.98188482,33.29214476,33.53501129,148200,5,,,,,,,,,,,0.00116003,,,,,
2025-09-30,33.37957984,34.04017716,33.29214773,33.7390213,194200,6,,,,,,,,,,,0.00608349,0.01757979,,,,
2025-10-01,33.82645109,34.56476744,33.50586919,34.3510437,239700,7,,,,,,,,,,,0.0181399,0.02671314,,,,
2025-10-02,34.35104443,34.67162634,34.11789092,34.29275513,216400,8,,,,,,,,,,,-0.00169685,0.01699801,,,,
2025-10-03,34.30247107,35.43908469,34.2830413,35.07964325,272100,9,,,,,,,,,,,0.02294619,0.04727374,,,,
2025-10-06,35.27393722,35.88595823,34.82705998,35.07964325,282500,10,,,,,,,,,,,0,0.04606028,,,,
2025-10-07,35.10878675,35.34194026,34.97278208,35.06992722,184500,11,,,,,,,,,,,-0.00027697,0.03944708,,,,
2025-10-08,35.48765794,36.14825523,35.11850347,35.89567566,241600,12,,,,,,,,,,,0.02354577,0.04496609,,,,
2025-10-09,36.09968355,36.24540496,35.00192572,35.01164246,194600,13,,,,,,,,,,,-0.02462785,0.02096324,,,,
2025-10-10,35.02135398,35.55565962,34.04988783,34.20532227,117900,14,,,,,,,,,,,-0.02303006,-0.02492388,,,,
2025-10-13,35.06021424,35.41965569,34.66191326,35.36137009,88400,15,,,,67.87400046,,,,,,,0.03379731,0.00803106,,,,
2025-10-14,35.06021569,35.74024278,34.51619328,35.24479294,147700,16,,,,66.52021381,,,,,,,-0.00329674,0.0049862,,,,
2025-10-15,35.45851514,36.06082313,35.15735929,35.31279373,197800,17,,,,66.93450627,,,,,,,0.00192939,-0.01623822,,,,
2025-10-16,35.36136941,35.40994198,34.14703672,34.30247116,202800,18,,,,55.87208934,,,,,,,-0.02861067,-0.0202553,,,,
2025-10-17,34.11789092,34.81734775,34.03045882,34.4870491,185700,19,,,,57.2617883,,,,,,,0.00538089,0.00823635,,,,
2025-10-20,34.90478125,35.43908692,34.75905983,35.24479294,169900,20,34.50210686,,,62.48502095,34.50210686,36.04676198,32.95745174,,,,0.02197184,-0.00329674,,-0.31890203,,
2025-10-21,34.84649204,35.42937399,34.65219806,34.71048737,149400,21,34.57982407,,,57.17852376,34.57982407,35.99691984,33.16272829,,,,-0.01515984,-0.01515984,0.04687952,-0.7594378,0.2602443,
2025-10-22,34.66191326,35.42937242,34.31218484,34.58419418,115900,22,34.63616905,,,55.96861816,34.63616905,35.95656698,33.31577113,,,,-0.00363847,-0.02063274,0.03368173,-1.30432305,0.2598668,
2025-10-23,34.914492,35.49737391,34.87563617,35.22536087,151700,23,34.71145763,,,60.53437955,34.71145763,35.98510707,33.4378082,,,,0.0185393,0.02690447,0.04465569,-0.64988887,0.26557829,
2025-10-24,35.13792963,35.65280922,35.06021427,35.11850357,119700,24,34.79257507,,,59.42836058,34.79257507,35.94739445,33.63775569,,,,-0.00303353,0.0183099,0.04843388,-1.19327071,0.26434024,
2025-10-27,35.73052364,36.70198978,35.5168036,36.39112091,386300,25,34.93538055,,,67.13079493,34.93538055,36.13821496,33.73254615,,,,0.0362378,0.03252475,0.08516799,2.86558762,0.2888154,bollinger_above_upper|volume_anomaly
2025-10-28,36.42998343,37.06143796,36.23568944,36.7894249,192600,26,35.08790073,,,69.10757755,35.08790073,36.41266561,33.76313586,,,,0.01094509,0.05989364,0.09041174,-0.00385322,0.28969056,bollinger_above_upper
2025-10-29,35.08935783,36.16768589,32.06809738,34.81734848,1258700,27,35.11121597,,,52.32751448,35.11121597,36.39918943,33.82324252,,,,-0.05360444,0.00674164,0.01357469,4.19075059,0.34767585,volume_anomaly
2025-10-30,34.05960538,34.52590869,33.61272812,34.38990402,460900,28,35.11607342,,,49.52081241,35.11607342,36.3923429,33.83980393,,,,-0.01227677,-0.02371748,0.00283293,0.83071749,0.35059232,
2025-10-31,34.29275653,35.16707761,34.01103044,35.00192642,241100,29,35.11218758,,,53.37684075,35.11218758,36.38935001,33.83502515,,,,0.01779657,-0.00331954,-0.00221544,-0.05427737,0.3468499,
2025-11-03,34.99221112,35.00192415,34.2927543,34.93392181,253300,30,35.1049015,,,52.89335389,35.1049015,36.38438399,33.82541902,,,,-0.00194288,-0.04004271,-0.00415402,0.00111553,0.34692419,
2025-11-04,34.42875899,34.84648973,34.14703662,34.49676132,413900,31,35.07624321,,,49.77226281,35.07624321,36.38296143,33.76952499,,,,-0.01251393,-0.06231855,-0.01634352,0.60148299,0.34963445,
