date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,43.29457466,44.47192044,42.28542652,44.46202469,12166300,1,,,,,,,,,,,,,,,,
2025-09-03,44.76872861,45.80756023,44.63021823,45.7185173,12237800,2,,,,,,,,,,,0.02825991,,,,,
2025-09-04,45.23373349,45.65916041,44.69947591,45.58000946,8509000,3,,,,,,,,,,,-0.00302958,,,,,
2025-09-05,46.22309306,46.51990154,45.25351667,45.84713364,8069200,4,,,,,,,,,,,0.00586056,,,,,
2025-09-08,46.03511603,46.25277737,45.01607209,46.16373444,10436400,5,,,,,,,,,,,0.00690557,,,,,
2025-09-09,44.83798602,45.61958465,43.15606609,43.42319489,24956700,6,,,,,,,,,,,-0.05936564,-0.02336443,,,,
2025-09-10,43.81893918,44.98638919,43.75957598,44.40266418,16678900,7,,,,,,,,,,,0.02255636,-0.02878162,,,,
2025-09-11,44.39277082,45.66905155,44.32351563,45.43160248,14919200,8,,,,,,,,,,,0.0231729,-0.00325597,,,,
2025-09-12,44.71926774,45.01607628,43.46277461,44.24437332,16046300,9,,,,,,,,,,,-0.02613223,-0.03495879,,,,
2025-09-15,44.02670836,45.26341365,43.88819797,45.15458298,12670200,10,,,,,,,,,,,0.02057233,-0.02186026,,,,
2025-09-16,45.1644789,45.41181996,44.3334128,44.81819916,10043200,11,,,,,,,,,,,-0.00744961,0.03212579,,,,
2025-09-17,44.62032365,45.79766946,44.30372741,44.61043167,8951800,12,,,,,,,,,,,-0.00463578,0.00467917,,,,
2025-09-18,44.52138837,44.95670725,44.1157492,44.45213318,13174400,13,,,,,,,,,,,-0.00354846,-0.02155921,,,,
2025-09-19,44.76872894,45.21394358,44.23447138,44.46202469,21120200,14,,,,,,,,,,,0.00022252,0.0049193,,,,
