date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,169.7738799,172.15071909,166.99757885,170.55284119,231164900,1,,,,,,,,,,,,,,,,
2025-09-03,170.83248363,172.1806942,168.6553904,170.39306641,164424900,2,,,,,,,,,,,-0.00093681,,,,,
2025-09-04,170.34312466,171.63140207,169.18466397,171.43167114,141670100,3,,,,,,,,,,,0.00609535,,,,,
2025-09-05,167.80648733,168.80515714,163.85176341,166.7978363,224441400,4,,,,,,,,,,,-0.02703021,,,,,
2025-09-08,167.32715219,170.73262036,167.12742125,168.08613586,163769100,5,,,,,,,,,,,0.00772372,,,,,
2025-09-09,168.86509052,170.75257603,166.51822539,170.53286743,157548400,6,,,,,,,,,,,0.01455642,-0.00011711,,,,
2025-09-10,176.40506201,179.05153133,175.23661998,177.09414673,226852000,7,,,,,,,,,,,0.03847516,0.03932719,,,,
2025-09-11,179.4511025,180.05034427,176.25518196,176.94430542,151159300,8,,,,,,,,,,,-0.00084611,0.03215645,,,,
2025-09-12,177.5435665,178.3725111,176.22524056,177.59350586,124911000,9,,,,,,,,,,,0.00366895,0.06472308,,,,
2025-09-15,175.44622259,178.6221797,174.28769659,177.52357483,147061600,10,,,,,,,,,,,-0.00039377,0.05614644,,,,
2025-09-16,176.77453648,177.27389958,174.15787872,174.65724182,140737800,11,,,,,,,,,,,-0.01614621,0.02418522,,,,
2025-09-17,172.42008696,172.97937118,168.19547949,170.07307434,211843800,12,,,,,,,,,,,-0.02624665,-0.03964599,,,,
2025-09-18,173.75838713,176.87442337,172.73969734,176.01551819,191763300,13,,,,,,,,,,,0.03494053,-0.00524904,,,,
2025-09-19,175.54609885,177.85315381,174.95683885,176.44494629,237182100,14,,,,,,,,,,,0.00243972,-0.00646735,,,,
2025-09-22,175.07671637,184.31493427,174.48747153,183.37612915,269637000,15,,,,66.98401368,,,,,,,0.03928241,0.03296776,,,,
2025-09-23,181.73821238,182.18763614,175.98555481,178.20271301,192559600,16,,,,58.36970333,,,,,,,-0.02821205,0.02029959,,,,
2025-09-24,179.54100414,179.55098591,175.1765605,176.74456787,143564100,17,,,,56.17682487,,,,,,,-0.00818251,0.03922722,,,,
2025-09-25,174.25775087,180.03038735,172.90947959,177.46366882,191586700,18,,,,57.03410881,,,,,,,0.00406859,0.0082274,,,,
2025-09-26,177.94304916,179.54101721,174.70717072,177.96302795,148573700,19,,,,57.6536141,,,,,,,0.00281387,0.00860371,,,,
2025-09-29,180.20015784,183.76561762,180.09031259,181.61836243,193063500,20,174.97546005,,,61.97559131,174.97546005,183.68910815,166.26181196,,,,0.02053985,-0.00958558,,0.2644823,,
2025-09-30,181.84806316,187.11135435,181.24882136,186.34233093,236981000,21,175.76493454,,,66.70502718,175.76493454,185.53037475,165.99949433,,,,0.02601041,0.04567617,0.09257829,1.36215903,0.31372155,bollinger_above_upper
2025-10-01,185.0040581,187.90035816,183.66575333,187.00151062,173844900,22,176.59535675,,,67.31591948,176.59535675,187.18243157,166.00828193,,,,0.00353747,0.05803258,0.09747136,-0.2429364,0.31310228,
2025-10-02,189.35850114,190.80665114,187.8204542,188.6493988,136805800,23,177.45624313,,,68.85439761,177.45624313,188.98225319,165.93023307,,,,0.00881217,0.0630311,0.10043493,-1.16680948,0.31337898,
2025-10-03,188.94900409,190.11751186,185.14385987,187.3809967,137596900,24,178.48540115,,,66.2687019,178.48540115,189.6921876,167.27861471,,,,-0.00672359,0.05292093,0.12340184,-1.0376795,0.29454435,
2025-10-06,185.26372282,186.99151499,183.09648864,185.30366516,157678100,25,179.34627762,,,62.15213365,179.34627762,189.84848836,168.84406688,,,,-0.01108614,0.02029147,0.10243277,-0.52311396,0.30029521,
2025-10-07,185.9927774,188.81917439,183.76562222,184.80429077,140088000,26,180.05984879,,,61.16844105,180.05984879,189.99375219,170.12594538,,,,-0.0026949,-0.00825384,0.08368723,-0.92736209,0.29935528,
2025-10-08,186.33235229,189.35849143,186.30237649,188.86911011,130168900,27,180.64859695,,,65.89955179,180.64859695,191.18697816,170.11021575,,,,0.02199526,0.00998708,0.06648985,-1.06304718,0.28041286,
2025-10-09,191.98512855,195.05122522,190.81662075,192.32470703,182997200,28,181.41761703,,,69.32153891,181.41761703,192.95944813,169.87578594,,,,0.01829625,0.01948222,0.08692228,0.21476929,0.28456897,
2025-10-10,193.26350394,195.37081685,181.81811007,182.92669678,268774400,29,181.68427658,,,53.57519973,181.68427658,193.10619126,170.2623619,,,,-0.04886533,-0.02377135,0.03003033,2.0201437,0.33896599,volume_anomaly
2025-10-13,187.73057887,189.86785248,185.72314454,188.08013916,153482800,30,182.2121048,,,59.06606844,182.2121048,193.79074238,170.63346722,,,,0.02817217,0.01498337,0.0594657,-0.66341458,0.35092981,
2025-10-14,184.53464206,184.56460262,179.47109297,179.80067444,205641400,31,182.46927643,,,49.03232444,182.46927643,193.58449607,171.35405679,,,,-0.04402094,-0.02707522,0.02944872,0.48559868,0.38209718,
2025-10-15,184.56460739,184.6345103,177.06416377,179.60093689,214450500,32,182.94566956,,,48.8168791,182.94566956,192.61792964,173.27340947,,,,-0.00111088,-0.04907194,0.05602217,0.69027087,0.36855273,
2025-10-16,181.99786281,183.04652832,179.54100501,181.57839966,179723300,33,183.22381363,,,51.10738377,183.22381363,192.38960025,174.05802701,,,,0.01101031,-0.05587585,0.03160449,-0.11843778,0.35131857,
2025-10-17,179.95048182,183.86550199,179.52103686,182.98661804,173135200,34,183.55089722,,,52.72971314,183.55089722,192.17669304,174.9251014,2.74699024,4.38247421,-1.63548397,0.00775543,0.00032757,0.03707486,-0.207072,0.35192069,
2025-10-20,182.89672995,184.96408521,181.49850415,182.40734863,128544700,35,183.50245819,,,51.96586126,183.50245819,192.14250449,174.86241189,2.47088022,4.00015541,-1.52927519,-0.00316564,-0.03016156,-0.00528302,-1.2539316,0.32497721,
2025-10-21,182.55715836,182.55715836,179.57097673,180.929245,124240200,36,183.63878479,,,49.97643436,183.63878479,192.02227367,175.25529591,2.10848512,3.62182135,-1.51333623,-0.00810331,0.00627679,0.01530017,-1.23387176,0.31013042,
2025-10-22,180.90925913,183.20633238,176.53483359,180.050354,162249600,37,183.8040741,,,48.78059791,183.8040741,191.75661616,175.85153203,1.73041805,3.24354069,-1.51312264,-0.00485765,0.00250231,0.01870375,-0.25969394,0.30910794,
2025-10-23,180.19017423,182.79685015,179.56097187,181.92796326,111363700,38,184.02728882,,,51.45312832,184.02728882,191.49103028,176.56354736,1.56427259,2.90768707,-1.34341448,0.01042825,0.00192514,0.0251561,-1.43655154,0.3106519,
2025-10-24,183.60582003,187.231201,183.26625678,186.0227356,131296700,39,184.4302742,,,56.75286966,184.4302742,191.39440784,177.46614056,1.74292369,2.6747344,-0.93181071,0.02250766,0.01659202,0.04528866,-0.89512949,0.31910872,
2025-10-27,189.74800439,191.75543865,188.18997865,191.24609375,153452700,40,184.91166077,,,62.39274819,184.91166077,192.346843,177.47647853,2.27970826,2.59572917,-0.31602091,0.02807914,0.04845608,0.05301078,-0.29440484,0.32550409,
2025-10-28,192.80409501,202.89122044,191.66554776,200.77392578,297986200,41,185.63324051,,,70.06215762,185.63324051,195.78765592,175.47882509,3.43434137,2.76345161,0.67088976,0.04981975,0.109682,0.07744668,2.77562235,0.35590091,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-29,207.71508075,211.91972495,204.5191598,206.77627563,308829600,42,186.62197876,,,73.70083964,186.62197876,200.34177808,172.90217944,4.77865058,3.1664914,1.61215918,0.02989606,0.14843582,0.10574655,2.39372501,0.36699021,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-30,204.88867704,205.89740027,201.15345075,202.63156128,178864400,43,187.32108688,,,67.59176569,187.32108688,202.70670175,171.93547202,5.44679426,3.62255197,1.82424228,-0.02004444,0.11380108,0.07411719,0.03323182,0.3769621,
2025-10-31,206.18701809,207.70508616,201.81260775,202.23207092,179802200,44,188.06364059,,,67.01516861,188.06364059,204.76628625,171.36099494,5.87632874,4.07330733,1.80302141,-0.00197151,0.08713631,0.07925603,0.01217634,0.37563657,
2025-11-03,207.81495401,211.07079601,205.29815967,206.6164856,180267300,45,189.12928162,,,70.03626512,189.12928162,207.6158748,170.64268844,6.49564578,4.55777502,1.93787076,0.02168012,0.0803697,0.11501564,-0.00001197,0.37604947,rsi_overbought
2025-11-04,202.74141226,203.71017786,197.67786327,198.43690491,188919300,46,189.81091232,,,59.15147602,189.81091232,208.61200024,171.00982441,6.25433906,4.89708783,1.35725123,-0.03958823,-0.01164006,0.07376784,0.11603607,0.40687602,
2025-11-05,198.51681234,202.66152001,194.40205001,194.96134949,171350300,47,190.11552429,,,55.22409102,190.11552429,209.04269406,171.18835453,5.71675429,5.06102112,0.65573317,-0.01751466,-0.05713869,0.03225641,-0.25689941,0.40769197,
2025-11-06,196.16981228,197.36828076,186.14260723,187.84043884,223029800,48,189.89131088,,,48.16759848,189.89131088,208.81472954,170.96789222,4.66237158,4.98129121,-0.31891963,-0.03652473,-0.07299516,-0.02331613,0.6855871,0.42374903,
2025-11-07,184.66444903,188.08010568,178.68208947,187.91030884,264942300,49,190.14049149,,,48.23748856,190.14049149,208.82018939,171.46079358,3.78872951,4.74277887,-0.95404936,0.00037196,-0.07081845,0.02724377,1.48988678,0.38596596,
2025-11-10,194.86147915,199.68532877,193.54315319,198.79646301,198897100,50,190.67630768,183.69436401,,57.78785528,190.67630768,209.70047326,171.6521421,3.92948685,4.58012047,-0.65063362,0.05793271,-0.03784801,0.05697743,0.19286597,0.42363775,
2025-11-11,194.91140808,195.17107141,191.05632435,192.91395569,176483300,51,191.33197174,184.1415863,,52.18484073,191.33197174,209.70436485,172.95957863,3.5257265,4.36924167,-0.84351517,-0.0295906,-0.02783227,0.07293233,-0.20971188,0.40597498,
2025-11-12,195.47068348,195.6404651,190.88653411,193.5531311,154935300,52,192.02958145,184.6047876,,52.72124652,192.02958145,209.60972552,174.44943738,3.22019918,4.13943317,-0.919234,0.00331327,-0.00722306,0.07768442,-0.56601558,0.40558209,
2025-11-13,190.80664399,191.19614659,183.61581838,186.62197876,207423100,53,192.28176041,184.90859375,,46.61438741,192.28176041,209.39345471,175.17006611,2.39121605,3.78978975,-1.3985737,-0.03581008,-0.00648668,0.02777632,0.41336302,0.42725889,
2025-11-14,182.62706393,190.76667594,180.34996954,189.92774963,186591900,54,192.62881699,185.37119202,,49.61223346,192.62881699,209.24677798,176.01085599,1.97818574,3.42746895,-1.44928321,0.01771373,0.01073619,0.03793245,0.00226728,0.43040569,
2025-11-17,185.73311755,188.75925679,184.08522537,186.36231995,173628900,55,192.82656555,185.7367157,,46.57445113,192.82656555,209.04255531,176.6105758,1.34762133,3.01149942,-1.6638781,-0.01877256,-0.0625471,0.02168208,-0.29823386,0.43621814,
2025-11-18,183.14642914,184.56461863,179.42116917,181.1289978,213598900,56,192.83655319,185.94863831,,42.46443522,192.83655319,209.02343973,176.64966666,0.42075888,2.49335132,-2.07259244,-0.02808144,-0.06108919,0.00110404,0.41944717,0.44707107,
2025-11-19,184.55460242,187.62069908,182.59710766,186.28240967,247246400,57,193.14815598,186.13240356,,47.38803089,193.14815598,208.5598688,177.73644316,0.10088801,2.01485865,-1.91397065,0.02845161,-0.03756447,0.03461285,1.0068923,0.45683548,
2025-11-20,195.70039225,195.75033161,179.62090987,180.40989685,343504800,58,193.07225266,186.20171539,,42.88443422,193.07225266,208.71744204,177.42706327,-0.61933536,1.48801985,-2.10735521,-0.03152478,-0.03328698,-0.00834433,2.45159327,0.47008228,volume_anomaly
2025-11-21,181.0091398,184.32490282,172.70971238,178.65214539,346926200,59,192.70372314,186.22288818,,41.60974573,192.70372314,209.31328231,176.09416398,-1.31677446,0.92706099,-2.24383545,-0.0097431,-0.05936786,-0.03962199,2.13618342,0.46384169,volume_anomaly
2025-11-24,179.26137457,183.26626123,176.2551989,182.31747437,256618300,60,192.25729218,186.31876617,,45.26335997,192.25729218,209.46862998,175.04595437,-1.55580421,0.43048795,-1.98629216,0.02051657,-0.0217042,-0.04668655,0.54557018,0.45845214,
2025-11-25,174.68720887,177.93306912,169.33403566,177.59350586,320600300,61,191.09827118,186.37749146,,41.64643981,191.09827118,208.9687929,173.22774945,-2.10218907,-0.07604745,-2.02614161,-0.02591067,-0.01951919,-0.11545533,1.58573093,0.42424622,
2025-11-26,181.39863014,182.67699835,178.0129492,180.03036499,183852000,62,189.76097565,186.57663727,,44.12674007,189.76097565,206.71803477,172.80391652,-2.31191848,-0.52322166,-1.78869682,0.01372156,-0.03356218,-0.1293471,-0.63109226,0.41058875,
2025-11-28,178.78197029,179.06161241,176.27517304,176.77453613,121332800,63,188.46812439,186.59181763,,41.58357499,188.46812439,205.24474872,171.69150006,-2.70961398,-0.96050012,-1.74911386,-0.01808489,-0.02015056,-0.12760611,-1.58320108,0.4098336,
2025-12-01,174.53738045,180.07033198,173.45875435,179.69081116,188131000,64,187.3410614,186.65673492,,44.6601149,187.3410614,203.27508289,171.40703992,-2.75768266,-1.31993663,-1.43774603,0.01649714,0.0058139,-0.11146234,-0.4864655,0.41730144,
2025-12-02,181.52847225,185.42351365,179.77071959,181.22886658,182632200,65,186.07168045,186.61378967,,46.26740254,186.07168045,199.51084405,172.63251685,-2.64122285,-1.58419388,-1.05702897,0.00855946,-0.00597095,-0.12287315,-0.58046186,0.40889922,
2025-12-03,180.8493595,182.21760965,178.88186748,179.36125183,165138000,66,185.1178978,186.63696045,,44.57446294,185.1178978,197.58379239,172.6520032,-2.66886351,-1.8011278,-0.86773571,-0.01030528,0.00995389,-0.09612956,-0.84068676,0.39093103,
2025-12-04,181.39873533,184.29521153,179.74076922,183.15660095,167364900,67,184.52766037,186.76520111,,48.68378413,184.52766037,196.16362342,172.89169732,-2.35734201,-1.91237064,-0.44497136,0.02116036,0.01736505,-0.06054917,-0.79884458,0.39784453,
2025-12-05,183.6659827,184.43504894,180.68961723,182.18778992,143971100,68,184.24502792,186.85968353,,47.71136378,184.24502792,195.81983722,172.67021863,-2.16369223,-1.96263496,-0.20105727,-0.00528952,0.03062236,-0.03009282,-1.0825811,0.3787048,
2025-12-08,182.41751578,187.77098708,182.17780265,185.32397461,204378100,69,184.11571121,187.00690247,,51.11536219,184.11571121,195.58110642,172.650316,-1.73713488,-1.91753494,0.18040006,0.01721402,0.0313492,-0.01376366,-0.07735527,0.38405514,
2025-12-09,185.3339523,185.49376105,183.09669077,184.74467468,144719700,70,183.4131218,187.06942871,,50.46188263,183.4131218,192.71123903,174.11500456,-1.42935308,-1.81989857,0.39054549,-0.00312588,0.01939982,-0.0706843,-0.97357592,0.31994801,
2025-12-10,184.74467463,185.25404787,181.81823597,183.55612183,162785400,71,182.9452301,187.01370453,,49.07561828,182.9452301,191.16290705,174.72755316,-1.2667379,-1.70926644,0.44252854,-0.00643349,0.02338783,-0.04850781,-0.67369741,0.30583271,
2025-12-11,180.06037741,181.09911899,176.40483245,180.70957947,182136600,72,182.30305252,186.88786591,,45.82847224,182.30305252,188.96449082,175.64161422,-1.35197169,-1.63780749,0.2858358,-0.01550775,-0.01336027,-0.06635672,-0.39677383,0.30840407,
2025-12-12,180.88937066,182.59729423,174.40727135,174.80679321,204274900,73,181.71229324,186.61101379,,39.92858099,181.71229324,188.81770879,174.6068777,-1.87422075,-1.68509014,-0.18913061,-0.03266449,-0.04051312,-0.06331079,-0.04281044,0.30438385,
2025-12-15,177.72322484,178.20263581,174.81676633,176.07522583,164775600,74,181.01966705,186.38489838,,41.66646952,181.01966705,187.45585901,174.58347509,-2.16084609,-1.78024133,-0.38060476,0.0072562,-0.04990584,-0.07293575,-0.64709944,0.29745367,
2025-12-16,176.0452662,178.27256048,174.68692241,177.50349426,148588100,75,180.57672577,186.22889496,,43.64355187,180.57672577,186.69258101,174.46087053,-2.24684914,-1.87356289,-0.37328625,0.00811169,-0.03919561,-0.0475355,-0.87037919,0.29470881,
2025-12-17,175.88546785,175.91543008,170.10251312,170.73175049,222775500,76,180.0568634,185.94744415,,37.20506357,180.0568634,187.51651249,172.59721431,-2.82882141,-2.0646146,-0.76420681,-0.03814992,-0.06986621,-0.05740244,0.27431015,0.30760129,bollinger_below_lower
2025-12-18,174.31738073,175.93540231,171.61069067,173.92785645,176096000,77,179.43913574,185.64861908,,41.58524141,179.43913574,186.77953591,172.09873557,-2.99758529,-2.25120873,-0.74637655,0.01872004,-0.0375283,-0.06632163,-0.39729329,0.29681186,
