date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,333.44000244,336.20001221,328.19000244,331.95001221,8720700,1,,,,,,,,,,,,,,,,
2025-09-23,333.38000488,335.67999268,317.70001221,320.07000732,8245900,2,,,,,,,,,,,-0.03578854,,,,,
2025-09-24,323.76000977,327.32000732,320.76000977,321.76998901,4869800,3,,,,,,,,,,,0.00531128,,,,,
2025-09-25,314.32998657,317.98999023,304.35998535,306.69000244,8865300,4,,,,,,,,,,,-0.04686573,,,,,
2025-09-26,308.57998657,314.23999023,303.3999939,312.58999634,6714800,5,,,,,,,,,,,0.01923765,,,,,
2025-09-29,318.01000977,334.38000488,316.3500061,333.98999023,12066100,6,,,,,,,,,,,0.06846026,0.00614544,,,,
2025-09-30,330,338.1000061,329.66000366,337.48999023,6674700,7,,,,,,,,,,,0.01047936,0.05442554,,,,
2025-10-01,343.26000977,349.86999512,340.5,346.17001343,8843900,8,,,,,,,,,,,0.02571935,0.07583064,,,,
2025-10-02,354.76000977,376.13000488,353.3999939,372.07000732,15750400,9,,,,,,,,,,,0.07481871,0.21317945,,,,
2025-10-03,373.3500061,383.5,370.02999878,380.01998901,13648200,10,,,,,,,,,,,0.0213669,0.21571385,,,,
2025-10-06,390.32998657,392.8500061,380.5,386.07000732,8693000,11,,,,,,,,,,,0.01592026,0.15593287,,,,
2025-10-07,386.83999634,388,363.01000977,375.77999878,9146300,12,,,,,,,,,,,-0.02665322,0.11345524,,,,
2025-10-08,378.61999512,390.48999023,375.64001465,387.26998901,7122800,13,,,,,,,,,,,0.03057638,0.11872772,,,,
2025-10-09,384.26000977,392.16000366,381.79998779,387,6849000,14,,,,,,,,,,,-0.00069716,0.04012684,,,,
2025-10-10,387.66000366,402.16000366,351.63000488,357.01000977,17223600,15,,,,57.82733772,,,,,,,-0.07749351,-0.06054939,,,,
2025-10-13,363.20001221,364.8999939,341.83999634,356.98999023,10318400,16,,,,57.81955061,,,,,,,-0.00005608,-0.07532317,,,,
2025-10-14,340.8500061,353.5,334.76998901,341.54998779,9446000,17,,,,52.00319061,,,,,,,-0.04325052,-0.09109056,,,,
2025-10-15,345.80999756,347.82998657,333.1000061,336.29998779,7947300,18,,,,50.15565387,,,,,,,-0.0153711,-0.13161361,,,,
2025-10-16,338.48999023,342.70001221,328.70999146,330.25,7611900,19,,,,48.03765944,,,,,,,-0.01798985,-0.14664083,,,,
