date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,14.48499966,14.48499966,14.48499966,14.48499966,0,1,,,,,,,,,,,,,,,,
2025-09-09,14.13000011,14.46500015,14.11499977,14.46500015,100,2,,,,,,,,,,,-0.0013807,,,,,
2025-09-10,14.13000011,14.43999958,14.13000011,14.43999958,7,3,,,,,,,,,,,-0.00172835,,,,,
2025-09-11,14.35000038,14.35000038,14.35000038,14.35000038,0,4,,,,,,,,,,,-0.00623263,,,,,
2025-09-12,14.86499977,14.86499977,14.86499977,14.86499977,0,5,,,,,,,,,,,0.03588846,,,,,
2025-09-15,14.89000034,14.89000034,14.89000034,14.89000034,160,6,,,,,,,,,,,0.00168184,0.02796001,,,,
2025-09-16,15.25500011,15.25500011,15.25500011,15.25500011,0,7,,,,,,,,,,,0.02451308,0.05461458,,,,
2025-09-17,15.26500034,15.26500034,15.26500034,15.26500034,0,8,,,,,,,,,,,0.00065554,0.05713302,,,,
2025-09-18,15.34000015,15.34000015,15.34000015,15.34000015,0,9,,,,,,,,,,,0.00491319,0.06898953,,,,
2025-09-19,15.22999954,15.22999954,15.22999954,15.22999954,0,10,,,,,,,,,,,-0.00717084,0.02455431,,,,
2025-09-22,15.56000042,15.56000042,15.56000042,15.56000042,0,11,,,,,,,,,,,0.02166782,0.04499665,,,,
2025-09-23,15.50500011,15.50500011,15.50500011,15.50500011,0,12,,,,,,,,,,,-0.00353472,0.01638807,,,,
2025-09-24,15.14999962,15.14999962,15.14999962,15.14999962,0,13,,,,,,,,,,,-0.02289587,-0.00753362,,,,
2025-09-25,15.21000004,15.21000004,15.21000004,15.21000004,0,14,,,,,,,,,,,0.00396042,-0.00847458,,,,
2025-09-26,14.88000011,14.99499989,14.88000011,14.99499989,204,15,,,,61.33332881,,,,,,,-0.01413545,-0.01543005,,,,
2025-09-29,14.77499962,14.83500004,14.77499962,14.83500004,215,16,,,,56.97046992,,,,,,,-0.01067021,-0.04659385,,,,
2025-09-30,14.94499969,14.94499969,14.94499969,14.94499969,0,17,,,,59.12328658,,,,,,,0.00741487,-0.03611741,,,,
2025-10-01,14.77499962,14.77499962,14.77499962,14.77499962,0,18,,,,54.5785868,,,,,,,-0.01137505,-0.02475248,,,,
2025-10-02,14.93000031,14.93000031,14.93000031,14.93000031,0,19,,,,57.76627072,,,,,,,0.01049074,-0.01840892,,,,
2025-10-03,14.875,14.875,14.875,14.875,0,20,14.96824999,,,56.25754077,14.96824999,15.6520796,14.28442038,,,,-0.00368388,-0.00800266,,-0.48517181,,
2025-10-06,14.81000042,14.81000042,14.81000042,14.81000042,0,21,14.98450003,,,54.44767381,14.98450003,15.63631985,14.3326802,,,,-0.00436972,-0.00168518,0.02243706,-0.48517181,0.21431348,
2025-10-07,14.83500004,14.83500004,14.83500004,14.83500004,0,22,15.00300002,,,55.04668529,15.00300002,15.6145506,14.39144944,,,,0.00168802,-0.0073603,0.02557898,-0.42220554,0.21411076,
2025-10-08,14.76000023,15.07499981,14.76000023,15.07499981,740,23,15.03475003,,,60.42676011,15.03475003,15.5893713,14.48012876,,,,0.01617794,0.02030458,0.04397509,3.97860784,0.21975129,volume_anomaly
2025-10-09,14.90499973,14.90499973,14.90499973,14.90499973,0,24,15.0625,,,55.3715816,15.0625,15.52522575,14.59977425,,,,-0.01127695,-0.00167452,0.03867591,-0.38927259,0.22287523,
2025-10-10,14.97000027,14.97000027,14.97000027,14.97000027,0,25,15.06775002,,,56.85773164,15.06775002,15.52372683,14.61177322,,,,0.00436099,0.00638657,0.00706361,-0.38927259,0.18613114,
2025-10-13,14.55500031,15.18999958,14.55500031,15.18999958,1500,26,15.08274999,,,61.52745505,15.08274999,15.53406456,14.63143541,,,,0.01469601,0.02565828,0.0201477,3.84214554,0.19257667,volume_anomaly
2025-10-14,14.17500019,14.17500019,14.17500019,14.17500019,0,27,15.02874999,,,40.01016211,15.02874999,15.62110864,14.43639134,,,,-0.06682024,-0.04448937,-0.07079645,-0.37366098,0.28806803,bollinger_below_lower
