date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,69.27999878,69.56999969,64.27200317,69.18000031,33315700,1,,,,,,,,,,,,,,,,
2025-09-25,63,69.48899841,61.36999893,68.69000244,17712800,2,,,,,,,,,,,-0.00708294,,,,,
2025-09-26,67.25,71.45999908,66.62000275,70.31999969,9355500,3,,,,,,,,,,,0.02372976,,,,,
2025-09-29,72.91000366,75.55000305,71.91999817,73.59999847,10757900,4,,,,,,,,,,,0.0466439,,,,,
2025-09-30,72.59999847,85.66999817,70.88999939,84.56999969,25107900,5,,,,,,,,,,,0.14904893,,,,,
2025-10-01,82.66999817,91.23000336,82.66999817,90.19000244,20299800,6,,,,,,,,,,,0.06645386,0.30370052,,,,
2025-10-02,89.13999939,92.16000366,85.02999878,88,15349200,7,,,,,,,,,,,-0.0242821,0.28111802,,,,
2025-10-03,88.95999908,93.80000305,86.5,90.29000092,14071000,8,,,,,,,,,,,0.02602274,0.2839875,,,,
2025-10-06,92.98999786,95.69499969,86.26999664,86.97000122,12271400,9,,,,,,,,,,,-0.0367704,0.18165765,,,,
2025-10-07,88.83000183,92.33999634,83.47000122,86.05999756,10816900,10,,,,,,,,,,,-0.01046342,0.01761852,,,,
2025-10-08,88.15000153,90,85.5,87.58000183,7972900,11,,,,,,,,,,,0.01766215,-0.02893891,,,,
2025-10-09,87.70999908,89.44000244,85.08000183,86.65000153,8237100,12,,,,,,,,,,,-0.01061887,-0.01534089,,,,
2025-10-10,86.09999847,92.73000336,85.11000061,86.87000275,13482600,13,,,,,,,,,,,0.00253896,-0.03787793,,,,
2025-10-13,105.98999786,115.20999908,102.33899689,109.91000366,28744800,14,,,,,,,,,,,0.2652239,0.26376914,,,,
2025-10-14,107.58000183,116.87999725,101.55000305,114.05999756,14160900,15,,,,87.05415572,,,,,,,0.03775811,0.32535441,,,,rsi_overbought
2025-10-15,120.80999756,125.74500275,115.93000031,116.58000183,16734900,16,,,,87.60941016,,,,,,,0.02209367,0.33112582,,,,rsi_overbought
2025-10-16,119.44000244,122.90000153,112.72000122,115.08999634,13382000,17,,,,85.28034372,,,,,,,-0.01278097,0.3282169,,,,rsi_overbought
2025-10-17,112.40000153,114.20999908,106.34999847,111.5,10327200,18,,,,79.77732003,,,,,,,-0.03119295,0.28352707,,,,rsi_overbought
2025-10-20,116.13999939,119.59999847,108.20600128,109.05999756,8369800,19,,,,76.17924635,,,,,,,-0.02188343,-0.00773366,,,,rsi_overbought
2025-10-21,108.34999847,108.91999817,98.45999908,104.37999725,9655100,20,92.47750015,,,69.68716834,92.47750015,123.62197014,61.33303016,,,,-0.04291216,-0.08486762,,-0.78225677,,
2025-10-22,100.68000031,103.62000275,88.23000336,94.37000275,16244400,21,93.73700027,,,58.2522646,93.73700027,122.99096175,64.4830388,,,,-0.09589955,-0.19051294,0.36412261,0.38588975,1.18204935,
2025-10-23,94.23999786,103.80999756,93.23000336,101.41999817,8228100,22,95.37350006,,,62.87298233,95.37350006,122.41822242,68.32877771,,,,0.07470589,-0.1187766,0.47648849,-0.99052324,1.19384919,
