date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,6.01000023,6.32499981,5.92000008,6.26999998,1813600,1,,,,,,,,,,,,,,,,
2025-09-23,6.3499999,6.3499999,6.05999994,6.0999999,1744100,2,,,,,,,,,,,-0.02711325,,,,,
2025-09-24,6.4000001,6.82000017,6.38000011,6.55000019,3925000,3,,,,,,,,,,,0.07377054,,,,,
2025-09-25,6.5250001,7.36999989,6.40999985,7.19999981,5955100,4,,,,,,,,,,,0.09923658,,,,,
2025-09-26,7.15999985,7.28900003,6.78999996,7.03000021,3091200,5,,,,,,,,,,,-0.02361106,,,,,
2025-09-29,7.17000008,7.35300016,6.78000021,6.80000019,2559000,6,,,,,,,,,,,-0.03271693,0.08452954,,,,
2025-09-30,6.69999981,6.77799988,6.32999992,6.40999985,2405100,7,,,,,,,,,,,-0.05735299,0.05081966,,,,
2025-10-01,6.53000021,7.01000023,6.53000021,6.82999992,2577600,8,,,,,,,,,,,0.06552263,0.04274805,,,,
2025-10-02,6.9000001,7.07999992,6.71000004,6.78999996,1715100,9,,,,,,,,,,,-0.00585651,-0.05694442,,,,
2025-10-03,6.88000011,7.6880002,6.71999979,7.48999977,5064500,10,,,,,,,,,,,0.10309276,0.06543379,,,,
2025-10-06,7.82000017,7.88999987,7.51000023,7.57000017,3151800,11,,,,,,,,,,,0.01068096,0.11323529,,,,
2025-10-07,7.99499989,7.99499989,7.20499992,7.55999994,3508200,12,,,,,,,,,,,-0.00132103,0.1794072,,,,
2025-10-08,7.51999998,7.5250001,6.9000001,7.03000021,3228400,13,,,,,,,,,,,-0.07010579,0.02928262,,,,
2025-10-09,7.26000023,7.98999977,7.19999981,7.42999983,5674000,14,,,,,,,,,,,0.05689895,0.09425624,,,,
2025-10-10,7.44999981,7.49700022,6.171,6.23999977,7568200,15,,,,49.72375497,,,,,,,-0.16016152,-0.16688919,,,,
