date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,92.61000061,94.41999817,88.83999634,90.95999908,19391500,1,,,,,,,,,,,,,,,,
2025-09-16,91.19999695,91.30000305,88.01999664,89.43000031,11737300,2,,,,,,,,,,,-0.01682057,,,,,
2025-09-17,91.66999817,95,88.83000183,94.08000183,24500300,3,,,,,,,,,,,0.05199599,,,,,
2025-09-18,95.07499695,97.68000031,92.02999878,94.12000275,18068500,4,,,,,,,,,,,0.00042518,,,,,
2025-09-19,94.13999939,99.55000305,93.25,99.30999756,18649300,5,,,,,,,,,,,0.05514231,,,,,
2025-09-22,101.94999695,108.58000183,98.51999664,106.59999847,24365200,6,,,,,,,,,,,0.07340652,0.17194371,,,,
2025-09-23,108.04000092,109.98000336,104.25,107.80000305,16693500,7,,,,,,,,,,,0.01125708,0.20541208,,,,
2025-09-24,109.13500214,114.84999847,104.84999847,113.23000336,25341200,8,,,,,,,,,,,0.05037106,0.20355018,,,,
2025-09-25,108.05500031,114.08000183,105.87999725,107.94000244,19658800,9,,,,,,,,,,,-0.04671907,0.14683382,,,,
2025-09-26,109.93000031,109.98999786,102.80000305,107.69999695,14915100,10,,,,,,,,,,,-0.00222351,0.08448293,,,,
2025-09-29,109.37999725,112.51999664,108.33000183,110.22000122,12067000,11,,,,,,,,,,,0.02339837,0.03395875,,,,
2025-09-30,113.44499969,117.65000153,111.66000366,112.26999664,20425100,12,,,,,,,,,,,0.01859912,0.04146562,,,,
2025-10-01,111.71499634,115.87999725,109.76000214,115.61000061,12008100,13,,,,,,,,,,,0.02974975,0.02101914,,,,
2025-10-02,123.76999664,126.73999786,118.56999969,125.87000275,26887700,14,,,,,,,,,,,0.08874667,0.1661108,,,,
2025-10-03,127.23500061,132.97900391,123.59999847,127.98000336,21351300,15,,,,86.19475329,,,,,,,0.01676333,0.1883009,,,,rsi_overbought
2025-10-06,132.3999939,135.75999451,124.93000031,124.94000244,16311100,16,,,,81.00878712,,,,,,,-0.02375372,0.13355109,,,,rsi_overbought
2025-10-07,127.82499695,128.27999878,115.72000122,117.69999695,19574000,17,,,,70.17930311,,,,,,,-0.05794786,0.04836555,,,,rsi_overbought
2025-10-08,121.19999695,125.30999756,117.5,122,18005900,18,,,,72.52826651,,,,,,,0.03653359,0.05527203,,,,rsi_overbought
2025-10-09,120.98000336,133.32000732,119.87000275,132.63999939,18124600,19,,,,77.29424368,,,,,,,0.08721311,0.05378562,,,,rsi_overbought
2025-10-10,134.94999695,141.1000061,128.00999451,129.58000183,28268500,20,111.49900055,,,73.35287386,111.49900055,137.31070475,85.68729635,,,,-0.02306995,0.01250194,,1.91822259,,rsi_overbought
2025-10-13,135.21000671,138.52999878,132.6499939,135.46000671,12788900,21,113.72400093,,,75.8963313,113.72400093,139.74125317,87.70674869,,,,0.04537741,0.08420045,0.48922612,-1.27056829,0.64387179,rsi_overbought
2025-10-14,132,133.78399658,125.75,128.1499939,13109200,22,115.66000061,,,67.29646879,115.66000061,139.8568433,91.46315792,,,,-0.05396436,0.08878502,0.43296426,-1.24283741,0.68294482,
2025-10-15,131.8999939,131.99000549,122.19999695,125.83000183,11708300,23,117.24750061,,,64.78739025,117.24750061,139.6741162,94.82088502,,,,-0.01810372,0.03139346,0.33747873,-1.37785022,0.68341852,
2025-10-16,128.08999634,130.97000122,122.01999664,123.04000092,14207700,24,118.69350052,,,61.80314124,118.69350052,138.5510886,98.83591244,,,,-0.02217278,-0.07237635,0.30726729,-0.81051723,0.6941127,
2025-10-17,118.05999756,120.57299805,110.87999725,113.44000244,21366500,25,119.40000076,,,52.79227663,119.40000076,137.36393811,101.43606342,,,,-0.07802339,-0.12455625,0.1422818,0.6014157,0.746617,
2025-10-20,116.79000092,117.47000122,107.51000214,109,17799500,26,119.52000084,,,49.21808867,119.52000084,137.16963076,101.87037092,,,,-0.03913965,-0.19533446,0.02251409,-0.04806974,0.72312241,
2025-10-21,107.87999725,108.18000031,101.40000153,104.27999878,18455900,27,119.34400063,,,45.67767074,119.34400063,137.51995713,101.16804412,,,,-0.04330276,-0.18626607,-0.0326531,0.07026888,0.73892437,
2025-10-22,106.67500305,107.80000305,94.62999725,98.62000275,26631500,28,118.6135006,,,41.79514517,118.6135006,138.77910247,98.44789872,,,,-0.05427691,-0.21624413,-0.12902941,1.7232069,0.73669638,
2025-10-23,100.33000183,106.62000275,99.45999908,106.16000366,15803800,29,118.52450066,,,48.12129478,118.52450066,138.89244163,98.15655968,,,,0.07645509,-0.13719113,-0.01649063,-0.4447555,0.77289439,
2025-10-24,111.16000366,117.44999695,110.01000214,117.26000214,17411900,30,119.00250092,,,55.74668782,119.00250092,138.7717927,99.23320913,,,,0.10455914,0.03367419,0.08876514,-0.14448825,0.85261252,
2025-10-27,120.91000366,126.5,120.11000061,125.43000031,16809800,31,119.76300087,,,60.36454671,119.76300087,139.29112281,100.23487893,,,,0.06967421,0.15073395,0.13799672,-0.32963917,0.87934122,
