date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-04,374.98068312,378.47770533,370.61440599,375.77001953,942100,1,,,,,,,,,,,,,,,,
2025-09-05,378.14796586,378.76743343,362.70112911,372.18304443,1128900,2,,,,,,,,,,,-0.00954567,,,,,
2025-09-08,376.6892621,379.67670855,373.09231876,375.21051025,780000,3,,,,,,,,,,,0.00813435,,,,,
2025-09-09,374.30123707,375.67006648,369.95493231,373.15222168,502500,4,,,,,,,,,,,-0.00548569,,,,,
2025-09-10,380.87567398,392.84546147,380.63585745,389.83804321,1305800,5,,,,,,,,,,,0.04471586,,,,,
2025-09-11,390.79722472,400.528928,388.62905758,389.3085022,1189400,6,,,,,,,,,,,-0.00135836,0.03602864,,,,
2025-09-12,387.8197732,391.59655613,381.94477077,382.20455933,833400,7,,,,,,,,,,,-0.01824759,0.02692631,,,,
2025-09-15,382.57423404,387.53000568,381.22537648,385.35186768,774900,8,,,,,,,,,,,0.00823462,0.02702845,,,,
2025-09-16,385.70153201,386.87054989,375.18049304,377.91815186,821900,9,,,,,,,,,,,-0.01929072,0.01277208,,,,
2025-09-17,378.17793498,382.2344779,373.08226847,375.69006348,887900,10,,,,,,,,,,,-0.00589569,-0.03629194,,,,
2025-09-18,377.70836899,393.08528974,375.75004511,390.31762695,1173100,11,,,,,,,,,,,0.03893519,0.0025921,,,,
2025-09-19,391.72640911,392.88542577,386.6107704,388.24935913,1493200,12,,,,,,,,,,,-0.00529894,0.01581561,,,,
2025-09-22,384.17285694,397.2617172,381.91477005,395.68304443,812600,13,,,,,,,,,,,0.01914668,0.02680972,,,,
2025-09-23,396.57233479,397.1818012,387.0904181,389.1986084,846500,14,,,,,,,,,,,-0.01638796,0.02984894,,,,
2025-09-24,399.88948372,406.73363115,396.03275207,402.52722168,1664700,15,,,,64.90756352,,,,,,,0.0342463,0.0714343,,,,
