date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-03,2367.87011719,2380.26000977,2342.70996094,2373.12011719,302300,1,,,,,,,,,,,,,,,,
2025-09-04,2376.67993164,2421.76000977,2372.11010742,2417.80004883,270700,2,,,,,,,,,,,0.01882751,,,,,
2025-09-05,2421.62988281,2450.2199707,2321.33007812,2417.48999023,493500,3,,,,,,,,,,,-0.00012824,,,,,
2025-09-08,2361.11010742,2373.92993164,2298.04003906,2346.95996094,789100,4,,,,,,,,,,,-0.0291749,,,,,
2025-09-09,2348.20996094,2378.23999023,2341.33007812,2373.01000977,272400,5,,,,,,,,,,,0.01109949,,,,,
2025-09-10,2377,2402.88989258,2318.41992188,2348.98999023,415600,6,,,,,,,,,,,-0.01012217,-0.0101681,,,,
2025-09-11,2357.08007812,2372.31005859,2331.55004883,2338.19995117,331200,7,,,,,,,,,,,-0.00459348,-0.03292253,,,,
2025-09-12,2325,2352.37988281,2290.5,2339.36010742,571800,8,,,,,,,,,,,0.00049617,-0.0323186,,,,
2025-09-15,2337.76000977,2352.43994141,2311.36010742,2335.82006836,375500,9,,,,,,,,,,,-0.00151325,-0.00474652,,,,
2025-09-16,2344.55004883,2394.16992188,2336.87011719,2390.13989258,436600,10,,,,,,,,,,,0.02325514,0.00721863,,,,
2025-09-17,2395.69995117,2468.25,2370.26000977,2446.32006836,418100,11,,,,,,,,,,,0.02350497,0.04143486,,,,
2025-09-18,2459.66992188,2531.18994141,2459.32006836,2476.37011719,378800,12,,,,,,,,,,,0.01228378,0.05909254,,,,
2025-09-19,2493.06005859,2500,2433.32006836,2452.34008789,416900,13,,,,,,,,,,,-0.00970373,0.04829525,,,,
2025-09-22,2442.11010742,2463.34008789,2415.76000977,2460.65991211,288400,14,,,,,,,,,,,0.00339261,0.05344583,,,,
2025-09-23,2460,2516.64990234,2433.48999023,2494.35009766,267700,15,,,,65.63570204,,,,,,,0.01369152,0.04360004,,,,
2025-09-24,2511.66992188,2530,2481.5,2510.9699707,272600,16,,,,67.15224736,,,,,,,0.00666301,0.02642741,,,,
2025-09-25,2507.88989258,2507.88989258,2443.15991211,2492.25,362500,17,,,,63.7401371,,,,,,,-0.00745527,0.00641256,,,,
2025-09-26,2499,2514.89990234,2459.35009766,2468.41992188,249700,18,,,,59.58929925,,,,,,,-0.00956167,0.00655693,,,,
2025-09-29,2492.22998047,2548.5,2484.64990234,2501.31005859,283200,19,,,,63.15560895,,,,,,,0.01332437,0.01652002,,,,
2025-09-30,2475,2481.10009766,2314.17993164,2336.93994141,928300,20,2416.04101562,,,42.81828487,2416.04101562,2540.21864331,2291.86338794,,,,-0.06571361,-0.06310668,,3.00825261,,volume_anomaly
2025-10-01,2344.29003906,2345,2172.77001953,2176.90991211,1189700,21,2406.23050537,,,32.01048229,2406.23050537,2567.7959565,2244.66505424,,,,-0.06847845,-0.13304024,-0.08268027,3.06103976,0.38964615,bollinger_below_lower|volume_anomaly
2025-10-02,2201.64990234,2250.86010742,2159.36010742,2246.60009766,897800,22,2397.67050781,,,39.20691306,2397.67050781,2573.3972938,2221.94372183,,,,0.03201335,-0.09856551,-0.07080815,1.62237234,0.40185682,
2025-10-03,2241.01000977,2249.5,2160,2172.75,617600,23,2385.4335083,,,34.98142547,2385.4335083,2586.23244076,2184.63457585,,,,-0.03287194,-0.11978105,-0.10123723,0.50162708,0.41433767,bollinger_below_lower
2025-10-06,2178.31005859,2178.31005859,2116,2154.2199707,636600,24,2375.79650879,,,33.99151832,2375.79650879,2600.17258029,2151.42043729,,,,-0.00852838,-0.13876332,-0.08212325,0.62129945,0.40519904,
2025-10-07,2151.87011719,2189.4699707,2118.27001953,2187.57006836,332300,25,2366.52451172,,,37.42371691,2366.52451172,2605.44924339,2127.59978005,,,,0.01548129,-0.06391686,-0.07814545,-0.60737271,0.40752529,
2025-10-08,2194.30004883,2199.11010742,2140.63989258,2179.88989258,396200,26,2358.06950684,,,36.94727083,2358.06950684,2610.46618529,2105.67282838,,,,-0.00351083,0.0013689,-0.07198843,-0.34644854,0.4068584,
2025-10-09,2183,2279.44995117,2170,2275,523200,27,2354.90950928,,,46.09901264,2354.90950928,2609.79240337,2100.02661518,,,,0.04363069,0.01264128,-0.02702932,0.1256136,0.43807514,
2025-10-10,2271.01000977,2280,2120,2133.66992188,731200,28,2344.625,,,37.40984154,2344.625,2617.17451735,2072.07548265,,,,-0.06212311,-0.01798646,-0.08792583,0.91706553,0.48632999,
2025-10-13,2150.01000977,2207.90991211,2146,2175.90991211,352500,29,2336.62949219,,,40.98987553,2336.62949219,2618.95019217,2054.30879221,,,,0.01979687,0.01006858,-0.06845996,-0.58002108,0.49330287,
2025-10-14,2150,2183.94995117,2121.40991211,2157.82006836,315600,30,2325.01350098,,,39.93634978,2325.01350098,2616.53904368,2033.48795827,,,,-0.00831369,-0.01359956,-0.09719926,-0.69431714,0.48410105,
2025-10-15,2181.91992188,2181.91992188,2033,2048.35009766,757000,31,2305.11500244,,,34.20673924,2305.11500244,2614.58036749,1995.6496374,,,,-0.05073174,-0.0603424,-0.16268107,0.94650891,0.49769376,
2025-10-16,2050.51000977,2071.7800293,2025.25,2043.06005859,818100,32,2283.44949951,,,33.95323428,2283.44949951,2602.44813893,1964.4508601,,,,-0.00258259,-0.10195162,-0.17497791,1.06998515,0.49256455,
2025-10-17,2061.89990234,2061.89990234,2020,2024.97998047,742100,33,2262.08149414,,,33.05167488,2262.08149414,2590.09103306,1934.07195522,,,,-0.00884951,-0.05094037,-0.17426625,0.71869337,0.49255979,
2025-10-20,2039.72998047,2105,2033.08996582,2102.11010742,360900,34,2244.15400391,,,40.33069028,2244.15400391,2565.92437124,1922.38363657,-87.6023489,-63.17167259,-24.43067632,0.03808933,-0.03391676,-0.14571286,-0.71510269,0.51758357,
2025-10-21,2105,2163.23999023,2096,2142.05004883,349400,35,2226.53900146,,,43.74173429,2226.53900146,2529.62387821,1923.45412472,-82.46321037,-67.02998014,-15.43323022,0.01899993,-0.00730831,-0.14123921,-0.78461683,0.52061338,
2025-10-22,2129.56005859,2131.43994141,2088.44995117,2095.20996094,283000,36,2205.75100098,,,40.79628287,2205.75100098,2483.96161684,1927.54038511,-81.23359932,-69.87070398,-11.36289534,-0.02186694,0.02287688,-0.16557745,-1.04115725,0.52051162,
2025-10-23,2108.68994141,2149.97998047,2095,2148.32006836,296000,37,2188.55450439,,,45.29441008,2188.55450439,2434.44390212,1942.66510666,-75.10778609,-70.9181204,-4.18966569,0.02534835,0.05152076,-0.13799977,-0.96850062,0.53352189,
2025-10-24,2171.82006836,2185,2140.02001953,2161.11010742,367600,38,2173.18901367,,,46.35151859,2173.18901367,2382.95772273,1963.42030461,-68.43214256,-70.42092483,1.98878227,0.00595351,0.06722542,-0.12449657,-0.73631566,0.53521586,
2025-10-27,2300,2304.09008789,2220,2282.32006836,640000,39,2162.23951416,,,55.18891684,2162.23951416,2318.35670904,2006.12231928,-52.75291338,-66.88732254,14.13440917,0.0560869,0.08572813,-0.08755012,0.25054683,0.57377631,
2025-10-28,2290.54003906,2298.05004883,2250.05004883,2290.13989258,385400,40,2159.89951172,,,55.6959701,2159.89951172,2306.59078479,2013.20823865,-39.24364056,-61.35858615,22.11494559,0.00342626,0.06913463,-0.02002621,-0.67814499,0.5279728,
2025-10-29,2283.41992188,2319.2800293,2251,2295.91992188,545800,41,2165.85001221,,,56.09145953,2165.85001221,2324.02439516,2007.67562925,-27.75114652,-54.63709822,26.8859517,0.00252388,0.09579468,0.05466924,0.14734164,0.46624271,
2025-10-30,2210.55004883,2428,2210,2360.76000977,892700,42,2171.55800781,,,60.3657189,2171.55800781,2348.1441815,1994.97183413,-13.25837471,-46.36135352,33.10297881,0.02824144,0.09888654,0.05081452,1.95444553,0.46346959,bollinger_above_upper
2025-10-31,2375,2419.7800293,2308,2327.26000977,754700,43,2179.2835083,,,57.26415575,2179.2835083,2368.47199056,1990.09502604,-4.42491104,-37.97406502,33.54915398,-0.01419035,0.07688174,0.07111265,1.16528138,0.44959591,
