date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,618.7050495,647.03074306,618.7050495,642.91009521,2566000,1,,,,,,,,,,,,,,,,
2025-09-23,643.21946276,643.26038546,620.79041094,631.97497559,2427200,2,,,,,,,,,,,-0.01700879,,,,,
2025-09-24,638.55002269,640.54549151,622.77584409,627.54498291,1617200,3,,,,,,,,,,,-0.00700976,,,,,
2025-09-25,613.51189393,618.34290387,592.03563684,606.14361572,3202500,4,,,,,,,,,,,-0.03410332,,,,,
2025-09-26,608.61802472,613.7463945,596.7549473,603.7989502,1845300,5,,,,,,,,,,,-0.00386817,,,,,
2025-09-29,611.06244264,615.04339313,595.0288436,601.06512451,2188700,6,,,,,,,,,,,-0.00452771,-0.06508682,,,,
2025-09-30,603.50957896,613.54678443,601.93216723,613.50689697,1818700,7,,,,,,,,,,,0.02069954,-0.0292228,,,,
2025-10-01,598.28147268,609.27646441,593.65197043,604.7767334,2423600,8,,,,,,,,,,,-0.01422994,-0.03628146,,,,
2025-10-02,609.7254551,621.08966454,602.24744063,604.85650635,2044600,9,,,,,,,,,,,0.0001319,-0.00212344,,,,
2025-10-03,608.90735418,610.36406845,586.66787453,593.64202881,2668500,10,,,,,,,,,,,-0.01854072,-0.01682169,,,,
2025-10-06,604.62706346,607.21122242,592.35494217,601.85333252,1950800,11,,,,,,,,,,,0.01383208,0.00131135,,,,
2025-10-07,601.78851677,608.00937609,590.65876039,604.74676514,2161700,12,,,,,,,,,,,0.00480754,-0.01427878,,,,
2025-10-08,611.6111542,625.02168059,597.64287335,624.03295898,2286500,13,,,,,,,,,,,0.03189136,0.03184022,,,,
2025-10-09,627.57492812,635.70648771,619.70382445,632.83300781,2414000,14,,,,,,,,,,,0.0141019,0.04625312,,,,
2025-10-10,628.57273684,632.83308266,601.22979356,603.19036865,3003600,15,,,,36.12602994,,,,,,,-0.04684117,0.01608434,,,,
2025-10-13,611.7908168,654.50382715,611.75092934,646.78137207,3406800,16,,,,51.90027658,,,,,,,0.07226741,0.07464948,,,,
2025-10-14,633.56135809,655.39179212,614.44479335,642.95001221,2890500,17,,,,50.71478075,,,,,,,-0.00592373,0.0631723,,,,
2025-10-15,648.6969457,663.18705235,612.19986587,614.55450439,3246000,18,,,,42.89463704,,,,,,,-0.04416441,-0.01518903,,,,
2025-10-16,620.09192919,622.21211478,593.85152666,600.6361084,3500600,19,,,,39.66597527,,,,,,,-0.02264794,-0.0508774,,,,
2025-10-17,593.92142145,607.43967618,590.31060186,598.64068604,2747700,20,615.02195129,,,39.21030561,615.02195129,647.79637825,582.24752434,,,,-0.00332218,-0.0075427,,0.42105894,,
2025-10-20,606.99512929,608.87165665,592.58183715,592.97113037,2634400,21,612.52500305,,,37.87884722,612.52500305,644.00391801,581.0460881,,,,-0.00947072,-0.08319696,-0.07767644,0.20453625,0.41524347,
2025-10-21,592.7615665,595.67620946,580.68397134,584.24737549,3956400,22,610.13862305,,,35.86099735,610.13862305,642.57945236,577.69779374,,,,-0.01471194,-0.09130202,-0.07552134,2.17716879,0.41439085,volume_anomaly
2025-10-22,605.87722948,608.4125093,531.73459627,574.93457031,10333100,23,607.50810242,,,33.79151599,607.50810242,642.32185895,572.69434588,,,,-0.01593983,-0.06446936,-0.08383529,4.11828051,0.41646819,volume_anomaly
