date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,150.27442903,153.27991097,149.92839635,153.2403717,4520400,1,,,,,,,,,,,,,,,,
2025-09-11,153.2700386,156.21620427,152.60764651,155.86029053,4289900,2,,,,,,,,,,,0.01709679,,,,,
2025-09-12,155.9591741,156.3447461,154.05109129,154.08074951,3194400,3,,,,,,,,,,,-0.01141754,,,,,
2025-09-15,154.15982554,156.68088014,153.94233693,156.5721283,3891400,4,,,,,,,,,,,0.01616931,,,,,
2025-09-16,158.03534145,158.13419717,155.85042338,156.77975464,6525200,5,,,,,,,,,,,0.00132607,,,,,
2025-09-17,156.76986016,157.51134587,155.83063285,156.51280212,3999200,6,,,,,,,,,,,-0.00170272,0.02135488,,,,
2025-09-18,155.52415033,156.49302075,154.72334819,156.39416504,3696100,7,,,,,,,,,,,-0.000758,0.00342534,,,,
2025-09-19,156.89837297,156.89837297,154.9111967,156.44360352,7083700,8,,,,,,,,,,,0.00031611,0.01533517,,,,
2025-09-22,156.27554036,157.98589656,155.88007225,157.62008667,3296700,9,,,,,,,,,,,0.00752017,0.00669313,,,,
2025-09-23,157.93645853,159.56772108,157.14553741,158.71748352,3287100,10,,,,,,,,,,,0.00696229,0.01235956,,,,
2025-09-24,159.32055856,161.17922092,158.87567015,159.54795837,4269800,11,,,,,,,,,,,0.00523241,0.01939238,,,,
2025-09-25,160.29933626,160.45752351,157.87715243,158.68783569,3917700,12,,,,,,,,,,,-0.005391,0.01466596,,,,
2025-09-26,160.16092506,163.47290084,159.85444669,161.49560547,3961700,13,,,,,,,,,,,0.01769367,0.0322928,,,,
2025-09-29,165.52926406,166.36962057,160.94193969,161.77241516,6216100,14,,,,,,,,,,,0.00171404,0.0263439,,,,
2025-09-30,162.42492249,165.59848822,162.00969227,165.43041992,4893700,15,,,,83.41468597,,,,,,,0.02261204,0.04229488,,,,rsi_overbought
2025-10-01,163.98697673,165.81598087,163.20595175,165.30187988,4034500,16,,,,82.78641909,,,,,,,-0.000777,0.0360639,,,,rsi_overbought
2025-10-02,165.2425624,166.33996186,164.00675288,164.73835754,3498100,17,,,,79.94364098,,,,,,,-0.00340905,0.03812845,,,,rsi_overbought
2025-10-03,164.91631907,165.36120752,163.62119301,164.68893433,2678300,18,,,,79.68519721,,,,,,,-0.00030001,0.01977347,,,,rsi_overbought
2025-10-06,165.10415922,167.82294029,165.10415922,166.88372803,3816900,19,,,,82.40544146,,,,,,,0.0133269,0.0315957,,,,rsi_overbought
2025-10-07,167.43736334,168.42601097,166.90350026,167.34838867,5186500,20,159.90584793,,,82.92668422,159.90584793,168.57367509,151.23802077,,,,0.00278434,0.01159381,,0.77719632,,rsi_overbought
2025-10-08,168.13931303,168.91045699,166.5179164,166.65634155,4683700,21,160.57664642,,,79.16502483,160.57664642,169.1533278,151.99996505,,,,-0.00413537,0.00819387,0.08754853,0.3220403,0.13897671,rsi_overbought
2025-10-09,167.0715703,167.22974245,160.06204705,160.33886719,5962400,22,160.80057526,,,54.74982007,160.80057526,169.10246613,152.49868438,,,,-0.03790719,-0.02670593,0.02873456,1.31847612,0.19419746,
2025-10-10,160.1707979,160.6157014,155.65268605,155.909729,7776400,23,160.89202423,,,44.40893326,160.89202423,168.93197474,152.85207372,,,,-0.02762361,-0.0533078,0.01187027,2.31767965,0.21477654,volume_anomaly
2025-10-13,156.65120855,157.73872694,155.58346733,157.04667664,5322300,24,160.91575165,,,47.16749196,160.91575165,168.90722158,152.92428171,,,,0.00729235,-0.05894554,0.00303086,0.45614438,0.20882486,
2025-10-14,156.40406461,158.75705098,155.50439157,157.59043884,3590500,25,160.95628586,,,48.4841451,160.95628586,168.87128848,153.04128324,,,,0.00346242,-0.0583092,0.00517085,-0.74146942,0.20909568,
2025-10-15,157.67940448,158.83612031,153.87310534,155.21766663,5954700,26,160.89152908,,,43.40132384,160.89152908,168.97038626,152.81267191,,,,-0.01505657,-0.0686363,-0.00827495,0.97401437,0.21574266,
2025-10-16,155.97894789,156.53258818,154.32790809,155.26712036,3926600,27,160.83517685,,,43.53419123,160.83517685,169.0532526,152.6171011,,,,0.00031861,-0.03163142,-0.00720644,-0.55918839,0.21574742,
