date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2026-06-12,150,176.52000427,149.33999634,160.94999695,519234800,1,,,,,,,,,,,,,,,,
2026-06-15,171.74000549,193,168.3500061,192.5,256226600,2,,,,,,,,,,,0.19602363,,,,,
2026-06-16,200.50999451,225.63999939,199.97999573,211.38999939,195401600,3,,,,,,,,,,,0.09812987,,,,,
2026-06-17,209.83999634,213.80000305,187.00999451,191.82000732,201719500,4,,,,,,,,,,,-0.09257766,,,,,
2026-06-18,188.38999939,190,172.11000061,185,272126800,5,,,,,,,,,,,-0.0355542,,,,,
2026-06-22,176.03999329,176.75,154,154.6000061,169183800,6,,,,,,,,,,,-0.16432429,-0.03945319,,,,
2026-06-23,151.05999756,165.5,147.11000061,156.11000061,155848100,7,,,,,,,,,,,0.00976711,-0.18903896,,,,
2026-06-24,154.19999695,159.86000061,150.72000122,154.53999329,76101500,8,,,,,,,,,,,-0.01005706,-0.26893423,,,,
2026-06-25,156.63000488,160.6499939,150,153,62212400,9,,,,,,,,,,,-0.00996501,-0.20237726,,,,
2026-06-26,150.61999512,158.3999939,148.50999451,153.22999573,126932900,10,,,,,,,,,,,0.00150324,-0.17172975,,,,
2026-06-29,157.36000061,166.16999817,151.74000549,164.19000244,81443100,11,,,,,,,,,,,0.07152651,0.06203102,,,,
2026-06-30,163.38000488,172.3999939,161.63999939,170.86000061,82047500,12,,,,,,,,,,,0.04062366,0.09448466,,,,
2026-07-01,171.57000732,171.74000549,155,157.53999329,109317600,13,,,,,,,,,,,-0.07795861,0.01941245,,,,
2026-07-02,159.72999573,162.16000366,155.88000488,162,61257100,14,,,,,,,,,,,0.02831031,0.05882353,,,,
2026-07-06,165.94999695,167.8999939,155.03999329,160.41999817,188831300,15,,,,49.82223158,,,,,,,-0.0097531,0.04692294,,,,
2026-07-07,158.91999817,159.30000305,148.86000061,149.47000122,83779700,16,,,,46.16992226,,,,,,,-0.0682583,-0.08965224,,,,
2026-07-08,152.55000305,152.92999268,145.19999695,148.30000305,60949400,17,,,,45.78372308,,,,,,,-0.00782765,-0.13203791,,,,
2026-07-09,150.44999695,153.5,147.58999634,152.16000366,46468600,18,,,,47.34849089,,,,,,,0.02602832,-0.03414999,,,,
2026-07-10,150.13000488,150.57000732,145.07000732,145.30000305,46826000,19,,,,44.86994365,,,,,,,-0.04508412,-0.1030864,,,,
2026-07-13,144.69999695,144.91999817,136.77999878,139.13999939,71456500,20,163.12600021,,,42.7080122,163.12600021,198.94578848,127.30621195,,,,-0.04239507,-0.13265178,,-0.65551209,,
2026-07-14,140.94999695,143.33000183,135.52000427,136.08000183,46694800,21,161.88250046,,,41.6348432,161.88250046,199.59486279,124.17013813,,,,-0.02199222,-0.08958319,-0.15452001,-1.04565141,1.16650154,
2026-07-15,137.50999451,139.33999634,132.1499939,135.27000427,58040900,22,159.02100067,,,41.33872632,159.02100067,195.67653618,122.36546516,,,,-0.00595236,-0.08786243,-0.29729868,-0.81474486,0.90683158,
2026-07-16,135.00999451,137.75999451,130.74000549,131.11000061,58725600,23,155.00700073,,,39.77413241,155.00700073,184.78084632,125.23315515,,,,-0.03075333,-0.13834124,-0.37977198,-0.72214274,0.80695648,
2026-07-17,127.43000031,130.33000183,122.12000275,123.98999786,83706200,24,151.61550026,,,37.18037452,151.61550026,179.21702525,124.01397527,,,,-0.05430557,-0.14666211,-0.3536128,-0.23471577,0.77515746,bollinger_below_lower
2026-07-20,125.29000092,125.69999695,119.68000031,119.84999847,57337300,25,148.35800018,,,35.72167663,148.35800018,174.78343132,121.93256904,,,,-0.03338979,-0.13863735,-0.35216217,-0.70655954,0.77465757,bollinger_below_lower
2026-07-21,122.11000061,129.88000488,120.36000061,123.54000092,79718100,26,146.80499992,,,38.05445113,146.80499992,175.16077996,118.44921989,,,,0.03078851,-0.09215168,-0.20090559,-0.05949491,0.58924284,
2026-07-22,123.29000092,124.76999664,115.19000244,115.26000214,92731800,27,144.7625,,,34.98618446,144.7625,175.89228971,113.63271029,,,,-0.06702282,-0.14792638,-0.26167445,0.43242733,0.61534895,
2026-07-23,115.20999908,118.55000305,110.84999847,118.23999786,75246500,28,142.94750023,,,36.95633383,142.94750023,175.77211995,110.12288051,,,,0.02585455,-0.09816187,-0.23489062,-0.1062082,0.63081532,
2026-07-24,116.01000214,117,111.40000153,115.06999969,56786100,29,141.05100021,,,35.7164256,141.05100021,175.66731526,106.43468517,,,,-0.02680986,-0.07194127,-0.2479085,-0.66457431,0.63265152,
2026-07-27,113.5,114.84999847,108.66000366,113.5,64540700,30,139.06450043,,,35.08852484,139.06450043,175.18444613,102.94455472,,,,-0.01364387,-0.05298288,-0.25928341,-0.35051589,0.63033893,
2026-07-28,109.31999969,118.12999725,107.01000214,116.41000366,81714300,31,136.67550049,,,37.2891416,136.67550049,172.14673206,101.20426891,,,,0.0256388,-0.05771408,-0.29100431,0.20875152,0.56878425,
2026-07-29,114.40000153,117.58999634,110.34999847,112.55000305,53995200,32,133.76000061,,,35.56669801,133.76000061,167.03010171,100.48989951,,,,-0.03315867,-0.02351205,-0.34127354,-0.64261323,0.53165997,
2026-07-30,115.13999939,118.93000031,111.34999847,112.19999695,56008000,33,131.49300079,,,35.40699079,131.49300079,164.14589677,98.84010482,,,,-0.00310978,-0.05108255,-0.28779991,-0.50600374,0.49046943,
2026-07-31,113.09999847,113.63999939,107.56999969,108.37000275,58835700,34,128.81150093,,,33.62755044,128.81150093,159.76709908,97.85590278,-16.19654405,-16.78352432,0.58698026,-0.03413542,-0.0582254,-0.33104937,-0.40744518,0.4658014,
2026-08-03,106.40000153,114.91999817,104.83000183,114.52999878,70524000,35,126.51700096,,,38.94251448,126.51700096,154.41257369,98.62142823,-15.41654122,-16.5101277,1.09358648,0.05684226,0.00907488,-0.28606159,0.39522972,0.53512077,
2026-08-04,117.33000183,126.70999908,115.72000122,125.33000183,144130100,36,125.31000099,,,46.96169917,125.31000099,151.14117075,99.47883123,-13.76820211,-15.96174258,2.19354047,0.09429846,0.0766257,-0.16150398,3.5153514,0.62380736,volume_anomaly
2026-08-05,112.37000275,117.5,106.66000366,108.26999664,208488400,37,123.30850067,,,38.38544176,123.30850067,147.87656181,98.74043954,-13.68077783,-15.50554963,1.8247718,-0.13612068,-0.0380276,-0.26992586,3.56060672,0.76522732,volume_anomaly
