date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-09,74.21518402,74.98476329,70.43634481,71.61045074,13545200,1,,,,,,,,,,,,,,,,
2025-09-10,72.3109705,73.73173694,71.146733,72.34056854,5511300,2,,,,,,,,,,,0.01019569,,,,,
2025-09-11,70.88034329,75.12290604,70.29822824,74.04747009,3595600,3,,,,,,,,,,,0.02359536,,,,,
2025-09-12,73.64569626,75.72888395,72.50490066,75.37177277,2508600,4,,,,,,,,,,,0.01788451,,,,,
2025-09-15,77.46487644,81.00630542,76.87960309,80.39126587,5011900,5,,,,,,,,,,,0.06659646,,,,,
2025-09-16,80.1234236,81.34358064,79.28022946,80.29206848,2255700,6,,,,,,,,,,,-0.00123393,0.12123395,,,,
2025-09-17,80.24246255,81.78997209,78.27831699,79.51831055,2616700,7,,,,,,,,,,,-0.00963679,0.09922153,,,,
2025-09-18,80.30198684,80.94678506,78.69495989,80.28215027,2217900,8,,,,,,,,,,,0.00960583,0.08419842,,,,
2025-09-19,81.44278103,83.25813354,80.65910414,81.18486023,3672600,9,,,,,,,,,,,0.01124422,0.07712552,,,,
2025-09-22,79.79606658,81.82965145,79.24054433,79.73654175,2537400,10,,,,,,,,,,,-0.01783976,-0.00814422,,,,
2025-09-23,80.21271184,82.72245783,78.95287402,79.4786377,2249000,11,,,,,,,,,,,-0.00323445,-0.0101309,,,,
2025-09-24,82.8315692,84.92467891,80.49046077,80.92694092,3532700,12,,,,,,,,,,,0.01822255,0.01771454,,,,
2025-09-25,81.05590538,86.60116102,79.64727439,84.15093231,4456000,13,,,,,,,,,,,0.0398383,0.04818982,,,,
2025-09-26,83.23829886,88.63474617,82.73237932,87.3947525,4186600,14,,,,,,,,,,,0.03854764,0.07649077,,,,
2025-09-29,89.85490269,90.57905476,85.34132273,86.18451691,3344100,15,,,,82.89427281,,,,,,,-0.01384792,0.080866,,,,rsi_overbought
2025-09-30,84.81556188,84.87507916,78.66519668,80.43094635,5385600,16,,,,64.77635837,,,,,,,-0.06675875,0.01198194,,,,
2025-10-01,81.31382081,84.8949229,81.31382081,83.79380798,3616400,17,,,,69.03620618,,,,,,,0.04181054,0.03542537,,,,
2025-10-02,84.31956878,89.36881933,84.04181141,86.90867615,3121700,18,,,,72.36943379,,,,,,,0.03717301,0.0327714,,,,rsi_overbought
2025-10-03,86.42260104,88.48594474,85.16276324,87.51379395,2570400,19,,,,72.97800739,,,,,,,0.00696269,0.00136211,,,,rsi_overbought
2025-10-06,88.88274871,92.97969282,87.79155574,91.29329681,3402600,20,81.14258804,,,76.46476183,81.14258804,91.33487681,70.95029927,,,,0.04318751,0.05927724,,-0.23395057,,rsi_overbought
2025-10-07,91.16432586,92.38447525,88.29746142,89.80529022,2238900,21,82.05233002,,,72.49844379,82.05233002,91.9218985,72.18276153,,,,-0.01629919,0.11655146,0.25408078,-1.12903225,0.45782414,rsi_overbought
2025-10-08,91.22385184,92.10672671,88.9720267,90.95601654,2518900,22,82.98310242,,,73.63729765,82.98310242,92.51906055,73.44714428,,,,0.01281357,0.0854742,0.25733068,-0.79301145,0.45779811,rsi_overbought
2025-10-09,94.85455575,99.06061204,93.69391596,95.72750854,5594900,23,84.06710434,,,77.75144125,84.06710434,94.20362886,73.93057982,,,,0.05245933,0.10147241,0.29278567,2.12596869,0.47753075,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-10,94.63631585,95.3902341,89.0315431,89.14066315,4302600,24,84.75554886,,,63.10967643,84.75554886,94.28863585,75.22246187,,,,-0.06880828,0.01858986,0.18267967,0.81547933,0.55510868,
2025-10-13,91.29329095,98.33645335,91.26353232,95.56878662,4161000,25,85.5144249,,,69.20452956,85.5144249,95.91404052,75.11480927,,,,0.07211213,0.04683246,0.18879564,0.75609394,0.56259208,
2025-10-14,91.90832375,96.88813453,90.27153074,95.4695816,3624800,26,86.27330055,,,69.01502114,86.27330055,97.23755446,75.30904664,,,,-0.00103805,0.06307303,0.1890288,0.16151957,0.56254621,
2025-10-15,97.25517969,98.69356925,94.80495111,97.3742218,3313200,27,87.16609612,,,70.67533809,87.16609612,98.67898631,75.65320592,,,,0.01995023,0.07056383,0.22455094,-0.19811018,0.55928368,rsi_overbought
2025-10-16,97.75117446,98.35629193,93.5351963,94.52719116,2606700,28,87.87834816,,,65.06307216,87.87834816,99.36211195,76.39458437,,,,-0.02923803,-0.0125389,0.17743721,-0.98167458,0.57622305,
2025-10-17,92.68208327,95.23150984,90.76753282,91.99760437,3547300,29,88.41898537,,,60.46853349,88.41898537,99.60561911,77.23235162,,,,-0.02676041,0.03204981,0.13318671,0.03409283,0.58910203,
2025-10-20,93.24751584,96.90797926,93.24751584,95.37038422,2927100,30,89.20067749,,,64.10792672,89.20067749,100.03045256,78.37090242,,,,0.03666161,-0.00207602,0.19606873,-0.66451766,0.59036644,
2025-10-21,93.74351794,94.10063671,90.19217438,90.60881042,2486900,31,89.75718613,,,56.23653034,89.75718613,99.63332792,79.88104434,,,,-0.04992717,-0.05091434,0.1400398,-1.17851344,0.62436725,
2025-10-22,90.07314404,91.25361288,88.04947344,90.53937531,1984300,32,90.23780785,,,56.12830341,90.23780785,99.24568804,81.22992765,,,,-0.00076632,-0.07019154,0.11877916,-1.54415005,0.62365814,
2025-10-23,93.74351392,97.27501318,93.20783579,96.58061981,3455700,33,90.85929222,,,62.83073883,90.85929222,99.8165896,81.90199484,,,,0.06672505,0.02172315,0.14770707,0.03873863,0.64827156,
2025-10-24,99.36812142,106.1037673,98.85228743,104.79433441,5109700,34,91.72927132,,,69.62525744,91.72927132,102.38958064,81.06896199,5.05011055,5.12076935,-0.07065881,0.08504516,0.13909851,0.19909184,1.656328,0.69442384,bollinger_above_upper
2025-10-27,102.93930579,104.62570163,94.92399287,95.45967102,4094700,35,92.19302902,,,56.89606788,92.19302902,102.65325015,81.73280789,4.77206127,5.05102774,-0.27896646,-0.08907603,0.00093621,0.10761973,0.59068,0.77156569,
2025-10-28,96.2234973,96.37229804,94.01134553,95.90605927,2509900,36,92.96678467,,,57.29811757,92.96678467,102.02821038,83.90535896,4.53544325,4.94791084,-0.41246759,0.0046762,0.05846285,0.19240247,-0.91904281,0.72447079,
