date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-17,2.32999992,2.38000011,2.22000003,2.24000001,2627600,1,,,,,,,,,,,,,,,,
2025-09-18,2.27999997,2.55999994,2.27999997,2.47000003,5211900,2,,,,,,,,,,,0.10267858,,,,,
2025-09-19,2.49000001,2.5,2.3900001,2.45000005,3779600,3,,,,,,,,,,,-0.00809716,,,,,
2025-09-22,2.42000008,2.51999998,2.3499999,2.5,2909700,4,,,,,,,,,,,0.02040814,,,,,
2025-09-23,2.5999999,3.02999997,2.58999991,2.80999994,10914700,5,,,,,,,,,,,0.12399998,,,,,
2025-09-24,2.9000001,3.1400001,2.83999991,2.92000008,6439500,6,,,,,,,,,,,0.03914596,0.30357146,,,,
2025-09-25,2.8499999,3.02999997,2.79999995,2.91000009,4047800,7,,,,,,,,,,,-0.00342465,0.17813767,,,,
2025-09-26,2.9000001,3.13000011,2.9000001,3.1099999,5420900,8,,,,,,,,,,,0.06872845,0.26938769,,,,
2025-09-29,3.25,3.3900001,2.9000001,2.96000004,6745700,9,,,,,,,,,,,-0.04823147,0.18400002,,,,
2025-09-30,2.95000005,2.97000003,2.82999992,2.9000001,4861600,10,,,,,,,,,,,-0.02027025,0.03202852,,,,
2025-10-01,2.8900001,2.95000005,2.79999995,2.86999989,3105100,11,,,,,,,,,,,-0.0103449,-0.01712335,,,,
2025-10-02,2.94000006,3.1400001,2.82999992,2.99000001,4920700,12,,,,,,,,,,,0.04181189,0.02749138,,,,
2025-10-03,3.00999999,3.28999996,3.00999999,3.11999989,5745000,13,,,,,,,,,,,0.04347822,0.00321543,,,,
2025-10-06,3.25,3.25999999,3.01999998,3.17000008,3329700,14,,,,,,,,,,,0.0160257,0.07094596,,,,
2025-10-07,3.17000008,3.53999996,3.13000011,3.1400001,8431100,15,,,,80.00000318,,,,,,,-0.00946371,0.08275862,,,,rsi_overbought
2025-10-08,3.18000007,3.38000011,3.1400001,3.23000002,4162700,16,,,,81.21387473,,,,,,,0.02866239,0.12543559,,,,rsi_overbought
2025-10-09,3.27999997,3.48000002,3.1400001,3.18000007,4246100,17,,,,78.3681393,,,,,,,-0.01547986,0.06354517,,,,rsi_overbought
2025-10-10,3.20000005,3.38000011,2.8599999,2.8900001,6137400,18,,,,64.29596935,,,,,,,-0.09119495,-0.07371788,,,,
2025-10-13,3.01999998,3.11999989,2.8599999,3.1099999,3940100,19,,,,68.86367305,,,,,,,0.07612449,-0.0189275,,,,
2025-10-14,2.98000002,3.17000008,2.86999989,3.07999992,2749700,20,2.90250001,,,67.59376989,2.90250001,3.44857233,2.35642768,,,,-0.00964629,-0.01910834,,-1.11692571,,
2025-10-15,3.17000008,3.27999997,3.11999989,3.26999998,3333400,21,2.95400001,,,71.21431945,2.95400001,3.43025202,2.47774799,,,,0.06168833,0.01238389,0.45982141,-0.85848772,0.7961253,rsi_overbought
2025-10-16,3.30999994,3.54999995,3.23000002,3.25999999,4924800,22,2.99350001,,,70.76619118,2.99350001,3.43219236,2.55480765,,,,-0.0030581,0.02515721,0.31983804,-0.04194321,0.74041864,rsi_overbought
2025-10-17,3.18000007,3.31999993,3.08999991,3.1099999,3756200,23,3.0265,,,64.23648804,3.0265,3.38944764,2.66355236,,,,-0.0460123,0.07612449,0.26938769,-0.63548123,0.7665095,
2025-10-20,3.24000001,3.79999995,3.21000004,3.77999997,7306600,24,3.0905,,,75.23044129,3.0905,3.50698407,2.67401593,,,,0.21543412,0.21543412,0.51199999,1.05833845,1.03850935,bollinger_above_upper|rsi_overbought
2025-10-21,3.66000009,3.75,3.30999994,3.38000011,5907000,25,3.11900001,,,62.81536766,3.11900001,3.53280671,2.7051933,,,,-0.10582007,0.09740266,0.20284704,0.62692207,1.06075414,
2025-10-22,3.36999989,3.43000007,2.94000006,3.00999999,4930100,26,3.1235,,,53.9468945,3.1235,3.53045331,2.7165467,,,,-0.10946749,-0.0795107,0.03082189,0.02073859,1.13388133,
2025-10-23,3.07999992,3.21000004,3.00999999,3.07999992,2833200,27,3.13199999,,,55.23456919,3.13199999,3.52770696,2.73629303,,,,0.02325579,-0.05521474,0.05841919,-1.33203782,1.13544307,
2025-10-24,3.18000007,3.28999996,3.1099999,3.13000011,3334000,28,3.133,,,56.17712446,3.133,3.52858059,2.73741942,,,,0.01623383,0.00643094,0.00643094,-0.91318346,1.11279999,
2025-10-27,3.20000005,3.24000001,3.00999999,3.06999993,5450500,29,3.1385,,,54.68903212,3.1385,3.52730716,2.74969284,,,,-0.01916939,-0.1878307,0.03716213,0.5292974,1.10051962,
2025-10-28,3.24000001,3.4000001,3.03999996,3.19000006,6007400,30,3.153,,,57.13466047,3.153,3.52647559,2.77952441,,,,0.03908799,-0.05621303,0.09999998,0.85185408,1.10308923,
2025-10-29,3.19000006,3.20000005,3.01999998,3.02999997,3182300,31,3.161,,,53.02513122,3.161,3.51629707,2.80570294,,,,-0.05015677,0.00664451,0.05574916,-1.03386315,1.11950315,
2025-10-30,3.03999996,3.03999996,2.75,2.81999993,4464800,32,3.1525,,,48.13176157,3.1525,3.53112252,2.77387748,,,,-0.06930694,-0.08441558,-0.05685621,-0.16266948,1.13944376,
2025-10-31,2.83999991,2.8900001,2.75,2.8599999,2863100,33,3.1395,,,49.0953871,3.1395,3.53897343,2.74002656,,,,0.01418438,-0.08626205,-0.08333333,-1.11173522,1.129683,
2025-11-03,2.8900001,2.9000001,2.70000005,2.75999999,2689900,34,3.11899999,,,46.75668348,3.11899999,3.550875,2.68712498,0.02862811,0.12455662,-0.09592851,-0.034965,-0.10097718,-0.12933756,-1.17947161,1.13325524,
2025-11-04,2.69000006,2.74000001,2.58999991,2.61999989,3500500,35,3.09299998,,,43.62361686,3.09299998,3.57624324,2.60975673,-0.00476888,0.09869152,-0.1034604,-0.05072468,-0.17868344,-0.16560516,-0.60726164,1.14448915,
2025-11-05,2.5,2.70000005,2.4000001,2.5999999,5452800,36,3.06149998,,,43.17849458,3.06149998,3.58534256,2.53765739,-0.0324757,0.07245807,-0.10493378,-0.00763358,-0.14191421,-0.19504647,0.83654972,1.13729848,
2025-11-06,2.6500001,2.6500001,2.25,2.25,4163300,37,3.01499997,,,36.214436,3.01499997,3.64321971,2.38678023,-0.08173345,0.04161977,-0.12335322,-0.13461535,-0.20212764,-0.29245285,-0.13887459,1.21852484,bollinger_below_lower
2025-11-07,2.20000005,2.26999998,2.1500001,2.22000003,2858800,38,2.98149997,,,35.68318938,2.98149997,3.69805494,2.264945,-0.12178743,0.00893833,-0.13072576,-0.01333332,-0.22377619,-0.23183393,-1.02707025,1.18594686,bollinger_below_lower
2025-11-10,2.29999995,2.32999992,2.20000005,2.26999998,3117900,39,2.93949997,,,37.33319507,2.93949997,3.71689243,2.16210752,-0.14779227,-0.02240779,-0.12538448,0.0225225,-0.17753624,-0.27009644,-0.78196643,1.15064942,
2025-11-11,2.24000001,2.25,2.16000009,2.23000002,2003400,40,2.89699998,,,36.52589229,2.89699998,3.72997298,2.06402698,-0.16967306,-0.05186084,-0.11781222,-0.01762113,-0.14885492,-0.275974,-1.54724073,1.15068085,
2025-11-12,2.23000002,2.3499999,2.19000006,2.32999992,3471900,41,2.84999998,,,40.01799461,2.84999998,3.69939979,2.00060017,-0.17690534,-0.07686974,-0.10003559,0.04484301,-0.10384615,-0.28746179,-0.47193855,1.13822507,
2025-11-13,2.28999996,2.29999995,2.1099999,2.16000009,2468900,42,2.79499998,,,36.35613517,2.79499998,3.67305465,1.91694531,-0.19411687,-0.10031917,-0.09379771,-0.07296131,-0.03999996,-0.33742328,-1.09639669,1.15508253,
2025-11-14,2.08999991,2.23000002,2.06999993,2.16000009,1688200,43,2.74749999,,,36.35613517,2.74749999,3.65455842,1.84044156,-0.20538954,-0.12133324,-0.0840563,0,-0.027027,-0.30546619,-1.49070721,1.15189334,
2025-11-17,2.16000009,2.20000005,2.06999993,2.07999992,1563300,44,2.66249999,,,34.62683315,2.66249999,3.4808856,1.84411437,-0.21826256,-0.14071911,-0.07754345,-0.03703711,-0.08370047,-0.44973547,-1.52789217,0.7877261,
2025-11-18,2.04999995,2.1099999,2.02999997,2.07999992,1224400,45,2.59749998,,,34.62683315,2.59749998,3.38347389,1.81152607,-0.22586093,-0.15774747,-0.06811346,0,-0.06726462,-0.38461543,-1.62497245,0.73985747,
2025-11-19,2.08999991,2.19000006,1.96000004,1.98000002,2623600,46,2.54599998,,,32.39313634,2.54599998,3.35183866,1.7401613,-0.23721736,-0.17364145,-0.06357591,-0.04807688,-0.15021456,-0.34219268,-0.49003754,0.67711904,
