date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,111.36210903,116.44188226,110.22155406,114.53456879,5945432,1,,,,,,,,,,,,,,,,
2025-09-25,113.36527278,114.15119693,111.27585609,113.05857086,3179860,2,,,,,,,,,,,-0.01288692,,,,,
2025-09-26,112.7997834,114.01700822,112.07136357,112.13845062,1259691,3,,,,,,,,,,,-0.00813844,,,,,
2025-09-29,115.69430364,117.55368825,114.93712788,116.05850983,1987695,4,,,,,,,,,,,0.03495732,,,,,
2025-09-30,115.63679285,116.31729126,114.16078751,116.31729126,2054707,5,,,,,,,,,,,0.00222975,,,,,
2025-10-01,116.84444154,118.46421879,116.52814932,117.54410553,1488231,6,,,,,,,,,,,0.01054714,0.02627623,,,,
2025-10-02,119.06805027,120.36195262,117.71663614,120.11276245,1562324,7,,,,,,,,,,,0.02185271,0.06239413,,,,
2025-10-03,121.33955809,124.43534815,121.06161206,122.95933533,2540214,8,,,,,,,,,,,0.02369917,0.09649576,,,,
2025-10-06,125.16377229,127.71324566,124.42576961,124.57911682,2648070,9,,,,,,,,,,,0.01317331,0.07341648,,,,
2025-10-07,125.6717463,126.49600911,121.41623563,121.4641571,2290944,10,,,,,,,,,,,-0.02500387,0.0442485,,,,
2025-10-08,125.55674029,128.90172056,125.3650469,127.02316284,2252358,11,,,,,,,,,,,0.04576663,0.08064256,,,,
2025-10-09,130.09019166,130.82819431,124.41618006,125.14459991,2054091,12,,,,,,,,,,,-0.01478914,0.04189261,,,,
2025-10-10,126.13180501,126.63977561,119.62394007,119.90189362,3232813,13,,,,,,,,,,,-0.04189319,-0.02486547,,,,
2025-10-13,125.82510985,128.48959935,124.40660119,127.66532898,1916885,14,,,,,,,,,,,0.06474823,0.02477311,,,,
2025-10-14,123.9752922,127.25319287,122.21175055,125.31712341,2063225,15,,,,63.23218709,,,,,,,-0.01839345,0.03172101,,,,
2025-10-15,127.46404651,127.64615711,124.95291186,126.41933441,1180877,16,,,,64.27303089,,,,,,,0.00879537,-0.00475369,,,,
2025-10-16,127.95284838,130.51191195,126.0934713,127.73240662,1978151,17,,,,65.52510285,,,,,,,0.01038664,0.02067853,,,,
2025-10-17,126.44808837,127.2436028,123.21812418,124.41618347,1321880,18,,,,59.82292711,,,,,,,-0.02596227,0.03764986,,,,
2025-10-20,126.99440132,129.63014219,125.97844514,129.33302307,1243374,19,,,,64.724476,,,,,,,0.03951929,0.01306301,,,,
2025-10-21,124.59828495,126.01679349,122.39385227,122.98809052,1816725,20,121.73540077,,,55.3416659,121.73540077,131.99213163,111.47866992,,,,-0.04905887,-0.01858511,,-0.37235573,,
2025-10-22,122.15424886,123.4960726,120.03607627,121.64627075,1298482,21,122.09098587,,,53.57293532,122.09098587,131.80314101,112.37883074,,,,-0.01091016,-0.0377558,0.06209219,-1.13256845,0.45897298,
2025-10-23,125.56631839,125.80592575,122.87307324,123.03601074,1038745,22,122.58985786,,,55.17099363,122.58985786,131.37576559,113.80395014,,,,0.01142444,-0.03676746,0.08825019,-1.48146958,0.4557776,
2025-10-24,123.54399554,125.64300257,122.43219636,123.9657135,1033511,23,123.18122101,,,56.25576319,123.18122101,130.55180756,115.81063446,,,,0.00755635,-0.00362067,0.10547018,-1.43371761,0.45345865,
2025-10-27,125.55673662,127.64615326,124.90498661,127.46404266,1524559,24,123.75149765,,,60.1621521,123.75149765,130.57400406,116.92899124,,,,0.02822013,-0.01445091,0.09827399,-0.52788219,0.44850358,
2025-10-28,125.97845227,133.18598882,125.84427065,132.61091614,1917090,25,124.56617889,,,65.10009819,124.56617889,131.53296767,117.59939012,,,,0.04037902,0.07824193,0.14007913,0.16981312,0.46456573,bollinger_above_upper
2025-10-29,135.45750345,138.79290084,134.66198902,135.79296875,1767775,26,125.47862206,,,67.76072685,125.47862206,133.26015114,117.69709297,,,,0.0239954,0.11629373,0.1552512,-0.11716936,0.46817432,bollinger_above_upper
2025-10-30,134.11567245,135.46709395,132.17002772,134.28819275,1450363,27,126.18739357,,,65.22825288,126.18739357,134.452137,117.92265014,,,,-0.0110814,0.09145438,0.11801769,-0.66421965,0.46947222,
2025-10-31,134.51821883,135.62044263,132.27545508,133.03262329,1583054,28,126.69105797,,,63.10886299,126.69105797,135.3269502,118.05516573,,,,-0.00934981,0.07314046,0.08192373,-0.36105543,0.46771951,
2025-11-03,133.03262824,133.03262824,129.56304175,132.54382324,1412598,29,127.08929329,,,62.26072895,127.08929329,136.02815129,118.15043529,,,,-0.00367429,0.03985266,0.06393292,-0.59514483,0.46735869,
2025-11-04,127.13816835,128.07744719,124.60786817,125.35546112,2114125,30,127.28385849,,,51.33457117,127.28385849,135.88761135,118.68010563,,,,-0.05423385,-0.05471235,0.03203664,0.7983279,0.49967188,
2025-11-05,126.42892524,130.64610484,126.323492,130.27230835,1358721,31,127.44631577,,,56.90537452,127.44631577,136.14640588,118.74622566,,,,0.03922324,-0.04065498,0.02557916,-0.61863249,0.4929295,
2025-11-06,131.02947472,132.97511948,129.77391116,131.53746033,1921503,32,127.76595879,,,58.2303232,127.76595879,136.57338718,118.95853039,,,,0.0097116,-0.0204838,0.05108379,0.53488517,0.4898535,
2025-11-07,129.86974665,131.40326367,128.67167992,130.93362427,1112530,33,128.31754532,,,57.32443057,128.31754532,136.44108647,120.19400417,,,,-0.0045906,-0.01577808,0.09200631,-1.26464781,0.46307654,
2025-11-10,134.34570448,134.75783213,132.30421681,133.69395447,1051572,34,128.61897659,,,60.36030954,128.61897659,137.06436323,120.17358996,3.30689909,3.63121273,-0.32431364,0.0210819,0.00867737,0.0472221,-1.29400724,0.41392732,
2025-11-11,134.18277553,134.18277553,131.97834284,132.76426697,866236,35,128.99133377,,,58.8420243,128.99133377,137.47815859,120.50450895,3.26617917,3.55820602,-0.29202684,-0.00695385,0.05910238,0.05942638,-1.63711776,0.4084549,
2025-11-12,135.47867606,136.19828201,133.00871277,133.00871277,841036,36,129.32080269,,,59.13309862,129.32080269,137.89383174,120.74777364,3.21655464,3.48987574,-0.2733211,0.0018412,0.02100527,0.05212319,-1.57212034,0.40796803,
2025-11-13,133.56298287,134.39927018,127.89372236,128.3896637,1398333,37,129.35366554,,,51.69363476,129.35366554,137.90710408,120.80022701,2.77254798,3.34641019,-0.57386221,-0.03472742,-0.0239308,0.00514558,-0.01487223,0.42692124,
2025-11-14,125.05423883,129.30375221,123.61504968,127.08660889,771603,38,129.48718681,,,49.79057286,129.48718681,137.80837437,121.16599926,2.28913613,3.13495538,-0.84581925,-0.01014922,-0.02938142,0.02146365,-1.58852932,0.41792579,
2025-11-17,126.41563922,127.22276375,122.05916531,123.54698181,1560920,39,129.19788475,,,44.94971535,129.19788475,137.91337862,120.48239088,1.60194422,2.82835314,-1.22640893,-0.02785209,-0.07589702,-0.04473754,0.44308851,0.40533222,
2025-11-18,122.29253634,123.44972772,120.28933673,120.71720886,1747433,40,129.08434067,,,41.47779612,129.08434067,138.17171258,119.99696876,0.81955335,2.42659318,-1.60703984,-0.02290443,-0.09074021,-0.01846424,0.95025103,0.37608265,
2025-11-19,122.52592888,124.16933319,120.83390478,121.92302704,1624652,41,129.09817848,,,43.48111985,129.09817848,138.14093625,120.05542072,0.29342003,1.99995855,-1.70653852,0.00998878,-0.08334556,0.00227509,0.57774066,0.37584913,
2025-11-20,123.13855813,124.02346523,116.13707632,116.7108078,1555219,42,128.78191833,,,37.50469298,128.78191833,139.01474791,118.54908876,-0.53792607,1.49238163,-2.0303077,-0.04275008,-0.09096414,-0.05140936,0.33468606,0.40166648,bollinger_below_lower
2025-11-21,116.71080356,120.80472899,115.96203488,120.27961731,1242058,43,128.59761353,,,43.25575543,128.59761353,139.29310728,117.90211977,-0.89844403,1.0142165,-1.91266053,0.03057823,-0.05356183,-0.0297348,-0.54707081,0.41642073,
2025-11-24,120.95058949,123.77063458,120.95058949,123.30387115,1395482,44,128.38960495,,,47.65198584,128.38960495,139.32433227,117.45487763,-0.92941143,0.62549091,-1.55490234,0.02514353,-0.00196776,-0.032638,-0.10769152,0.41381334,
2025-11-25,125.44320941,126.80461596,124.25684764,125.55989838,840730,45,128.03705406,,,50.7192203,128.03705406,138.85872894,117.21537918,-0.76311407,0.34776991,-1.11088399,0.01829648,0.04011598,-0.05317072,-1.46908296,0.3922702,
2025-11-26,127.14496288,131.21943141,127.05743671,129.36209106,1406579,46,127.71551018,,,55.45626876,127.71551018,137.96321175,117.46780861,-0.32081885,0.21405216,-0.53487101,0.0302819,0.06101443,-0.04735796,0.12284605,0.39816298,
2025-11-28,131.37503367,131.74455002,130.06224682,131.06385803,942844,47,127.55429344,,,57.42868241,127.55429344,137.4796992,117.62888768,0.1651183,0.20426539,-0.03914709,0.01315507,0.12297962,-0.02401056,-1.0731322,0.40010395,
2025-12-01,132.62945131,133.65048918,130.96659014,131.04438782,1062061,48,127.45488167,,,57.39736695,127.45488167,137.19694926,117.71281408,0.54240342,0.271893,0.27051042,-0.00014856,0.08949788,-0.01494547,-0.67775802,0.39891845,
2025-12-02,131.50144612,132.25022243,129.58576493,131.18054199,1040478,49,127.38671761,,,57.57160035,127.38671761,137.00367863,117.76975659,0.84267724,0.38604984,0.45662739,0.00103899,0.06388016,-0.01028551,-0.67884107,0.39876938,
2025-12-03,135.73149586,136.77199072,133.72828871,134.76878357,1190645,50,127.85738373,125.63183426,,61.98419978,127.85738373,137.9407171,117.77405036,1.35457284,0.57975444,0.77481839,0.02735346,0.07334257,0.07509304,-0.17438534,0.35720929,
2025-12-04,133.70885647,136.18854815,132.30855857,136.09130859,908229,51,128.14833374,126.06296906,,63.49129666,128.14833374,138.81267318,117.4839943,1.84569449,0.83294245,1.01275204,0.00981329,0.05201847,0.04466798,-0.96404643,0.33430301,
2025-12-05,138.08478475,140.27274262,136.49972115,136.53862,1280439,52,128.39839172,126.53257004,,64.01097884,128.39839172,139.59036048,117.20642297,2.24512581,1.11537912,1.12974669,0.00328685,0.04177171,0.0380208,0.30881679,0.33327243,
2025-12-08,137.11233102,137.93890489,135.96486817,137.15122986,802756,53,128.709272,127.03282562,,64.75100463,128.709272,140.49530326,116.92324075,2.58135427,1.40857415,1.17278011,0.00448671,0.04660132,0.0474867,-1.2518504,0.33245887,
2025-12-09,134.19506025,138.05559259,133.57270903,136.52888489,972775,54,128.85101852,127.44223312,,63.32640272,128.85101852,140.93778905,116.764248,2.76571822,1.68000297,1.08571526,-0.00453766,0.04077086,0.02120463,-0.66437276,0.32621558,
2025-12-10,137.82221976,140.09770378,135.86763986,140.01017761,1010241,55,129.21331406,127.91609085,,67.61822477,129.21331406,142.151925,116.27470311,3.15635472,1.97527332,1.1810814,0.02549858,0.03889175,0.05457727,-0.57470316,0.33511785,
2025-12-11,140.42832662,144.82371457,139.48507123,143.55955505,1267510,56,129.74085617,128.43639984,,71.30533168,129.74085617,144.04387565,115.43783669,3.70958032,2.32213472,1.38744561,0.02535085,0.05487673,0.07932444,0.23328016,0.34394995,rsi_overbought
2025-12-12,144.89178335,145.62110266,137.92919266,138.48347473,1780113,57,130.24554672,128.80381409,,60.66647785,130.24554672,145.02658348,115.46450996,3.69581528,2.59687083,1.09894445,-0.03535871,0.01424399,0.07861856,1.81088672,0.34485273,
2025-12-15,141.43964325,141.43964325,138.78491447,139.89349365,954552,58,130.88589096,129.14249725,,62.34703452,130.88589096,146.16527848,115.60650344,3.7553933,2.82857532,0.92681797,0.01018186,0.01999445,0.10077289,-0.92088327,0.34147813,
2025-12-16,137.59855625,140.23384324,136.14964616,136.40248108,1095861,59,131.52866592,129.37896454,,55.97081696,131.52866592,146.59922266,116.45810919,3.48078939,2.95901814,0.52177125,-0.02495479,-0.00092584,0.10405353,-0.38045643,0.33809162,
2025-12-17,138.1431229,138.82381485,136.63585702,137.54994202,920752,60,132.37030258,129.70068024,,57.50902543,132.37030258,146.79811959,117.94248557,3.31751211,3.03071693,0.28679517,0.00841232,-0.01757183,0.13943938,-0.91192343,0.32229442,
2025-12-18,138.08477889,138.82381153,135.80929494,138.35705566,862619,61,133.19200401,129.92735809,,58.60451687,133.19200401,147.00505074,119.37895729,3.21616704,3.06780695,0.14836009,0.00586779,-0.03623931,0.1347902,-1.04270347,0.322089,
2025-12-19,137.97781314,142.35372877,137.97781314,140.02963257,1923560,62,134.35794525,130.22505875,,60.85671041,134.35794525,146.20645786,122.50943264,3.23353909,3.10095338,0.13258571,0.01208884,0.01116493,0.19980005,2.64980134,0.26759896,volume_anomaly
2025-12-22,142.82050111,143.82209717,141.64386782,143.12194824,966972,63,135.5000618,130.68945984,,64.68253206,135.5000618,146.03055165,124.96957195,3.45698068,3.17215884,0.28482184,0.02208329,0.02307795,0.18991024,-0.55618669,0.26060735,
2025-12-23,144.87232388,145.13488729,142.13979732,143.938797,964020,64,136.53180809,131.0149292,,65.63794055,136.53180809,146.07781521,126.98580097,3.65780769,3.26928861,0.38851908,0.00570736,0.05525058,0.16735019,-0.50053683,0.25390148,
2025-12-24,145.39743162,145.39743162,142.67463362,144.04576111,352968,65,137.45610123,131.38950195,,65.76852944,137.45610123,146.11198467,128.80021778,3.78199912,3.37183071,0.41016841,0.00074312,0.04722517,0.14722744,-2.21701881,0.2520975,
2025-12-26,146.71023259,147.99383403,145.05709967,145.39744568,1121517,66,138.25786896,131.76906418,,67.45188119,138.25786896,146.73509624,129.78064167,3.94402708,3.48626998,0.45775709,0.00938372,0.05088566,0.12395714,0.15664516,0.23775838,
2025-12-29,141.73137825,142.93719699,139.75735649,141.29379272,1140759,67,138.76936569,132.0402919,,58.10915112,138.76936569,146.66300077,130.87573061,3.69866895,3.52874978,0.16991917,-0.02822369,0.0090278,0.07805306,0.18626064,0.26369431,
