date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-11,151.99000549,156.32000732,150.36000061,153.03999329,13666200,1,,,,,,,,,,,,,,,,
2025-09-12,149.17999268,149.47000122,139.02000427,139.38999939,17920400,2,,,,,,,,,,,-0.08919233,,,,,
2025-09-15,139.6000061,146.8999939,139.16999817,145.42999268,12140800,3,,,,,,,,,,,0.04333161,,,,,
2025-09-16,145.25999451,147.36999512,141,142.16000366,9382400,4,,,,,,,,,,,-0.02248497,,,,,
2025-09-17,142.63499451,143.42500305,138.5,142.83999634,8295400,5,,,,,,,,,,,0.00478329,,,,,
2025-09-18,144,146.72000122,143.42500305,146.66000366,6939000,6,,,,,,,,,,,0.02674326,-0.04168838,,,,
2025-09-19,148.8999939,150.25,146.66999817,149.61000061,17810900,7,,,,,,,,,,,0.02011453,0.07331947,,,,
2025-09-22,148.77999878,149.71000671,145.05499268,145.3999939,8675200,8,,,,,,,,,,,-0.02813987,-0.00020628,,,,
2025-09-23,144.86000061,147.46000671,143.02000427,144.08999634,8215500,9,,,,,,,,,,,-0.00900961,0.0135762,,,,
2025-09-24,144.67999268,144.67999268,141.28999329,142.63999939,7035700,10,,,,,,,,,,,-0.01006313,-0.00140015,,,,
2025-09-25,141.69000244,143.24000549,139.22999573,143.05999756,6325300,11,,,,,,,,,,,0.00294446,-0.02454661,,,,
2025-09-26,144.08999634,144.3999939,140.75999451,142.5,4867700,12,,,,,,,,,,,-0.00391442,-0.04752357,,,,
2025-09-29,144.91999817,147.80000305,142.61999512,143.36999512,6183600,13,,,,,,,,,,,0.00610523,-0.01396148,,,,
2025-09-30,143.42999268,145.83999634,143.16000366,145.71000671,5828900,14,,,,,,,,,,,0.01632149,0.01124305,,,,
2025-10-01,144.6499939,149.94999695,143.02000427,149.27000427,7820700,15,,,,45.82318729,,,,,,,0.02443207,0.04648069,,,,
2025-10-02,150,150.53999329,141.25,144.46000671,9473800,16,,,,41.10515662,,,,,,,-0.03222347,0.00978617,,,,
2025-10-03,146.00999451,149.08999634,144.1000061,145.5,7178600,17,,,,42.48406066,,,,,,,0.00719918,0.02105263,,,,
2025-10-06,151.6000061,153.72999573,149.5,149.5,7277600,18,,,,47.5687148,,,,,,,0.02749141,0.04275654,,,,
2025-10-07,150.47999573,151.55000305,143.27999878,145.28999329,7348700,19,,,,43.23630751,,,,,,,-0.02816058,-0.00288253,,,,
2025-10-08,147.99000549,158.50999451,147.40499878,157.36000061,11283400,20,145.86399918,,,55.69494543,145.86399918,153.98456681,137.74343154,,,,0.08307528,0.05419707,,0.5872892,,bollinger_above_upper
2025-10-09,157,159.80000305,154.60099792,158.22999573,8459900,21,146.1234993,,,56.4371274,146.1234993,155.39489905,136.85209955,,,,0.00552869,0.09532042,0.03391272,-0.13521693,0.53657662,bollinger_above_upper
2025-10-10,159.86000061,162.67999268,153.74000549,154.1000061,10459300,22,146.85899963,,,51.98514713,146.85899963,156.21057375,137.50742552,,,,-0.02610118,0.05910657,0.10553129,0.6893698,0.43610369,
2025-10-13,160.75999451,162,145.08999634,147.44999695,14233900,23,146.95999985,,,45.7298737,146.95999985,156.29126866,137.62873104,,,,-0.04315385,-0.01371239,0.01388987,1.89920489,0.44389918,
2025-10-14,142.98500061,143.02000427,136.78999329,138.78999329,13672400,24,146.79149933,,,39.12711581,146.79149933,156.57417875,137.00881991,,,,-0.0587318,-0.04473811,-0.02370576,1.53305856,0.48403787,
2025-10-15,140.41999817,145.38999939,140.11000061,143.38000488,8687000,25,146.81849976,,,43.76196788,146.81849976,156.56030063,137.07669888,,,,0.03307163,-0.08884085,0.00378051,-0.06447786,0.4978025,
2025-10-16,144.8999939,147.6499939,143.86000061,146.00999451,6909500,26,146.7859993,,,46.28560896,146.7859993,156.53403351,137.03796508,,,,0.01834279,-0.07722936,-0.00443208,-0.6316009,0.49308618,
2025-10-17,143.00999451,144.5,139.24000549,143.1000061,6533900,27,146.46049957,,,43.936286,146.46049957,156.24429655,136.6767026,,,,-0.01993006,-0.07138222,-0.0435131,-0.74412636,0.49222896,
2025-10-20,146.32499695,149.88000488,146.19000244,146.47999573,6120700,28,146.51449966,,,47.28327261,146.51449966,156.28620171,136.74279762,,,,0.02361977,-0.00657851,0.0074278,-0.84686241,0.48982731,
2025-10-21,145.44999695,147.61000061,144.13999939,145.94000244,3648900,29,146.60699997,,,46.8025448,146.60699997,156.31999651,136.89400343,,,,-0.00368646,0.05151675,0.01283924,-1.63393147,0.48882356,
