date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,13.96023166,14.09299915,13.45374974,13.94548035,1565500,1,,,,,,,,,,,,,,,,
2025-09-03,13.94547982,14.00350404,13.45374923,13.69961452,1439100,2,,,,,,,,,,,-0.0176305,,,,,
2025-09-04,12.88334181,12.93251412,12.39161122,12.62764168,15514900,3,,,,,,,,,,,-0.07824839,,,,,
2025-09-05,12.76040961,13.26197411,12.55880013,13.19804955,5494600,4,,,,,,,,,,,0.04517137,,,,,
2025-09-08,13.27672585,13.37507234,13.00135698,13.13904095,2907800,5,,,,,,,,,,,-0.00447101,,,,,
2025-09-09,13.22755269,13.60126805,13.14887587,13.44391441,2605900,6,,,,,,,,,,,0.02320363,-0.0359662,,,,
2025-09-10,13.47341783,13.98481809,13.19804896,13.46358299,2851100,7,,,,,,,,,,,0.00146301,-0.01722906,,,,
2025-09-11,13.4439143,13.69469702,13.38490622,13.39474106,1563900,8,,,,,,,,,,,-0.0051132,0.06074764,,,,
2025-09-12,13.33573451,13.85106742,13.23738802,13.50292206,1781000,9,,,,,,,,,,,0.00807638,0.02309982,,,,
2025-09-15,13.67011053,14.30936088,13.46358364,13.94548035,3807700,10,,,,,,,,,,,0.032775,0.06137734,,,,
2025-09-16,14.27002191,14.75191766,14.18151025,14.39787197,4103700,11,,,,,,,,,,,0.03244002,0.07095832,,,,
2025-09-17,14.33886392,14.4077059,13.9749834,14.32902908,2427800,12,,,,,,,,,,,-0.00478146,0.06428052,,,,
2025-09-18,14.62406812,15.01745317,14.52080514,14.64373779,2867600,13,,,,,,,,,,,0.02196302,0.09324531,,,,
2025-09-19,14.50605308,14.88763558,14.46671467,14.74208355,1990400,14,,,,,,,,,,,0.00671589,0.09176988,,,,
2025-09-22,14.76175295,15.2043103,14.75191811,14.96827984,1984000,15,,,,62.62134631,,,,,,,0.01534358,0.07334272,,,,
2025-09-23,15.09613013,15.31249093,14.50605303,14.62406826,2732200,16,,,,57.37255258,,,,,,,-0.02299607,0.0157104,,,,
2025-09-24,14.64865499,14.98794843,14.33886419,14.35853386,1982800,17,,,,53.63758912,,,,,,,-0.01815736,0.00205909,,,,
2025-09-25,13.965149,14.5021193,13.87663735,14.27002239,1478600,18,,,,52.41274033,,,,,,,-0.00616438,-0.02552049,,,,
2025-09-26,14.49621772,14.49621772,13.76845666,14.3093605,1727700,19,,,,52.92723583,,,,,,,0.0027567,-0.02935291,,,,
2025-09-29,14.50605266,14.73224829,14.33394677,14.35853386,1094800,20,13.96809945,,,53.60251959,13.96809945,15.19597157,12.74022734,,,,0.00343645,-0.04073588,,-0.66010574,,
