date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,4.94999981,5.10500002,4.69999981,4.76999998,6587100,1,,,,,,,,,,,,,,,,
2025-09-25,4.5999999,4.71999979,4.50500011,4.6500001,3448100,2,,,,,,,,,,,-0.02515721,,,,,
2025-09-26,4.6500001,4.75,4.51000023,4.73999977,3832400,3,,,,,,,,,,,0.01935477,,,,,
2025-09-29,4.79500008,4.86999989,4.59000015,4.86999989,3694800,4,,,,,,,,,,,0.02742619,,,,,
2025-09-30,4.88999987,5.05000019,4.81099987,5.03000021,4540200,5,,,,,,,,,,,0.03285428,,,,,
2025-10-01,5.07000017,5.96999979,5.07000017,5.96000004,13906900,6,,,,,,,,,,,0.18489061,0.2494759,,,,
2025-10-02,6.05499983,6.21000004,5.9000001,5.98000002,9793100,7,,,,,,,,,,,0.0033557,0.28602148,,,,
2025-10-03,6.25,6.40999985,5.86499977,5.9000001,9112300,8,,,,,,,,,,,-0.01337791,0.24472582,,,,
2025-10-06,5.98999977,6.01999998,5.80000019,5.86999989,6628100,9,,,,,,,,,,,-0.00508478,0.20533881,,,,
2025-10-07,5.88000011,5.88000011,5.57000017,5.76999998,5768400,10,,,,,,,,,,,-0.01703576,0.14711724,,,,
2025-10-08,5.80999994,6.51499987,5.73000002,6.17000008,10225500,11,,,,,,,,,,,0.06932411,0.03523491,,,,
2025-10-09,6.19999981,6.19999981,5.80999994,5.90999985,5587600,12,,,,,,,,,,,-0.04213942,-0.01170571,,,,
2025-10-10,5.90999985,5.9369998,5.46000004,5.53000021,7469500,13,,,,,,,,,,,-0.06429774,-0.06271184,,,,
2025-10-13,5.64499998,5.76000023,5.58199978,5.67000008,4343200,14,,,,,,,,,,,0.02531643,-0.03407152,,,,
2025-10-14,5.51999998,5.80000019,5.3499999,5.61999989,4691600,15,,,,64.70588138,,,,,,,-0.00881838,-0.02599655,,,,
2025-10-15,5.67000008,6.22800016,5.63000011,6.0999999,6124900,16,,,,70.06096141,,,,,,,0.08540926,-0.01134525,,,,rsi_overbought
2025-10-16,6.13999987,6.2249999,5.77400017,5.84000015,5603300,17,,,,64.3642442,,,,,,,-0.04262291,-0.01184428,,,,
2025-10-17,5.71999979,5.78999996,5.40999985,5.59000015,4585000,18,,,,59.36578086,,,,,,,-0.04280822,0.0108499,,,,
2025-10-20,5.76000023,6.05499983,5.75,5.86000013,3962100,19,,,,62.73195698,,,,,,,0.04830053,0.03350971,,,,
2025-10-21,5.80000019,5.85300016,5.55999994,5.57999992,4267300,20,5.57050002,,,57.41963209,5.57050002,6.51327202,4.62772801,,,,-0.0477816,-0.00711743,,-0.73598648,,
2025-10-22,5.51000023,5.65999985,5.32999992,5.46999979,4648100,21,5.60550001,,,55.4335905,5.60550001,6.47600506,4.73499495,,,,-0.01971329,-0.10327871,0.14675048,-0.55071124,0.89456741,
2025-10-23,5.48500013,5.75,5.44999981,5.71000004,3003500,22,5.6585,,,58.78327979,5.6585,6.41091683,4.90608317,,,,0.04387573,-0.02226029,0.22795697,-1.15082975,0.89385115,
2025-10-24,5.84000015,5.96999979,5.63999987,5.65999985,4739400,23,5.70450001,,,57.80844103,5.70450001,6.32814975,5.08085027,,,,-0.0087566,0.01252231,0.19409285,-0.52646732,0.89615423,
2025-10-27,5.69999981,5.80000019,5.55999994,5.76999998,3915900,24,5.74950001,,,59.40348961,5.74950001,6.24186061,5.25713942,,,,0.01943465,-0.01535839,0.18480495,-0.84445703,0.89466821,
2025-10-28,5.76000023,5.76000023,5.55499983,5.63000011,2761400,25,5.77950001,,,56.47705082,5.77950001,6.15117057,5.40782944,,,,-0.02426341,0.00896061,0.11928427,-1.21071336,0.89811489,
2025-10-29,5.63000011,5.78999996,5.48999977,5.61999989,3934300,26,5.7625,,,56.26383285,5.7625,6.13067796,5.39432204,,,,-0.00177624,0.02742232,-0.05704701,-0.7827373,0.62261947,
2025-10-30,5.53999996,5.60500002,5.34000015,5.36000013,3883200,27,5.73150001,,,50.88498655,5.73150001,6.12475691,5.3382431,,,,-0.0462633,-0.06129595,-0.10367891,-0.74158275,0.64047845,
2025-10-31,5.36000013,5.67500019,5.3579998,5.55000019,3199300,28,5.71400001,,,54.32164047,5.71400001,6.10685618,5.32114384,,,,0.03544777,-0.01943457,-0.05932202,-1.04805262,0.65422816,
2025-11-03,5.54500008,5.5999999,5.21000004,5.36999989,2905300,29,5.68900001,,,50.70211372,5.68900001,6.10208111,5.27591891,,,,-0.03243249,-0.06932411,-0.08517888,-1.10427299,0.66253021,
2025-11-04,5.15500021,5.24499989,4.86000013,4.86999989,4532300,30,5.64400001,,,42.27556427,5.64400001,6.18748509,5.10051492,,,,-0.09310987,-0.13499116,-0.15597922,-0.11095374,0.7307636,bollinger_below_lower
2025-11-05,4.88999987,4.92000008,4.67000008,4.69000006,6001400,31,5.57,,,39.71649859,5.57,6.20258202,4.93741799,,,,-0.03696095,-0.1654804,-0.23987034,1.2819986,0.68101512,bollinger_below_lower
2025-11-06,4.71000004,4.71000004,4.36999989,4.53000021,6977700,32,5.50100002,,,37.54113631,5.50100002,6.25883638,4.74316366,,,,-0.03411511,-0.15485073,-0.23350248,1.89817424,0.67719936,bollinger_below_lower
2025-11-07,3.79999995,4.01000023,3.42000008,3.91000009,13529900,33,5.42000002,,,30.5567966,5.42000002,6.44672291,4.39327712,,,,-0.13686536,-0.2954955,-0.29294757,3.83142865,0.78532032,bollinger_below_lower|volume_anomaly
2025-11-10,4.17000008,4.19000006,3.79999995,4.03000021,7162600,34,5.33800002,,,33.14918029,5.33800002,6.52171612,4.15428393,-0.2994753,-0.05294335,-0.24653195,0.03069057,-0.2495344,-0.2892416,0.92810736,0.7890875,bollinger_below_lower
2025-11-11,3.97000003,4.01999998,3.78999996,4.01000023,4540900,35,5.25750004,,,32.92854517,5.25750004,6.56596277,3.94903731,-0.34637043,-0.11162877,-0.23474167,-0.00496277,-0.17659131,-0.28647681,-0.20490443,0.78962104,
2025-11-12,4.01999998,4.09000015,3.94000006,3.97000003,2872800,36,5.15100005,,,32.46316277,5.15100005,6.51345216,3.78854793,-0.3823553,-0.16577407,-0.21658122,-0.00997511,-0.15351813,-0.34918031,-0.84597701,0.6999569,
2025-11-13,3.8499999,3.86500001,3.57999992,3.61999989,7112600,37,5.04000003,,,28.64792726,5.04000003,6.51676671,3.56323335,-0.43411148,-0.21944155,-0.21466992,-0.08816124,-0.20088306,-0.38013702,0.91625811,0.73515735,rsi_oversold
2025-11-14,3.48000002,3.75999999,3.47000003,3.69000006,4265100,38,4.94500003,,,30.40948206,4.94500003,6.509845,3.38015506,-0.46412999,-0.26837924,-0.19575075,0.01933706,-0.05626599,-0.33989267,-0.270269,0.74491366,
2025-11-17,3.66000009,3.72000003,3.51999998,3.5999999,4612200,39,4.83200002,,,29.40433468,4.83200002,6.44197635,3.22202368,-0.48953904,-0.3126112,-0.17692784,-0.02439028,-0.10669982,-0.38566556,-0.13908841,0.70294115,rsi_oversold
2025-11-18,3.53999996,3.70000005,3.46000004,3.66000009,3361700,40,4.73600003,,,31.04080048,4.73600003,6.38462849,3.08737156,-0.49908129,-0.34990522,-0.14917607,0.01666672,-0.08728183,-0.344086,-0.6398067,0.70968797,
2025-11-19,3.69000006,3.80500007,3.56999993,3.6099999,2814600,41,4.64300003,,,30.40820874,4.64300003,6.32502379,2.96097627,-0.50485848,-0.38089587,-0.12396261,-0.01366125,-0.09068013,-0.34003656,-0.81507689,0.71000768,
2025-11-20,3.72000003,3.82999992,3.3900001,3.41000009,4105700,42,4.52800003,,,27.95417833,4.52800003,6.21698313,2.83901693,-0.51958581,-0.40863386,-0.11095195,-0.05540161,-0.058011,-0.40280209,-0.31298304,0.68081145,rsi_oversold
2025-11-21,3.42000008,3.54999995,3.32999992,3.50999999,3496700,43,4.42050004,,,30.95457515,4.42050004,6.08104785,2.75995224,-0.5172259,-0.43035227,-0.08687364,0.02932548,-0.04878051,-0.37985864,-0.53542054,0.70423651,
2025-11-24,3.50999999,3.5999999,3.46000004,3.56999993,5875400,44,4.31050004,,,32.76386672,4.31050004,5.88830201,2.73269806,-0.50469634,-0.44522108,-0.05947526,0.017094,-0.00833333,-0.38128251,0.40174778,0.7025219,
2025-11-25,3.56999993,3.68000007,3.49000001,3.61999989,3659400,45,4.21000003,,,34.30871158,4.21000003,5.69195821,2.72804184,-0.48513961,-0.45320479,-0.03193482,0.01400559,-0.01092902,-0.35701602,-0.53381505,0.71382677,
2025-11-26,3.6400001,3.77999997,3.53999996,3.6400001,9295600,46,4.11100004,,,34.95252854,4.11100004,5.46168732,2.76031275,-0.46269327,-0.45510248,-0.00759078,0.00552492,0.00831031,-0.35231314,1.5903088,0.71671641,
2025-11-28,3.73000002,3.75500011,3.63499999,3.73000002,4428000,47,4.02950003,,,37.90187078,4.02950003,5.2602799,2.79872016,-0.43265476,-0.45061294,0.01795818,0.02472525,0.09384162,-0.30410449,-0.31649572,0.72646764,
2025-12-01,3.6099999,3.6500001,3.45499992,3.47000003,3935500,48,3.92550002,,,33.21630546,3.92550002,4.96076762,2.89023243,-0.42493052,-0.44547646,0.02054593,-0.06970509,-0.011396,-0.37477479,-0.52849963,0.72214867,
2025-12-02,3.47000003,3.51999998,3.42000008,3.46000004,3270800,49,3.83000003,,,33.04708787,3.83000003,4.64321591,3.01678415,-0.41483398,-0.43934796,0.02451398,-0.00288184,-0.0308123,-0.35567968,-0.80315165,0.72406551,
2025-12-03,3.46000004,3.56500006,3.44000006,3.49000001,3362200,50,3.76100004,4.83280002,,34.13121386,3.76100004,4.43113147,3.0908686,-0.39980296,-0.43143896,0.031636,0.00867051,-0.03591157,-0.28336754,-0.73472695,0.67999867,
2025-12-04,3.48000002,3.74000001,3.45000005,3.6500001,3707400,51,3.70900004,4.81040002,,39.73592031,3.70900004,4.22679935,3.19120073,-0.37070683,-0.41929254,0.0485857,0.0458453,0.00274725,-0.22174839,-0.55107916,0.70696565,
2025-12-05,3.625,3.68499994,3.52999997,3.55999994,2295900,52,3.66050003,4.78860002,,37.78815506,3.66050003,4.01874446,3.30225559,-0.35086564,-0.40560716,0.05474152,-0.02465758,-0.04557643,-0.21412808,-0.99770157,0.70388949,
2025-12-08,3.66000009,3.72900009,3.55999994,3.58999991,2542200,53,3.64450002,4.76560002,,38.86390982,3.64450002,3.98488079,3.30411925,-0.32892891,-0.39027151,0.0613426,0.00842696,0.0345821,-0.08184147,-1.0404691,0.53580052,
2025-12-09,3.57999992,3.7249999,3.50999999,3.68000007,1930000,54,3.62700001,4.74180002,,42.09862581,3.62700001,3.9188288,3.33517122,-0.30081404,-0.37238001,0.07156597,0.02506968,0.06358382,-0.08684867,-1.28296834,0.53159441,
2025-12-10,3.68000007,3.83999991,3.61999989,3.76999998,3185700,55,3.615,4.71660002,,45.2199879,3.615,3.85859803,3.37140196,-0.26817916,-0.35153984,0.08336068,0.0244565,0.08022922,-0.05985043,-0.48900165,0.54056049,
2025-12-11,3.72000003,3.76999998,3.6400001,3.74000001,2548700,56,3.6035,4.67220002,,44.36151793,3.6035,3.79515333,3.41184666,-0.24194751,-0.32962138,0.08767387,-0.00795755,0.02465751,-0.05793451,-0.85256785,0.54025332,
2025-12-12,3.73000002,3.8599999,3.6099999,3.61999989,2649600,57,3.6035,4.62500001,,41.00794176,3.6035,3.79515333,3.41184666,-0.22821107,-0.30933931,0.08112825,-0.03208559,0.01685392,0,-0.71961568,0.45639877,
2025-12-15,3.61999989,3.66000009,3.48000002,3.50999999,3154600,58,3.59449999,4.57720001,,38.16015684,3.59449999,3.78596539,3.4030346,-0.22362312,-0.29219608,0.06857295,-0.03038671,-0.0222841,-0.04878051,-0.35842786,0.46280858,
2025-12-16,3.4749999,3.56999993,3.41000009,3.46000004,2380800,59,3.5875,4.52900002,,36.90559121,3.5875,3.7876874,3.3873126,-0.22146877,-0.27805061,0.05658185,-0.014245,-0.05978262,-0.03888885,-0.77886307,0.4579478,
2025-12-17,3.46000004,3.60100007,3.31999993,3.3499999,3922200,60,3.57199999,4.48060001,,34.23868003,3.57199999,3.79413509,3.34986489,-0.22603196,-0.26764688,0.04161492,-0.03179195,-0.11140586,-0.0846995,0.1878484,0.4642938,
