date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-03,50.27000046,50.90000153,43.51200104,43.52999878,33322300,1,,,,,,,,,,,,,,,,
2025-09-04,44.15999985,44.58000183,42.70000076,42.99000168,17273100,2,,,,,,,,,,,-0.01240517,,,,,
2025-09-05,43.56499863,45.99000168,42.38999939,45.84000015,17362000,3,,,,,,,,,,,0.06629445,,,,,
2025-09-08,45.5,48.20000076,45.48799896,47.72999954,18846400,4,,,,,,,,,,,0.04123035,,,,,
2025-09-09,47.00999832,47.52999878,45.51200104,47.02999878,13243700,5,,,,,,,,,,,-0.01466584,,,,,
2025-09-10,47.52999878,48.11000061,45.59999847,46.16999817,11638500,6,,,,,,,,,,,-0.01828621,0.06064782,,,,
2025-09-11,46.31999969,49.66500092,46.05500031,48.43000031,22816300,7,,,,,,,,,,,0.04894958,0.12654102,,,,
2025-09-12,48.97999954,54.02999878,48.61100006,53.34000015,27889800,8,,,,,,,,,,,0.10138344,0.16361256,,,,
2025-09-15,53.58000183,55.16999817,52.72000122,54.04000092,23957100,9,,,,,,,,,,,0.01312337,0.132202,,,,
2025-09-16,52,52.08000183,47.00999832,47.24499893,42608100,10,,,,,,,,,,,-0.12574023,0.00457155,,,,
2025-09-17,47.56499863,48.54000092,46.45000076,48.08000183,20731000,11,,,,,,,,,,,0.01767389,0.04136894,,,,
2025-09-18,48.91999817,49.18999863,47,47.18000031,19434100,12,,,,,,,,,,,-0.01871883,-0.02581045,,,,
2025-09-19,47.68000031,48.93000031,47.13000107,47.79000092,26870000,13,,,,,,,,,,,0.01292922,-0.10404948,,,,
2025-09-22,47.13000107,50.25999832,46.79999924,49.81000137,22995900,14,,,,,,,,,,,0.04226827,-0.07827534,,,,
2025-09-23,49.02500153,54.15800095,47.90999985,52.90999985,38064000,15,,,,66.18916023,,,,,,,0.06223647,0.11990689,,,,
2025-09-24,51.79499817,52.47999954,48.43000031,48.68999863,30681600,16,,,,57.21384297,,,,,,,-0.0797581,0.01268712,,,,
2025-09-25,48,48.61999893,45.20999908,46.63000107,22418500,17,,,,53.40671385,,,,,,,-0.04230843,-0.01165747,,,,
2025-09-26,47.29999924,47.68999863,45.83000183,46.25999832,14907100,18,,,,52.72804011,,,,,,,-0.00793486,-0.03201512,,,,
2025-09-29,47.40000153,48.09999847,46.36999893,47.00999832,16145400,19,,,,54.00396921,,,,,,,0.01621271,-0.05621367,,,,
2025-09-30,47.20999908,47.99000168,46.50999832,47.90999985,14856100,20,47.93074989,,,55.55428267,47.93074989,53.48487337,42.37662642,,,,0.0191449,-0.09450009,,-0.97852396,,
2025-10-01,47.38000107,49.41999817,47.11999893,47.97000122,25640200,21,48.15275002,,,55.66157829,48.15275002,53.32750967,42.97799036,,,,0.00125238,-0.01478738,0.10199868,0.41352972,0.7940105,
2025-10-02,48.63999939,52.65000153,48.50999832,52.47000122,35212900,22,48.62674999,,,62.89606993,48.62674999,53.55385574,43.69964424,,,,0.09380863,0.12524126,0.22051638,1.45633444,0.8460746,
2025-10-03,52.04999924,56.93899918,51.25999832,56.15999985,37741900,23,49.14274998,,,67.56897387,49.14274998,54.88801958,43.39748037,,,,0.07032587,0.21400782,0.22513088,1.5550749,0.84947508,bollinger_above_upper
2025-10-06,56.86500168,59.25999832,55.79999924,58.5,31020500,24,49.68125,,,70.13741003,49.68125,56.67843848,42.68406152,,,,0.04166667,0.24441613,0.22564426,0.70316387,0.84966779,bollinger_above_upper|rsi_overbought
2025-10-07,59.00999832,62.56000137,57.02000046,61.50999832,36545600,25,50.40524998,,,73.08971633,50.40524998,58.97507923,41.83542072,,,,0.05145296,0.28386555,0.30788858,1.21974341,0.85461715,bollinger_above_upper|rsi_overbought
2025-10-08,64.15000153,68.53399658,63.65000153,65.30999756,36149900,26,51.36224995,,,76.27819562,51.36224995,61.87992109,40.8445788,,,,0.06177856,0.36147584,0.41455491,1.08278636,0.86021815,bollinger_above_upper|rsi_overbought
2025-10-09,64.90000153,68.54000092,64.41999817,66.41999817,25844500,27,52.26174984,,,77.13059776,52.26174984,64.55046599,39.97303369,,,,0.01699588,0.26586614,0.37146392,-0.20301671,0.85327051,bollinger_above_upper|rsi_overbought
2025-10-10,70.80000305,73.5,64.13999939,64.26000214,40876800,28,52.80774994,,,71.72918778,52.80774994,66.16361633,39.45188354,,,,-0.03252027,0.14423081,0.20472445,1.48230806,0.81195361,rsi_overbought
2025-10-13,67.87999725,70.44000244,64.62200165,65.41999817,26180300,29,53.3767498,,,72.82962267,53.3767498,67.81954027,38.93395934,,,,0.0180516,0.11829057,0.2105847,-0.24147525,0.81231825,rsi_overbought
