date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,175.76667789,177.73597973,175.67850421,175.98222351,7030300,1,,,,,,,,,,,,,,,,
2025-09-23,176.22717546,178.97047141,176.04102104,178.35322571,5900800,2,,,,,,,,,,,0.01347296,,,,,
2025-09-24,178.03970613,181.41003971,177.4322675,180.70462036,5905100,3,,,,,,,,,,,0.01318392,,,,,
2025-09-25,179.93061976,179.9404268,176.46232024,178.35322571,4042300,4,,,,,,,,,,,-0.01301237,,,,,
2025-09-26,182.19384067,183.49689161,179.36237116,180.81239319,6206300,5,,,,,,,,,,,0.01378819,,,,,
2025-09-29,181.71375891,182.33100458,179.29378154,179.51911926,5090700,6,,,,,,,,,,,-0.00715257,0.02009803,,,,
2025-09-30,179.04885433,180.24414747,177.63801555,180.00900269,3873100,7,,,,,,,,,,,0.00272886,0.0092837,,,,
2025-10-01,178.28465138,180.77320342,174.71837113,176.73664856,7705000,8,,,,,,,,,,,-0.01817884,-0.02195833,,,,
2025-10-02,177.10895193,180.88097067,176.19777902,178.62756348,6798000,9,,,,,,,,,,,0.01069905,0.00153817,,,,
2025-10-03,179.07823056,181.7039614,176.51129713,176.6680603,5167600,10,,,,,,,,,,,-0.01096977,-0.02292062,,,,
2025-10-06,177.33429086,179.51912352,175.66872316,178.12788391,6019800,11,,,,,,,,,,,0.00826309,-0.00774979,,,,
2025-10-07,178.0788967,178.33364061,173.37612075,173.46429443,5396100,12,,,,,,,,,,,-0.02618113,-0.03635767,,,,
2025-10-08,173.24874996,178.24545317,173.24874996,177.92214966,6377700,13,,,,,,,,,,,0.02569898,0.00670773,,,,
2025-10-09,176.83462953,177.04036813,174.02274407,175.33561707,5006100,14,,,,,,,,,,,-0.01453744,-0.01842911,,,,
2025-10-10,175.98222335,177.89274274,168.02667924,168.22262573,9630200,15,,,,39.97977563,,,,,,,-0.04056786,-0.04780397,,,,
2025-10-13,169.3297603,172.53353877,168.9084611,171.56358337,8610300,16,,,,45.08284976,,,,,,,0.01986033,-0.03685162,,,,
2025-10-14,168.48717834,172.70009557,167.97770545,170.4172821,9919400,17,,,,43.70967956,,,,,,,-0.0066815,-0.01756565,,,,
2025-10-15,170.49565262,172.59231153,167.66418314,171.72033691,9416800,18,,,,45.73314709,,,,,,,0.00764626,-0.03485689,,,,
2025-10-16,171.83791274,173.90518055,170.53484678,171.92608643,7188200,19,,,,46.06284136,,,,,,,0.00119817,-0.01944574,,,,
2025-10-17,171.50481735,174.03256791,171.0345427,173.00382996,5082600,20,175.87348862,,,47.85011644,175.87348862,183.12216638,168.62481085,,,,0.00626864,0.02842189,,-0.82928029,,
2025-10-20,169.01623623,177.44207073,169.01623623,175.95285034,6620200,21,175.87201996,,,52.48930235,175.87201996,183.12062091,168.62341901,,,,0.01704598,0.02558391,-0.00016691,0.07084418,0.26177095,
2025-10-21,175.83527156,178.15726818,175.2180259,177.17752075,10301500,22,175.81323471,,,54.30717146,175.81323471,182.99919206,168.62727736,,,,0.00696022,0.03966874,-0.006592,1.87795553,0.25853763,
2025-10-22,160.63940524,169.57469758,159.73802439,167.25270081,25834500,23,175.14063873,,,40.71206932,175.14063873,182.86720712,167.41407035,,,,-0.05601625,-0.02601693,-0.07444148,3.96474969,0.31753381,bollinger_below_lower|volume_anomaly
2025-10-23,166.55707881,170.24092411,166.31214192,168.70272827,8412500,24,174.65811386,,,42.95880599,174.65811386,182.71998295,166.59624477,,,,0.00866968,-0.01874851,-0.0541089,0.10675087,0.31834468,
2025-10-24,170.48585421,170.62301826,165.37157115,165.70469666,7691800,25,173.90272903,,,39.61607101,173.90272903,182.33890195,165.46655612,,,,-0.01777109,-0.04219059,-0.08355454,-0.07043637,0.31662817,
