date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,104.75,107.21125031,104.10500336,107.01499939,10183200,1,,,,,,,,,,,,,,,,
2025-09-09,107.04250336,107.75174713,105.15750122,105.87750244,8507200,2,,,,,,,,,,,-0.01062932,,,,,
2025-09-10,106.89125061,108.45175171,105.54250336,106.21749878,9115200,3,,,,,,,,,,,0.00321122,,,,,
2025-09-11,107.0625,109.56500244,106.77500153,108.34500122,9647600,4,,,,,,,,,,,0.02002968,,,,,
2025-09-12,108.84750366,110.75,108.75,109.02500153,11058800,5,,,,,,,,,,,0.00627625,,,,,
2025-09-15,110.39375305,112.21749878,109.1875,111.19249725,11517600,6,,,,,,,,,,,0.01988072,0.03903656,,,,
2025-09-16,111.19999695,112.08000183,108.69999695,111.24500275,11632000,7,,,,,,,,,,,0.0004722,0.05069538,,,,
2025-09-17,111.25,113.5,108.58499908,111.375,15491200,8,,,,,,,,,,,0.00116857,0.04855604,,,,
2025-09-18,117.23124695,126.05500031,115.52999878,125.65750122,40482000,9,,,,,,,,,,,0.12823795,0.15979048,,,,
2025-09-19,124.75,126.7990036,123.95249939,125.63749695,28371200,10,,,,,,,,,,,-0.0001592,0.15237326,,,,
2025-09-22,124,125.07499695,121.58249664,123.28500366,15501600,11,,,,,,,,,,,-0.01872445,0.1087529,,,,
2025-09-23,123.28500366,123.76499939,120.27500153,121.02500153,10938000,12,,,,,,,,,,,-0.01833153,0.08791405,,,,
2025-09-24,120.59750366,121.73999786,118.62000275,119.08249664,8872800,13,,,,,,,,,,,-0.01605044,0.06920311,,,,
2025-09-25,119.22499847,120.38749695,117.25,118.27249908,10859200,14,,,,,,,,,,,-0.00680199,-0.05877088,,,,
2025-09-26,118.02500153,120.92500305,117.57250214,120.35500336,9438800,15,,,,71.95162585,,,,,,,0.01760768,-0.04204552,,,,rsi_overbought
2025-09-29,121.60500336,122.625,120.66249847,122.11250305,8791600,16,,,,73.59631994,,,,,,,0.01460263,-0.00951049,,,,rsi_overbought
2025-09-30,121.60500336,122.72025299,119.81349945,122.59500122,9152800,17,,,,74.04626797,,,,,,,0.00395126,0.01297252,,,,rsi_overbought
2025-10-01,121.9375,125.2092514,121.33999634,124.98999786,10049600,18,,,,76.21312017,,,,,,,0.01953584,0.04960848,,,,rsi_overbought
2025-10-02,125.30625153,125.56749725,123.08625031,124.19999695,10355200,19,,,,74.01792201,,,,,,,-0.00632051,0.0501173,,,,rsi_overbought
2025-10-03,124.95999908,125.46749878,121.57499695,122.47000122,7934000,20,116.99875031,,,69.30987059,116.99875031,131.15632881,102.8411718,,,,-0.01392911,0.01757299,,-0.64627789,,
2025-10-06,123.87750244,125.875,123.59500122,123.98750305,7797600,21,117.84737549,,,71.04939614,117.84737549,131.53641661,104.15833436,,,,0.0123908,0.01535469,0.1585993,-0.64351882,0.48255535,rsi_overbought
2025-10-07,124.25,124.46399689,119.12999725,121.15499878,11430000,22,118.61125031,,,63.78233912,118.61125031,131.20443617,106.01806444,,,,-0.02284508,-0.01174601,0.14429408,-0.19422103,0.4902302,
2025-10-08,122.94249725,127.5,122.58249664,127.48750305,14470000,23,119.67475052,,,70.93883993,119.67475052,131.4688489,107.88065214,,,,0.05226779,0.01998164,0.20024953,0.16766028,0.51399259,rsi_overbought
2025-10-09,127.48750305,127.86499786,125.47499847,127.28250122,8815200,24,120.62162552,,,70.45349577,120.62162552,131.64058181,109.60266923,,,,-0.00160802,0.02481888,0.17478887,-0.56575129,0.51394561,rsi_overbought
2025-10-10,127.25,129.35249329,123.32174683,123.41500092,12570400,25,121.34112549,,,61.85542842,121.34112549,131.03704879,111.64520219,,,,-0.03038517,0.00771617,0.13198807,-0.08543502,0.53137343,
2025-10-13,125.28749847,127.79499817,124.375,127.15249634,9362400,26,122.13912544,,,66.15414473,122.13912544,130.9493007,113.32895018,,,,0.03028396,0.02552671,0.14353486,-0.48851432,0.53581353,
2025-10-14,125.02375031,125.13500214,121.89749908,122.23500061,11074000,27,122.68862534,,,57.04510796,122.68862534,129.94650685,115.43074382,,,,-0.038674,0.00891422,0.09879094,-0.2618965,0.55869791,
