date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,2.04999995,2.0999999,1.98500001,1.98500001,123964742,1,,,,,,,,,,,,,,,,
2025-09-11,2.04999995,2.0999999,1.9425,1.97000003,54429202,2,,,,,,,,,,,-0.00755667,,,,,
2025-09-12,2.01999998,2.01999998,1.91499996,1.98000002,40517197,3,,,,,,,,,,,0.00507614,,,,,
2025-09-15,1.99000001,2.17000008,1.97000003,2.16000009,39994838,4,,,,,,,,,,,0.09090912,,,,,
2025-09-16,2.20000005,2.26999998,2.16000009,2.17000008,40414400,5,,,,,,,,,,,0.00462963,,,,,
2025-09-17,2.18000007,2.26999998,2.17000008,2.25999999,24846567,6,,,,,,,,,,,0.04147461,0.13853903,,,,
2025-09-18,2.24000001,2.3499999,2.22000003,2.28999996,22736459,7,,,,,,,,,,,0.01327432,0.16243651,,,,
2025-09-19,2.31999993,2.3900001,2.28999996,2.30999994,50518199,8,,,,,,,,,,,0.00873362,0.16666663,,,,
2025-09-22,2.3499999,2.36999989,2.25999999,2.28999996,17956951,9,,,,,,,,,,,-0.008658,0.06018513,,,,
2025-09-23,2.29999995,2.3499999,2.26999998,2.28999996,17567458,10,,,,,,,,,,,0,0.05529948,,,,
2025-09-24,2.3499999,2.42000008,2.31999993,2.41000009,28878789,11,,,,,,,,,,,0.0524018,0.06637172,,,,
2025-09-25,2.3499999,2.43000007,2.32500005,2.4000001,26111426,12,,,,,,,,,,,-0.00414937,0.04803499,,,,
2025-09-26,2.42000008,2.45000005,2.38000011,2.4000001,22601715,13,,,,,,,,,,,0,0.03896111,,,,
2025-09-29,2.38000011,2.46000004,2.3599999,2.42000008,23727900,14,,,,,,,,,,,0.00833333,0.05676861,,,,
2025-09-30,2.43000007,2.51999998,2.38000011,2.51999998,38228424,15,,,,92.80000549,,,,,,,0.04132227,0.10043669,,,,rsi_overbought
2025-10-01,2.42000008,2.44000006,2.31999993,2.3599999,41314848,16,,,,72.74480715,,,,,,,-0.0634921,-0.02074697,,,,rsi_overbought
2025-10-02,2.38000011,2.5,2.38000011,2.48000002,32653340,17,,,,76.79524609,,,,,,,0.05084751,0.0333333,,,,rsi_overbought
2025-10-03,2.49000001,2.53999996,2.46000004,2.53999996,19771065,18,,,,78.51454434,,,,,,,0.02419353,0.05833328,,,,rsi_overbought
2025-10-06,2.54999995,2.6400001,2.54999995,2.58999991,20440309,19,,,,79.85411043,,,,,,,0.01968502,0.07024786,,,,rsi_overbought
2025-10-07,2.6400001,2.67000008,2.58999991,2.5999999,21087318,20,2.32125,,,80.12105894,2.32125,2.69610827,1.94639174,,,,0.003861,0.031746,,-0.62256324,,rsi_overbought
2025-10-08,2.6400001,2.73000002,2.625,2.70000005,22608858,21,2.35700001,,,82.60354854,2.35700001,2.73314357,1.98085645,,,,0.03846159,0.14406787,0.36020153,-0.71035492,0.48852639,rsi_overbought
2025-10-09,2.74000001,2.76999998,2.67000008,2.68000007,26200466,22,2.39250001,,,80.4399357,2.39250001,2.74936831,2.0356317,,,,-0.0074074,0.08064518,0.36040611,-0.2893032,0.48843607,rsi_overbought
2025-10-10,2.68000007,2.79999995,2.61999989,2.6400001,36933629,23,2.42550001,,,76.14424868,2.42550001,2.74364935,2.10735068,,,,-0.01492536,0.03937014,0.33333337,0.89464393,0.49885054,rsi_overbought
2025-10-13,2.52999997,2.6500001,2.51999998,2.5999999,25776899,24,2.4475,,,72.00329332,2.4475,2.74961753,2.14538247,,,,-0.01515159,0.003861,0.20370361,-0.25436827,0.42491041,rsi_overbought
2025-10-14,2.73000002,2.78999996,2.6400001,2.67000008,43796850,25,2.4725,,,74.60595083,2.4725,2.76107411,2.18392589,,,,0.02692314,0.02692314,0.23041474,1.71940463,0.42856187,rsi_overbought
2025-10-15,2.71000004,2.77999997,2.69000006,2.72000003,26558444,26,2.4955,,,76.300683,2.4955,2.78598067,2.20501934,,,,0.01872657,0.0074074,0.20353984,-0.18941617,0.41505107,rsi_overbought
2025-10-16,2.73000002,2.73000002,2.6500001,2.6500001,16945614,27,2.51350001,,,69.32521922,2.51350001,2.79529962,2.2317004,,,,-0.02573527,-0.01119402,0.1572053,-1.18493792,0.43234111,
2025-10-17,2.5999999,2.69000006,2.53999996,2.68000007,30308004,28,2.53200002,,,70.56711567,2.53200002,2.80641579,2.25758425,,,,0.01132074,0.0151515,0.16017322,0.42822232,0.43251176,rsi_overbought
2025-10-20,2.68000007,2.76999998,2.68000007,2.74000001,17301006,29,2.55450002,,,72.92782114,2.55450002,2.81948872,2.28951132,,,,0.02238804,0.0538462,0.19650657,-1.2317043,0.43093606,rsi_overbought
2025-10-21,2.77999997,2.9000001,2.76999998,2.80999994,26624125,30,2.58050002,,,75.40619168,2.58050002,2.83852908,2.32247096,,,,0.02554742,0.05243441,0.22707423,-0.10220762,0.43298895,rsi_overbought
2025-10-22,2.77999997,2.83999991,2.74000001,2.80999994,19503340,31,2.60050001,,,75.40619168,2.60050001,2.86450568,2.33649434,,,,0,0.0330882,0.16597504,-0.96259505,0.40647773,rsi_overbought
2025-10-23,2.83999991,2.97000003,2.80999994,2.96000004,20746004,32,2.62850001,,,79.96452388,2.62850001,2.91896688,2.33803313,,,,0.05338082,0.11698111,0.2333333,-0.75524344,0.43263558,bollinger_above_upper|rsi_overbought
2025-10-24,3.08999991,3.25,3.05999994,3.23000002,64558419,33,2.67,,,85.26026499,2.67,3.04336312,2.29663689,,,,0.09121621,0.20522386,0.34583329,3.16654349,0.51154792,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-27,3.24000001,3.3499999,3.23000002,3.27999997,32942088,34,2.713,,,85.99833458,2.713,3.15336805,2.27263195,0.2306228,0.18668854,0.04393426,0.01547986,0.19708028,0.35537185,0.33040452,0.51088802,bollinger_above_upper|rsi_overbought
2025-10-28,3.13000011,3.19000006,3.01999998,3.07999992,36739370,35,2.741,,,70.73968926,2.741,3.19955861,2.28244138,0.22977527,0.19530589,0.03446939,-0.06097562,0.0960854,0.2222222,0.67692531,0.56617988,rsi_overbought
2025-10-29,3.07999992,3.1400001,3.03999996,3.13000011,19990493,36,2.77950001,,,72.07371834,2.77950001,3.23290822,2.3260918,0.23048135,0.20234098,0.02814037,0.01623383,0.11387907,0.32627129,-0.73291816,0.49754422,rsi_overbought
2025-10-30,3.24000001,3.35500002,3.22000003,3.29999995,33520588,37,2.8205,,,76.06869522,2.8205,3.30537009,2.33562992,0.24196922,0.21026663,0.03170259,0.05431305,0.11486483,0.33064513,0.48898968,0.50084977,rsi_overbought
2025-10-31,3.3599999,3.45000005,3.27999997,3.29999995,48013533,38,2.8585,,,76.06869522,2.8585,3.36798109,2.34901891,0.24821221,0.21785574,0.03035646,0,0.02167181,0.2992126,1.58264569,0.50217196,rsi_overbought
2025-11-03,3.27999997,3.38000011,3.0999999,3.13000011,28499327,39,2.88550001,,,65.24409781,2.88550001,3.39243096,2.37856907,0.23671356,0.22162731,0.01508625,-0.0515151,-0.04573166,0.20849429,-0.12468542,0.54960023,
2025-11-04,3.02999997,3.1500001,3.02999997,3.07999992,22965885,40,2.90950001,,,62.43019983,2.90950001,3.40542235,2.41357768,0.22101844,0.22150553,-0.00048709,-0.0159745,0,0.1846154,-0.61769079,0.55667962,
2025-11-05,2.95000005,2.99000001,2.8499999,2.98000002,34129354,41,2.92350001,,,57.12383526,2.92350001,3.41070733,2.4362927,0.19822577,0.21684958,-0.01862381,-0.0324675,-0.04792335,0.10370369,0.31120246,0.56361202,
2025-11-06,3.04999995,3.04999995,2.93000007,2.95000005,19446946,42,2.93700001,,,55.59711129,2.93700001,3.41126151,2.46273851,0.17571612,0.20862289,-0.03290677,-0.0100671,-0.10606058,0.10074626,-0.93606255,0.56445813,
2025-11-07,2.94000006,2.97000003,2.88000011,2.93000007,13564937,43,2.95150001,,,54.55038198,2.95150001,3.40586878,2.49713124,0.15448245,0.1977948,-0.04331235,-0.00677965,-0.11212118,0.10984847,-1.29466415,0.56145134,
2025-11-10,3.09500003,3.23000002,3.08999991,3.20000005,23768510,44,2.98150002,,,64.3173205,2.98150002,3.41795273,2.54504731,0.15762436,0.18976071,-0.03213635,0.09215016,0.0223642,0.23076929,-0.43446426,0.62950472,
2025-11-11,3.29999995,3.47000003,3.27999997,3.44000006,38867352,45,3.02000002,,,70.40531379,3.02000002,3.47519227,2.56480777,0.17743498,0.18729557,-0.00986059,0.075,0.11688316,0.2883895,0.85929666,0.66556938,rsi_overbought
2025-11-12,3.46000004,3.58999991,3.4000001,3.43000007,38807523,46,3.05550002,,,69.87040103,3.05550002,3.52216799,2.58883205,0.19013635,0.18786372,0.00227263,-0.00290697,0.15100673,0.26102942,0.78964649,0.6676799,
2025-11-13,3.52999997,3.81999993,3.5,3.77999997,46116708,47,3.11200001,,,76.57784902,3.11200001,3.63840669,2.58559333,0.22584099,0.19545918,0.03038182,0.10204079,0.2813559,0.42641503,1.26040078,0.71973161,bollinger_above_upper|rsi_overbought
