date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,57.66174403,58.21992306,57.37269063,58.06044388,2354848,1,,,,,,,,,,,,,,,,
2025-09-25,58.20995806,58.35946765,57.40259257,57.80129242,2218533,2,,,,,,,,,,,-0.00446348,,,,,
2025-09-26,58.07040951,58.31959597,57.38265627,58.20995712,1993202,3,,,,,,,,,,,0.00707017,,,,,
2025-09-29,59.6951062,59.6951062,58.92761146,59.50572586,2865527,4,,,,,,,,,,,0.02226026,,,,,
2025-09-30,59.65523444,60.36292684,59.12696038,59.74494171,3151293,5,,,,,,,,,,,0.00402005,,,,,
2025-10-01,59.56553011,60.62208208,58.71829766,60.32305908,2680964,6,,,,,,,,,,,0.00967642,0.03896999,,,,
2025-10-02,61.3397399,61.65869826,60.68188779,60.94104004,2052067,7,,,,,,,,,,,0.01024452,0.05431968,,,,
2025-10-03,61.1702912,61.8979152,60.85133283,61.59889221,2077114,8,,,,,,,,,,,0.0107949,0.05821916,,,,
2025-10-06,62.00755518,62.07732708,60.82142905,61.2101593,1992220,9,,,,,,,,,,,-0.00631071,0.02864318,,,,
2025-10-07,61.37961041,61.54905537,60.92110443,61.40951157,1787220,10,,,,,,,,,,,0.00325685,0.02786127,,,,
2025-10-08,61.69856645,62.24677587,61.34970313,62.18696976,1804477,11,,,,,,,,,,,0.01266022,0.03089881,,,,
2025-10-09,61.94775625,62.4261938,61.58892713,61.65869904,1555998,12,,,,,,,,,,,-0.00849488,0.01177628,,,,
2025-10-10,60.41276693,60.7317253,58.6584921,59.06715775,3543561,13,,,,,,,,,,,-0.04203042,-0.04110032,,,,
2025-10-13,59.26650481,59.6353035,58.95751604,59.6353035,2279492,14,,,,,,,,,,,0.00961864,-0.02572867,,,,
2025-10-14,58.94754933,58.94754933,57.77138891,58.57875443,2632560,15,,,,52.54903447,,,,,,,-0.01771684,-0.0460964,,,,
2025-10-15,59.31634187,59.56552833,58.49901061,58.8678093,2405475,16,,,,53.9587382,,,,,,,0.00493447,-0.05337389,,,,
2025-10-16,58.2896945,58.60865286,57.9308654,58.5089798,1582769,17,,,,51.89752931,,,,,,,-0.00609551,-0.05108313,,,,
2025-10-17,57.14344125,57.56207269,56.32610616,57.39262772,3156707,18,,,,46.00907322,,,,,,,-0.01908001,-0.0283496,,,,
2025-10-20,58.39933824,58.58871858,58.12025062,58.43920898,1333791,19,,,,51.55827838,,,,,,,0.01823547,-0.02005682,,,,
2025-10-21,58.81796833,58.86780866,58.19998699,58.48904419,1561412,20,59.58147888,,,51.81225549,59.58147888,62.45145789,56.71149987,,,,0.00085277,-0.00153145,,-1.17394816,,
2025-10-22,58.4691081,58.84787257,57.94083405,57.94083405,1621540,21,59.57549839,,,48.7823228,59.57549839,62.45859916,56.69239762,,,,-0.00937287,-0.01574673,-0.00206009,-0.98402517,0.23002162,
2025-10-23,58.43921023,58.94754894,58.24982608,58.70833206,1461912,22,59.62085037,,,52.93223525,59.62085037,62.41814853,56.82355222,,,,0.01324624,0.00340721,0.01569238,-1.14443985,0.23381785,
2025-10-24,58.90767732,59.39608445,58.64852508,59.2864418,1231619,23,59.67467461,,,55.83501981,59.67467461,62.40185825,56.94749096,,,,0.00984715,0.03299751,0.01849314,-1.38047734,0.23493764,
2025-10-27,60.94103871,61.70853345,60.79152912,60.99087524,2695574,24,59.74893208,,,63.06704221,59.74893208,62.53393513,56.96392902,,,,0.02874913,0.0436636,0.02495809,0.87111517,0.24325239,
2025-10-28,60.32305636,60.97093885,60.23334909,60.74168777,2046774,25,59.79876938,,,61.48192986,59.79876938,62.61717613,56.98036263,,,,-0.00408565,0.03851394,0.01668335,-0.04691556,0.24374815,
2025-10-29,60.64201697,61.42944709,60.58221085,61.25999832,1561492,26,59.84561634,,,63.534904,59.84561634,62.72775099,56.9634817,,,,0.00853303,0.05728541,0.01553202,-0.76511802,0.24326382,
