date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-23,12.23999977,12.84500027,12.01000023,12.35000038,1775100,1,,,,,,,,,,,,,,,,
2025-09-24,12.42000008,12.66399956,11.52999973,11.52999973,1020900,2,,,,,,,,,,,-0.06639681,,,,,
2025-09-25,11.06000042,11.51099968,10.81999969,11.25,1076200,3,,,,,,,,,,,-0.02428445,,,,,
2025-09-26,11.25,11.5,10.97000027,11.5,1052600,4,,,,,,,,,,,0.02222222,,,,,
2025-09-29,11.72999954,13.30500031,11.59000015,13.22999954,2454000,5,,,,,,,,,,,0.15043474,,,,,
2025-09-30,13.02999973,14.61999989,12.93999958,14.57999992,2886500,6,,,,,,,,,,,0.10204085,0.18056676,,,,
2025-10-01,14.36999989,15.60000038,14.06000042,14.67000008,2244100,7,,,,,,,,,,,0.00617285,0.27233308,,,,
2025-10-02,14.97000027,16.42000008,14.90999985,15.97000027,2100700,8,,,,,,,,,,,0.08861624,0.41955558,,,,
2025-10-03,16.20000076,16.81999969,15.85999966,16.13999939,2567700,9,,,,,,,,,,,0.0106449,0.40347821,,,,
2025-10-06,16.21999931,16.45999908,14.81999969,14.86999989,1809700,10,,,,,,,,,,,-0.07868647,0.12396073,,,,
2025-10-07,15.05000019,15.43999958,14.63000011,14.81999969,1646400,11,,,,,,,,,,,-0.00336249,0.01646089,,,,
2025-10-08,15.21000004,17.57999992,15.06999969,16.09000015,3164400,12,,,,,,,,,,,0.08569504,0.09679619,,,,
2025-10-09,16.07999992,16.21500015,14.89999962,15.23999977,1767600,13,,,,,,,,,,,-0.05282787,-0.04571074,,,,
2025-10-10,15.36999989,15.62300014,13.5,13.52000046,1789700,14,,,,,,,,,,,-0.11286085,-0.16232956,,,,
2025-10-13,13.98999977,14.09899998,13.14999962,13.15999985,1276600,15,,,,53.51867702,,,,,,,-0.02662726,-0.11499664,,,,
2025-10-14,12.73999977,14.51500034,12.43999958,14.09000015,1378200,16,,,,57.23947011,,,,,,,0.07066872,-0.04925773,,,,
2025-10-15,14.30000019,16.09000015,14.25800037,15.82999992,1995200,17,,,,63.17842686,,,,,,,0.12349182,-0.01615912,,,,
2025-10-16,16.25,16.5,14.98999977,15.11999989,1624500,18,,,,59.54429165,,,,,,,-0.04485155,-0.00787401,,,,
2025-10-17,14.85999966,15.09200001,13.15999985,13.25,1782800,19,,,,51.19205603,,,,,,,-0.12367724,-0.01997045,,,,
2025-10-20,13.80000019,14.24499989,13.52999973,13.63000011,1102500,20,14.04199996,,,52.64567014,14.04199996,17.07584629,11.00815363,,,,0.02867925,0.03571431,,-1.2176855,,
2025-10-21,13.60000038,13.76000023,13.09200001,13.13000011,965900,21,14.08099995,,,50.51389952,14.08099995,17.04611644,11.11588345,,,,-0.03668379,-0.06813343,0.06315787,-1.31547481,1.20553473,
2025-10-22,12.77999973,13.07999992,12.06000042,12.77999973,1564200,22,14.14349995,,,49.01761833,14.14349995,16.93872636,11.34827353,,,,-0.02665654,-0.19267215,0.10841284,-0.41350718,1.18312961,
