date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,10.85999966,11.14999962,10.72000027,11.10999966,10118800,1,,,,,,,,,,,,,,,,
2025-09-23,11.23999977,12.13000011,11.06999969,12.05000019,14719000,2,,,,,,,,,,,0.08460851,,,,,
2025-09-24,12.14000034,12.22999954,11.67000008,11.93000031,11956700,3,,,,,,,,,,,-0.0099585,,,,,
2025-09-25,11.5,12.27999973,11.42000008,11.96000004,12749200,4,,,,,,,,,,,0.00251465,,,,,
2025-09-26,11.85999966,12.32999992,11.76000023,12.19999981,10358800,5,,,,,,,,,,,0.02006687,,,,,
2025-09-29,12.39000034,13,12.35999966,12.78999996,17484300,6,,,,,,,,,,,0.04836067,0.15121515,,,,
2025-09-30,12.69999981,13.06000042,12.11999989,12.97999954,17939400,7,,,,,,,,,,,0.01485532,0.07717837,,,,
2025-10-01,12.84000015,14.02000046,12.60000038,13.77000046,17927000,8,,,,,,,,,,,0.06086294,0.15423303,,,,
2025-10-02,14.35999966,15.10700035,14.07999992,14.85000038,21246700,9,,,,,,,,,,,0.07843136,0.24163882,,,,
2025-10-03,14.94999981,15.5,14.76000023,15.31000042,18155300,10,,,,,,,,,,,0.03097643,0.25491809,,,,
2025-10-06,15.80000019,15.89000034,15.18999958,15.23999977,17077900,11,,,,,,,,,,,-0.00457222,0.19155589,,,,
2025-10-07,15,16.01000023,14.77999973,15.68000031,16764400,12,,,,,,,,,,,0.02887143,0.20801239,,,,
2025-10-08,16.54999924,16.78000069,15.26000023,15.60000038,15536400,13,,,,,,,,,,,-0.00510204,0.13289759,,,,
2025-10-09,15.59000015,15.80000019,15.07999992,15.65999985,10681100,14,,,,,,,,,,,0.00384612,0.05454542,,,,
2025-10-10,15.85999966,16.04999924,14.55500031,14.69999981,19306400,15,,,,79.66941714,,,,,,,-0.06130269,-0.03984328,,,,rsi_overbought
