date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-18,27.59000015,28.57699966,27.07999992,28.11000061,71508300,1,,,,,,,,,,,,,,,,
2025-09-19,28.26499939,29.62999916,28.23999977,29.51000023,74760900,2,,,,,,,,,,,0.04980433,,,,,
2025-09-22,29.29999924,30.29999924,28.96999931,29.80999947,64448300,3,,,,,,,,,,,0.01016602,,,,,
2025-09-23,29.80500031,30.13999939,28.85000038,29.09000015,47417500,4,,,,,,,,,,,-0.02415295,,,,,
2025-09-24,29.5,29.67000008,28.35000038,28.44000053,46087500,5,,,,,,,,,,,-0.02234444,,,,,
2025-09-25,27.76000023,28.67000008,27.05999947,28.12000084,49863500,6,,,,,,,,,,,-0.01125175,0.00035575,,,,
2025-09-26,28.37000084,28.47999954,27.55999947,27.97999954,36585300,7,,,,,,,,,,,-0.00497871,-0.05184685,,,,
2025-09-29,28.36000061,28.62999916,27.11000061,27.54999924,60395300,8,,,,,,,,,,,-0.01536813,-0.07581349,,,,
2025-09-30,27.46999931,27.61000061,25.70000076,26.42000008,94402900,9,,,,,,,,,,,-0.0410163,-0.09178412,,,,
2025-10-01,26.72999954,27.32999992,25.63999939,25.76000023,81148100,10,,,,,,,,,,,-0.02498107,-0.09423348,,,,
2025-10-02,26.32999992,26.35000038,25.45000076,25.96999931,65256700,11,,,,,,,,,,,0.00815214,-0.07645809,,,,
2025-10-03,26.10000038,26.18000031,24.84000015,25.23999977,78751700,12,,,,,,,,,,,-0.02810934,-0.09792708,,,,
2025-10-06,25.77000046,27.13999939,25.30999947,26.36000061,97325600,13,,,,,,,,,,,0.04437404,-0.04319414,,,,
2025-10-07,27.10000038,28.84000015,26.68000031,28.13999939,121607800,14,,,,,,,,,,,0.06752651,0.06510217,,,,
2025-10-08,28.48999977,28.70999908,27.64500046,28.02000046,84643200,15,,,,49.53655924,,,,,,,-0.00426435,0.08773293,,,,
2025-10-09,28.04000092,28.69000053,27.75,28.45000076,66863900,16,,,,51.83365005,,,,,,,0.01534619,0.09549486,,,,
2025-10-10,28.54999924,29.79999924,26.12999916,26.19000053,106425800,17,,,,41.21477243,,,,,,,-0.07943762,0.0376387,,,,
2025-10-13,27.06999969,27.43000031,26.46999931,27.13999939,62676100,18,,,,46.20381894,,,,,,,0.03627334,0.02959024,,,,
2025-10-14,26.51000023,28.35000038,25.75,27.87000084,75502500,19,,,,49.73409128,,,,,,,0.02689762,-0.00959483,,,,
2025-10-15,28.20000076,29.09000015,27.55999947,28.03000069,67849600,20,27.61000013,,,50.50080882,27.61000013,30.07265735,25.14734291,,,,0.00574093,0.0003569,,-0.23443127,,
2025-10-16,28.06999969,28.44000053,26.25,26.60000038,73472500,21,27.53450012,,,44.03580167,27.53450012,30.02365648,25.04534376,,,,-0.05101678,-0.06502637,-0.05371755,0.03391828,0.56005661,
2025-10-17,26.10000038,26.92000008,26.01000023,26.54000092,48123300,22,27.38600016,,,43.7825411,27.38600016,29.73652691,25.0354734,,,,-0.00225562,0.01336389,-0.10064383,-1.09656472,0.52722765,
2025-10-20,27.20000076,28.93000031,27.05999947,28.68000031,71880800,23,27.3295002,,,53.95440821,27.3295002,29.49096724,25.16803315,,,,0.08063298,0.05674285,-0.03790672,0.00315115,0.60321463,
2025-10-21,28.55999947,29.06999969,28.14999962,28.75,56408100,24,27.31250019,,,54.24603364,27.31250019,29.42306308,25.2019373,,,,0.00244071,0.03157514,-0.01168787,-0.763237,0.5974606,
2025-10-22,28.48999977,28.79999924,26.37999916,27.19000053,72894600,25,27.25000019,,,47.08847452,27.25000019,29.29636295,25.20363743,,,,-0.05426085,-0.0299679,-0.04395218,-0.03566357,0.62226912,
2025-10-23,27.32999992,28.59499931,27.1989994,28.07999992,51151800,26,27.24800014,,,51.05622507,27.24800014,29.29103324,25.20496705,,,,0.0327326,0.05563908,-0.00142251,-1.13647216,0.63209401,
2025-10-24,28.84499931,29.87000084,28.70000076,29.01000023,53154700,27,27.29950018,,,54.86500226,27.29950018,29.4621697,25.13683066,,,,0.03311967,0.09306704,0.03681203,-1.15045859,0.64143933,
2025-10-27,30,30.20000076,29.27000046,30,82986500,28,27.42200022,,,58.56179988,27.42200022,29.88433738,24.95966305,,,,0.03412616,0.04602509,0.08892925,0.40122005,0.64677936,bollinger_above_upper
2025-10-28,30.98999977,31.97999954,28.79999924,31.65999985,183013600,29,27.68400021,,,63.9008807,27.68400021,30.71382787,24.65417255,,,,0.05533333,0.10121739,0.19833459,3.47885381,0.64611962,bollinger_above_upper|volume_anomaly
2025-10-29,31.49500084,32.56499863,30.13999939,30.89999962,95429700,30,27.94100018,,,60.08394859,27.94100018,31.14159933,24.74040102,,,,-0.02400506,0.13644719,0.19953414,0.49216239,0.64546384,
2025-10-30,30.43499947,30.91500092,28.97999954,29.03000069,70598700,31,28.09400024,,,51.87352324,28.09400024,31.19406709,24.9939334,,,,-0.06051777,0.03383194,0.11782832,-0.35187361,0.69007978,
