date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,13.32471466,13.34354861,12.85858516,12.86329365,989500,1,,,,,,,,,,,,,,,,
2025-09-16,12.9009604,13.01396141,12.7879594,12.95746136,1277300,2,,,,,,,,,,,0.00732065,,,,,
2025-09-17,12.91979405,13.1250789,12.72204207,12.7879591,1861400,3,,,,,,,,,,,-0.01308144,,,,,
2025-09-18,12.74087527,12.94804423,12.70320827,12.87271023,1007000,4,,,,,,,,,,,0.00662742,,,,,
2025-09-19,12.94804447,12.98571147,12.53370744,12.58079052,1384000,5,,,,,,,,,,,-0.02267741,,,,,
2025-09-22,12.62787356,12.75970851,12.37362154,12.44895554,1315900,6,,,,,,,,,,,-0.01047907,-0.03221089,,,,
2025-09-23,12.53370647,12.61845655,12.30770358,12.31712055,1929100,7,,,,,,,,,,,-0.01059004,-0.04941869,,,,
2025-09-24,12.3830384,12.59491585,12.30770439,12.43012238,1106900,8,,,,,,,,,,,0.00917437,-0.02798232,,,,
2025-09-25,12.43012083,12.50545482,12.14291031,12.15703487,1101700,9,,,,,,,,,,,-0.02196982,-0.05559632,,,,
2025-09-26,12.17587009,12.36137983,12.16645312,12.26062107,1060500,10,,,,,,,,,,,0.00852068,-0.02544907,,,,
2025-09-29,12.29828723,12.3124118,12.17586926,12.21353626,1030300,11,,,,,,,,,,,-0.00384033,-0.01891077,,,,
2025-09-30,12.22295354,12.41599793,12.13349497,12.38303852,1429900,12,,,,,,,,,,,0.01387823,0.00535174,,,,
2025-10-01,12.41128907,12.69379113,12.39245512,12.5902071,1493500,13,,,,,,,,,,,0.01673003,0.01287877,,,,
2025-10-02,12.41128904,12.56195704,12.30299562,12.45837212,1694200,14,,,,,,,,,,,-0.01047123,0.02478707,,,,
2025-10-03,12.49604004,12.58079012,12.30770414,12.32653809,904200,15,,,,37.10410993,,,,,,,-0.01058196,0.00537632,,,,
2025-10-06,12.38303785,12.41128878,11.92161687,12.0252018,2443100,16,,,,32.09881291,,,,,,,-0.02444614,-0.01542014,,,,
2025-10-07,12.07228523,12.10053615,11.84157473,11.94986725,6208400,17,,,,30.97386933,,,,,,,-0.00626472,-0.03498102,,,,
2025-10-08,12.03461866,12.05345262,11.82274211,12.00636864,2721400,18,,,,32.87399439,,,,,,,0.0047282,-0.04637243,,,,
2025-10-09,12.0252027,12.04780219,11.70032424,11.76153278,1513600,19,,,,29.13172203,,,,,,,-0.02039217,-0.05593342,,,,rsi_oversold
2025-10-10,11.77094978,11.82085904,11.40369583,11.43194675,2510200,20,12.34113393,,,25.00513851,12.34113393,13.09931983,11.58294803,,,,-0.02802237,-0.07257442,,0.66282682,,bollinger_below_lower|rsi_oversold
2025-10-13,11.55436418,11.62969818,11.24361029,11.42252922,2740200,21,12.26909571,,,24.89661648,12.26909571,13.08660693,11.45158448,,,,-0.00082379,-0.05011746,-0.11200587,0.78316403,0.21100793,bollinger_below_lower|rsi_oversold
2025-10-14,11.35661181,11.70503179,11.31894481,11.69561481,2829500,22,12.20600338,,,33.86049299,12.20600338,12.99556569,11.41644107,,,,0.02390763,-0.02127659,-0.09738378,0.78519127,0.23090218,
2025-10-15,11.62969943,11.73328347,11.16827749,11.26244545,2651400,23,12.1297277,,,28.12607749,12.1297277,12.9726171,11.28683829,,,,-0.0370369,-0.06196072,-0.11929297,0.59298063,0.25507112,bollinger_below_lower|rsi_oversold
2025-10-16,11.31894476,11.62028076,11.30011081,11.36602783,2340600,24,12.05439358,,,31.12966917,12.05439358,12.88746292,11.22132424,,,,0.00919715,-0.03362699,-0.11704469,0.2763369,0.25684843,
2025-10-17,11.43194635,11.53553038,11.35661234,11.50728035,1802600,25,12.00071807,,,35.1119273,12.00071807,12.82952933,11.17190681,,,,0.01242761,0.00658974,-0.08532931,-0.20749293,0.25696971,
2025-10-20,11.5355295,11.62875539,11.21535956,11.32836056,1429000,26,11.94468832,,,32.54491883,11.94468832,12.79592292,11.09345372,,,,-0.0155484,-0.00824412,-0.09001518,-0.53862968,0.25909102,
2025-10-21,11.36602756,11.4225285,11.30011053,11.32836056,1763700,27,11.89525032,,,32.54491883,11.89525032,12.76878034,11.0217203,,,,0,-0.03140102,-0.08027526,-0.23941957,0.25858129,
2025-10-22,11.38486166,11.53082117,11.23419366,11.41311169,1732700,28,11.84439979,,,35.14952618,11.84439979,12.70578559,10.98301398,,,,0.00748132,0.01337776,-0.08181824,-0.2981617,0.25755532,
2025-10-23,11.42252893,11.51669598,11.14002597,11.18710995,2633700,29,11.79590354,,,31.64097059,11.79590354,12.69001528,10.9017918,,,,-0.01980194,-0.01574146,-0.07978302,0.43684074,0.25576594,
2025-10-24,11.196528,11.23419501,11.12119399,11.14002705,1660100,30,11.73987384,,,30.94790201,11.73987384,12.65076396,10.82898372,,,,-0.00420867,-0.03191487,-0.09139782,-0.47247436,0.25166175,
2025-10-27,11.16827628,11.35661219,11.10235926,11.15886021,1804400,31,11.68714004,,,31.59336201,11.68714004,12.60433225,10.76994783,,,,0.00169058,-0.01496248,-0.08635305,-0.38573558,0.25261295,
2025-10-28,11.11177552,11.229485,10.96110752,11.06469154,2026600,32,11.62122269,,,30.07935176,11.62122269,12.51815894,10.72428643,,,,-0.00843891,-0.02327513,-0.10646393,-0.20792258,0.24394245,
2025-10-29,10.94227327,10.98935724,10.69743733,10.76335526,2296900,33,11.52988009,,,25.81599603,11.52988009,12.38458584,10.67517434,,,,-0.02723404,-0.0569307,-0.14510102,0.0111631,0.24087851,rsi_oversold
2025-10-30,10.7821894,10.83398186,10.64564685,10.65035534,1983900,34,11.43947926,,,24.41830864,11.43947926,12.26417674,10.61478177,-0.45597399,-0.43903261,-0.01694137,-0.01049858,-0.04797974,-0.14512464,-0.30654692,0.24088248,rsi_oversold
2025-10-31,10.62210386,10.65977086,10.45260281,10.64093781,2459500,35,11.35519924,,,24.30022893,11.35519924,12.14378816,10.56661033,-0.46495297,-0.44421669,-0.02073629,-0.00088425,-0.04480144,-0.13674564,0.08362038,0.24175225,rsi_oversold
2025-11-03,10.5467701,10.64093805,10.42906061,10.5467701,1828300,36,11.28127766,,,23.0974831,11.28127766,12.08186852,10.4806868,-0.47420113,-0.45021357,-0.02398756,-0.00884957,-0.05485239,-0.12294444,-0.52546774,0.23362545,rsi_oversold
2025-11-04,10.49026921,10.58443626,10.39610127,10.49968529,1695900,37,11.20876856,,,22.49787368,11.20876856,12.0166611,10.40087601,-0.47979889,-0.45613064,-0.02366826,-0.00446438,-0.0510639,-0.12135549,-0.95465159,0.23372435,rsi_oversold
2025-11-05,10.51851971,10.69743774,10.4723778,10.68802166,2661600,38,11.14285121,,,30.29292098,11.14285121,11.89272604,10.39297637,-0.46369283,-0.45764308,-0.00604975,0.01793733,-0.00699908,-0.10980397,1.23031515,0.24576294,
2025-11-06,11.06469156,11.50257099,10.97052362,11.32836056,3861400,39,11.1211926,,,49.05456143,11.1211926,11.82173899,10.4206462,-0.3947087,-0.4450562,0.0503475,0.05991183,0.06366034,-0.03682957,2.89702285,0.32835118,volume_anomaly
2025-11-07,11.36602771,11.62969761,11.22477669,11.41311169,3735000,40,11.12025084,,,50.93678088,11.12025084,11.81917246,10.42132923,-0.32940243,-0.42192545,0.09252302,0.00748132,0.07256634,-0.00164758,2.21957294,0.31514946,volume_anomaly
2025-11-10,11.54682251,11.64710465,11.28895259,11.35580826,2458900,41,11.1169148,,,49.60237717,11.1169148,11.810651,10.42317859,-0.27905389,-0.39335113,0.11429725,-0.00502084,0.07670957,-0.00584117,0.27467272,0.31564078,
2025-11-11,11.47996831,11.49906928,11.27462764,11.41311264,1323100,42,11.10278969,,,50.98522586,11.10278969,11.75932586,10.44625352,-0.23185563,-0.36105203,0.1291964,0.00504626,0.08699569,-0.02415454,-1.33849555,0.30410128,
2025-11-12,11.38446059,11.58502579,11.38446059,11.58502579,1717100,43,11.1189187,,,54.97648516,11.1189187,11.80551283,10.43232458,-0.17852084,-0.3245458,0.14602495,0.01506277,0.08392611,0.02864212,-0.67147909,0.27876287,
2025-11-13,11.5468216,11.85721984,11.5468216,11.64232826,1964700,44,11.13273373,,,56.25515606,11.13273373,11.84913236,10.41633509,-0.13012876,-0.28566239,0.15553363,0.00494625,0.02771519,0.02430932,-0.26829635,0.27768229,
2025-11-14,11.65187931,11.73688049,11.5181698,11.65187931,1569900,45,11.13996367,,,56.47702693,11.13996367,11.87403677,10.40589058,-0.08996989,-0.24652389,0.156554,0.00082037,0.02092047,0.01256587,-0.83826856,0.27473693,
2025-11-17,11.55637327,11.67098182,11.43698925,11.52772045,2360400,46,11.14993167,,,52.73277232,11.14993167,11.89922351,10.40063983,-0.06738549,-0.21069621,0.14331072,-0.01065569,0.0151387,0.0175983,0.28221035,0.27157838,
2025-11-18,11.51817042,11.55637327,11.28895242,11.52772045,2137100,47,11.15989966,,,52.73277232,11.15989966,11.92358698,10.39621235,-0.04892324,-0.17834161,0.12941838,0,0.01004177,0.0175983,-0.09085355,0.27157838,
2025-11-19,11.56592313,11.7359264,11.54682216,11.60412598,3292300,48,11.16945038,,,54.8682364,11.16945038,11.95015364,10.38874712,-0.02780595,-0.14823448,0.12042853,0.00662798,0.0016487,0.01673639,1.50637409,0.27133836,
2025-11-20,11.54682227,11.71396007,11.54682227,11.61367702,1878800,49,11.19077873,,,55.14106635,11.19077873,11.99519348,10.38636399,-0.01018229,-0.12062404,0.11044176,0.00082307,-0.00246095,0.03813023,-0.52793422,0.26061164,
