date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-09,385.4167768,386.63511424,376.13547826,378.60189819,384000,1,,,,,,,,,,,,,,,,
2025-09-10,380.47397629,385.06015326,372.44076056,374.27325439,454400,2,,,,,,,,,,,-0.01143323,,,,,
2025-09-11,376.34348772,392.02362753,374.32278991,388.34875488,653200,3,,,,,,,,,,,0.03760755,,,,,
2025-09-12,386.20923668,389.46810231,359.91056862,362.19869995,915800,4,,,,,,,,,,,-0.06733652,,,,,
2025-09-15,362.10953565,369.62768537,350.67876438,352.60040283,1133100,5,,,,,,,,,,,-0.02650009,,,,,
2025-09-16,354.00697655,358.41483491,335.02834063,337.03912354,1099100,6,,,,,,,,,,,-0.0441329,-0.10977963,,,,
2025-09-17,339.10930986,342.77426741,326.70780524,330.82843018,978500,7,,,,,,,,,,,-0.01842722,-0.11607782,,,,
2025-09-18,332.34396594,333.44347443,327.64884432,328.36203003,573400,8,,,,,,,,,,,-0.00745522,-0.15446612,,,,
2025-09-19,329.6695206,335.85044286,323.53811296,334.81039429,1418600,9,,,,,,,,,,,0.01963797,-0.0756168,,,,
2025-09-22,328.92661527,335.78109326,324.12251958,335.5730896,990000,10,,,,,,,,,,,0.00227799,-0.04829068,,,,
2025-09-23,335.91978697,339.35694102,330.98691696,332.57177734,525400,11,,,,,,,,,,,-0.00894384,-0.01325468,,,,
2025-09-24,331.5911828,334.44392566,328.39174699,328.75823975,448000,12,,,,,,,,,,,-0.01146681,-0.0062576,,,,
2025-09-25,326.83659045,329.9072519,323.77584402,324.63760376,363100,13,,,,,,,,,,,-0.01253394,-0.01134244,,,,
2025-09-26,326.86632862,327.93612234,322.11177717,324.41970825,420800,14,,,,,,,,,,,-0.0006712,-0.03103454,,,,
2025-09-29,328.07473516,330.90767793,320.36838238,330.8878479,544600,15,,,,26.88797922,,,,,,,0.01993757,-0.01396191,,,,rsi_oversold
2025-09-30,329.02570537,331.30392157,324.2017792,325.84606934,493200,16,,,,25.54433384,,,,,,,-0.01523712,-0.02022333,,,,rsi_oversold
