date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-11,41.3398672,42.71423669,40.44009989,42.13087082,1821000,1,,,,,,,,,,,,,,,,
2025-09-12,41.45851864,41.94300672,40.93447943,41.49806976,842500,2,,,,,,,,,,,-0.01501989,,,,,
2025-09-15,42.26929603,43.33715374,41.91334346,42.98120117,1153600,3,,,,,,,,,,,0.03573977,,,,,
2025-09-16,43.10973508,43.28771136,42.55603446,43.15917587,770200,4,,,,,,,,,,,0.00414076,,,,,
2025-09-17,42.93176141,43.86119398,42.74389923,42.86254883,815900,5,,,,,,,,,,,-0.00687286,,,,,
2025-09-18,43.13940306,43.14928896,42.05176976,42.63513565,662300,6,,,,,,,,,,,-0.00530564,0.01196901,,,,
2025-09-19,43.39647666,43.83153147,42.85266191,42.98120117,675400,7,,,,,,,,,,,0.00811691,0.03573977,,,,
2025-09-22,42.65491164,43.26793899,42.31873462,42.80322647,1018500,8,,,,,,,,,,,-0.00414076,-0.00414076,,,,
2025-09-23,42.95153624,44.05894508,42.48682374,42.7340126,1140300,9,,,,,,,,,,,-0.00161702,-0.00985105,,,,
2025-09-24,43.50524006,44.60275922,43.06029935,43.22838974,1207800,10,,,,,,,,,,,0.0115687,0.00853521,,,,
2025-09-25,42.84277677,44.82028773,42.74389896,43.96006775,1349000,11,,,,,,,,,,,0.01692587,0.03107606,,,,
2025-09-26,43.42613706,44.60275844,43.40636527,43.74254227,944200,12,,,,,,,,,,,-0.00494825,0.01771335,,,,
2025-09-29,44.53354621,44.75106984,43.43602706,43.70299149,1246300,13,,,,,,,,,,,-0.00090417,0.02102096,,,,
2025-09-30,42.8922116,42.99108563,41.88368061,42.49670792,1146300,14,,,,,,,,,,,-0.02760185,-0.00555306,,,,
2025-10-01,43.07018893,43.8809681,42.62524822,43.02074814,899800,15,,,,56.7164033,,,,,,,0.01233131,-0.00480336,,,,
2025-10-02,43.37670047,44.84005808,43.10973605,44.11826706,1284300,16,,,,63.26967398,,,,,,,0.02551139,0.0035987,,,,
2025-10-03,44.10838113,44.49399515,42.32862208,42.62524796,1326700,17,,,,51.78374228,,,,,,,-0.03384129,-0.02554251,,,,
2025-10-06,42.36816888,43.73265243,42.23963338,42.68457031,1027600,18,,,,52.1553984,,,,,,,0.00139172,-0.02330324,,,,
2025-10-07,42.82300113,43.7029929,42.48682412,42.90209961,1142300,19,,,,53.56872472,,,,,,,0.0050962,0.00953937,,,,
2025-10-08,43.475579,44.18748037,42.69446128,44.03916931,1383800,20,43.01531219,,,60.18887657,43.01531219,44.2918017,41.73882269,,,,0.02650382,0.02367279,,1.06506914,,
2025-10-09,45.11691313,46.68903448,42.67468592,42.7340126,2767700,21,43.04546928,,,51.17034306,43.04546928,44.26414326,41.82679531,,,,-0.02963627,-0.03137599,0.01431591,3.77254709,0.28464056,volume_anomaly
2025-10-10,42.93176136,43.01086361,40.1236994,40.31156158,2447300,22,42.98614388,,,39.37694968,42.98614388,44.56318206,41.40910569,,,,-0.05668672,-0.05427972,-0.02859189,2.40298569,0.34422108,bollinger_below_lower|volume_anomaly
2025-10-13,41.43874229,43.24816664,41.38930527,42.86254883,1444300,23,42.98021126,,,51.93878666,42.98021126,44.55817162,41.40225089,,,,0.06328178,0.00416962,-0.00276056,0.40833477,0.39142615,
2025-10-14,41.87379158,44.39512098,41.48817756,44.13804245,1372300,24,43.02915459,,,56.76299104,43.02915459,44.68507912,41.37323005,,,,0.02975776,0.02880845,0.02268038,0.21355368,0.40451897,
2025-10-15,44.8796092,45.4333136,44.19736929,45.40364838,1291600,25,43.15620956,,,60.95133248,43.15620956,45.10546759,41.20695154,,,,0.02867381,0.03098331,0.05928484,0.00551636,0.41389398,bollinger_above_upper
2025-10-16,45.36410267,45.5223034,43.56456799,43.94029236,1003100,26,43.2214674,,,54.39067902,43.2214674,45.18392149,41.2590133,,,,-0.03222992,0.02822763,0.03061223,-0.63770684,0.43101353,
2025-10-17,43.17894929,44.07872038,42.70434712,43.18883896,1066200,27,43.23184929,,,51.33495706,43.23184929,45.19130388,41.2723947,,,,-0.01710169,0.07137598,0.0048309,-0.56832585,0.43522424,
2025-10-20,44.04905637,44.8895008,43.54479273,43.69310379,834600,28,43.27634315,,,53.23368952,43.27634315,45.23525896,41.31742735,,,,0.01167581,0.01937717,0.02078996,-1.03791522,0.4364842,
2025-10-21,43.02075045,43.13940383,41.74525871,41.91334534,1063800,29,43.23530979,,,46.35879734,43.23530979,45.27083044,41.19978915,,,,-0.04073317,-0.05040317,-0.01920408,-0.53378306,0.46023341,
