date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,7.15999985,7.40999985,7.09499979,7.38999987,3856900,1,,,,,,,,,,,,,,,,
2025-09-16,7.57999992,8.30000019,7.48000002,7.5,5825400,2,,,,,,,,,,,0.014885,,,,,
2025-09-17,7.5,7.80000019,7.26000023,7.44000006,3937400,3,,,,,,,,,,,-0.00799999,,,,,
2025-09-18,7.67000008,8.09000015,7.53999996,7.92000008,5627500,4,,,,,,,,,,,0.06451613,,,,,
2025-09-19,8.05000019,9.47999954,8.0010004,9.35999966,8252800,5,,,,,,,,,,,0.18181813,,,,,
2025-09-22,9.51000023,10.85999966,9.22999954,10.60000038,12216800,6,,,,,,,,,,,0.13247871,0.43437085,,,,
2025-09-23,10.56999969,11.14999962,10.05000019,10.21000004,10005600,7,,,,,,,,,,,-0.03679248,0.36133334,,,,
2025-09-24,10.64000034,12.10000038,10.61999989,11.18000031,13856600,8,,,,,,,,,,,0.09500492,0.5026882,,,,
2025-09-25,10.90999985,11.97000027,10.51000023,11.72999954,14215100,9,,,,,,,,,,,0.04919492,0.48106053,,,,
2025-09-26,11.48999977,12.14999962,11.26000023,11.90999985,7294300,10,,,,,,,,,,,0.0153453,0.27243593,,,,
2025-09-29,12.19999981,12.88000011,11.20499992,11.39999962,8071700,11,,,,,,,,,,,-0.04282118,0.07547162,,,,
2025-09-30,11.34000015,11.34000015,10.46500015,10.80000019,6113700,12,,,,,,,,,,,-0.05263153,0.0577865,,,,
2025-10-01,11,13.52499962,10.94999981,13.44999981,11096700,13,,,,,,,,,,,0.24537033,0.2030411,,,,
2025-10-02,13.625,14.14999962,12.65999985,13.05000019,8908000,14,,,,,,,,,,,-0.02973975,0.11253203,,,,
2025-10-03,13.14999962,14.22000027,13,13.78999996,8837900,15,,,,81.00775475,,,,,,,0.05670496,0.15785056,,,,rsi_overbought
2025-10-06,14.20499992,15.5,13.76000023,15.26000023,9559300,16,,,,83.53367238,,,,,,,0.106599,0.33859656,,,,rsi_overbought
2025-10-07,15.81000042,15.81000042,13.60000038,13.82999992,9486300,17,,,,73.31820795,,,,,,,-0.09370906,0.28055553,,,,rsi_overbought
2025-10-08,14.35000038,15.44999981,14.01000023,14.96000004,5916300,18,,,,75.83323207,,,,,,,0.08170644,0.11226768,,,,rsi_overbought
2025-10-09,14.5,15.27000046,14.10000038,14.89999962,6402100,19,,,,75.42668329,,,,,,,-0.00401072,0.14176241,,,,rsi_overbought
2025-10-10,14.92000008,15.46000004,12.97999954,13.09000015,9816900,20,11.48849998,,,64.23854941,11.48849998,16.53115511,6.44584484,,,,-0.12147648,-0.05076141,,0.47141192,,
2025-10-13,14,16.34000015,13.96500015,15.89000034,10184600,21,11.9135,,,71.32462849,11.9135,16.93554851,6.89145149,,,,0.21390376,0.04128441,1.15020306,0.52256805,1.53354921,rsi_overbought
2025-10-14,15.35999966,19.38500023,15.15999985,18.45000076,15089000,22,12.46100004,,,76.00588341,12.46100004,17.81556053,7.10643954,,,,0.16110764,0.33405646,1.4600001,1.99881936,1.58195075,bollinger_above_upper|rsi_overbought
2025-10-15,20.58499908,21.87000084,19.69000053,21.44000053,18888200,23,13.16100006,,,80.09345155,13.16100006,19.30865976,7.01334036,,,,0.1620596,0.43315511,1.88172048,2.65436006,1.61154051,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-16,20.93000031,22.12000084,18.63999939,19.57999992,11333100,24,13.74400005,,,71.88900435,13.74400005,20.0034936,7.48450651,,,,-0.08675376,0.31409399,1.47222219,0.32916605,1.68843774,rsi_overbought
2025-10-17,19.10499954,19.94000053,18.22999954,18.32500076,6882200,25,14.19225011,,,66.90876345,14.19225011,20.41565502,7.9688452,,,,-0.06409597,0.39992365,0.9577993,-1.01905712,1.6637751,
2025-10-20,19.85000038,19.92200089,18.01000023,18.45000076,5775800,26,14.58475013,,,67.15284608,14.58475013,20.84249573,8.32700452,,,,0.00682128,0.16110764,0.74056605,-1.22113187,1.63166272,
2025-10-21,17.46999931,17.56999969,16.01000023,16.26000023,7328900,27,14.88725014,,,58.94897145,14.88725014,20.84769978,8.92680049,,,,-0.11869921,-0.11869921,0.59255633,-0.71042447,1.6990781,
2025-10-22,16.04000092,16.13100052,14.31000042,15.22000027,8524300,28,15.08925014,,,55.48252425,15.08925014,20.80214329,9.37635698,,,,-0.06396064,-0.29011195,0.36135956,-0.29265198,1.71023788,
2025-10-23,15.98999977,16.39999962,15.28299999,16.03000069,5512200,29,15.30425019,,,57.57502929,15.30425019,20.81536057,9.79313982,,,,0.05321947,-0.18130742,0.36658153,-1.10342623,1.71112892,
2025-10-24,17.07999992,19.54000092,17.07999992,19.52000046,9200900,30,15.68475022,,,65.17126626,15.68475022,21.25642317,10.11307728,,,,0.21771676,0.06521144,0.63895892,0.01712726,1.8406757,
2025-10-27,19.97999954,20.32999992,18.37999916,18.73999977,7749600,31,16.05175023,,,62.47871897,16.05175023,21.40897674,10.69452373,,,,-0.03995905,0.0157181,0.64385968,-0.43309587,1.83924826,
2025-10-28,19.20000076,19.30500031,17.89999962,18.10000038,4433400,32,16.41675024,,,60.27814331,16.41675024,21.26338473,11.57011576,,,,-0.03415152,0.11316114,0.67592593,-1.40338377,1.8296826,
2025-10-29,18.89999962,21.20999908,18.52000046,20.28000069,9075000,33,16.75825028,,,64.82304145,16.75825028,21.68247569,11.83402487,,,,0.120442,0.33245731,0.50780676,0.03989824,1.69239065,
2025-10-30,19.70000076,21.39999962,19.40999985,20.46999931,8803400,34,17.12925024,,,65.19680106,17.12925024,21.99778436,12.26071612,2.56268043,2.71567094,-0.15299051,0.00936877,0.27698056,0.5685823,-0.04197742,1.68148058,
2025-10-31,20.01000023,21.72999954,19.95000076,21,6578000,35,17.48975024,,,66.27331196,17.48975024,22.38354281,12.59595768,2.60338105,2.69321296,-0.08983191,0.02589158,0.07581965,0.52284264,-0.68275096,1.67826186,
2025-11-03,21.5,22.44000053,20.70999908,20.80999947,7600500,36,17.7672502,,,65.49124207,17.7672502,22.7523916,12.78210881,2.5904441,2.67265919,-0.08221509,-0.00904764,0.1104589,0.36369588,-0.34199323,1.65635552,
2025-11-04,19.52000046,20.98999977,19.01000023,19.18000031,5288200,37,18.03475022,,,59.05301606,18.03475022,22.71066664,13.35883381,2.42075916,2.62227918,-0.20152002,-0.07832769,0.0596685,0.38684023,-0.95656606,1.64376195,
2025-11-05,19.80999947,21.71999931,19.40999985,20.71999931,6634700,38,18.32275019,,,62.77625415,18.32275019,22.91445065,13.73104972,2.38307704,2.57443875,-0.19136171,0.08029192,0.02169618,0.38502669,-0.57264113,1.64311713,
2025-11-06,21.14999962,21.20000076,19.36000061,19.81999969,5313400,39,18.56875019,,,59.37818378,18.56875019,22.92156033,14.21594005,2.2546016,2.51047132,-0.25586972,-0.04343628,-0.03175377,0.33020136,-0.93836515,1.65644267,
2025-11-07,19.01000023,21.05999947,17.68000031,20.79000092,6457800,40,18.95375023,,,61.77949282,18.95375023,22.60580534,15.30169512,2.20562975,2.44950301,-0.24387326,0.04894053,-0.00999996,0.58823535,-0.54975686,1.57664628,
2025-11-10,21.84499931,23.74300003,21.27000046,21.79000092,11621800,41,19.24875026,,,64.13341015,19.24875026,22.81539538,15.68210514,2.22189819,2.40398205,-0.18208385,0.04810005,0.04709281,0.37130273,0.92895313,1.42772704,
2025-11-11,21.03000069,21.10000038,18.64999962,20.72999954,8014800,42,19.3627502,,,59.92068938,19.3627502,22.96555371,15.75994668,2.12476483,2.3481386,-0.22337377,-0.04864623,0.08081331,0.12357716,-0.01159618,1.34833101,
2025-11-12,20.79999924,21.21999931,18.99500084,19.20999908,6473300,43,19.25125012,,,54.40223961,19.25125012,22.7257482,15.77675204,1.90319576,2.25915003,-0.35595428,-0.07332371,-0.07287646,-0.10401126,-0.51070221,1.25499525,
2025-11-13,18.93000031,19.48999977,16,16.25,14489000,44,19.08475013,,,45.59584568,19.08475013,22.79165357,15.37784669,1.47178762,2.10167755,-0.62988993,-0.15408637,-0.18012108,-0.1700715,3.02211456,1.33126798,volume_anomaly
2025-11-14,15.29500008,18.27000046,15.22000027,17.90999985,10086700,45,19.06400008,,,50.44097363,19.06400008,22.79226706,15.3357331,1.24943893,1.93122983,-0.6817909,0.10215384,-0.13852818,-0.02264671,0.99935098,1.36348085,
2025-11-17,17.45000076,18.09000015,16.92000008,17.22999954,4929100,46,19.00300002,,,48.53416761,19.00300002,22.8085753,15.19742474,1.00675046,1.74633395,-0.7395835,-0.03796763,-0.20927036,-0.06612472,-1.16533631,1.37046563,
2025-11-18,16.76000023,18.20999908,16,17.02000046,6071900,47,19.04100003,,,47.93155591,19.04100003,22.75021492,15.33178515,0.78838491,1.55474415,-0.76635923,-0.01218799,-0.17896764,0.04674048,-0.65233941,1.30183188,
2025-11-19,17.25,18.04999924,16.37999916,16.80999947,4159900,48,19.12049999,,,47.29909824,19.12049999,22.55684383,15.68415616,0.59156414,1.36210814,-0.77054401,-0.01233848,-0.12493492,0.10446775,-1.29868073,1.27915499,
2025-11-20,17.70000076,18.28000069,15.45499992,15.51000023,5807800,49,19.09449997,,,43.47478212,19.09449997,22.63040996,15.55858998,0.32691471,1.15506946,-0.82815475,-0.07733488,-0.04553845,-0.0324392,-0.65175668,1.30074019,bollinger_below_lower
2025-11-21,15.57999992,15.88000011,14.57999992,15.39999962,7750500,50,18.88849993,15.73410006,,43.15681153,18.88849993,22.76491217,15.01208769,0.10706779,0.94546912,-0.83840133,-0.00709224,-0.14014518,-0.21106561,0.15514818,1.0356467,
2025-11-24,15.5,15.98999977,15.01000023,15.80000019,9794700,51,18.74149995,15.90230006,,44.73956772,18.74149995,22.84558225,14.63741765,-0.03448821,0.74947766,-0.78396587,0.02597406,-0.08299474,-0.15688365,0.92004329,1.03644424,
2025-11-25,18.14500046,19.22999954,15.10000038,16.77000046,11842100,52,18.67499995,16.08770007,,48.48550869,18.67499995,22.86079262,14.48920729,-0.06762195,0.58605774,-0.65367968,0.06139242,-0.0146886,-0.07348066,1.54090853,1.05665598,
2025-11-26,17.62000084,19.20000076,17.20999908,18.98999977,8358500,53,18.61049991,16.31870007,,55.86018306,18.61049991,22.73467967,14.48632014,0.08428316,0.48570282,-0.40141966,0.1323792,0.12968473,-0.06360951,0.21457389,1.07467593,
2025-11-28,19.01000023,19.98999977,18.70000076,19.63999939,3411000,54,18.56899991,16.55310005,,57.76658544,18.56899991,22.63377493,14.50422489,0.25418846,0.43939995,-0.18521149,0.03422852,0.26627976,-0.04054714,-1.50307874,1.08111034,
