date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,555.02001953,558.92999268,554.84002686,556.65997314,204700,1,,,,,,,,,,,,,,,,
2025-09-16,556.19000244,560,553.86999512,554.88000488,238100,2,,,,,,,,,,,-0.00319759,,,,,
2025-09-17,556.70001221,558.82000732,546.57000732,550.86999512,237600,3,,,,,,,,,,,-0.00722681,,,,,
2025-09-18,550.86999512,564.0300293,550.86999512,562.63000488,201900,4,,,,,,,,,,,0.02134807,,,,,
2025-09-19,566.5,567.22998047,559.7800293,565.40997314,407900,5,,,,,,,,,,,0.00494102,,,,,
2025-09-22,562.84997559,568.52001953,562.28997803,567.91998291,249600,6,,,,,,,,,,,0.00443927,0.02022781,,,,
2025-09-23,568.96002197,573.28997803,565.92999268,567.90997314,292700,7,,,,,,,,,,,-0.00001763,0.0234825,,,,
2025-09-24,569,571.84997559,562.84002686,563.91998291,290900,8,,,,,,,,,,,-0.00702574,0.02368978,,,,
2025-09-25,562.55999756,568.33001709,559.32000732,566,308800,9,,,,,,,,,,,0.0036885,0.00598972,,,,
2025-09-26,568.09002686,579.46002197,568.09002686,577.10998535,410900,10,,,,,,,,,,,0.01962895,0.02069297,,,,
2025-09-29,579.13000488,585.96002197,577.39001465,579.34997559,344100,11,,,,,,,,,,,0.00388139,0.02012606,,,,
2025-09-30,579.65997314,586.2800293,577.54998779,586.03997803,274300,12,,,,,,,,,,,0.01154743,0.03192408,,,,
2025-10-01,581.63000488,581.63000488,571.75,575.07000732,328500,13,,,,,,,,,,,-0.01871881,0.01977235,,,,
2025-10-02,575.07000732,585.53997803,572.64001465,582.16998291,202500,14,,,,,,,,,,,0.01234628,0.02856887,,,,
2025-10-03,583.65997314,590.09002686,583.34997559,587.61999512,197300,15,,,,71.35765479,,,,,,,0.00936155,0.01821145,,,,rsi_overbought
2025-10-06,592,595.5300293,588.47998047,593.61999512,169800,16,,,,73.70209611,,,,,,,0.01021068,0.02463109,,,,rsi_overbought
2025-10-07,595.92999268,595.98999023,588.0300293,588.57000732,178900,17,,,,68.6116874,,,,,,,-0.00850711,0.00431716,,,,
2025-10-08,586.5,592.14001465,583.96002197,588.01000977,223300,18,,,,68.05040168,,,,,,,-0.00095145,0.02250161,,,,
2025-10-09,590.7800293,591.33001709,576.15002441,576.44000244,221200,19,,,,57.57129877,,,,,,,-0.01967655,-0.00984245,,,,
2025-10-10,577.27001953,579.52001953,565.84997559,567.44000244,238900,20,572.88199158,,,50.99321547,572.88199158,596.9573987,548.80658445,,,,-0.01561307,-0.03434191,,-0.3241478,,
