date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2026-05-29,33.88000107,34,20.87999916,22.79999924,36474808,1,,,,,,,,,,,,,,,,
2026-06-01,22.79999924,23.86000061,20.89999962,23,9290388,2,,,,,,,,,,,0.00877196,,,,,
2026-06-02,23,25.26000023,22.10000038,22.70000076,4451320,3,,,,,,,,,,,-0.01304345,,,,,
2026-06-03,22.42000008,22.84000015,21.36000061,22.20000076,3151565,4,,,,,,,,,,,-0.02202643,,,,,
2026-06-04,22.20000076,24.55999947,22,23.05999947,5081762,5,,,,,,,,,,,0.03873868,,,,,
2026-06-05,23,23.12000084,20.52000046,20.89999962,1926650,6,,,,,,,,,,,-0.09366869,-0.08333332,,,,
2026-06-08,19.10000038,22.21999931,19.10000038,22.20000076,2123478,7,,,,,,,,,,,0.06220101,-0.03478258,,,,
2026-06-09,22.18000031,22.70000076,21.26000023,22.5,1299120,8,,,,,,,,,,,0.01351348,-0.00881061,,,,
2026-06-10,22.89999962,22.95999908,21.5,22.73999977,1914300,9,,,,,,,,,,,0.01066666,0.02432428,,,,
2026-06-11,22.62000084,23.45999908,22.29999924,22.79999924,1614300,10,,,,,,,,,,,0.0026385,-0.01127495,,,,
2026-06-12,23,23.04000092,21.97999954,22.60000038,1080000,11,,,,,,,,,,,-0.00877188,0.08133975,,,,
2026-06-15,22.5,23.44000053,22.29999924,22.29999924,950700,12,,,,,,,,,,,-0.01327439,0.00450444,,,,
2026-06-16,22.20000076,22.79999924,21.62000084,22.28000069,1005750,13,,,,,,,,,,,-0.0008968,-0.00977775,,,,
2026-06-17,22.13999939,22.36000061,21.28000069,22.10000038,1345950,14,,,,,,,,,,,-0.00807901,-0.02814421,,,,
2026-06-18,21.87999916,23.20000076,21.87999916,22.79999924,925800,15,,,,50,,,,,,,0.03167416,0,,,,
2026-06-22,22.79999924,27.63999939,22.34000015,27.18000031,4348288,16,,,,69.59356789,,,,,,,0.19210532,0.20265486,,,,
2026-06-23,27.18000031,28,24.13999939,25.37999916,1221350,17,,,,59.30776237,,,,,,,-0.06622521,0.13811659,,,,
2026-06-24,24.70000076,26.97999954,24.39999962,25.26000023,522150,18,,,,58.68505216,,,,,,,-0.00472809,0.13375222,,,,
2026-06-25,25.23999977,25.92000008,24.54000092,24.92000008,593398,19,,,,56.86328526,,,,,,,-0.01346002,0.12760179,,,,
2026-06-26,24.5,24.70000076,22.78000069,23.34000015,914300,20,23.15299997,,,49.2171129,23.15299997,25.97356087,20.33243907,,,,-0.06340289,0.02368425,,-0.40085176,,
2026-06-29,23.34000015,25.63999939,23,25,894000,21,23.26300001,,,55.92304814,23.26300001,26.18952076,20.33647927,,,,0.07112253,-0.08020604,0.09649126,-0.6427222,0.91403702,
2026-06-30,25.5,26.39999962,24.63999939,26.07999992,1081144,22,23.41700001,,,59.65575528,23.41700001,26.58605721,20.2479428,,,,0.0432,0.0275808,0.13391304,-0.56091117,0.92297849,
2026-07-02,26.04000092,26.04000092,22,22.44000053,863570,23,23.404,,,45.63002853,23.404,26.58681881,20.22118119,,,,-0.13957053,-0.11163894,-0.01145375,-0.65537508,1.05372729,
2026-07-03,22.39999962,22.76000023,21.79999924,21.79999924,484800,24,23.38399992,,,43.68524174,23.38399992,26.60166622,20.16633362,,,,-0.02852056,-0.12520068,-0.01801809,-0.88213968,1.0557986,
2026-07-06,21.79999924,21.84000015,20.54000092,21,840302,25,23.28099995,,,41.31484633,23.28099995,26.66133075,19.90066915,,,,-0.03669721,-0.10025708,-0.08933216,-0.55083412,1.05431798,
2026-07-07,21,21.5,20.5,21.23999977,348450,26,23.29799995,,,42.32589681,23.29799995,26.63338361,19.9626163,,,,0.01142856,-0.15040001,0.01626795,-1.03420885,1.00118299,
2026-07-08,21.02000046,21.02000046,19.51000023,19.94000053,972000,27,23.18499994,,,38.4606424,23.18499994,26.80270912,19.56729076,,,,-0.06120524,-0.23542943,-0.10180181,-0.23146631,0.99988239,
2026-07-09,19.94000053,20.05999947,18.79999924,19.51000023,567300,28,23.03549995,,,37.24893942,23.03549995,26.98590478,19.08509513,,,,-0.02156471,-0.13057042,-0.13288888,-0.67461172,0.99976063,
2026-07-10,19.51000023,19.86000061,18.87999916,19.09000015,357300,29,22.85299997,,,36.0541265,22.85299997,27.16210696,18.54389299,,,,-0.02152743,-0.12431189,-0.1605101,-0.83947637,0.99953648,
2026-07-13,19.09000015,19.25,18.37000084,19,178650,30,22.66300001,,,35.78920536,22.66300001,27.28820952,18.0377905,,,,-0.00471452,-0.0952381,-0.16666664,-0.95805944,0.99898627,
2026-07-14,18.61000061,19.67000008,17.28000069,18.96999931,627150,31,22.48149996,,,35.6950506,22.48149996,27.37921891,17.583781,,,,-0.00157898,-0.10687385,-0.16061951,-0.38967308,0.99914962,
2026-07-15,19.04999924,20.02000046,18.39999962,19.07999992,343650,32,22.32049999,,,36.35619291,22.32049999,27.43825526,17.20274472,,,,0.00579866,-0.04312942,-0.14439459,-0.68462183,0.99977016,
2026-07-16,19.39999962,19.79999924,18.62999916,19.04999924,111450,33,22.15899992,,,36.24673674,22.15899992,27.47181433,16.84618551,,,,-0.00157236,-0.0235777,-0.14497313,-0.88787078,0.99973079,
2026-07-17,19.54999924,19.54999924,18.02000046,18.28000069,393150,34,21.96799994,,,33.46215987,21.96799994,27.54372444,16.39227543,-0.97668631,-0.2964771,-0.68020922,-0.04041987,-0.04243056,-0.17285066,-0.50646317,1.00686495,
2026-07-20,18.28000069,19.04999924,18.25,18.79999924,311550,35,21.76799994,,,36.98298944,21.76799994,27.49491052,16.04108935,-1.02090348,-0.44136237,-0.57954111,0.02844631,-0.01052636,-0.1754386,-0.56102062,1.0053437,
2026-07-21,18.79999924,19.92000008,18.34000015,19.47999954,611670,36,21.3829999,,,41.35329291,21.3829999,26.6168937,16.1491061,-0.98966729,-0.55102336,-0.43864394,0.03617023,0.02688457,-0.28329657,-0.00065259,0.71889296,
2026-07-22,19.5,19.81999969,18.5,18.71999931,584400,37,21.0499999,,,38.16736954,21.0499999,26.06729022,16.03270959,-1.01454303,-0.64372729,-0.37081574,-0.03901439,-0.01886796,-0.26241135,0.01640624,0.7006095,
2026-07-23,18.71999931,19.43000031,18.35000038,18.45999908,447666,38,20.70999985,,,37.11393649,20.70999985,25.45421762,15.96578207,-1.04321159,-0.72362415,-0.31958744,-0.0138889,-0.03097114,-0.26920036,-0.47939042,0.69978339,
2026-07-24,18.29999924,19.62000084,17.86000061,18.29999924,401586,39,20.37899981,,,36.44726757,20.37899981,24.81590846,15.94209115,-1.06654778,-0.79220888,-0.2743389,-0.00866738,0.00109401,-0.26565011,-0.60940495,0.70007373,
2026-07-27,18.29999924,19.60000038,18.29999924,18.92000008,779048,40,20.1579998,,,40.87898878,20.1579998,24.41980996,15.89618965,-1.02321797,-0.8384107,-0.18480728,0.03387983,0.00638302,-0.18937447,0.83062948,0.69500453,
2026-07-28,18.92000008,19.59000015,17.90999985,18.47999954,830531,41,19.83199978,,,38.81059097,19.83199978,23.52145306,16.1425465,-1.01270927,-0.87327041,-0.13943886,-0.02325584,-0.0513347,-0.26080002,1.0525227,0.63090041,
2026-07-29,18.47999954,18.68000031,16.76000023,17.35000038,1706955,42,19.3954998,,,34.046154,19.3954998,21.90039494,16.89060466,-1.0830775,-0.91523183,-0.16784567,-0.06114714,-0.07318371,-0.33473925,3.24254205,0.61443299,volume_anomaly
2026-07-30,17.13999939,18.81999969,16.87000084,18.54000092,572448,43,19.20049982,,,42.10635615,19.20049982,21.30168482,17.09931482,-1.03093772,-0.93837301,-0.09256471,0.06858793,0.00433379,-0.17379677,-0.0031094,0.51548273,
2026-07-31,18.54000092,20.76000023,18.46999931,19.29999924,796408,44,19.07549982,,,46.5952168,19.07549982,20.80841038,17.34258927,-0.91771223,-0.93424085,0.01652862,0.04099236,0.05464481,-0.1146789,0.6063145,0.537885,
2026-08-03,19.75,23.34000015,19.75,22.71999931,1745097,45,19.16149979,,,61.1814393,19.16149979,21.37263753,16.95036204,-0.54572403,-0.85653749,0.31081345,0.17720208,0.20084562,0.08190473,2.62879509,0.81780686,bollinger_above_upper|volume_anomaly
2026-08-04,22.71999931,24.97999954,21.79999924,22.34000015,1712219,46,19.21649981,,,59.24520854,19.21649981,21.67283256,16.76016705,-0.27837453,-0.7409049,0.46253036,-0.01672532,0.2088745,0.0517891,2.11507224,0.8208989,bollinger_above_upper|volume_anomaly
2026-08-05,22.34000015,23.36000061,21.62000084,22.97999954,1018420,47,19.36849976,,,61.45757983,19.36849976,22.31285878,16.42414073,-0.01468623,-0.59566116,0.58097493,0.02864814,0.32449562,0.15245732,0.65494193,0.78952389,bollinger_above_upper
2026-08-06,23.36000061,24.68000031,22.60000038,22.92000008,761726,48,19.53899975,,,61.12258849,19.53899975,22.86640046,16.21159904,0.18728825,-0.43907128,0.62635953,-0.00261094,0.2362459,0.17478215,0.09871078,0.78319345,bollinger_above_upper
