date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,275.2506837,275.3796627,270.32983225,270.78619385,462700,1,,,,,,,,,,,,,,,,
2025-09-11,271.72874378,279.46718174,267.86942531,277.51272583,368400,2,,,,,,,,,,,0.02484075,,,,,
2025-09-12,276.64960593,278.62389319,275.51858711,275.75671387,347200,3,,,,,,,,,,,-0.00632768,,,,,
2025-09-15,275.27054871,275.84598888,272.08588737,273.22680664,427000,4,,,,,,,,,,,-0.00917442,,,,,
2025-09-16,273.22678426,274.81416455,271.71878963,271.92712402,410900,5,,,,,,,,,,,-0.00475679,,,,,
2025-09-17,271.9271538,276.24283403,271.37157517,273.89154053,399600,6,,,,,,,,,,,0.00722406,0.01146789,,,,
2025-09-18,272.0561103,276.43131428,272.0561103,274.96298218,412600,7,,,,,,,,,,,0.00391192,-0.00918784,,,,
2025-09-19,275.48879954,276.33209819,273.86175665,275.08203125,1064800,8,,,,,,,,,,,0.00043296,-0.00244666,,,,
2025-09-22,273.85184031,277.54248692,272.88949339,276.69918823,540600,9,,,,,,,,,,,0.00587882,0.01270879,,,,
2025-09-23,276.69915534,281.2331001,276.57017634,277.73095703,471700,10,,,,,,,,,,,0.00372885,0.02134334,,,,
2025-09-24,277.64171491,279.99300844,276.26266884,277.1456604,366500,11,,,,,,,,,,,-0.00210742,0.01188105,,,,
2025-09-25,275.74678266,277.02661177,271.91722611,273.96099854,402100,12,,,,,,,,,,,-0.01149093,-0.00364407,,,,
2025-09-26,275.94518051,279.60603445,274.50661052,278.3956604,403800,13,,,,,,,,,,,0.0161872,0.01204597,,,,
2025-09-29,278.39570148,281.23314906,276.99685439,280.51882935,447200,14,,,,,,,,,,,0.00762644,0.01380431,,,,
2025-09-30,282.63200951,286.08452936,280.62793,284.7947998,612100,15,,,,71.40697284,,,,,,,0.01524308,0.02543412,,,,rsi_overbought
2025-10-01,285.15195639,286.91790904,276.76862399,276.85791016,1036800,16,,,,56.6168694,,,,,,,-0.0278688,-0.00103826,,,,
2025-10-02,275.64754396,277.7905029,273.09781672,277.23492432,549900,17,,,,57.07171721,,,,,,,0.00136176,0.01195034,,,,
2025-10-03,277.75079662,278.98103224,274.05024984,274.75463867,716000,18,,,,53.12553395,,,,,,,-0.00894651,-0.01307859,,,,
2025-10-06,275.07212964,275.10189169,271.29219706,272.87954712,748200,19,,,,50.2942705,,,,,,,-0.0068246,-0.02723269,,,,
2025-10-07,274.03041787,281.45140407,272.12558555,277.41351318,634400,20,276.07663727,,,56.35165605,276.07663727,282.20960232,269.94367222,,,,0.01661527,-0.02591791,,0.45796565,,
2025-10-08,277.05638126,277.94927334,273.0085594,275.32019043,575400,21,276.3033371,,,53.13222324,276.3033371,281.95350285,270.65317134,,,,-0.00754586,-0.00555418,0.01674382,0.14109583,0.18752747,
2025-10-09,275.8558712,278.3857671,275.11178952,275.5880127,478600,22,276.20710144,,,53.49827033,276.20710144,281.83712288,270.57708,,,,0.00097277,-0.00594049,-0.00693559,-0.36921286,0.16609085,
2025-10-10,275.99480723,280.84620453,273.70303784,275.68725586,420700,23,276.20362854,,,53.64275402,276.20362854,281.83484256,270.57241452,,,,0.00036011,0.00339436,-0.00025188,-0.68871267,0.16463436,
2025-10-13,274.37764558,277.79050275,273.88159111,274.45703125,383600,24,276.26513977,,,51.50637073,276.26513977,281.79083099,270.73944855,,,,-0.00446239,0.00578088,0.00450258,-0.85938543,0.16209857,
2025-10-14,273.82206456,278.61393737,273.82206456,277.57223511,331000,25,276.54739532,,,56.25712113,276.54739532,281.72355357,271.37123708,,,,0.01135042,0.00057215,0.02075965,-1.08503218,0.16534284,
2025-10-15,276.72896557,281.30260396,276.54046243,280.51882935,411000,26,276.87875977,,,60.2262285,276.87875977,282.17943419,271.57808534,,,,0.01061559,0.01888216,0.02419676,-0.69250866,0.16733462,
2025-10-16,281.07441487,283.69359732,279.81444727,281.47125244,448800,27,277.20417328,,,61.44401608,277.20417328,282.78608429,271.62226227,,,,0.00339522,0.02134795,0.02366962,-0.51644468,0.16724064,
2025-10-17,282.43358773,284.58647762,281.34226176,283.68365479,453300,28,277.63425446,,,64.18706502,277.63425446,283.79168006,271.47682885,,,,0.00786014,0.02900533,0.0312693,-0.41971774,0.16876396,
2025-10-20,285.06267872,289.47757609,283.74318702,288.63427734,469400,29,278.23100891,,,69.4283836,278.23100891,286.01012566,270.45189216,,,,0.01745121,0.05165561,0.04313381,-0.29828304,0.17701076,bollinger_above_upper
2025-10-21,289.72559462,291.40226128,280.26086613,281.88793945,640000,30,278.43885803,,,57.1530568,278.43885803,286.37399951,270.50371656,,,,-0.02337331,0.01554804,0.01496766,0.68931808,0.19764778,
2025-10-22,282.06649464,283.72332991,279.81441821,280.60809326,442700,31,278.61197968,,,55.16055373,278.61197968,286.57773326,270.64622609,,,,-0.00454027,0.00031821,0.01249319,-0.540915,0.19828006,
2025-10-23,282.04666172,283.41577692,278.51475629,281.75894165,522500,32,279.00187683,,,56.6249041,279.00187683,286.78001927,271.22373439,,,,0.00410127,0.00102209,0.0284637,-0.08649811,0.19348199,
2025-10-24,283.63406798,284.23923996,276.9174704,277.2845459,698800,33,278.94632111,,,49.81355332,278.94632111,286.75679481,271.1358474,,,,-0.01588023,-0.0225572,-0.00399113,0.92419148,0.19457273,
