date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-16,5.01000023,5.11999989,4.96000004,5.05999994,122900,1,,,,,,,,,,,,,,,,
2025-09-17,5.05999994,5.23999977,5.03000021,5.17000008,81700,2,,,,,,,,,,,0.02173916,,,,,
2025-09-18,5.23999977,5.5999999,5.23000002,5.53000021,191200,3,,,,,,,,,,,0.06963252,,,,,
2025-09-19,5.53000021,5.53000021,5.23000002,5.28999996,111600,4,,,,,,,,,,,-0.04339968,,,,,
2025-09-22,5.23999977,5.51000023,5.23000002,5.4000001,142300,5,,,,,,,,,,,0.02079398,,,,,
2025-09-23,5.48999977,5.71999979,5.32000017,5.71000004,160800,6,,,,,,,,,,,0.0574074,0.12845852,,,,
2025-09-24,5.67999983,5.88000011,5.5,5.82999992,150700,7,,,,,,,,,,,0.02101574,0.12765954,,,,
2025-09-25,5.73999977,5.78999996,5.55999994,5.59000015,133500,8,,,,,,,,,,,-0.04116634,0.0108499,,,,
2025-09-26,5.55000019,5.63999987,5.53000021,5.61999989,53600,9,,,,,,,,,,,0.00536668,0.06238184,,,,
2025-09-29,5.6500001,5.6500001,5.55000019,5.55999994,61100,10,,,,,,,,,,,-0.01067615,0.0296296,,,,
2025-09-30,5.57000017,5.75,5.51000023,5.57000017,145300,11,,,,,,,,,,,0.0017986,-0.02451837,,,,
2025-10-01,5.51999998,5.57999992,5.3499999,5.4000001,81600,12,,,,,,,,,,,-0.03052066,-0.0737564,,,,
2025-10-02,5.42000008,5.92999983,5.36000013,5.8499999,249700,13,,,,,,,,,,,0.0833333,0.04651158,,,,
2025-10-03,5.78999996,6.40999985,5.71000004,6.13999987,523300,14,,,,,,,,,,,0.04957264,0.09252669,,,,
2025-10-06,6.19000006,6.4000001,6.15999985,6.36999989,285500,15,,,,73.99267278,,,,,,,0.03745929,0.14568344,,,,rsi_overbought
2025-10-07,6.3499999,6.40999985,6.07999992,6.19999981,158800,16,,,,69.34248439,,,,,,,-0.02668761,0.11310586,,,,
2025-10-08,6.15999985,6.23999977,6.01000023,6.05999994,105800,17,,,,65.68157821,,,,,,,-0.02258062,0.12222219,,,,
2025-10-09,6.03999996,6.26000023,5.94999981,6.19999981,184400,18,,,,67.52780694,,,,,,,0.02310229,0.05982904,,,,
2025-10-10,6.19999981,6.26000023,5.78000021,5.78999996,180100,19,,,,57.73247551,,,,,,,-0.06612901,-0.05700324,,,,
2025-10-13,5.9000001,5.98000002,5.78000021,5.88999987,106600,20,5.71149998,,,59.28380569,5.71149998,6.41515529,5.00784466,,,,0.01727114,-0.07535322,,-0.54663579,,
2025-10-14,5.82999992,6.13999987,5.71000004,6.03000021,197900,21,5.75999999,,,61.41875638,5.75999999,6.40893744,5.11106254,,,,0.02376916,-0.02741929,0.19169966,0.3250596,0.61602393,
2025-10-15,6.01999998,6.28000021,5.90999985,6.17999983,243700,22,5.81049998,,,63.61981358,5.81049998,6.42416016,5.1968398,,,,0.02487556,0.01980196,0.19535778,0.70444678,0.61690052,
2025-10-16,6.15999985,6.40999985,6.0999999,6.11000013,606000,23,5.83949997,,,61.84659777,5.83949997,6.45221431,5.22678564,,,,-0.01132681,-0.01451608,0.10488244,2.997749,0.58032232,volume_anomaly
2025-10-17,6,6.19000006,5.94000006,6.01999998,176100,24,5.87599998,,,59.54848313,5.87599998,6.43833071,5.31366924,,,,-0.01472998,0.03972367,0.13799622,-0.15597578,0.55782211,
2025-10-20,6.05000019,6.26999998,6.05000019,6.25,151400,25,5.91849997,,,63.30144498,5.91849997,6.45854708,5.37845286,,,,0.03820598,0.06112057,0.15740739,-0.34112612,0.56639593,
