date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-03,90,91.62999725,85.26000214,86.77999878,2564700,1,,,,,,,,,,,,,,,,
2025-09-04,86.76999664,89.11000061,86.58000183,89.01999664,1713900,2,,,,,,,,,,,0.02581237,,,,,
2025-09-05,88.61000061,90.05999756,86.08000183,86.44999695,1253400,3,,,,,,,,,,,-0.02886991,,,,,
2025-09-08,86.66000366,87.30999756,85.01000214,87.19000244,1210200,4,,,,,,,,,,,0.00855993,,,,,
2025-09-09,86.69000244,87.12000275,82.43000031,83.27999878,2005200,5,,,,,,,,,,,-0.04484463,,,,,
2025-09-10,82.91999817,83.12000275,80.33000183,81.16999817,1728600,6,,,,,,,,,,,-0.02533622,-0.06464624,,,,
2025-09-11,81.18000031,81.68000031,80.11000061,80.94999695,1872600,7,,,,,,,,,,,-0.00271038,-0.09065379,,,,
2025-09-12,80.63999939,80.65000153,77.20999908,77.43000031,2715300,8,,,,,,,,,,,-0.04348359,-0.10433773,,,,
2025-09-15,77.47000122,77.91999817,75.73999786,77.58000183,2359500,9,,,,,,,,,,,0.00193725,-0.11021907,,,,
2025-09-16,77.66999817,79.27999878,76.37999725,78.98999786,2645400,10,,,,,,,,,,,0.01817474,-0.05151298,,,,
2025-09-17,79.66000366,82.37000275,79.23999786,80.54000092,2652100,11,,,,,,,,,,,0.01962278,-0.00776145,,,,
2025-09-18,81.62000275,82,79.83000183,80.36000061,2138800,12,,,,,,,,,,,-0.00223492,-0.0072884,,,,
2025-09-19,80.83999634,81.79000092,80.08000183,80.31999969,2572400,13,,,,,,,,,,,-0.00049777,0.03732403,,,,
2025-09-22,78.45999908,78.98999786,76.62000275,77.13999939,2903300,14,,,,,,,,,,,-0.03959164,-0.0056716,,,,
2025-09-23,77.58999634,80.11000061,77.48000336,78.15000153,2179000,15,,,,31.09944442,,,,,,,0.01309311,-0.01063421,,,,
2025-09-24,78.73000336,79.90000153,77.38999939,77.48999786,1655800,16,,,,30.16045054,,,,,,,-0.00844534,-0.03786942,,,,
2025-09-25,77.20999908,77.25,75.27999878,76.65000153,1664100,17,,,,28.96190912,,,,,,,-0.01084006,-0.04616724,,,,rsi_oversold
2025-09-26,76.83999634,81.98000336,76.54000092,81.73000336,4909700,18,,,,43.56740762,,,,,,,0.0662753,0.01755483,,,,
2025-09-29,82.5,84.02999878,79.62999725,83.76000214,2854800,19,,,,48.15464822,,,,,,,0.02483786,0.08581803,,,,
2025-09-30,83.56999969,84.26999664,82.11000061,83.55000305,1933300,20,81.42649994,,,47.72248197,81.42649994,88.71788941,74.13511047,,,,-0.00250715,0.06909791,,-0.4386232,,
