date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,53.5,54.50999832,51.90000153,54.13000107,1627000,1,,,,,,,,,,,,,,,,
2025-09-25,52.61999893,55.08000183,52,55.02000046,626100,2,,,,,,,,,,,0.01644189,,,,,
2025-09-26,55.95999908,56.88999939,54.44499969,55.86000061,846500,3,,,,,,,,,,,0.01526718,,,,,
2025-09-29,56.36999893,57.86999893,55.84999847,55.90999985,653400,4,,,,,,,,,,,0.00089508,,,,,
2025-09-30,55.86999893,56.13199997,54.06000137,54.47000122,929400,5,,,,,,,,,,,-0.02575565,,,,,
2025-10-01,53.84000015,53.84000015,51.02000046,52.43999863,668700,6,,,,,,,,,,,-0.03726827,-0.03122118,,,,
2025-10-02,52.45000076,52.58499908,48.81800079,50.25999832,1098800,7,,,,,,,,,,,-0.04157133,-0.08651403,,,,
2025-10-03,50.11000061,51.81499863,50.11000061,51.52000046,657100,8,,,,,,,,,,,0.02506968,-0.07769424,,,,
2025-10-06,51.52000046,53.34000015,50.77999878,52.75,635900,9,,,,,,,,,,,0.02387421,-0.0565194,,,,
2025-10-07,53.40000153,53.88999939,51.04999924,53.20000076,573200,10,,,,,,,,,,,0.00853082,-0.02331559,,,,
2025-10-08,54,54.90000153,52.47999954,52.56999969,559200,11,,,,,,,,,,,-0.01184213,0.00247904,,,,
2025-10-09,52.54000092,52.74000168,51.19499969,51.77000046,732300,12,,,,,,,,,,,-0.01521779,0.03004382,,,,
2025-10-10,51.77000046,51.93000031,47.97000122,48.15999985,517000,13,,,,,,,,,,,-0.06973152,-0.0652174,,,,
2025-10-13,49.31000137,50.13999939,48.06999969,50,389100,14,,,,,,,,,,,0.03820598,-0.0521327,,,,
2025-10-14,48.79999924,49.36999893,47.25,48.24000168,689900,15,,,,34.50815695,,,,,,,-0.03519997,-0.09323306,,,,
2025-10-15,48.5,49.11000061,47.68000031,48.68999863,604500,16,,,,36.1362035,,,,,,,0.00932829,-0.07380637,,,,
2025-10-16,47.18999863,47.52999878,44.34999847,47.06000137,1439200,17,,,,32.94180572,,,,,,,-0.03347704,-0.09097931,,,,
2025-10-17,46.5,48.79999924,46.47000122,47.02000046,730100,18,,,,32.86502571,,,,,,,-0.00085,-0.02367108,,,,
2025-10-20,48.00999832,49.06000137,47.68000031,48.31999969,370500,19,,,,37.92852446,,,,,,,0.02764779,-0.03360001,,,,
2025-10-21,48.09000015,50.06999969,47.63000107,48.54999924,481800,20,51.29700012,,,38.80788287,51.29700012,57.03079176,45.56320848,,,,0.00475992,0.00642615,,-0.83114223,,
2025-10-22,48.20999908,48.70000076,46.21300125,48.68999863,417100,21,51.025,,,39.37092211,51.025,56.71134705,45.33865295,,,,0.00288361,0,-0.10049884,-1.07718508,0.43492231,
2025-10-23,48.34999847,50.49000168,48.34999847,50.25,265600,22,50.78649998,,,45.39960565,50.78649998,56.17492581,45.39807414,,,,0.03203946,0.06778577,-0.08669575,-1.52195032,0.44772573,
2025-10-24,51.27999878,51.83000183,49.72000122,49.77000046,761300,23,50.48199997,,,43.95144995,50.48199997,55.3526082,45.61139174,,,,-0.00955223,0.05848575,-0.10902256,0.39651081,0.4423865,
2025-10-27,50.45000076,51.43000031,50.11000061,50.43000031,403600,24,50.20799999,,,46.47941866,50.20799999,54.39493501,46.02106498,,,,0.013261,0.04366723,-0.09801466,-0.91670227,0.44663849,
2025-10-28,50.45000076,50.90000153,49.36000061,49.38999939,300100,25,49.9539999,,,43.17486456,49.9539999,53.66523349,46.24276631,,,,-0.02062266,0.01730175,-0.09326238,-1.180567,0.44394061,
2025-10-29,49.61000061,51.83000183,49.25999832,50.52000046,335400,26,49.85799999,,,47.53918869,49.85799999,53.40263315,46.31336684,,,,0.02287915,0.03758476,-0.03661324,-0.96231384,0.43669168,
2025-10-30,49.93999863,50.18000031,48.13000107,48.52000046,302400,27,49.7710001,,,41.46858893,49.7710001,53.35706707,46.18493313,,,,-0.03958828,-0.03442785,-0.03461993,-1.00541245,0.43444591,
2025-10-31,48.52000046,50.03499985,48.22999954,48.68999863,665500,28,49.62950001,,,42.14485986,49.62950001,53.15110469,46.10789532,,,,0.00350367,-0.02169986,-0.05493016,0.41944615,0.42418844,
2025-11-03,48.90999985,49.71500015,47.34799957,48.56999969,706600,29,49.42049999,,,41.77791877,49.42049999,52.66148436,46.17951562,,,,-0.00246455,-0.03688282,-0.07924171,0.56356468,0.41323344,
2025-11-04,55.45999908,62.72000122,50.93999863,62.61999893,3147500,30,49.8914999,,,72.24652877,49.8914999,56.34169721,43.4413026,,,,0.2892732,0.26786798,0.17706763,3.96817435,1.09601793,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-11-05,61.09999847,64.08999634,60.20000076,62.66999817,1063500,31,50.39649982,,,72.30207874,50.39649982,58.87046448,41.92253517,,,,0.00079845,0.24049876,0.19212476,0.5571485,1.09367581,bollinger_above_upper|rsi_overbought
2025-11-06,61.95000076,63.29999924,60.18000031,62.02000046,1586100,32,50.90899982,,,70.33125386,50.90899982,60.77820975,41.0397899,,,,-0.01037175,0.27823578,0.19799111,1.26942853,1.09234568,bollinger_above_upper|rsi_overbought
2025-11-07,61.27000046,65.08000183,59.48799896,64.80999756,1007000,33,51.74149971,,,73.65122487,51.74149971,63.2204033,40.26259612,,,,0.04498544,0.33107413,0.34572254,0.34338586,1.05686632,bollinger_above_upper|rsi_overbought
2025-11-10,66.5,69.26000214,65.5,66.38999939,754300,34,52.56099968,,,75.33453062,52.56099968,65.65252561,39.46947375,2.67590819,-0.17119584,2.84710403,0.02437898,0.36689314,0.32779999,-0.07331988,1.05442942,bollinger_above_upper|rsi_overbought
2025-11-11,66,66.41999817,64.03099823,65.58999634,667000,35,53.42849941,,,72.79856066,53.42849941,67.52085813,39.3361407,3.1291654,0.48887641,2.64028899,-0.01205005,0.0474289,0.35965991,-0.20679929,1.04319789,rsi_overbought
2025-11-12,65.58999634,66.80999756,63.5,65.66000366,572100,36,54.27699966,,,72.88458134,54.27699966,69.14797894,39.40602038,3.45420608,1.08194234,2.37226373,0.00106735,0.04771032,0.34853164,-0.35105569,1.044388,rsi_overbought
2025-11-13,64.38999939,65.21499634,58.77999878,59.22000122,815300,37,54.88499966,,,55.49795923,54.88499966,69.51842061,40.2515787,3.15577101,1.49670808,1.65906294,-0.09808106,-0.04514671,0.25839353,0.07576731,1.1057852,
2025-11-14,57.70000076,61.65000153,57.70000076,60.58000183,653100,38,55.56299973,,,57.78805013,55.56299973,69.9300885,41.19591095,2.99448124,1.79626271,1.19821853,0.02296522,-0.06526764,0.28838795,-0.17584226,1.10490766,
2025-11-17,60.56999969,61,55.31999969,56.34000015,875100,39,55.96399975,,,49.27456803,55.96399975,69.94250367,41.98549583,2.49575572,1.93616131,0.55959441,-0.06999012,-0.15137821,0.16597683,0.13810416,1.14172318,
2025-11-18,55.54999924,58.58499908,54.25999832,58.34999847,732900,40,56.45399971,,,52.82282806,56.45399971,70.04014299,42.86785643,2.23691643,1.99631234,0.2406041,0.03567622,-0.11038265,0.20185375,-0.11085548,1.14493999,
