date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,158.49274505,159.94762944,150.99229208,155.80909729,4199400,1,,,,,,,,,,,,,,,,
2025-09-11,155.39620671,157.67681123,154.38369469,154.91452026,2621100,2,,,,,,,,,,,-0.00574149,,,,,
2025-09-12,155.93687233,156.57583099,153.69558211,154.05929565,1642600,3,,,,,,,,,,,-0.00552062,,,,,
2025-09-15,154.43284516,156.71344962,153.15491287,154.89486694,2080800,4,,,,,,,,,,,0.0054237,,,,,
2025-09-16,156.6642963,160.56689695,155.95651887,159.87878418,2920600,5,,,,,,,,,,,0.03217613,,,,,
2025-09-17,159.26933031,162.83769225,158.95475587,160.89131165,2892200,6,,,,,,,,,,,0.00633309,0.03261821,,,,
2025-09-18,161.55976384,161.55976384,157.6276736,161.06825256,2492500,7,,,,,,,,,,,0.00109975,0.03972341,,,,
2025-09-19,160.65537677,160.95028655,158.3649473,159.85913086,8119400,8,,,,,,,,,,,-0.00750689,0.03764677,,,,
2025-09-22,159.86895961,164.24340689,159.18083184,163.61427307,2613000,9,,,,,,,,,,,0.02349032,0.05629241,,,,
2025-09-23,163.86986705,169.10937939,163.86986705,167.4972229,4022400,10,,,,,,,,,,,0.02373234,0.04765134,,,,
2025-09-24,168.08705102,170.810013,167.90027431,167.92976379,3523400,11,,,,,,,,,,,0.00258238,0.04374663,,,,
2025-09-25,168.18533419,173.03164344,167.47755671,171.45880127,4094100,12,,,,,,,,,,,0.02101496,0.06451022,,,,
2025-09-26,171.86183336,175.40070552,171.12456645,172.64825439,3032400,13,,,,,,,,,,,0.00693725,0.08000246,,,,
2025-09-29,172.02895935,172.02895935,167.25146879,169.21751404,2604700,14,,,,,,,,,,,-0.01987127,0.03424665,,,,
2025-09-30,167.41858467,169.15853896,165.88507174,167.36943054,2385700,15,,,,70.61707149,,,,,,,-0.01092135,-0.00076295,,,,rsi_overbought
