date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-23,252.54585863,253.86328826,249.99086022,251.16856384,26628000,1,,,,,,,,,,,,,,,,
2025-09-24,251.16855666,251.85721165,245.95874917,246.65737915,28201000,2,,,,,,,,,,,-0.01796079,,,,,
2025-09-25,243.92272783,246.00865804,240.26988668,245.31001282,31020400,3,,,,,,,,,,,-0.0054625,,,,,
2025-09-26,246.587527,248.93292876,245.48966899,246.05854797,18503200,4,,,,,,,,,,,0.00305138,,,,,
2025-09-29,247.36599225,250.65953566,242.2959109,243.57341003,32505800,5,,,,,,,,,,,-0.01009978,,,,,
2025-09-30,242.33584769,242.8149061,238.78280195,242.62528992,34724300,6,,,,,,,,,,,-0.00389254,-0.03401411,,,,
2025-10-01,240.27986315,245.81902815,238.14404275,244.42175293,31658200,7,,,,,,,,,,,0.00740427,-0.00906369,,,,
2025-10-02,244.67125109,246.32801301,241.82682587,245.21020508,25483300,8,,,,,,,,,,,0.00322579,-0.00040686,,,,
2025-10-03,244.01257415,245.81903721,241.18809865,244.87089539,30249600,9,,,,,,,,,,,-0.00138375,-0.00482671,,,,
2025-10-06,244.301988,250.8292251,244.10238161,249.94094849,28894700,10,,,,,,,,,,,0.020705,0.02614217,,,,
2025-10-07,247.7851833,249.9509439,245.04055349,245.28007507,23181300,11,,,,,,,,,,,-0.0186479,0.01094191,,,,
2025-10-08,244.48165109,245.52958848,243.34387788,244.14230347,21307100,12,,,,,,,,,,,-0.00463866,-0.00114331,,,,
2025-10-09,243.9925955,244.28202248,238.68297719,241.05833435,27892100,13,,,,,,,,,,,-0.01263185,-0.01693188,,,,
2025-10-10,240.95854255,243.61335191,235.37946202,236.10804749,33180300,14,,,,,,,,,,,-0.02053564,-0.03578558,,,,
2025-10-13,239.7409246,244.02254039,239.241901,243.67321777,24995000,15,,,,40.49602575,,,,,,,0.03204114,-0.02507685,,,,
2025-10-14,240.75891237,246.63740954,240.0403172,244.97067261,22111600,16,,,,42.53233639,,,,,,,0.00532457,-0.00126143,,,,
2025-10-15,246.76716258,251.61767243,245.50962863,250.53977966,27007700,17,,,,50.38144238,,,,,,,0.02273377,0.02620388,,,,
2025-10-16,251.27834055,256.45819258,249.6116036,250.96894836,27997200,18,,,,50.93756797,,,,,,,0.00171298,0.04111293,,,,
2025-10-17,250.27029536,253.72354517,247.32605935,252.80534363,29671600,19,,,,53.34708679,,,,,,,0.00731722,0.07071888,,,,
2025-10-20,254.19265795,256.82748687,253.73354952,256.04901123,22350200,20,246.27163696,,,57.33300321,246.27163696,255.0881725,237.45510142,,,,0.01283069,0.05078848,,-1.18697439,,bollinger_above_upper
2025-10-21,254.24254217,254.38226816,243.67321104,249.97090149,47312100,21,246.21175385,,,48.90177375,246.21175385,254.90990813,237.51359956,,,,-0.02373807,0.02041154,-0.00476836,3.11920327,0.23226024,volume_anomaly
2025-10-22,253.87326077,255.85936494,248.80317918,251.19850159,35029400,22,246.43880997,,,50.48554085,246.43880997,255.40460521,237.47301473,,,,0.00491097,0.00262921,0.01841065,1.00770255,0.2234518,
2025-10-23,252.48598935,254.54196426,251.35820632,252.58580017,19901400,23,246.80259933,,,52.28538392,246.80259933,256.1384643,237.46673437,,,,0.00552272,0.00644244,0.02965956,-1.27809253,0.22267252,
2025-10-24,256.07894057,261.16898745,254.8214218,259.41244507,28655100,24,247.47029419,,,59.99211559,247.47029419,258.28999974,236.65058863,,,,0.02702703,0.02613513,0.05427122,-0.00824815,0.23950886,bollinger_above_upper
2025-10-27,264.30284916,269.61246722,263.76389518,268.74414062,35235200,25,248.72883072,,,67.67744404,248.72883072,262.80748615,234.65017529,,,,0.03597243,0.04958086,0.1033394,1.02929801,0.26046654,bollinger_above_upper
2025-10-28,269.16335893,270.20133658,265.97958584,266.94769287,29738600,26,249.94495087,,,65.08541859,249.94495087,265.79510832,234.09479341,,,,-0.0066846,0.06791507,0.10024678,0.18884115,0.26185159,bollinger_above_upper
2025-10-29,267.22715436,274.80232942,267.14732398,274.03384399,43580300,27,251.42555542,,,69.97100417,251.42555542,270.19820956,232.65290128,,,,0.02654509,0.09090557,0.12115162,2.09400093,0.27230194,bollinger_above_upper|volume_anomaly
2025-10-30,291.02060225,291.02060225,279.51311835,280.93035889,74876000,28,253.21156311,,,73.81178584,253.21156311,275.70675858,230.71636764,,,,0.02516665,0.11221755,0.14567156,3.59131139,0.28007664,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-31,282.65691334,285.4414733,276.48898951,280.64086914,39267900,29,255.0000618,,,73.38747032,255.0000618,280.09585681,229.90426679,,,,-0.00103047,0.08183271,0.14607687,0.5896171,0.27994647,bollinger_above_upper|rsi_overbought
2025-11-03,281.62895336,284.9724176,279.25359614,283.16595459,29786000,30,256.6613121,,,74.75091174,256.6613121,284.45167904,228.87094516,,,,0.00899757,0.05366373,0.13293142,-0.19518707,0.27561908,rsi_overbought
2025-11-04,276.20955058,280.72071276,275.72051722,276.99801636,30078400,31,258.24720917,,,65.87307991,258.24720917,286.86632888,229.62808945,,,,-0.02178206,0.03764904,0.12931316,-0.20222893,0.27939674,
2025-11-05,278.32538223,285.8606559,276.79837143,283.75476074,31010300,32,260.22783203,,,70.06702262,260.22783203,290.12264613,230.33301793,,,,0.02439275,0.03547342,0.16225151,-0.16870529,0.28316566,rsi_overbought
2025-11-06,284.77279318,287.78691521,280.59100345,284.19393921,37173600,33,262.38461227,,,70.32231839,262.38461227,292.65793446,232.11129008,,,,0.00154774,0.01161704,0.1789426,0.31923015,0.27444992,rsi_overbought
2025-11-07,282.65694362,283.22583785,274.65261591,278.28549194,34479600,34,264.4934845,,,62.58832141,264.4934845,292.97436741,236.01260158,10.1701032,8.62603239,1.5440708,-0.02079019,-0.00839285,0.1786362,0.08281952,0.27478948,
2025-11-10,283.86457741,290.2320925,282.30759587,289.53347778,29557300,35,266.7864975,,,69.47167236,266.7864975,295.57595058,237.99704442,10.68456502,9.03773892,1.6468261,0.04041887,0.0224869,0.18820394,-0.36228331,0.2852022,
2025-11-11,287.18810403,291.34997458,286.75895101,290.7411499,19842100,36,269.07502136,,,70.10760683,269.07502136,297.84066535,240.30937738,11.0622105,9.44263323,1.61957726,0.0041711,0.04961456,0.18684064,-1.18103802,0.28540809,rsi_overbought
2025-11-12,291.11038093,291.43975354,283.13599407,286.15008545,24829900,37,270.85553665,,,64.59850438,270.85553665,299.21716321,242.4939101,10.86578274,9.72726313,1.13851961,-0.0157909,0.00844153,0.14213434,-0.73987627,0.29267576,
2025-11-13,281.78862775,282.28765133,276.69858121,278.02600098,29494000,38,272.20838928,,,56.1849176,272.20838928,299.19447557,245.222303,9.93998466,9.76980744,0.17017722,-0.02839099,-0.02170327,0.10781036,-0.34999843,0.31684899,
2025-11-14,270.88000309,278.01603472,270.17139809,275.87023926,31647200,39,273.36163406,,,54.16878623,273.36163406,298.86291152,247.86035661,8.9293985,9.60172565,-0.67232715,-0.00775381,-0.00867905,0.09123579,-0.17497465,0.31993372,
2025-11-17,285.22190446,293.37596283,283.01622886,284.46337891,52670200,40,274.78235245,,,60.28630332,274.78235245,299.41862154,250.14608336,8.72136182,9.42565288,-0.70429107,0.03114921,-0.01751127,0.11097238,1.44577041,0.3319404,
2025-11-18,287.3577599,288.23601584,277.65674001,283.72485352,49158700,41,276.47005005,,,59.55060753,276.47005005,298.57037827,254.36972183,8.40006767,9.22053584,-0.82046817,-0.00259621,-0.02413245,0.13503152,1.13807754,0.31616622,
2025-11-19,286.59922927,303.21670858,286.07026549,292.2381897,68198900,42,278.52203445,,,64.87228506,278.52203445,298.36084895,258.68321996,8.73174075,9.12277682,-0.39103608,0.03000561,0.02127591,0.16337553,2.21100925,0.3262859,volume_anomaly
2025-11-20,303.94529377,305.82162732,288.10629005,288.88476562,62025200,43,280.33698273,,,61.44315889,280.33698273,296.68757909,263.98638637,8.62458194,9.02313785,-0.3985559,-0.01147497,0.03905665,0.14370945,1.57664964,0.33301416,
2025-11-21,295.8411659,303.32651994,293.27617728,299.0748291,74137700,44,282.32010193,,,67.12917369,282.32010193,297.62582231,267.01438155,9.25522234,9.06955474,0.18566759,0.0352738,0.08411415,0.15289314,2.02250796,0.34041723,bollinger_above_upper|volume_anomaly
2025-11-24,310.52242205,318.85612205,308.9954111,317.95785522,85165100,45,284.78078766,,,74.60333702,284.78078766,305.44945298,264.11212234,11.15017946,9.48567969,1.66449977,0.06313813,0.11774618,0.18312479,2.20624464,0.37986808,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-11-25,325.57295983,328.18783855,317.02967847,322.80838013,88632100,46,287.57382202,,,76.1062639,287.57382202,312.5058349,262.64180914,12.89470137,10.16748402,2.72721734,0.01525524,0.13775151,0.20925705,2.01207835,0.37622012,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-11-26,320.05378082,323.86632858,316.1713929,319.32522583,51373400,47,289.83839111,,,72.77571118,289.83839111,317.51611323,262.160669,13.83668541,10.9013243,2.93536111,-0.01079016,0.09268821,0.1652766,0.20198501,0.3774831,bollinger_above_upper|rsi_overbought
