date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,121.20999908,129.00999451,119.16000366,128.47000122,7892100,1,,,,,,,,,,,,,,,,
2025-09-03,129.10499573,133.91000366,128.33999634,133.46000671,10665100,2,,,,,,,,,,,0.0388418,,,,,
2025-09-04,134.19999695,135.66999817,127.58999634,129.78999329,8036000,3,,,,,,,,,,,-0.02749898,,,,,
2025-09-05,131.83999634,132.13000488,124.94999695,127.69000244,6947700,4,,,,,,,,,,,-0.01617991,,,,,
2025-09-08,129.74000549,130.63000488,127.20999908,128.47000122,8338000,5,,,,,,,,,,,0.00610853,,,,,
2025-09-09,129.8999939,134.38000488,129.8999939,131.78999329,6537200,6,,,,,,,,,,,0.02584255,0.02584255,,,,
2025-09-10,132.51499939,132.97000122,130.75999451,132.83999634,4701800,7,,,,,,,,,,,0.00796724,-0.00464566,,,,
2025-09-11,134.83000183,136.38999939,131.91200256,132.96000671,8601900,8,,,,,,,,,,,0.00090342,0.02442417,,,,
2025-09-12,133.63999939,136.19999695,132.5,133.30999756,5252600,9,,,,,,,,,,,0.0026323,0.0440128,,,,
2025-09-15,134.32000732,139.97000122,134.22999573,137.25,7538900,10,,,,,,,,,,,0.02955519,0.06834279,,,,
2025-09-16,138.28999329,138.72999573,135.1499939,135.83999634,4991100,11,,,,,,,,,,,-0.01027325,0.03073073,,,,
2025-09-17,135.75,136,129.55999756,135.38000488,7944400,12,,,,,,,,,,,-0.00338627,0.01912081,,,,
2025-09-18,136.5,137.97999573,133.83000183,135.53999329,4674800,13,,,,,,,,,,,0.00118177,0.01940423,,,,
2025-09-19,136.29499817,137.83000183,134.78999329,135.17999268,16750900,14,,,,,,,,,,,-0.00265605,0.01402742,,,,
2025-09-22,136.13999939,138.42999268,134.1000061,136.83999634,6625700,15,,,,67.17274681,,,,,,,0.01227995,-0.00298728,,,,
2025-09-23,137.41999817,137.83999634,132.19999695,132.22000122,5184600,16,,,,55.78390261,,,,,,,-0.03376202,-0.02664896,,,,
2025-09-24,133.88000488,135.86500549,132.17500305,133.13000488,6128400,17,,,,57.31890277,,,,,,,0.0068825,-0.01661988,,,,
2025-09-25,130.96499634,133.5,128.75,132.03999329,4564900,18,,,,54.86208477,,,,,,,-0.00818757,-0.02582264,,,,
2025-09-26,132.22000122,135.24000549,130.66000366,135.05999756,4097200,19,,,,59.98021144,,,,,,,0.02287189,-0.00088767,,,,
2025-09-29,140.71000671,142,137.69500732,141.55999756,8665300,20,133.44099884,,,68.30921448,133.44099884,139.98710433,126.89489335,,,,0.04812676,0.03449285,,0.52490722,,bollinger_above_upper
2025-09-30,141,141.44999695,133.11999512,138.52000427,8637100,21,133.94349899,,,61.82812175,133.94349899,140.42875668,127.4582413,,,,-0.02147495,0.04764788,0.0782284,0.49885492,0.33088665,
2025-10-01,136.13499451,137.94999695,134,134.07000732,6767500,22,133.97399902,,,53.78375542,133.97399902,140.45561103,127.49238702,,,,-0.0321253,0.00706079,0.00457066,-0.10513152,0.32778144,
2025-10-02,135.25,137,131.80999756,133.5,6564100,23,134.15949936,,,52.83547494,134.15949936,140.35767707,127.96132165,,,,-0.00425156,0.01105731,0.02858469,-0.15401235,0.31231697,
2025-10-03,125.22000122,127.98999786,120.55999756,122.69000244,15104300,24,133.90949936,,,38.84693737,133.90949936,141.39991996,126.41907876,,,,-0.08097376,-0.09158889,-0.03915733,2.40805955,0.42051222,bollinger_below_lower|volume_anomaly
2025-10-06,124,127.10500336,122.23000336,126.26999664,6333400,25,133.79949913,,,44.12312486,133.79949913,141.66160908,125.93738918,,,,0.02917918,-0.10801075,-0.01712466,-0.29627617,0.43324897,
2025-10-07,125.56999969,126.09999847,122.44000244,124.98999786,5065300,26,133.45949936,,,42.70443677,133.45949936,142.18097935,124.73801936,,,,-0.010137,-0.09767547,-0.05159721,-0.66202816,0.42347472,
2025-10-08,128.33999634,128.5,124.29499817,125.97000122,4381400,27,133.1159996,,,44.18416107,133.1159996,142.42910889,123.80289031,,,,0.00784065,-0.06041624,-0.05171632,-0.86471289,0.42343631,
2025-10-09,125.58999634,126.94999695,124.5,126.43000031,4899500,28,132.78949928,,,44.90344172,132.78949928,142.54876387,123.03023469,,,,0.00365166,-0.0529588,-0.04911256,-0.6445483,0.42380396,
2025-10-10,126.44999695,130.19999695,125.66999817,126.80000305,5569600,29,132.46399956,,,45.51168449,132.46399956,142.5605373,122.36746181,,,,0.00292654,0.03349907,-0.04883351,-0.44566477,0.42384714,
2025-10-13,129.05999756,129.72000122,124.58000183,128.24000549,4476400,30,132.01349983,,,47.92134158,132.01349983,142.01927514,122.00772452,,,,0.01135649,0.01560156,-0.06564659,-0.72392888,0.41118928,
2025-10-14,129.5,137.42999268,124.95999908,133.27999878,8549000,31,131.88549995,,,55.36195056,131.88549995,141.75679128,122.01420863,,,,0.03930126,0.06632531,-0.01884568,0.45477071,0.43527726,
2025-10-15,138.69000244,141.94999695,136.66000366,138.55999756,8771100,32,132.04449959,,,61.55834823,132.04449959,142.23315699,121.85584219,,,,0.03961584,0.0999444,0.02348938,0.50710607,0.45666911,
2025-10-16,138.72999573,139.00500488,133,134.49000549,6151900,33,131.9920002,,,55.19772494,131.9920002,142.11870349,121.86529691,,,,-0.0293735,0.06375073,-0.0077467,-0.30909492,0.46907425,
2025-10-17,133.69000244,135.68099976,131.05999756,132.91999817,3396400,34,131.87900047,,,52.92590549,131.87900047,141.91088068,121.84712026,0.11864864,-0.55768803,0.67633666,-0.01167378,0.04826494,-0.01671841,-1.22560809,0.47076536,
2025-10-20,133.90499878,135.8500061,130.49000549,134.83999634,4895700,35,131.77900047,,,55.34634095,131.77900047,141.64965516,121.90834579,0.31947715,-0.38225499,0.70173214,0.01444477,0.05146593,-0.01461561,-0.59317297,0.47155876,
2025-10-21,135,135,129.6000061,133.16000366,4718800,36,131.8260006,,,52.78867653,131.8260006,141.71354455,121.93845664,0.33916416,-0.23797116,0.57713532,-0.01245916,-0.00090032,0.00710938,-0.64998671,0.45807194,
2025-10-22,133.11999512,133.41000366,125.80500031,128,6029600,37,131.56950035,,,45.78948731,131.56950035,141.57389572,121.56510498,-0.06090089,-0.20255711,0.14165621,-0.0387504,-0.07621245,-0.0385338,-0.13725732,0.47721565,
2025-10-23,129.13000488,130.82499695,127.12000275,129.24000549,3578200,38,131.42950096,,,47.58792981,131.42950096,141.48189191,121.37711001,-0.27473033,-0.21699175,-0.05773858,0.00968754,-0.03903636,-0.0212056,-1.05513783,0.47806811,
2025-10-24,131.41000366,132.5,127.65000153,127.70999908,3816300,39,131.06200104,,,45.57870139,131.06200104,141.09400865,121.02999342,-0.56118148,-0.2858297,-0.27535178,-0.01183849,-0.0391965,-0.05442025,-0.95390152,0.47162512,
2025-10-27,129.64500427,131.25,127.66999817,128.49000549,6452600,40,130.40850143,,,46.81163237,130.40850143,139.25239062,121.56461225,-0.71699105,-0.37206197,-0.34492908,0.00610764,-0.04709278,-0.09232829,0.09528652,0.43602701,
2025-10-28,131.44999695,134.33999634,130.61999512,131.72000122,7695000,41,130.06850128,,,51.69225361,130.06850128,138.12683152,122.01017105,-0.57322976,-0.41229553,-0.16093424,0.02513811,-0.01081408,-0.0490904,0.60608329,0.44286131,
2025-10-29,131.5,134.66999817,130.08000183,133.74000549,7389200,42,130.05200119,,,54.50394229,130.05200119,138.07877985,122.02522253,-0.2929238,-0.38842118,0.09549738,0.01533559,0.04484379,-0.00246141,0.47094069,0.43266416,
2025-10-30,125.55000305,126.27999878,111.87000275,113,27951100,43,129.02700119,,,33.16204511,129.02700119,139.79747404,118.25652834,-1.72444608,-0.65562616,-1.06881992,-0.15507705,-0.12565773,-0.15355805,3.84291053,0.69038362,bollinger_below_lower|volume_anomaly
2025-10-31,118.59999847,119.84999847,111.19999695,113.72000122,17482400,44,128.57850113,,,34.1263752,128.57850113,140.98929543,116.16770683,-2.76892131,-1.07828519,-1.69063612,0.00637169,-0.10954505,-0.0731111,1.81091095,0.6369886,bollinger_below_lower
2025-11-03,112.93499756,113.59999847,106.09999847,107.66000366,14623100,45,127.64800148,,,30.17961966,127.64800148,143.04330484,112.25269812,-4.03910631,-1.67044941,-2.3686569,-0.05328876,-0.16211379,-0.14738254,1.17948695,0.64842777,bollinger_below_lower
2025-11-04,104.93000031,105.73999786,102.65000153,104.12999725,9806900,46,126.60500145,,,28.13819205,126.60500145,145.09473582,108.11526708,-5.26983175,-2.39032588,-2.87950587,-0.03278847,-0.20945949,-0.16689336,0.30766996,0.65449786,bollinger_below_lower|rsi_oversold
2025-11-05,104.59999847,104.83000183,102.11000061,102.23999786,6977300,47,125.41850128,,,27.08193232,125.41850128,146.7466325,104.09037006,-6.32478945,-3.1772186,-3.14757086,-0.01815038,-0.23553168,-0.18837821,-0.20720453,0.65265975,bollinger_below_lower|rsi_oversold
2025-11-06,102,103.98000336,100.59999847,101.27999878,6865300,48,124.16100121,,,26.5370275,124.16100121,147.92847457,100.39352784,-7.15582701,-3.97294028,-3.18288673,-0.00938966,-0.10371682,-0.19892432,-0.24572741,0.65091261,rsi_oversold
2025-11-07,101.76999664,107.41999817,101.76999664,106.83999634,8371700,49,123.16300087,,,34.72835051,123.16300087,148.05314646,98.27285528,-7.28184436,-4.6347211,-2.64712327,0.05489729,-0.06049951,-0.1574133,-0.00499884,0.68783068,
2025-11-10,108.02999878,108.28500366,105.26000214,105.36000061,6315300,50,122.01900063,127.93360016,,33.65268841,122.01900063,147.95196362,96.08603763,-7.41565426,-5.19090773,-2.22474653,-0.01385245,-0.02136358,-0.1784155,-0.38926798,0.68463276,
2025-11-11,104.87999725,105.52999878,103.55000305,104.68000031,4166600,51,120.5890007,127.45780014,,33.14471691,120.5890007,147.02959716,94.14840425,-7.49022723,-5.65077163,-1.8394556,-0.00645407,0.00528189,-0.21458582,-0.72416364,0.66206826,
2025-11-12,104.87999725,105.30000305,102.62999725,104.33999634,4472200,52,118.87800064,126.87539993,,32.87749146,118.87800064,144.87049454,92.88550674,-7.49041746,-6.0187008,-1.47171666,-0.00324803,0.02053989,-0.24696884,-0.62593286,0.63684573,
2025-11-13,104,104.20999908,99.40000153,101.26999664,7788800,53,117.2170002,126.305,,30.4873571,117.2170002,143.25227379,91.18172661,-7.65010587,-6.34498181,-1.30512406,-0.02942304,-0.00009876,-0.24700727,-0.06141643,0.63686144,
2025-11-14,99.08000183,103.37000275,98.05000305,102.27999878,6381700,54,115.68500023,125.79679993,,32.23282422,115.68500023,141.44841127,89.92158918,-7.60746722,-6.59747889,-1.00998832,0.00997336,-0.04268062,-0.23051459,-0.33907575,0.64190763,
2025-11-17,102.25,103.77500153,99.80999756,101.26999664,4006500,55,114.00650024,125.25279984,,31.38414635,114.00650024,138.91954081,89.09345968,-7.56793605,-6.79157032,-0.77636572,-0.00987487,-0.03881932,-0.24896174,-0.74944579,0.63469172,
2025-11-18,100.46499634,103.22000122,99.95999908,101.73000336,4712100,56,112.43500023,124.65160004,,32.25897469,112.43500023,136.25835595,88.61164451,-7.41402436,-6.91606113,-0.49796323,0.00454238,-0.02818109,-0.23603184,-0.62458344,0.63771232,
2025-11-19,100.33000183,100.55999756,94.33999634,97.37000275,10984900,57,110.90350037,123.94220016,,28.54426939,110.90350037,134.46421548,87.34278525,-7.55675429,-7.04419976,-0.51255452,-0.04285855,-0.06680078,-0.23929685,0.44038398,0.63999698,rsi_oversold
2025-11-20,98.12999725,98.51499939,91.33000183,91.69999695,15268900,58,109.02649994,123.11699997,,24.5802031,109.02649994,132.42573495,85.62726493,-8.03477102,-7.24231401,-0.79245701,-0.05823155,-0.09449985,-0.2904674,1.0813386,0.65305424,rsi_oversold
2025-11-21,92.12000275,93.26999664,88.22899628,89.25,10463000,59,107.10349998,122.23580002,,23.08817079,107.10349998,130.3659127,83.84108727,-8.51316257,-7.49648373,-1.01667885,-0.02671752,-0.12739537,-0.30115104,0.18815039,0.6538578,rsi_oversold
2025-11-24,87.88999939,90.69999695,87.08000183,90.58000183,11949100,60,105.2079998,121.30240005,,25.72397292,105.2079998,127.34161307,83.07438653,-8.68485766,-7.73415851,-0.95069915,0.01490198,-0.10555935,-0.29504243,0.40554827,0.65844014,rsi_oversold
2025-11-25,89.76000214,91.25,87.94000244,91.06999969,7060200,61,103.17549973,120.40700012,,26.72036348,103.17549973,122.48280341,83.86819604,-8.68131571,-7.92358995,-0.75772576,0.00540956,-0.10478721,-0.30860918,-0.46284028,0.64617835,rsi_oversold
2025-11-26,92.16999817,94.73999786,92.01000214,92.73000336,6793400,62,101.12499962,119.55400009,,30.13946793,101.12499962,114.94301862,87.30698061,-8.44718637,-8.02830923,-0.41887713,0.01822778,-0.04765327,-0.30663975,-0.5039508,0.64809885,
2025-11-28,93.61000061,95.73999786,93.07499695,95.02999878,3131300,63,100.22649956,118.7438002,,34.68656471,100.22649956,113.14683702,87.3061621,-7.98401204,-8.0194498,0.03543775,0.02480314,0.03631409,-0.15902656,-1.34329329,0.42729794,
2025-12-01,93.01000214,94.16999817,90.65000153,93.79000092,6282500,64,99.22999954,117.91600037,,33.42347959,99.22999954,110.8417977,87.61820138,-7.62905749,-7.94137134,0.31231384,-0.01304849,0.05086836,-0.17525501,-0.46308467,0.42419177,
2025-12-02,94.19000244,95.36000061,93.44999695,93.69999695,6748800,65,98.53199921,117.05320038,,33.32861285,98.53199921,109.70286446,87.36113396,-7.27119818,-7.8073367,0.53613853,-0.00095963,0.03444464,-0.12966753,-0.23100961,0.39321061,
2025-12-03,92.15499878,93.80000305,91.05500031,92.09999847,5599000,66,97.93049927,116.25080032,,31.61093301,97.93049927,109.12637494,86.7346236,-7.03559662,-7.65298869,0.61739207,-0.01707576,0.01130997,-0.11552866,-0.55602618,0.38367304,
2025-12-04,92.59999847,96.13999939,91.18000031,95.20999908,8113800,67,97.57899933,115.49240021,,38.27046314,97.57899933,108.65235888,86.50563978,-6.52273955,-7.42693886,0.90419931,0.03376765,0.02674426,-0.06875977,0.2881143,0.40416084,
2025-12-05,95.66500092,97.91999817,94.14499664,96.27999878,6841300,68,97.32899933,114.77720032,,40.42009733,97.32899933,108.28195751,86.37604115,-5.96123913,-7.13379891,1.17255978,0.01123831,0.01315374,-0.04936809,-0.14790085,0.40649455,
2025-12-08,96.22000122,97.69000244,94.77999878,97.63999939,5054700,69,96.86899948,114.02880035,,43.13084117,96.86899948,106.92128404,86.81671492,-5.34489273,-6.77601768,1.43112494,0.01412547,0.04104914,-0.08611005,-0.69729378,0.35562946,
2025-12-09,97.31999969,99.26999664,96.77999878,99,5849400,70,96.55099945,113.1776004,,45.78713278,96.55099945,105.88549147,87.21650743,-4.69259972,-6.35933409,1.66673437,0.01392872,0.05656353,-0.06036447,-0.41819247,0.35913725,
2025-12-10,99.98000336,99.98000336,94.34999847,94.36000061,8642000,71,96.03499947,112.29440033,,39.0802623,96.03499947,104.62637198,87.44362696,-4.49820942,-5.98710915,1.48889973,-0.04686868,0.02453857,-0.09858616,0.46184152,0.39013143,
2025-12-11,94.19000244,96.26999664,93.06999969,94.33999634,6115000,72,95.53499947,111.49980011,,39.05370229,95.53499947,103.25456514,87.8154338,-4.29624346,-5.64893601,1.35269255,-0.000212,-0.00913772,-0.09584052,-0.45009622,0.39043177,
2025-12-12,90.875,91.87999725,88.05500031,88.51000214,8443800,73,94.89699974,110.60000015,,32.18787226,94.89699974,102.72359533,87.07040415,-4.55411875,-5.42997256,0.87585381,-0.06179769,-0.08070208,-0.12599975,0.35983696,0.43027742,
2025-12-15,87.95999908,88.37000275,85.91000366,86.95999908,7752200,74,94.13099976,109.88540009,,30.64530572,94.13099976,101.91598759,86.34601193,-4.82790597,-5.30955924,0.48165327,-0.01751218,-0.1093814,-0.1497849,0.09243953,0.42765019,
2025-12-16,87.18000031,87.86000061,86.15000153,87.44000244,8234000,75,93.43950005,109.1088002,,31.73633806,93.43950005,101.01935373,85.85964637,-4.94910189,-5.23746777,0.28836588,0.00551982,-0.11676765,-0.13656556,0.19577696,0.42997898,
