date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-17,135.52894368,137.45237063,132.57636127,136.7179718,5123300,1,,,,,,,,,,,,,,,,
2025-09-18,138.88619723,142.50322857,136.85786047,141.84378052,5295000,2,,,,,,,,,,,0.03749184,,,,,
2025-09-19,142.51324523,144.37172321,139.26590575,143.48245239,6682800,3,,,,,,,,,,,0.01155265,,,,,
2025-09-22,142.93287812,152.32517559,142.13353009,151.83558655,8731700,4,,,,,,,,,,,0.05821711,,,,,
2025-09-23,151.19611586,151.97547602,139.03606648,142.49324036,16541300,5,,,,,,,,,,,-0.06152936,,,,,
2025-09-24,143.36252131,145.98038655,140.73468499,141.50404358,5978100,6,,,,,,,,,,,-0.00694206,0.0350069,,,,
2025-09-25,136.89781343,141.06939807,133.74041236,139.65556335,6197600,7,,,,,,,,,,,-0.01306309,-0.01542695,,,,
2025-09-26,138.8861787,140.86455309,136.96775274,138.50648499,3607600,8,,,,,,,,,,,-0.00822795,-0.03467997,,,,
2025-09-29,141.88373252,145.49077731,141.28421769,143.19265747,5876700,9,,,,,,,,,,,0.0338336,-0.05692295,,,,
2025-09-30,143.88209688,150.80641547,143.88209688,150.73648071,6822300,10,,,,,,,,,,,0.05268303,0.05785004,,,,
2025-10-01,148.99789652,162.0921772,147.22935677,161.45768738,12844000,11,,,,,,,,,,,0.07112549,0.14101112,,,,
2025-10-02,164.16548575,168.85164835,157.18120318,161.50765991,8936100,12,,,,,,,,,,,0.00030951,0.15647136,,,,
2025-10-03,161.50765583,163.74582731,157.70077773,160.0688324,5728500,13,,,,,,,,,,,-0.00890873,0.15567753,,,,
2025-10-06,168.70675079,169.69094488,162.20707221,162.66670227,7203300,14,,,,,,,,,,,0.0162297,0.13599891,,,,
2025-10-07,164.61510433,164.86489964,154.64328013,158.73991394,6899100,15,,,,68.5334386,,,,,,,-0.02414009,0.05309553,,,,
2025-10-08,160.39356712,167.41282468,159.14160226,167.2429657,4889900,16,,,,72.73570986,,,,,,,0.05356593,0.03583154,,,,rsi_overbought
2025-10-09,168.24215434,170.74910294,164.61512129,168.741745,4972800,17,,,,73.40977876,,,,,,,0.00896169,0.04479097,,,,rsi_overbought
2025-10-10,178.2838817,182.95505654,168.51189147,168.87159729,16066600,18,,,,73.47097546,,,,,,,0.00076953,0.05499362,,,,rsi_overbought
2025-10-13,174.86670075,184.28898764,171.85917075,178.85343933,11056200,19,,,,77.71653164,,,,,,,0.05910906,0.09950861,,,,rsi_overbought
2025-10-14,171.54943317,181.69111687,168.06228508,175.0065918,7427500,20,154.65626984,,,72.87616995,154.65626984,180.47939367,128.833146,,,,-0.02150838,0.10247377,,-0.11833691,,rsi_overbought
2025-10-15,179.85262094,182.8401783,175.45622964,180.36219788,5642900,21,156.83848114,,,75.1926722,156.83848114,183.58895739,130.08800489,,,,0.03060231,0.07844415,0.31922816,-0.63604657,0.53291755,rsi_overbought
2025-10-16,182.36055497,182.85015925,175.06654442,177.67440796,5000100,22,158.63001251,,,71.87501845,158.63001251,185.91752982,131.3424952,,,,-0.01490218,0.05293689,0.25260626,-0.81276573,0.5352684,rsi_overbought
2025-10-17,174.85672523,177.85426909,170.16057623,173.85754395,5880700,23,160.14876709,,,67.3317197,160.14876709,187.2756535,133.02188068,,,,-0.02148235,0.02952508,0.211699,-0.54791304,0.54758877,
2025-10-20,177.85426636,179.64279413,173.80757916,175.58612061,6692000,24,161.33629379,,,68.30873102,161.33629379,188.9780678,133.69451979,,,,0.00994249,-0.01826813,0.15642271,-0.28911077,0.51901624,
2025-10-21,174.93664512,177.04491805,170.42034186,174.65687561,8130700,25,162.94447556,,,67.14615663,162.94447556,189.74369426,136.14525685,,,,-0.00529225,-0.0019983,0.22572043,0.28897545,0.4571128,
2025-10-22,182.45048785,184.34892598,162.54678552,171.44949341,22483700,26,164.44174805,,,63.15103354,164.44174805,189.57657378,139.30692231,,,,-0.0183639,-0.04941559,0.21162257,3.28009364,0.46429776,volume_anomaly
2025-10-23,174.38710339,183.88931165,173.85753855,183.05000305,9679400,27,166.61147003,,,70.08405792,166.61147003,190.26122968,142.96171038,,,,0.06766138,0.03025531,0.31072475,0.31754833,0.49651936,rsi_overbought
2025-10-24,186.69703083,188.73535396,184.74861511,185.90766907,7188500,28,168.98152924,,,71.50627449,168.98152924,190.27314804,147.68991043,,,,0.0156114,0.06931034,0.34223079,-0.30212766,0.48981794,rsi_overbought
2025-10-27,189.83444442,193.84115561,188.75932141,192.74205017,6673000,29,171.45899887,,,74.61455522,171.45899887,191.67485645,151.24314129,,,,0.03676223,0.09770664,0.34603305,-0.4350776,0.49131745,bollinger_above_upper|rsi_overbought
2025-10-28,192.61216657,195.54476098,185.86769338,190.41397095,6044100,30,173.44287338,,,71.74353013,173.44287338,192.9085228,153.97722397,,,,-0.01207873,0.09021744,0.2632242,-0.57218362,0.48042722,rsi_overbought
2025-10-29,193.54141027,199.33666472,192.97188487,199.1068573,6298900,31,175.32533188,,,75.52972689,175.32533188,196.95253661,153.69812715,,,,0.04565257,0.16131494,0.23318289,-0.44535319,0.44805259,bollinger_above_upper|rsi_overbought
2025-10-30,193.7012731,202.28423617,192.23247548,193.60134888,5693500,32,176.93001633,,,69.20501221,176.93001633,198.9766234,154.88340925,,,,-0.02765102,0.05764188,0.19871311,-0.54844231,0.46646432,
2025-10-31,196.78873486,199.70634215,188.42559307,192.7020874,7726600,33,178.56167908,,,68.20043481,178.56167908,200.20181149,156.92154667,,,,-0.00464491,0.03654727,0.20387014,-0.08591009,0.46457049,
2025-11-03,195.98938146,197.43820636,189.41478274,191.24327087,6065100,34,179.99050751,,,66.51366391,179.99050751,201.00868118,158.97233383,12.63835428,13.19901701,-0.56066274,-0.00757032,-0.00777609,0.17567559,-0.4710536,0.46766856,
2025-11-04,183.14991639,186.74695955,177.3546624,180.67195129,8984800,35,181.08710938,,,55.75276446,181.08710938,199.70776483,162.46645392,11.20813427,12.80084047,-1.59270619,-0.05527682,-0.05116232,0.13816334,0.20559247,0.50593374,
2025-11-05,181.92592365,193.24164829,180.85180685,190.55386353,6534700,36,182.25265427,,,61.94988752,182.25265427,200.16596368,164.33934485,10.7481642,12.39030521,-1.64214102,0.05469533,-0.0429568,0.13938343,-0.408168,0.50725704,
2025-11-06,190.84861021,190.84861021,180.36219313,182.87014771,5907100,37,182.9590744,,,55.44712364,182.9590744,199.76555715,166.15259166,9.65235659,11.84271549,-2.1903589,-0.04032306,-0.05542937,0.08372796,-0.57672956,0.53292612,
2025-11-07,176.85507579,179.65278625,169.47112719,179.65278625,9143000,38,183.49813385,,,52.94121843,183.49813385,199.11192352,167.88434418,8.42716388,11.15960517,-2.73244128,-0.01759369,-0.06771749,0.06384252,0.33488491,0.5383425,
2025-11-10,187.86606356,191.2532874,184.60872291,187.686203,5590100,39,183.93977203,,,58.04041682,183.93977203,199.50266373,168.37688034,8.01206138,10.53009641,-2.51803503,0.04471635,-0.0185997,0.04938548,-0.56404301,0.52171221,
2025-11-11,183.84935617,187.32650277,177.89422901,178.90341187,5625700,40,184.13461304,,,51.47349523,184.13461304,199.33870422,168.93052185,6.89491156,9.80305944,-2.90814788,-0.04679508,-0.00978868,0.0222667,-0.52563059,0.54352696,
