date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-25,14.18184563,14.28529378,13.81507344,13.9655447,2589708,1,,,,,,,,,,,,,,,,
2025-09-26,13.94673599,14.01256656,13.77745637,13.81507397,1927445,2,,,,,,,,,,,-0.01077443,,,,,
2025-09-29,13.87150016,13.91852238,13.6834122,13.73043442,1021430,3,,,,,,,,,,,-0.00612661,,,,,
2025-09-30,13.65519916,13.99375749,13.6269853,13.89030933,1208834,4,,,,,,,,,,,0.01164384,,,,,
2025-10-01,13.83388268,14.0878012,13.83388268,13.9655447,1351660,5,,,,,,,,,,,0.00541639,,,,,
2025-10-02,14.01256594,14.12541962,13.94673538,13.94673538,1315348,6,,,,,,,,,,,-0.00134684,-0.00134684,,,,
2025-10-03,14.00316293,14.11601571,13.9091185,14.05018425,892480,7,,,,,,,,,,,0.00741743,0.01701839,,,,
2025-10-06,14.11601561,14.12542023,13.81507397,13.81507397,910270,8,,,,,,,,,,,-0.01673361,0.00616438,,,,
2025-10-07,13.86209627,13.98435368,13.73983887,13.85269165,973151,9,,,,,,,,,,,0.00272294,-0.0027082,,,,
2025-10-08,13.78686071,13.85269127,13.66460331,13.68341255,1093464,10,,,,,,,,,,,-0.01221994,-0.02020202,,,,
2025-10-09,13.68341246,13.85269118,13.64579487,13.64579487,954701,11,,,,,,,,,,,-0.00274914,-0.02157785,,,,
2025-10-10,13.6457945,13.7680519,13.47651489,13.49532413,1391597,12,,,,,,,,,,,-0.01102689,-0.03949131,,,,
2025-10-13,13.53294193,13.68341229,13.50472806,13.58936787,892814,13,,,,,,,,,,,0.00696862,-0.01633767,,,,
2025-10-14,13.49532441,13.52353738,13.3260448,13.42949295,1187945,14,,,,,,,,,,,-0.01176471,-0.03054993,,,,
2025-10-15,13.51413294,13.74924311,13.46711072,13.68341255,912486,15,,,,41.84783537,,,,,,,0.01890761,0,,,,
2025-10-16,13.70222048,13.89030933,13.6269853,13.89030933,914124,16,,,,48.4814794,,,,,,,0.01512026,0.01791867,,,,
2025-10-17,13.71162573,14.05958869,13.70222111,13.97494888,1008212,17,,,,50.94671626,,,,,,,0.00609342,0.03554007,,,,
2025-10-20,14.00316293,14.05018425,13.80567034,14.05018425,1476355,18,,,,53.09526562,,,,,,,0.00538359,0.03391007,,,,
2025-10-21,14.05958823,14.07839748,13.86209565,13.9655447,819603,19,,,,50.41971239,,,,,,,-0.00602409,0.03991601,,,,
2025-10-22,13.9655449,14.0878014,13.85269123,14.05958843,1323336,20,13.82494864,,,53.23926573,13.82494864,14.18944565,13.46045164,,,,0.00673398,0.02749138,,0.27922987,,
2025-10-23,14.02197084,14.12541989,13.95614028,14.05958843,1259745,21,13.82965083,,,53.23926573,13.82965083,14.20358577,13.45571589,,,,0,0.01218685,0.00673398,0.44545046,0.15305518,
2025-10-24,14.10661046,14.18184565,14.05018363,14.1630373,737847,22,13.847049,,,56.40227426,13.847049,14.24805195,13.44604605,,,,0.00735789,0.01345897,0.02518722,-1.64347753,0.1492099,
2025-10-27,14.17244101,14.17244101,13.95614008,13.9655447,1314436,23,13.85880451,,,49.51613854,13.85880451,14.2592281,13.45838092,,,,-0.01394423,-0.00602409,0.0171233,1.01181206,0.15638406,
2025-10-28,13.88090524,14.00316264,13.83388303,13.91852283,1231542,24,13.86021519,,,48.01309225,13.86021519,14.26127109,13.45915929,,,,-0.00336699,-0.00336699,0.00203116,0.61907116,0.15194793,
2025-10-29,13.94673582,14.10661082,13.84328767,13.9373312,1122467,25,13.85880451,,,48.68407845,13.85880451,14.25856493,13.4590441,,,,0.00135132,-0.00869565,-0.00202022,0.17263137,0.15081846,
2025-10-30,13.94673608,13.98435368,13.77745646,13.85269165,982545,26,13.85410233,,,45.81815752,13.85410233,14.25182214,13.45638251,,,,-0.00607287,-0.01471571,-0.00674306,-0.43262057,0.15220812,
2025-10-31,13.8526912,13.92792728,13.66460323,13.66460323,991784,27,13.83482327,,,40.16035041,13.83482327,14.23002788,13.43961867,,,,-0.01357775,-0.0351926,-0.02744313,-0.41814873,0.15609181,
2025-11-03,13.66460323,13.84328747,13.59877267,13.66460323,1432049,28,13.82729974,,,40.16035041,13.82729974,14.22939081,13.42520866,,,,0,-0.02154885,-0.01089178,1.58048259,0.14569131,
2025-11-04,13.54234632,13.72103056,13.31664076,13.45770741,2452342,29,13.80755053,,,34.69479947,13.80755053,14.2403413,13.37475975,,,,-0.01514101,-0.03310807,-0.02851318,3.55803558,0.15359872,volume_anomaly
2025-11-05,13.40127978,13.56115477,13.2037872,13.33544922,1461529,30,13.79015236,,,31.92951583,13.79015236,14.2672173,13.31308742,,,,-0.00908462,-0.04318488,-0.02542957,0.73717235,0.15117945,
2025-11-06,13.32604486,13.39187542,13.07212543,13.07212543,1384401,31,13.76146889,,,26.94764037,13.76146889,14.33001502,13.19292276,,,,-0.01974615,-0.05634762,-0.04204002,0.46871897,0.16419194,bollinger_below_lower|rsi_oversold
2025-11-07,13.12855218,13.28842717,13.04391237,13.21319199,1124464,32,13.74736228,,,32.98046357,13.74736228,14.3543249,13.14039966,,,,0.0107914,-0.03303508,-0.02090592,-0.21406963,0.16656645,
2025-11-10,13.32604485,13.39187542,13.20378745,13.25080967,602919,33,13.73043437,,,34.5330687,13.73043437,14.37197771,13.08889103,,,,0.00284698,-0.03028215,-0.02491346,-1.54757257,0.16468135,
2025-11-11,12.79939747,13.03450764,12.74297153,12.9780817,1489588,34,13.70786381,,,29.24359288,13.70786381,14.41823969,12.99748792,-0.16177038,-0.03329778,-0.1284726,-0.02058199,-0.03563948,-0.03361342,0.75037361,0.17434591,bollinger_below_lower|rsi_oversold
2025-11-12,12.93106018,13.20378796,12.87463334,13.06272221,1077277,35,13.67682929,,,32.6894242,13.67682929,14.44096494,12.91269364,-0.17972795,-0.06258381,-0.11714414,0.0065218,-0.02045128,-0.04536079,-0.35145781,0.16067669,
2025-11-13,13.10974353,13.30723613,13.07212594,13.26021481,870206,36,13.64532456,,,40.0283352,13.64532456,14.42348386,12.86716527,-0.17599469,-0.08526599,-0.0907287,0.01511879,0.01438858,-0.04536217,-0.88833467,0.16067478,
2025-11-14,13.22259702,13.3354498,12.98748684,12.98748684,1434898,37,13.59595146,,,34.44340306,13.59595146,14.40872494,12.78317798,-0.19282022,-0.10677683,-0.08604338,-0.02056739,-0.0170818,-0.07065944,0.53981496,0.16943338,
2025-11-17,12.95927234,12.98748621,12.54547884,12.56428719,1161039,38,13.52165661,,,27.93104988,13.52165661,14.42172471,12.62158851,-0.23756474,-0.13293442,-0.10463033,-0.03258518,-0.05180985,-0.10575641,-0.13986686,0.19330864,bollinger_below_lower|rsi_oversold
2025-11-18,12.43262628,12.56428741,12.2351337,12.26334667,794731,39,13.43654671,,,24.3983099,13.43654671,14.46533689,12.40775652,-0.29392035,-0.1651316,-0.12878875,-0.02395206,-0.05507247,-0.12188555,-1.10552745,0.20360009,bollinger_below_lower|rsi_oversold
2025-11-19,12.22572885,12.68654456,12.21632422,12.54547882,1232100,40,13.36084123,,,32.95922239,13.36084123,14.41755697,12.30412548,-0.31221782,-0.19454885,-0.11766898,0.02300613,-0.03959691,-0.10769231,0.0641969,0.22362038,
2025-11-20,12.66773674,12.66773674,12.3667951,12.37619972,534317,41,13.27667179,,,30.71206729,13.27667179,14.36504877,12.18829482,-0.33649915,-0.22293891,-0.11356025,-0.01349324,-0.06666672,-0.11973243,-1.57664474,0.22424901,
2025-11-21,12.28215586,12.62071419,12.28215586,12.62071419,970538,42,13.19955564,,,37.35594813,13.19955564,14.24344459,12.15566668,-0.33218281,-0.24478769,-0.08739512,0.01975683,-0.02824046,-0.10889777,-0.53880103,0.23744787,
2025-11-24,12.64892785,12.79939823,12.31977413,12.32917786,4790522,43,13.11773729,,,33.26079902,13.11773729,14.16515833,12.07031626,-0.34827197,-0.26548454,-0.08278742,-0.02309983,-0.01871251,-0.11717172,3.89909345,0.24351955,volume_anomaly
2025-11-25,12.31977362,12.62071435,12.19751622,12.49845695,1453185,44,13.046734,,,37.54225601,13.046734,14.05934206,12.03412594,-0.34340477,-0.28106859,-0.06233618,0.01372996,0.01917179,-0.10202705,0.09660073,0.25293377,
2025-11-26,12.56428785,12.56428785,12.38560451,12.43262672,912362,45,12.97149878,,,36.56000265,12.97149878,13.93041827,12.01257928,-0.34092941,-0.29304075,-0.04788866,-0.00526707,-0.00899544,-0.10796217,-0.50345894,0.25179494,
2025-11-27,12.44203047,12.58309711,12.40441287,12.45143509,1065351,46,12.90143595,,,37.06663678,12.90143595,13.79512744,12.00774446,-0.33360441,-0.30115349,-0.03245092,0.00151282,0.00607904,-0.1011541,-0.33575852,0.25296901,
2025-11-28,12.3197736,12.47964859,12.24453841,12.47964859,1338605,47,12.84218822,,,37.86819648,12.84218822,13.68107996,12.00329647,-0.32181304,-0.3052854,-0.01652764,0.00226588,-0.01117731,-0.08671709,-0.04610274,0.25228816,
2025-12-01,12.50786132,12.51726594,12.33858171,12.40441227,884119,48,12.77917867,,,36.5319605,12.77917867,13.5478885,12.01046883,-0.31490916,-0.30721015,-0.00769901,-0.00602872,0.00610214,-0.09222302,-0.52821092,0.25182573,
2025-12-02,12.16930223,12.31977349,12.12228091,12.24453831,1057277,49,12.71852021,,,33.80241032,12.71852021,13.45424083,11.98279959,-0.3186649,-0.3095011,-0.0091638,-0.01288848,-0.020316,-0.09014679,-0.26432946,0.25076738,
2025-12-03,12.22572942,12.28215626,11.99061924,12.01883221,1332185,50,12.65268936,13.35143679,,30.35424712,12.65268936,13.39143316,11.91394556,-0.33598097,-0.31479707,-0.0211839,-0.01843321,-0.03328295,-0.09873061,0.06674964,0.2549311,
2025-12-04,12.07525869,12.10347166,11.9530013,12.06585407,1342372,51,12.60237579,13.31344297,,31.91253802,12.60237579,13.35689974,11.84785184,-0.34196782,-0.32023122,-0.0217366,0.00391235,-0.03096679,-0.0769784,0.08124208,0.25086009,
2025-12-05,12.04704565,12.23513361,12.01883179,12.22572899,922875,52,12.55300264,13.28165607,,37.0682523,12.55300264,13.26945839,11.8365469,-0.33000775,-0.32218653,-0.00782122,0.01325019,-0.02034669,-0.07473312,-0.39966443,0.25280773,
2025-12-08,12.15989867,12.15989867,12.02823664,12.12228107,1328991,53,12.49657621,13.24949301,,35.21036927,12.49657621,13.16012,11.83303243,-0.32512881,-0.32277498,-0.00235382,-0.00846149,-0.02274442,-0.08516677,0.03502896,0.25211671,
2025-12-09,12.10347192,12.18811173,12.03764136,12.15989876,968217,54,12.45566707,13.2148848,,36.45756638,12.45566707,13.09589902,11.81543511,-0.31460026,-0.32114004,0.00653978,0.00310319,-0.00691243,-0.06304344,-0.36347012,0.24610599,
2025-12-10,12.13168463,12.19751609,12.06585407,12.06585407,877028,55,12.40582366,13.17689098,,34.66117971,12.40582366,13.00302308,11.80862424,-0.31026835,-0.3189657,0.00869735,-0.007734,0.00391235,-0.07631397,-0.45821005,0.24399484,
2025-12-11,12.07525923,12.47024441,12.05644998,12.47024441,1517035,56,12.36632514,13.14736116,,46.79996567,12.36632514,12.8193591,11.91329118,-0.27107952,-0.30938847,0.03830894,0.03351527,0.03351527,-0.05957448,0.26319855,0.26902576,
2025-12-12,12.48905224,12.56428743,12.41381706,12.46083927,826841,57,12.33999276,13.11557426,,46.58320409,12.33999276,12.69648176,11.98350376,-0.23803707,-0.29511819,0.05708112,-0.00075421,0.01923078,-0.04055038,-0.51871504,0.26127392,
2025-12-15,12.46083951,12.49845711,12.31977376,12.35739136,738601,58,12.32964797,13.08642061,,44.16043794,12.32964797,12.67119634,11.9880996,-0.21768869,-0.27963229,0.0619436,-0.00830184,0.01939489,-0.01646698,-0.59276703,0.23783346,
2025-12-16,12.33858195,12.62071434,12.33858195,12.47964859,1383335,59,12.34046307,13.05895975,,47.62721051,12.34046307,12.68659641,11.99432972,-0.18951273,-0.26160837,0.07209565,0.00989345,0.02629544,0.01763808,0.12927837,0.22463349,
2025-12-17,12.46083944,12.51726627,12.31036907,12.51726627,1375052,60,12.33905244,13.03563683,,48.68292722,12.33905244,12.68204794,11.99605694,-0.16227702,-0.2417421,0.07946509,0.00301432,0.03741237,-0.00224882,0.11103868,0.21010657,
2025-12-18,12.47024433,12.49845731,12.35739155,12.45143509,941003,61,12.34281421,13.01174963,,46.90116548,12.34281421,12.68899234,11.99663608,-0.14434067,-0.22226182,0.07792114,-0.00525923,-0.00150834,0.00607904,-0.4318908,0.20533327,
