date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,71.91000366,73.30000305,69.52999878,73.22000122,10578400,1,,,,,,,,,,,,,,,,
2025-09-23,74,76.69000244,72.76000214,74.69999695,14194100,2,,,,,,,,,,,0.020213,,,,,
2025-09-24,76.41999817,77.16999817,70.58000183,71.23000336,13358400,3,,,,,,,,,,,-0.04645239,,,,,
2025-09-25,70.5,82.23000336,68.80000305,77.12999725,26004400,4,,,,,,,,,,,0.08283018,,,,,
2025-09-26,77,77.47000122,68.56999969,68.62999725,18998600,5,,,,,,,,,,,-0.11020356,,,,,
2025-09-29,69.31999969,69.5,66.16999817,68.18000031,12539000,6,,,,,,,,,,,-0.00655686,-0.06883366,,,,
2025-09-30,67.98500061,68.93000031,65.91000366,67.06999969,7989400,7,,,,,,,,,,,-0.01628044,-0.10214187,,,,
2025-10-01,66.04000092,67.98999786,65.58000183,67.62999725,8046800,8,,,,,,,,,,,0.00834945,-0.05054059,,,,
2025-10-02,68.80000305,71.73500061,67.41999817,70.95999908,13407700,9,,,,,,,,,,,0.04923853,-0.07999479,,,,
2025-10-03,72,75.59999847,70.33000183,71.5,14675500,10,,,,,,,,,,,0.00760993,0.04181849,,,,
2025-10-06,73.30000305,74.93000031,71.45999908,74.33000183,10864900,11,,,,,,,,,,,0.03958045,0.09020243,,,,
2025-10-07,75.90000153,79.52999878,72.19999695,73.76999664,15264900,12,,,,,,,,,,,-0.00753404,0.09989559,,,,
2025-10-08,75.23999786,75.97000122,69.61000061,70.58999634,11488800,13,,,,,,,,,,,-0.04310696,0.04376755,,,,
2025-10-09,73.65000153,78.31999969,71.51999664,72.29000092,24843500,14,,,,,,,,,,,0.0240828,0.01874298,,,,
2025-10-10,74.41000366,84.91999817,73.43000031,78.33999634,52334400,15,,,,56.4548621,,,,,,,0.08369063,0.09566428,,,,
2025-10-13,86.80000305,98.97000122,85.5,95.05999756,50242400,16,,,,70.05175728,,,,,,,0.21342867,0.27889137,,,,rsi_overbought
2025-10-14,97.79000092,100.25099945,88.59999847,98.65000153,40359400,17,,,,72.06844434,,,,,,,0.03776566,0.33726455,,,,rsi_overbought
2025-10-15,96.70999908,97,86.5,89.84999847,29991500,18,,,,61.19099095,,,,,,,-0.08920429,0.27284322,,,,
2025-10-16,91.93000031,91.98999786,83.33000183,83.83999634,18653700,19,,,,55.07694861,,,,,,,-0.06688928,0.15977307,,,,
2025-10-17,80.38999939,84.15000153,78.80000305,80.79000092,14927400,20,76.38799896,,,52.22508125,76.38799896,93.99576943,58.78022849,,,,-0.03637876,0.03127399,,-0.4278354,,
2025-10-20,83.5,83.98999786,78.05200195,82.90000153,14957800,21,76.87199898,,,53.99963361,76.87199898,94.63630449,59.10769346,,,,0.0261171,-0.12791917,0.13220432,-0.44708965,1.09673705,
2025-10-21,80.37000275,80.88500214,73.23999786,74.11000061,17623700,22,76.84249916,,,46.28644864,76.84249916,94.62308627,59.06191205,,,,-0.10603137,-0.24875824,-0.00789821,-0.25270474,1.16464168,
2025-10-22,72.06999969,73.48000336,66.30999756,69.80000305,21854800,23,76.77099915,,,43.04014287,76.77099915,94.65250237,58.88949593,,,,-0.05815676,-0.22314965,-0.02007581,0.04785364,1.17148661,
2025-10-23,70.875,71.45999908,68.09999847,68.44999695,10965600,24,76.33699913,,,42.04542996,76.33699913,94.58026564,58.09373262,,,,-0.01934106,-0.18356393,-0.11253728,-0.75031347,1.13500477,
2025-10-24,69.94999695,72.58999634,69.36000061,70.80999756,11398900,25,76.44599915,,,44.46187184,76.44599915,94.52911897,58.36287932,,,,0.03447773,-0.12353018,0.03176454,-0.67821279,1.07225443,
2025-10-27,67.43000031,67.73000336,62.40000153,65.56999969,24754600,26,76.31549911,,,40.43093386,76.31549911,94.6709677,57.96003053,,,,-0.07400082,-0.20904706,-0.03828103,0.31482515,1.10529769,
2025-10-28,65.58999634,67.77799988,64.26999664,64.94000244,10850300,27,76.20899925,,,39.96184391,76.20899925,94.80099729,57.61700121,,,,-0.00960801,-0.12373496,-0.03175782,-0.79260227,1.10427172,
2025-10-29,65.44000244,65.59999847,63.29999924,64.29000092,9121000,28,76.04199944,,,39.45323337,76.04199944,94.99571898,57.08827989,,,,-0.01000926,-0.07893986,-0.04938631,-0.93745625,1.10449698,
2025-10-30,66.97000122,67.09999847,62.88000107,64.91999817,14302800,29,75.73999939,,,40.24702828,75.73999939,95.19387061,56.28612817,,,,0.0097993,-0.05157047,-0.08511839,-0.53068267,1.09058853,
2025-10-31,64.77999878,64.94999695,61.45000076,63.09000015,13881900,30,75.3194994,,,38.6614344,75.3194994,95.47278205,55.16621675,,,,-0.02818851,-0.10902412,-0.11762238,-0.560071,1.09356611,
2025-11-03,62.20500183,62.20500183,57.15000153,57.65999985,14163800,31,74.4859993,,,34.33854653,74.4859993,96.06264583,52.90935276,,,,-0.08606753,-0.12063443,-0.22427017,-0.55572008,1.11666924,
2025-11-04,55.83499908,57.54000092,54.02000046,54.90000153,13678000,32,73.54249954,,,32.35805898,73.54249954,96.75048606,50.33451302,,,,-0.04786678,-0.15460426,-0.25579498,-0.58632462,1.12412359,
2025-11-05,55.08000183,55.75999832,53.58000183,54.93000031,8647000,33,72.75949974,,,32.40369341,72.75949974,97.32980406,48.18919542,,,,0.00054643,-0.1455903,-0.22184441,-0.9672718,1.11917217,
2025-11-06,56.38999939,56.45000076,51.84000015,51.95000076,15178100,34,71.74249973,,,30.22245283,71.74249973,97.93650023,45.54849924,-4.1363849,-0.17274065,-3.96364426,-0.05425086,-0.19978432,-0.28136672,-0.41175562,1.12184464,
2025-11-07,50.5,59.81999969,50.5,58.59999847,23399800,35,70.75549984,,,39.93860776,70.75549984,97.36505944,44.14594024,-4.2278498,-0.98376248,-3.24408733,0.12800765,-0.0711682,-0.25197854,0.42873479,1.17947181,
2025-11-10,61.54999924,65.94999695,60.41999817,64.18000031,18818400,36,69.21149998,,,46.6513462,69.21149998,93.48161817,44.94138179,-3.80620136,-1.54825025,-2.25795111,0.09522188,0.11307666,-0.32484744,0.19200609,0.94208124,
2025-11-11,63.36000061,63.75,61.11999893,61.95000076,9473700,37,67.37649994,,,44.51032856,67.37649994,87.69374719,47.05925269,-3.61036621,-1.96067344,-1.64969276,-0.03474602,0.12841528,-0.3720223,-1.14705653,0.9214647,
2025-11-12,62.02000046,62.34999847,57.93999863,59.72000122,8841900,38,65.87000008,,,42.41404309,65.87000008,83.60203706,48.13796309,-3.59368203,-2.28727516,-1.30640687,-0.03599676,0.08720191,-0.33533665,-1.26405484,0.88992967,
